,https://roic.ai/company/COP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,15673000000,9786000000,10721000000,11490000000,12492000000,13975000000,13259000000,12140000000,12545000000,12367000000,13521000000,15807000000,15424000000,11845000000,13852000000,21227000000,24189000000,57224000000,91359000000,136916000000,183364000000,167578000000,194495000000,246182000000,152840000000,189441000000,247149000000,57967000000,54413000000,52524000000,29564000000,23693000000,29106000000,36417000000,32567000000,18784000000,45828000000
2,COGS,11319000000,7396000000,8370000000,8170000000,9497000000,10590000000,10333000000,9512000000,9976000000,9710000000,10523000000,12228000000,11568000000,9048000000,10435000000,14595000000,17529000000,42811000000,74632000000,98257000000,134148000000,130146000000,134112000000,180481000000,112772000000,155446000000,196637000000,38605000000,37315000000,39337000000,28555000000,24723000000,24493000000,25463000000,23254000000,17943000000,31060000000
3,Gross Profit,4354000000,2390000000,2351000000,3320000000,2995000000,3385000000,2926000000,2628000000,2569000000,2657000000,2998000000,3579000000,3856000000,2797000000,3417000000,6632000000,6660000000,14413000000,16727000000,38659000000,49216000000,37432000000,60383000000,65701000000,40068000000,33995000000,50512000000,19362000000,17098000000,13187000000,1009000000,-1030000000,4613000000,10954000000,9313000000,841000000,14768000000
4,Gross Profit Ratio,0.2778,0.2442,0.2193,0.2889,0.2398,0.2422,0.2207,0.2165,0.2048,0.2148,0.2217,0.2264,0.2500,0.2361,0.2467,0.3124,0.2753,0.2519,0.1831,0.2824,0.2684,0.2234,0.3105,0.2669,0.2622,0.1794,0.2044,0.3340,0.3142,0.2511,0.0341,-0.0435,0.1585,0.3008,0.2860,0.0448,0.3222
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,412000000,308000000,370000000,439000000,517000000,540000000,562000000,609000000,597000000,478000000,500000000,509000000,631000000,641000000,665000000,636000000,946000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",412000000,308000000,370000000,439000000,517000000,540000000,562000000,609000000,597000000,478000000,500000000,509000000,631000000,641000000,665000000,636000000,946000000,2252000000,2767000000,2299000000,2247000000,2476000000,3313000000,3566000000,1830000000,2005000000,2078000000,1106000000,854000000,735000000,953000000,723000000,561000000,401000000,556000000,430000000,719000000
9,Other Expenses,1450000000,1307000000,1139000000,1078000000,1297000000,1038000000,1456000000,1130000000,1124000000,1065000000,1137000000,1205000000,1126000000,1528000000,1133000000,1647000000,1984000000,2946000000,4426000000,4928000000,5572000000,9399000000,27288000000,29649000000,25960000000,17857000000,27307000000,4740000000,3855000000,3850000000,5013000000,2456000000,1330000000,1341000000,1153000000,1965000000,1978000000
10,Operating Expenses,1862000000,1615000000,1509000000,1517000000,1814000000,1578000000,2018000000,1739000000,1721000000,1543000000,1637000000,1714000000,1757000000,2169000000,1798000000,2283000000,2930000000,5198000000,7193000000,7227000000,7819000000,11875000000,30601000000,33215000000,27790000000,19862000000,29385000000,5846000000,4709000000,4585000000,5966000000,3179000000,1891000000,1742000000,1709000000,2395000000,2697000000
11,COGS and Expenses,13181000000,9011000000,9879000000,9687000000,11311000000,12168000000,12351000000,11251000000,11697000000,11253000000,12160000000,13942000000,13325000000,11217000000,12233000000,16878000000,20459000000,48009000000,81825000000,105484000000,141967000000,142021000000,164713000000,213696000000,140562000000,175308000000,226022000000,44451000000,42024000000,43922000000,34521000000,27902000000,26384000000,27205000000,24963000000,20338000000,33757000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187000000,- -,163000000,113000000,83000000,45000000,57000000,112000000,97000000,166000000,100000000,33000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1289000000,1187000000,972000000,709000000,612000000,648000000,920000000,1245000000,1098000000,735000000,778000000,1058000000,1126000000
14,Depreciation and Amortization,1044000000,1097000000,922000000,868000000,1106000000,808000000,1190000000,820000000,841000000,794000000,871000000,941000000,863000000,1302000000,902000000,1179000000,1405000000,2245000000,3485000000,3798000000,4253000000,7284000000,8298000000,9012000000,- -,9060000000,- -,6580000000,7434000000,8329000000,9113000000,9062000000,6845000000,5956000000,6090000000,5521000000,7208000000
15,EBITDA,2819000000,1789000000,1188000000,1983000000,1642000000,2233000000,1801000000,1241000000,1377000000,1646000000,1935000000,3113000000,2763000000,1723000000,2087000000,4948000000,4725000000,3400000000,11964000000,18189000000,27777000000,35617000000,31570000000,5419000000,11243000000,29938000000,23907000000,23659000000,23611000000,19429000000,2737000000,4721000000,5266000000,16616000000,16324000000,3393000000,21046000000
16,EBITDA ratio,0.1799,0.1828,0.1108,0.1726,0.1314,0.1598,0.1358,0.1022,0.1098,0.1331,0.1431,0.1969,0.1791,0.1455,0.1507,0.2331,0.1953,0.0594,0.1310,0.1328,0.1515,0.2125,0.1623,0.0220,0.0736,0.1580,0.0967,0.4081,0.4339,0.3699,0.0926,0.1993,0.1809,0.4563,0.5012,0.1806,0.4592
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),-539000000,-83000000,-576000000,-688000000,-645000000,-620000000,-457000000,-378000000,-310000000,-262000000,-297000000,307000000,-199000000,-207000000,-434000000,-580000000,-428000000,-7051000000,-1197000000,-17063000000,-17850000000,2776000000,-6510000000,-36079000000,-2246000000,5617000000,1874000000,1907000000,2057000000,788000000,-2282000000,-1321000000,-5337000000,761000000,1920000000,-1586000000,641000000
20,Income Before Tax,1953000000,692000000,266000000,1115000000,536000000,1187000000,451000000,511000000,538000000,852000000,1064000000,2172000000,1900000000,421000000,1185000000,3769000000,3302000000,2164000000,8337000000,14369000000,23547000000,28333000000,23272000000,-3593000000,10032000000,19750000000,23001000000,15423000000,14446000000,9390000000,-7239000000,-5530000000,-2615000000,9973000000,9524000000,-3140000000,12712000000
21,Income Before Tax Ratio,0.1246,0.0707,0.0248,0.0970,0.0429,0.0849,0.0340,0.0421,0.0429,0.0689,0.0787,0.1374,0.1232,0.0355,0.0855,0.1776,0.1365,0.0378,0.0913,0.1049,0.1284,0.1691,0.1197,-0.0146,0.0656,0.1043,0.0931,0.2661,0.2655,0.1788,-0.2449,-0.2334,-0.0898,0.2739,0.2924,-0.1672,0.2774
22,Income Tax expense (Gain),1357000000,458000000,231000000,465000000,317000000,646000000,353000000,241000000,293000000,368000000,595000000,869000000,941000000,184000000,576000000,1907000000,1659000000,1450000000,3744000000,6262000000,9907000000,12783000000,11381000000,13405000000,5096000000,8333000000,10499000000,7942000000,6409000000,3583000000,-2868000000,-1971000000,-1822000000,3668000000,2267000000,-485000000,4633000000
23,Net Income,418000000,234000000,35000000,650000000,219000000,779000000,258000000,180000000,243000000,484000000,469000000,1303000000,959000000,237000000,609000000,1862000000,1661000000,-295000000,4735000000,8129000000,13617000000,15550000000,11891000000,-16998000000,4858000000,11358000000,12436000000,8428000000,9156000000,6869000000,-4428000000,-3615000000,-855000000,6257000000,7189000000,-2701000000,8079000000
24,Net Income ratio,0.0267,0.0239,0.0033,0.0566,0.0175,0.0557,0.0195,0.0148,0.0194,0.0391,0.0347,0.0824,0.0622,0.0200,0.0440,0.0877,0.0687,-0.0052,0.0518,0.0594,0.0743,0.0928,0.0611,-0.0690,0.0318,0.0600,0.0503,0.1454,0.1683,0.1308,-0.1498,-0.1526,-0.0294,0.1718,0.2207,-0.1438,0.1763
25,EPS,0.72,0.46,0.03,1.36,0.45,1.56,0.49,0.34,0.47,0.93,0.90,2.48,1.82,0.46,1.21,3.66,2.83,-0.30,3.48,5.88,9.71,9.80,7.32,-11.16,3.26,7.68,9.04,6.77,7.43,5.54,-3.58,-2.91,-0.70,5.36,6.43,-2.51,6.09
26,EPS Diluted,0.72,0.46,0.03,1.36,0.45,1.56,0.49,0.34,0.46,0.92,0.89,2.46,1.80,0.46,1.20,3.63,2.81,-0.30,3.46,5.80,9.55,9.66,7.22,-11.16,3.24,7.62,8.97,6.72,7.38,5.51,-3.58,-2.91,-0.70,5.32,6.40,-2.51,6.07
27,Weighted Average Shares Outstanding,454282000,457142857,590000000,477941176,486666667,497763578,521212121,521739130,522580645,523058000,523978000,525838000,526784000,516548000,505654000,508980000,585928000,964164000,1360980000,1381568000,1393371000,1585982000,1623994000,1523432000,1487650000,1479330000,1375035000,1243799000,1230963000,1237325000,1241919000,1245440000,1221038000,1166499000,1117260000,1078030000,1324194000
28,Weighted Average Shares Outstanding Diluted,454282000,457142857,590000000,477941176,486666667,497763578,521212121,521739130,528260870,523058000,523978000,530512000,530838000,520304000,508866000,512652000,590032000,971010000,1370866000,1401300000,1417028000,1609530000,1645919000,1523432000,1497608000,1491067000,1387100000,1253093000,1239803000,1245863000,1241919000,1245440000,1221038000,1175538000,1123536000,1078030000,1328151000
