,https://roic.ai/company/AWI,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1295000000,1608700000,1790700000,1832700000,1865300000,1828700000,1912000000,1865000000,2752700000,2084900000,2156400000,2198700000,2746200000,3443800000,3003800000,3135400000,3172300000,3259000000,3497300000,3558400000,817300000,3549700000,3393000000,2780000000,2766400000,2859500000,2618900000,2719900000,2515300000,2420000000,1234500000,893600000,975300000,1038100000,936900000,1106600000
2,COGS,889200000,1112000000,1253700000,1273300000,1315500000,1316600000,1378400000,1286500000,1904700000,1409700000,1459900000,1461700000,1838600000,2290300000,2197700000,2361800000,2404500000,2597400000,2811000000,2821100000,660400000,2685300000,2632000000,2159000000,2154600000,2187900000,1985700000,2097200000,1932000000,1817200000,863300000,569800000,641800000,643000000,603800000,701000000
3,Gross Profit,405800000,496700000,537000000,559400000,549800000,512100000,533600000,578500000,848000000,675200000,696500000,737000000,907600000,1153500000,806100000,773600000,767800000,661600000,686300000,737300000,156900000,864400000,761000000,621000000,611800000,671600000,633200000,622700000,583300000,602800000,371200000,323800000,333500000,395100000,333100000,405600000
4,Gross Profit Ratio,0.3134,0.3088,0.2999,0.3052,0.2948,0.2800,0.2791,0.3102,0.3081,0.3239,0.3230,0.3352,0.3305,0.3349,0.2684,0.2467,0.2420,0.2030,0.1962,0.2072,0.1920,0.2435,0.2243,0.2234,0.2212,0.2349,0.2418,0.2289,0.2319,0.2491,0.3007,0.3624,0.3419,0.3806,0.3555,0.3665
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,240300000,288800000,309000000,303800000,340600000,341100000,296900000,347800000,514800000,397100000,413200000,385300000,522000000,683000000,546300000,596200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",240300000,288800000,309000000,303800000,340600000,341100000,296900000,347800000,514800000,397100000,413200000,385300000,522000000,683000000,546300000,596200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,237400000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,85300000,26900000,41900000,31800000,626800000,654000000,698500000,615000000,138700000,568200000,523900000,512400000,486300000,423400000,418300000,443700000,398500000,447200000,225200000,135700000,159000000,174300000,163300000,- -
10,Operating Expenses,240300000,288800000,309000000,303800000,340600000,341100000,296900000,347800000,514800000,397100000,413200000,385300000,607300000,709900000,588200000,628000000,626800000,654000000,698500000,615000000,138700000,568200000,523900000,512400000,486300000,423400000,418300000,443700000,398500000,447200000,225200000,135700000,159000000,174300000,163300000,237400000
11,COGS and Expenses,1129500000,1400800000,1562700000,1577100000,1656100000,1657700000,1675300000,1634300000,2419500000,1806800000,1873100000,1847000000,2445900000,3000200000,2785900000,2989800000,3031300000,3251400000,3509500000,3436100000,799100000,3253500000,3155900000,2671400000,2640900000,2611300000,2404000000,2540900000,2330500000,2264400000,1088500000,705500000,800800000,817300000,767100000,938400000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3100000,3200000,2500000,2200000,2600000,- -,4300000,3200000,300000,100000
