,https://roic.ai/company/MDLZ,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,24140000000,23430000000,26532000000,33875000000,29723000000,31010000000,32168000000,34113000000,34356000000,37241000000,42201000000,40386000000,49207000000,54365000000,35015000000,35299000000,34244000000,29636000000,25923000000,25896000000,25938000000,25868000000,26581000000,28720000000
2,COGS,15586000000,14615000000,12883000000,17531000000,17720000000,18828000000,20281000000,21845000000,21940000000,24651000000,28186000000,25786000000,31305000000,35350000000,21939000000,22189000000,21647000000,18124000000,15795000000,15831000000,15586000000,15531000000,16135000000,17466000000
3,Gross Profit,8554000000,8815000000,13649000000,16344000000,12003000000,12182000000,11887000000,12268000000,12416000000,12590000000,14015000000,14600000000,17902000000,19015000000,13076000000,13110000000,12597000000,11512000000,10128000000,10065000000,10352000000,10337000000,10446000000,11254000000
4,Gross Profit Ratio,0.3543,0.3762,0.5144,0.4825,0.4038,0.3928,0.3695,0.3596,0.3614,0.3381,0.3321,0.3615,0.3638,0.3498,0.3734,0.3714,0.3679,0.3884,0.3907,0.3887,0.3991,0.3996,0.3930,0.3919
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,10498000000,5709000000,6200000000,6658000000,7135000000,7249000000,7809000000,9059000000,9108000000,12001000000,12140000000,9176000000,8679000000,8457000000,7577000000,6540000000,5911000000,6475000000,6136000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,10498000000,5709000000,6200000000,6658000000,7135000000,7249000000,7809000000,9059000000,9108000000,12001000000,12140000000,9176000000,8679000000,8457000000,7577000000,6540000000,5911000000,6475000000,6136000000,- -,6263000000
9,Other Expenses,5019000000,5236000000,8603000000,962000000,38000000,-35000000,617000000,381000000,641000000,450000000,1047000000,26000000,211000000,225000000,217000000,217000000,206000000,181000000,176000000,178000000,176000000,174000000,6292000000,134000000
10,Operating Expenses,5019000000,5236000000,8603000000,11460000000,5747000000,6165000000,7275000000,7516000000,7890000000,8259000000,10106000000,9134000000,12212000000,12365000000,9393000000,8896000000,8663000000,7758000000,6716000000,6089000000,6651000000,6310000000,6292000000,6397000000
11,COGS and Expenses,20605000000,19851000000,21486000000,28991000000,23467000000,24993000000,27556000000,29361000000,29830000000,32910000000,38292000000,34920000000,43517000000,47715000000,31332000000,31085000000,30310000000,25882000000,22511000000,21920000000,22237000000,21841000000,22427000000,23863000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1260000000,1790000000,1645000000,1177000000,1017000000,778000000,609000000,515000000,396000000,462000000,484000000,423000000,- -
