,https://roic.ai/company/HSY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1996200000,2169600000,2433800000,2168000000,2421000000,2715600000,2899200000,3219800000,3488200000,3606300000,3690700000,3989300000,4302200000,4435600000,3970900000,4220976000,4557241000,4120317000,4172551000,4429248000,4835974000,4944230000,4946716000,5132768000,5298668000,5671009000,6080788000,6644252000,7146079000,7421768000,7386626000,7440181000,7515426000,7791069000,7986252000,8149719000,8971337000
2,COGS,1306100000,1394500000,1541500000,1274600000,1389900000,1514500000,1609000000,1736300000,1882400000,1968600000,1992400000,2168600000,2336100000,2466900000,2191400000,2471151000,2665566000,2561052000,2544726000,2679531000,2965540000,3076718000,3315147000,3375050000,3245531000,3255801000,3548896000,3784370000,3865231000,4085602000,4003951000,4282290000,4070907000,4215744000,4363774000,4448450000,4922739000
3,Gross Profit,690100000,775100000,892300000,893400000,1031100000,1201100000,1290200000,1483500000,1605800000,1637700000,1698300000,1820700000,1966100000,1968700000,1779500000,1749825000,1891675000,1559265000,1627825000,1749717000,1870434000,1867512000,1631569000,1757718000,2053137000,2415208000,2531892000,2859882000,3280848000,3336166000,3382675000,3157891000,3444519000,3575325000,3622478000,3701269000,4048598000
4,Gross Profit Ratio,0.3457,0.3573,0.3666,0.4121,0.4259,0.4423,0.4450,0.4607,0.4604,0.4541,0.4602,0.4564,0.4570,0.4438,0.4481,0.4146,0.4151,0.3784,0.3901,0.3950,0.3868,0.3777,0.3298,0.3425,0.3875,0.4259,0.4164,0.4304,0.4591,0.4495,0.4579,0.4244,0.4583,0.4589,0.4536,0.4542,0.4513
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1034100000,1053800000,1124100000,1183100000,1167900000,1057800000,1127175000,1269964000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",395500000,445500000,527600000,575500000,655000000,776700000,814500000,958200000,1035500000,1034100000,1053800000,1124100000,1183100000,1167900000,1057800000,1127175000,1269964000,833426000,816442000,847540000,912986000,860378000,895874000,1073019000,1208672000,1426477000,1477750000,1703796000,1922508000,1900970000,1969308000,1915378000,1913403000,1874829000,1905929000,1890925000,2001351000
9,Other Expenses,49600000,59000000,70600000,51900000,65700000,73900000,85400000,97100000,113100000,129000000,133900000,133500000,152800000,158200000,163300000,- -,- -,- -,-8330000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
