,https://roic.ai/company/LCUT,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,38500000,48500000,54800000,60800000,64700000,77400000,80500000,98400000,100000000,116700000,106800000,129375000,143538000,131219000,160355000,189458000,307897000,457400000,493725000,487935000,415040000,443171000,444418000,486842000,502721000,586010000,587670000,592619000,579476000,704542000,734902000,769169000,862924000
2,COGS,22400000,28100000,29800000,32900000,34600000,41100000,42500000,48900000,49400000,58000000,55200000,71540000,80783000,73145000,92918000,111497000,177493000,265749000,288997000,303535000,257839000,273774000,282058000,310054000,315459000,373129000,373284000,375719000,364319000,448785000,479711000,495171000,559605000
3,Gross Profit,16100000,20400000,25000000,27900000,30100000,36300000,38000000,49500000,50600000,58700000,51600000,57835000,62755000,58074000,67437000,77961000,130404000,191651000,204728000,184400000,157201000,169397000,162360000,176788000,187262000,212881000,214386000,216900000,215157000,255757000,255191000,273998000,303319000
4,Gross Profit Ratio,0.4182,0.4206,0.4562,0.4589,0.4652,0.4690,0.4720,0.5030,0.5060,0.5030,0.4831,0.4470,0.4372,0.4426,0.4205,0.4115,0.4235,0.4190,0.4147,0.3779,0.3788,0.3822,0.3653,0.3631,0.3725,0.3633,0.3648,0.3660,0.3713,0.3630,0.3472,0.3562,0.3515
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,31900000,33100000,35300000,42300000,47903000,56895000,51178000,52792000,63112000,105232000,161851000,182020000,131226000,95647000,95044000,93894000,104338000,114345000,133786000,134903000,130397000,140903000,162933000,161618000,155872000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57695000,43329000,44570000,43882000,44046000,44364000,54202000,54815000,57006000,58050000,69716000,72543000,72845000,- -
8,"Selling, General and Administrative Exp.",11800000,13600000,15800000,17300000,18600000,21600000,25400000,31900000,33100000,35300000,42300000,47903000,56895000,51178000,52792000,63112000,105232000,161851000,182020000,188921000,138976000,139614000,137776000,148384000,158709000,187988000,189718000,187403000,198953000,232649000,234161000,228717000,156945000
9,Other Expenses,400000,400000,400000,400000,400000,600000,1000000,1600000,2000000,2500000,2800000,3461000,- -,- -,- -,- -,- -,- -,1924000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,12200000,14000000,16200000,17700000,19000000,22200000,26400000,33500000,35100000,37800000,45100000,51364000,56895000,51178000,52792000,63112000,105232000,161851000,183944000,188921000,138976000,139614000,137776000,148384000,158709000,187988000,189718000,187403000,198953000,232649000,234161000,228717000,156945000
