,https://roic.ai/company/PEG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,2719500000,2799100000,2657800000,2699000000,2410000000,2581000000,2528000000,2952000000,3095000000,2783000000,3118000000,3203000000,3580000000,3404000000,3414000000,3574000000,3595000000,3590000000,1152000000,1246000000,1227000000,1214000000,1476000000,1986000000,1158000000,1248000000,1321000000,1235000000
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,4439200000,4652400000,4694000000,4979000000,4325000000,4660000000,4959000000,7923000000,6864000000,9151000000,9175000000,10476000000,10349000000,9927000000,10709000000,9285000000,8856000000,8337000000,7503000000,7669000000,8263000000,7453000000,7485000000,7655000000,7398000000,7731000000,7492000000,7960000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,159000000,196000000,18000000,23000000,24000000,23000000,22000000,21000000,18000000,16000000,15000000,72000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,527000000,472000000,475000000,423000000,402000000,389000000,393000000,385000000,391000000,476000000,569000000,600000000,500000000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,959000000,974000000,982000000,1227000000,1370000000,1427000000,1427000000,1679000000,2185000000,1345000000,1426000000,1469000000,1403000000
15,EBITDA,544600000,429800000,520500000,528600000,542100000,571300000,544300000,504100000,600900000,991600000,1016300000,901900000,889000000,1064000000,482000000,1254000000,1143000000,493000000,1624000000,1172000000,1202000000,1193000000,2395000000,2118000000,4122000000,4069000000,3937000000,3661000000,3827000000,4272000000,4500000000,3362000000,3844000000,3676000000,3945000000,4370000000,814000000
16,EBITDA ratio,0.1235,0.0955,0.1236,0.1203,0.1128,0.1190,0.1069,0.0941,0.1053,0.1676,0.1649,0.1493,0.1396,0.1794,0.0742,0.1831,0.1165,0.0588,0.1461,0.1066,0.0967,0.0981,0.1863,0.1590,0.3323,0.3450,0.3554,0.3743,0.3839,0.3924,0.4321,0.3710,0.4232,0.3791,0.3915,0.4551,0.0837
17,Operating Income,4409100000,4498400000,4211100000,4394700000,4804900000,4800100000,5093200000,5356800000,5705600000,1476600000,1511700000,1347300000,1391000000,1606000000,1837000000,1889000000,1892000000,1526000000,1965000000,1821000000,1954000000,1815000000,2926000000,2613000000,3121000000,2937000000,2742000000,2278000000,2299000000,2623000000,2962000000,1576000000,1429000000,2298000000,1943000000,2270000000,-856000000
18,Operating Income ratio,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2496,0.2452,0.2230,0.2184,0.2708,0.2827,0.2758,0.1928,0.1819,0.1768,0.1656,0.1572,0.1492,0.2277,0.1961,0.2516,0.2490,0.2475,0.2329,0.2306,0.2410,0.2844,0.1739,0.1573,0.2370,0.1928,0.2364,-0.0880
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-485000000,-495400000,-469600000,-502000000,-542000000,-551000000,-635000000,-756000000,-862000000,-649000000,-654000000,-555000000,-609000000,-547000000,-700000000,-485000000,-321000000,-358000000,-267000000,-244000000,-167000000,-282000000,-278000000,-161000000,-443000000,7000000,31000000,-233000000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,991600000,1016300000,877700000,889000000,1064000000,1286000000,1254000000,1136000000,664000000,1316000000,1167000000,1399000000,1206000000,2379000000,1913000000,2636000000,2616000000,2384000000,2011000000,2055000000,2456000000,2680000000,1298000000,1268000000,1855000000,1950000000,2301000000,-1089000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.1676,0.1649,0.1453,0.1396,0.1794,0.1979,0.1831,0.1157,0.0791,0.1184,0.1061,0.1126,0.0991,0.1851,0.1436,0.2125,0.2218,0.2152,0.2056,0.2062,0.2256,0.2573,0.1433,0.1396,0.1913,0.1935,0.2396,-0.1120
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,312600000,354000000,290300000,329000000,420000000,563000000,490000000,373000000,248000000,464000000,446000000,541000000,454000000,1060000000,926000000,1044000000,1059000000,977000000,736000000,812000000,938000000,1001000000,411000000,-306000000,417000000,257000000,396000000,-441000000
23,Net Income,544600000,429800000,520500000,528600000,542100000,571300000,544300000,504100000,600900000,679000000,662300000,611600000,560000000,644000000,-81000000,764000000,770000000,245000000,1160000000,726000000,661000000,739000000,1335000000,1192000000,1592000000,1564000000,1503000000,1275000000,1243000000,1518000000,1679000000,887000000,1574000000,1438000000,1693000000,1905000000,-648000000
24,Net Income ratio,0.1235,0.0955,0.1236,0.1203,0.1128,0.1190,0.1069,0.0941,0.1053,0.1148,0.1074,0.1012,0.0879,0.1086,-0.0125,0.1116,0.0785,0.0292,0.1044,0.0660,0.0532,0.0608,0.1039,0.0895,0.1283,0.1326,0.1357,0.1304,0.1247,0.1394,0.1612,0.0979,0.1733,0.1483,0.1680,0.1984,-0.0667
25,EPS,1.32,0.94,1.27,1.28,1.31,1.28,1.22,1.08,1.25,1.39,1.35,1.26,1.21,1.40,-0.18,1.77,1.85,0.58,2.54,1.53,1.38,1.47,2.63,2.34,17.37,3.09,2.97,2.52,2.46,3.00,3.32,1.76,3.10,2.83,3.33,3.76,-1.29
26,EPS Diluted,1.32,0.94,1.27,1.28,1.31,1.28,1.22,1.08,1.25,1.39,1.35,1.26,1.21,1.40,-0.18,1.77,1.85,0.58,2.54,1.52,1.35,1.47,2.62,2.34,3.14,3.08,2.96,0.07,2.45,2.99,3.30,1.75,3.10,2.83,3.33,3.76,-1.29
27,Weighted Average Shares Outstanding,412575758,400423280,408235294,387003891,391679389,423671875,424115226,435207373,450240000,488941588,489395860,484801510,463972000,461948000,439628000,430242000,416452000,417626000,456444000,473968000,480594000,503356000,507560000,507693000,505986000,505985000,505949000,505906000,505889000,506000000,505000000,505000000,505000000,504000000,504000000,504000000,504000000
28,Weighted Average Shares Outstanding Diluted,412575758,400423280,408235294,387003891,391679389,423671875,424115226,435207373,450240000,488941588,490384615,507225131,463990000,463802000,439628000,430242000,416452000,417626000,457648000,476572000,488812000,504628000,508813000,508427000,507064000,507045000,506982000,507231000,507525000,508000000,508000000,508000000,507000000,507000000,507000000,507000000,504000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/81033/000078878495000002/0000788784-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/81033/000078878496000002/0000788784-96-000002-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158659/000120677403000082/0001206774-03-000082-index.html,https://www.sec.gov/Archives/edgar/data/788784/000095011704000775/a37089.htm,https://www.sec.gov/Archives/edgar/data/788784/000095011705000790/a39290.htm,https://www.sec.gov/Archives/edgar/data/788784/000095011706000927/a41410.htm,https://www.sec.gov/Archives/edgar/data/788784/000093041307001699/c46564_10k.htm,https://www.sec.gov/Archives/edgar/data/788784/000093041308001260/c52299_10k.htm,https://www.sec.gov/Archives/edgar/data/1158659/000093041309001045/0000930413-09-001045-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000119312510040508/0001193125-10-040508-index.html,https://www.sec.gov/Archives/edgar/data/788784/000119312511047330/d10k.htm,https://www.sec.gov/Archives/edgar/data/81033/000119312512081813/0001193125-12-081813-index.html,https://www.sec.gov/Archives/edgar/data/81033/000078878413000003/0000788784-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/788784/000078878414000004/pseg201310k.htm,https://www.sec.gov/Archives/edgar/data/788784/000078878415000002/pseg201410kq4.htm,https://www.sec.gov/Archives/edgar/data/1158659/000078878416000014/0000788784-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878417000003/0000788784-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878418000004/0000788784-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878419000005/0000788784-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878420000004/0000788784-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/788784/000078878421000007/0000788784-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/788784/000162828022003860/0001628280-22-003860-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,67900000,76200000,278900000,83000000,140000000,259000000,102000000,169000000,165000000,548000000,279000000,288000000,141000000,381000000,321000000,350000000,280000000,834000000,379000000,493000000,402000000,394000000,423000000,313000000,177000000,147000000,543000000,818000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,243000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,67900000,76200000,278900000,83000000,140000000,259000000,102000000,169000000,165000000,548000000,279000000,288000000,141000000,381000000,321000000,593000000,280000000,834000000,379000000,493000000,402000000,394000000,423000000,313000000,177000000,147000000,543000000,818000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,809200000,995400000,947600000,1042000000,942000000,1218000000,1522000000,1420000000,1645000000,1808000000,1961000000,2332000000,1696000000,1992000000,1852000000,1640000000,2476000000,1272000000,1610000000,1612000000,1749000000,1570000000,1499000000,1771000000,1917000000,1573000000,1702000000,2085000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,417200000,398400000,460800000,452000000,479000000,441000000,586000000,683000000,620000000,754000000,891000000,1089000000,1137000000,1089000000,1255000000,1167000000,1025000000,1052000000,1005000000,1024000000,1022000000,976000000,887000000,866000000,902000000,897000000,878000000,744000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,62600000,90100000,57100000,86000000,93000000,125000000,199000000,987000000,536000000,607000000,512000000,1121000000,688000000,1466000000,571000000,246000000,1270000000,753000000,875000000,485000000,946000000,554000000,445000000,362000000,511000000,614000000,507000000,2603000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,1356900000,1560100000,1744400000,1663000000,1654000000,2043000000,2409000000,3259000000,2966000000,3717000000,3643000000,4830000000,3662000000,4928000000,3999000000,3646000000,5051000000,3911000000,3869000000,3614000000,4119000000,3494000000,3254000000,3312000000,3507000000,3231000000,3630000000,6250000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,11098200000,11187400000,11179200000,11050000000,10876000000,7078000000,7702000000,10064000000,11449000000,12422000000,13750000000,13336000000,13002000000,13275000000,14433000000,15440000000,16390000000,17849000000,19736000000,21645000000,23589000000,26539000000,29286000000,31797000000,34363000000,36126000000,37847000000,34567000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16000000,16000000,16000000,16000000,16000000,16000000,16000000,16000000,16000000,16000000,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,123000000,136000000,131000000,34000000,33000000,84000000,102000000,98000000,114000000,143000000,149000000,158000000,20000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,649000000,658000000,610000000,643000000,608000000,585000000,64000000,69000000,139000000,152000000,147000000,50000000,49000000,100000000,118000000,114000000,130000000,159000000,149000000,158000000,20000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4077000000,3868000000,3221000000,2695000000,3380000000,3146000000,2824000000,3055000000,3627000000,3299000000,3214000000,3126000000,3296000000,2998000000,3274000000,3303000000,3420000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,4262300000,4423900000,3991700000,5230000000,5467000000,9894000000,10685000000,11425000000,10669000000,11306000000,11171000000,6964000000,7453000000,6904000000,7853000000,6125000000,5170000000,5090000000,5015000000,3587000000,4226000000,4170000000,4290000000,4181000000,4299000000,4950000000,5112000000,4742000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,15360500000,15611300000,15170900000,16280000000,16343000000,16972000000,18387000000,22138000000,22776000000,24338000000,25564000000,24985000000,24908000000,23464000000,25050000000,25084000000,24858000000,25910000000,27856000000,28908000000,31214000000,34041000000,36816000000,39404000000,41819000000,44499000000,46420000000,42749000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,16717400000,17171400000,16915300000,17943000000,17997000000,19015000000,20796000000,25397000000,25742000000,28055000000,29207000000,29815000000,28570000000,28392000000,29049000000,28730000000,29909000000,29821000000,31725000000,32522000000,35333000000,37535000000,40070000000,42716000000,45326000000,47730000000,50050000000,48999000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,433500000,567800000,590900000,686000000,655000000,738000000,1001000000,790000000,1115000000,1216000000,1362000000,1154000000,964000000,1094000000,1227000000,1081000000,1176000000,1184000000,1304000000,1222000000,1178000000,1369000000,1459000000,1694000000,1451000000,1358000000,1332000000,1315000000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,991300000,940200000,1186100000,1788000000,1474000000,3045000000,3552000000,2551000000,1511000000,1027000000,1024000000,1636000000,1230000000,1188000000,1052000000,1051000000,1185000000,633000000,1515000000,841000000,883000000,1098000000,888000000,1542000000,2310000000,2480000000,2747000000,4219000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,124000000,67000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,432100000,413800000,494800000,353000000,329000000,394000000,429000000,1353000000,1190000000,1142000000,1102000000,1967000000,1212000000,2008000000,1131000000,1082000000,1124000000,1140000000,958000000,1000000000,1417000000,1108000000,929000000,932000000,1174000000,1209000000,1443000000,1538000000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,1856900000,1921800000,2271800000,2827000000,2458000000,4177000000,4982000000,4694000000,3816000000,3385000000,3488000000,4757000000,3406000000,4290000000,3410000000,3214000000,3485000000,2957000000,3777000000,3063000000,3478000000,3575000000,3276000000,4168000000,4935000000,5047000000,5522000000,7072000000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,5180700000,5189800000,4580200000,4873000000,4763000000,4575000000,5297000000,10301000000,10991000000,11744000000,12925000000,11279000000,10370000000,8662000000,8005000000,7645000000,7819000000,7461000000,6687000000,7862000000,8261000000,8834000000,10895000000,12068000000,13168000000,13743000000,14748000000,15410000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,3317900000,3486900000,3612100000,3737000000,3706000000,2928000000,3107000000,3205000000,2924000000,4196000000,4347000000,4248000000,4462000000,4454000000,3865000000,4139000000,5129000000,5458000000,6542000000,7107000000,7303000000,8166000000,8658000000,5240000000,5713000000,6256000000,6502000000,5759000000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,365400000,653300000,556700000,1125000000,1802000000,3169000000,3244000000,2980000000,3484000000,3121000000,2628000000,3429000000,3505000000,3607000000,5918000000,4934000000,3835000000,3673000000,3938000000,2881000000,4105000000,3893000000,4111000000,7393000000,7133000000,7595000000,7294000000,6320000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,8864000000,9330000000,8749000000,9735000000,10271000000,10672000000,11648000000,16486000000,17399000000,19061000000,19900000000,18956000000,18337000000,16723000000,17788000000,16718000000,16783000000,16592000000,17167000000,17850000000,19669000000,20893000000,23664000000,24701000000,26014000000,27594000000,28544000000,27489000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,17728300000,- -,17498100000,- -,- -,21514000000,23466000000,33052000000,35338000000,38124000000,- -,37992000000,36754000000,33526000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273000000,252000000,191000000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,10721200000,11041500000,11020900000,12049000000,11691000000,15019000000,16800000000,21260000000,21755000000,22448000000,23388000000,23793000000,21823000000,21093000000,21198000000,19932000000,20268000000,19549000000,20944000000,20913000000,23147000000,24468000000,26940000000,28869000000,30949000000,32641000000,34066000000,34561000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80000000,80000000,- -,- -,- -,80000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,3801200000,3801200000,3626800000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4833000000,4861000000,4876000000,4915000000,4936000000,4961000000,4980000000,5003000000,5031000000,5045000000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,1510000000,1643800000,1586300000,1623000000,1748000000,1193000000,1493000000,1809000000,1601000000,2221000000,2425000000,2545000000,2710000000,3261000000,3773000000,4704000000,5575000000,6385000000,6942000000,7457000000,8227000000,9117000000,9174000000,9878000000,10582000000,11406000000,12318000000,10639000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5147100000,-5440400000,-5889100000,-6463000000,-7048000000,-4078000000,-4266000000,-4822000000,-5113000000,-4984000000,-5371000000,-609000000,-108000000,-216000000,-177000000,-116000000,-156000000,-337000000,-388000000,-95000000,-283000000,-295000000,-263000000,-229000000,-377000000,-489000000,-504000000,-350000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5832100000,6125300000,6570400000,10734000000,11606000000,6881000000,6769000000,7150000000,7499000000,8370000000,8765000000,4086000000,4145000000,4254000000,4255000000,4200000000,4214000000,4222000000,-607000000,-615000000,-635000000,-671000000,-717000000,-763000000,-808000000,-831000000,-861000000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,5996200000,6129900000,5894400000,5894000000,6306000000,3996000000,3996000000,4137000000,3987000000,5607000000,5819000000,6022000000,6747000000,7299000000,7851000000,8788000000,9633000000,10270000000,10780000000,11608000000,12185000000,13066000000,13130000000,13847000000,14377000000,15089000000,15984000000,14438000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,16717400000,17171400000,16915300000,17943000000,17997000000,19015000000,20796000000,25397000000,25742000000,28055000000,29207000000,29815000000,28570000000,28392000000,29049000000,28720000000,29901000000,29819000000,31724000000,32521000000,35332000000,37534000000,40070000000,42716000000,45326000000,47730000000,50050000000,48999000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10000000,8000000,2000000,1000000,1000000,1000000,1000000,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,16717400000,17171400000,16915300000,17943000000,17997000000,19015000000,20796000000,25397000000,25742000000,28055000000,29207000000,29815000000,28570000000,28392000000,29049000000,28730000000,29909000000,29821000000,31725000000,32522000000,35333000000,37535000000,40070000000,42716000000,45326000000,47730000000,50050000000,48999000000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/81033/000078878495000002/0000788784-95-000002-index.html,https://www.sec.gov/Archives/edgar/data/81033/000078878496000002/0000788784-96-000002-index.html,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1158659/000120677403000082/0001206774-03-000082-index.html,https://www.sec.gov/Archives/edgar/data/788784/000095011704000775/a37089.htm,https://www.sec.gov/Archives/edgar/data/788784/000095011705000790/a39290.htm,https://www.sec.gov/Archives/edgar/data/788784/000095011706000927/a41410.htm,https://www.sec.gov/Archives/edgar/data/788784/000093041307001699/c46564_10k.htm,https://www.sec.gov/Archives/edgar/data/788784/000093041308001260/c52299_10k.htm,https://www.sec.gov/Archives/edgar/data/1158659/000093041309001045/0000930413-09-001045-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000119312510040508/0001193125-10-040508-index.html,https://www.sec.gov/Archives/edgar/data/788784/000119312511047330/d10k.htm,https://www.sec.gov/Archives/edgar/data/81033/000119312512081813/0001193125-12-081813-index.html,https://www.sec.gov/Archives/edgar/data/81033/000078878413000003/0000788784-13-000003-index.html,https://www.sec.gov/Archives/edgar/data/788784/000078878414000004/pseg201310k.htm,https://www.sec.gov/Archives/edgar/data/788784/000078878415000002/pseg201410kq4.htm,https://www.sec.gov/Archives/edgar/data/1158659/000078878416000014/0000788784-16-000014-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878417000003/0000788784-17-000003-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878418000004/0000788784-18-000004-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878419000005/0000788784-19-000005-index.html,https://www.sec.gov/Archives/edgar/data/1158659/000078878420000004/0000788784-20-000004-index.html,https://www.sec.gov/Archives/edgar/data/788784/000078878421000007/0000788784-21-000007-index.htm,https://www.sec.gov/Archives/edgar/data/788784/000162828022003860/0001628280-22-003860-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,679000000,662300000,611600000,560000000,644000000,-81000000,764000000,770000000,245000000,1160000000,726000000,661000000,739000000,1335000000,1192000000,1592000000,1564000000,1503000000,1275000000,1243000000,1518000000,1679000000,887000000,1574000000,1438000000,1693000000,1905000000,-648000000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,959000000,974000000,982000000,1227000000,1370000000,1427000000,1427000000,1679000000,2185000000,1345000000,1426000000,1469000000,1403000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,138900000,145100000,64700000,47000000,- -,-215000000,-11000000,-179000000,-117000000,368000000,172000000,224000000,-111000000,119000000,71000000,326000000,1106000000,811000000,721000000,270000000,515000000,685000000,474000000,-167000000,568000000,180000000,139000000,-817000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
