,https://roic.ai/company/ERIC,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,2087306637,2444958289,3171626034,4812445836,6396693760,3490614000,3496115000,6462125500,8808571650,11325563860,14801477520,23571390840,24549091080,23744531720,39909833200,-22558445040,-16817607450,-3903035130,33108195070,38868524100,42930237000,39047868000,27430000000,10887000000,26375000000,29443000000,21299000000,28496000000,27539000000,31399000000,14088000000,-29920000000,6962000000,19687000000,36644000000,37933000000
16,EBITDA ratio,0.0645,0.0735,0.0996,0.1226,0.1376,0.0757,0.0744,0.1017,0.1046,0.1147,0.1177,0.1398,0.1330,0.1103,0.1448,-0.0973,-0.1151,-0.0332,0.2492,0.2562,0.2422,0.2076,0.1313,0.0527,0.1297,0.1298,0.0935,0.1253,0.1208,0.1272,0.0633,-0.1486,0.0330,0.0866,0.1577,0.1633
17,Operating Income,2121180487,1900927608,2443299452,3719997204,5667197040,1482285000,1107162000,3531539500,6545717100,8088741700,10750329630,18852345960,19285675120,17569931470,31394343100,-27084802800,-21345759120,-11227515420,29126956250,33061679400,35725114500,30700819600,16252000000,5918000000,16455000000,17900000000,10458000000,17845000000,16807000000,21805000000,6299000000,-38126000000,1242000000,10564000000,27808000000,31780000000
18,Operating Income ratio,0.0655,0.0572,0.0768,0.0948,0.1219,0.0321,0.0236,0.0556,0.0777,0.0819,0.0855,0.1118,0.1045,0.0816,0.1139,-0.1169,-0.1461,-0.0954,0.2193,0.2179,0.2015,0.1632,0.0778,0.0287,0.0809,0.0789,0.0459,0.0785,0.0737,0.0883,0.0283,-0.1894,0.0059,0.0465,0.1197,0.1368
19,Total Other Income Expenses (Gains),-1170680256,-673534265,-245434400,-191733366,-834912080,132625500,197960000,279222500,-942422850,-544109540,-605264880,-1549181400,-1062415240,-1200853290,-2496737900,-3216647760,-2025065910,-1063810680,-845513930,254198400,163908000,-220170400,974000000,325000000,-672000000,221000000,-276000000,-747000000,-996000000,-1933000000,-2273000000,-1204000000,-2705000000,-1802000000,-596000000,-2530000000
20,Income Before Tax,950500231,1227393343,2197865052,3528263838,4832284960,1614910500,1305122000,3810762000,5603294250,7544632160,10145064750,17303164560,18223259880,16369078180,28897605200,-30301450560,-23370825030,-12291326100,28281442320,33315877800,35889022500,30480649200,17226000000,6243000000,15783000000,18121000000,10182000000,17098000000,15811000000,19872000000,4026000000,-39330000000,-1463000000,8762000000,27212000000,29250000000
21,Income Before Tax Ratio,0.0293,0.0369,0.0690,0.0899,0.1040,0.0350,0.0278,0.0600,0.0665,0.0764,0.0806,0.1026,0.0987,0.0761,0.1049,-0.1308,-0.1600,-0.1045,0.2129,0.2196,0.2025,0.1620,0.0824,0.0302,0.0776,0.0799,0.0447,0.0752,0.0694,0.0805,0.0181,-0.1954,-0.0069,0.0386,0.1171,0.1259
22,Income Tax expense (Gain),385484413,489685427,881723082,1699090536,1398435680,722753250,826483000,975195000,1659080100,2155893220,3040080420,5783610560,5417506720,4249828310,7727546200,-9042237840,-4319561190,-1459145730,9134213480,8865169200,9527152500,8606072400,5559000000,2116000000,4548000000,5552000000,4244000000,4924000000,4668000000,6199000000,2131000000,-4267000000,4813000000,6922000000,9589000000,6270000000
23,Net Income,565015818,737707916,1316141970,1829173302,3433849280,892157250,478639000,2835567000,3944214150,5388738940,7104984330,12004169720,13049054360,12119249870,21170059000,-21259212720,-19051263840,-10832180370,19147228840,24299778300,26177473500,21874576800,11273000000,3672000000,11146000000,12194000000,5775000000,12005000000,11568000000,13549000000,1716000000,-35206000000,-6530000000,2223000000,17483000000,22694000000
24,Net Income ratio,0.0174,0.0222,0.0413,0.0466,0.0739,0.0193,0.0102,0.0446,0.0468,0.0546,0.0565,0.0712,0.0707,0.0563,0.0768,-0.0917,-0.1304,-0.0921,0.1441,0.1602,0.1477,0.1163,0.0540,0.0178,0.0548,0.0537,0.0254,0.0528,0.0507,0.0549,0.0077,-0.1749,-0.0310,0.0098,0.0752,0.0977
25,EPS,0.68,0.58,0.92,1.85,2.24,0.84,0.35,2.08,3.34,3.65,4.47,8.74,8.52,7.69,13.43,-13.43,-7.53,-3.45,6.01,7.64,8.23,6.86,3.54,-2.62,3.49,3.80,1.80,3.72,3.57,4.17,0.53,-10.74,-1.98,0.67,5.26,6.82
26,EPS Diluted,0.68,0.58,0.92,1.85,2.24,0.56,0.35,2.08,3.34,3.65,4.47,8.74,8.52,7.69,13.33,-13.43,-7.53,-3.45,6.01,7.64,8.23,6.86,3.52,-2.62,3.46,3.77,1.78,3.69,3.54,4.13,0.52,-10.74,-1.98,0.67,5.26,6.81
27,Weighted Average Shares Outstanding,1390265600,1276000000,1430000000,989000000,1531000000,1067333333,1354000000,1360800000,1180222222,1478363636,1577120000,1579520000,1597520000,1576240091,1576122104,1582424096,2514600000,3164600000,3165800000,3168600000,3174200000,3178200000,3183000000,3188000000,3197000000,3206000000,3216000000,3226000000,3237000000,3249000000,3263000000,3277000000,3291000000,3306000000,3323000000,3329000000
28,Weighted Average Shares Outstanding Diluted,1390265600,1276000000,1430000000,989000000,1531000000,1601000000,1354000000,1360800000,1180222222,1478363636,1577120000,1579520000,1597520000,1597600000,1588019355,1582424096,2536800000,3168200000,3171800000,3168600000,3174200000,3178200000,3202556818,3188000000,3226000000,3233000000,3247000000,3257000000,3270000000,3282000000,3303000000,3317000000,3318000000,3320000000,3326000000,3332000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717826/000119312504054554/0001193125-04-054554-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312505058488/0001193125-05-058488-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312506115498/0001193125-06-115498-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312507131377/0001193125-07-131377-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312508085247/0001193125-08-085247-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312509091164/0001193125-09-091164-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312510088419/0001193125-10-088419-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312511082214/0001193125-11-082214-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312512149674/0001193125-12-149674-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312513145407/0001193125-13-145407-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312514134810/0001193125-14-134810-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312515113168/0001193125-15-113168-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312516529446/0001193125-16-529446-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312517139501/0001193125-17-139501-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312518097690/0001193125-18-097690-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312519092671/0001193125-19-092671-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312520078974/0001193125-20-078974-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2784430470,3403516067,3790120722,5081858958,6734807920,7866141000,9217866000,8801760000,11878686750,15243682740,19045209690,29275556200,18247590000,28982296070,16945540500,32774183040,17999620170,16568132550,12283253550,41712368700,29879062500,28363128000,37813000000,22798000000,30864000000,38676000000,44682000000,42095000000,40988000000,40224000000,36966000000,35884000000,38389000000,45079000000,43612000000,54050000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18910653600,36032741520,48349535010,56568851700,64778350700,39742331100,32214751500,29457504400,39167000000,55370000000,59409000000,44711000000,36045000000,37088000000,33460000000,28087000000,15950000000,8466000000,8329000000,8253000000,8736000000,15651000000
33,Cash and Short-Term Investments,2784430470,3403516067,3790120722,5081858958,6734807920,7866141000,9217866000,8801760000,11878686750,15243682740,19045209690,29275556200,18247590000,28982296070,35856194100,68806924560,66349155180,73136984250,77061604250,81454699800,62093814000,57820632400,76980000000,78168000000,90273000000,83387000000,80727000000,79183000000,74448000000,68311000000,52916000000,44350000000,46718000000,53332000000,52348000000,69701000000
34,Net Receivables,9519906804,10272409288,10185527600,12151333260,15434939440,13582968750,15773170000,18162798500,20642699400,25145681080,35366727420,46380107760,57775924960,67631035290,79895612800,101560152240,63168150360,45542597760,46643075540,57401176200,67618879500,69275968800,93709000000,77393000000,78273000000,82359000000,76974000000,83779000000,92828000000,86430000000,85555000000,81419000000,82421000000,67747000000,65515000000,69940000000
35,Inventory,9553780654,8385357064,8191986686,9575571192,9320848560,9227502750,10256449000,13832766000,12790660950,19173068200,19609206510,23730281240,26990213120,25677820350,44257764600,24894967680,13445394690,10954374840,14094118030,19191979200,21410482500,22515661200,27836000000,22718000000,29897000000,33070000000,28802000000,22759000000,28175000000,28436000000,30307000000,24960000000,29255000000,30863000000,28097000000,35164000000
36,Other Current Assets,2472791050,1861614020,2492999918,2586242670,2789582000,3462751500,4041919000,5933686500,5843912850,7647356860,10502721270,19225738400,22618901560,28828995650,41248388500,10477680,8691270,7187910,-6657590,- -,6829500,8774438000,- -,4163000000,- -,- -,6751000000,5175000000,6338000000,6348000000,6993000000,4091000000,2773000000,1972000000,3835000000,- -
37,Total Current Assets,24330908978,23922896439,24660634926,29395006080,34280177920,34139364000,39289404000,46731011000,51155959950,67209788880,84523864890,118611683600,125632629640,151120147360,201257960000,195272522160,142971391500,129641144760,137792140230,158047855200,151130005500,158386700400,198525000000,182442000000,198443000000,198816000000,193254000000,190896000000,201789000000,189525000000,175771000000,154820000000,161167000000,153914000000,149795000000,174805000000
38,PP&E,6858099671,6802985147,6696064018,7718038614,9015256160,10549857000,11081518000,12365806000,13662532050,15378218960,17745265800,19321072640,22529691120,24698401000,22537094200,16072761120,9986269230,6505058550,5885309560,6958681200,7860754500,9318388400,9995000000,9606000000,9434000000,10788000000,11493000000,11433000000,13341000000,15901000000,16734000000,12857000000,12849000000,22337000000,21363000000,21528000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6802182000,22865343600,24877000000,27375000000,27151000000,27438000000,30404000000,31544000000,38330000000,41087000000,43387000000,27815000000,30035000000,31200000000,34945000000,38204000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3122616540,754729400,6358271360,10535145530,12929874600,13055189280,12637106580,11198763780,10485704250,14449590300,20584113000,27670238800,23369000000,20818000000,19668000000,16606000000,19042000000,16163000000,16104000000,14809000000,15823000000,8742000000,7711000000,6531000000,8662000000,7358000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3122616540,754729400,6358271360,10535145530,12929874600,13055189280,12637106580,11198763780,10485704250,14449590300,27386295000,50535582400,48246000000,48193000000,46819000000,44044000000,49446000000,47707000000,54434000000,55896000000,59210000000,36557000000,37746000000,37731000000,43607000000,45562000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14060000000,14398000000,14382000000,13681000000,7657000000,9438000000,10665000000,9406000000,16110000000,34997000000,33847000000,31227000000,30469000000,40610000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24587602830,27105608610,21956731820,17285491200,13522410000,11707884800,14858000000,14327000000,12737000000,13020000000,12321000000,9103000000,12778000000,13183000000,15522000000,21228000000,23152000000,31174000000,26296000000,23109000000
44,Other Non-Current Assets,3157720297,2677949112,3358156178,3439486974,3648605040,5280501000,5690643000,8406681000,8097855600,7408107720,6692303730,9485756880,13065274440,16070994030,15398132600,25544583840,18521096370,7762942800,8135574980,11947324800,14417074500,15606196000,- -,843000000,- -,- -,825000000,613000000,551000000,452000000,- -,85000000,- -,- -,- -,- -
45,Total Non-Current Assets,10015819968,9480934259,10054220196,11157525588,12663861200,15830358000,16772161000,20772487000,21760387650,22786326680,27560186070,29561558920,41953236920,51304540560,50865101400,54672534240,65732075010,52572373740,46463320610,50641087500,63186534000,87168051600,87159000000,87367000000,83372000000,81533000000,81742000000,78294000000,91769000000,94838000000,107576000000,105724000000,107594000000,122469000000,121735000000,130809000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,34346728946,33403830698,34714855122,40552531668,46944039120,49969722000,56061565000,67503498000,72916347600,89996115560,112084050960,148173242520,167585866560,202424687920,252123061400,249945056400,208703466510,182213518500,184255460840,208688942700,214316539500,245554752000,285684000000,269809000000,281815000000,280349000000,274996000000,269190000000,293558000000,284363000000,283347000000,260544000000,268761000000,276383000000,271530000000,305614000000
48,Accounts Payable,- -,- -,- -,- -,- -,3715743000,4362897000,6222077500,7860950250,9925856980,11362472520,14880085960,18263810080,21598325840,30378560000,19540873200,12498046260,8884256760,11058256990,12574877100,18132322500,17458217600,23504000000,18864000000,24959000000,25309000000,23100000000,20502000000,24473000000,22389000000,25318000000,26321000000,29883000000,30403000000,31988000000,35684000000
49,Short-Term Debt,3114361769,1823456714,1298347976,1757658606,2342688160,3404240250,5048687000,3809095000,2865886350,3877029000,6520353480,5012992120,6617792640,12000016210,15587998600,20316221520,13506233580,9502417020,785595620,10779600900,1673227500,5905747200,5542000000,2124000000,3808000000,7765000000,4769000000,7388000000,2281000000,2376000000,8033000000,2545000000,2255000000,11726000000,10138000000,11814000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2228000000,- -,3878000000,2805000000,3225000000,3924000000,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4568935500,5970503200,- -,13170000000,17361000000,- -,16412000000,15358000000,21133000000,16267000000,19381000000,27065000000,29348000000,29041000000,26440000000,32834000000
52,Other Current Liabilities,9557845516,9992589044,11683291026,14531046420,17395216560,12805605000,14883764000,19635593000,22419118200,28160485340,37003693800,38491199400,42115437720,50086653890,60719146800,51738783840,36903132420,35321389740,34166751880,58545069000,45743991000,48476341600,75071000000,51329000000,50635000000,63955000000,53123000000,48096000000,52937000000,46058000000,42033000000,41655000000,49428000000,45649000000,45754000000,46620000000
53,Total Current Liabilities,12672207285,11816045758,12981639002,16288705026,19737904720,19925588250,24295348000,29666765500,33145954800,41963371320,54886519800,58384277480,66997040440,83684995940,106685705400,91595878560,62907412260,53708063520,46010604490,81899547000,70118476500,77810809600,104117000000,85487000000,96763000000,97029000000,97404000000,91344000000,100824000000,87090000000,94765000000,97586000000,110914000000,116819000000,114320000000,126952000000
54,Long-Term Debt,2789172809,8579034299,1532124242,2107217508,1068171600,1842825750,2399558000,4944322000,4885151700,3490651580,2269743300,10772769120,12619222240,24366250090,21701683800,75795537120,36190448280,26286186870,19972770000,14171560800,12866778000,21356528800,24939000000,29996000000,26955000000,23256000000,23898000000,22067000000,21864000000,22744000000,18653000000,30500000000,30870000000,35852000000,29322000000,29320000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,1527120000,1469460500,1071643950,818483900,797849160,- -,- -,- -,- -,- -,- -,- -,- -,389241300,382452000,2803934800,2738000000,2270000000,2571000000,2250000000,3120000000,2650000000,3177000000,2472000000,2147000000,901000000,670000000,1224000000,1089000000,884000000
57,Other Non-Current Liabilities,11561822482,5513730717,11551370036,11209312092,9463832160,9270411000,8617623000,8118290000,8752872900,8043012640,10289502960,21712373160,22756772240,23088746590,28603312900,10467202320,33365785530,39490377540,39392960030,6775976100,10408158000,8295243600,11806000000,11029000000,8741000000,12544000000,12091000000,11506000000,22384000000,24691000000,27290000000,31381000000,38537000000,40610000000,41622000000,41359000000
58,Total Non-Current Liabilities,14350995291,14092765016,13083494278,13316529600,10532003760,11113236750,12544301000,14532072500,14709668550,12352148120,13357095420,32485142280,35375994480,47454996680,50304996700,86262739440,69556233810,65776564410,59365730030,21336778200,23657388000,32455707200,39483000000,43295000000,38267000000,38050000000,39109000000,36223000000,47425000000,49907000000,48090000000,62782000000,70077000000,77686000000,72033000000,71563000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9882000000,9300000000,9303000000
61,Total Liabilities,27023202576,25908810774,26065133280,29605234626,30269908480,31038825000,36839649000,44198838000,47855623350,54315519440,68243615220,90869419760,102373034920,131139992620,156990702100,177858618000,132463646070,119484627930,105376334520,103236325200,93775864500,110266516800,143600000000,128782000000,135030000000,135079000000,136513000000,127567000000,148249000000,136997000000,142855000000,160368000000,180991000000,194505000000,186353000000,198515000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2400425490,2446912160,4882244080,4888580060,7964878700,8057335920,16009319340,16115294220,16237862010,16117767300,16083472500,16163097600,16232000000,16367000000,16367000000,16367000000,16526000000,16526000000,16526000000,16526000000,16657000000,16672000000,16672000000,16672000000,16672000000,- -
64,Retained Earnings,946435369,1008856045,1641956136,3078830964,5265160800,5491141500,5324417000,3490698000,3517190400,4329017680,13859190150,21124478680,30201788960,31630986660,51548619000,52168368720,17721499530,4046793330,1983961820,66957447300,83695522500,99458740400,100093000000,98035000000,106636000000,102007000000,95626000000,98947000000,103049000000,105268000000,98429000000,58137000000,45575000000,38864000000,47960000000,- -
65,Other Comprehensive Income/Loss,-5893372423,-6384989204,-6041367756,-7472052720,-8164083200,-9263166750,-11294325000,-13354337000,-15291906150,-15832858600,-19038331680,-22046043000,-25441195480,-28369094390,-32808844800,-27671552880,40031989620,40259483910,59592088090,-699045600,-4678207500,-6048210400,-233000000,737000000,-2627000000,-21053000000,-22722000000,-23844000000,-27526000000,-28637000000,-30466000000,-29694000000,-30707000000,2292000000,-2689000000,- -
66,Other Total Stockholders Equity,12270463424,12871153083,13049133462,15340518798,19573053040,22702922250,25191824000,33168299000,36835440000,47184437040,46619151780,55778474920,55569994080,63134222970,68427706400,39532286640,- -,7187910,- -,22226472600,24661324500,24775645600,24731000000,24731000000,24730000000,45784000000,47453000000,48575000000,52257000000,53368000000,55197000000,54425000000,55438000000,24731000000,24731000000,- -
67,Total Stockholders Equity,7323526370,7495019924,8649721842,10947297042,16674130640,18930897000,19221916000,23304660000,25060724250,35680596120,43840435740,57303822760,65212831640,71284695300,95132359300,72086438400,73762808490,60428759370,77813911920,104602641600,119762112000,134349273200,140823000000,139870000000,145106000000,143105000000,136883000000,140204000000,144306000000,146525000000,139817000000,99540000000,86978000000,82559000000,86674000000,108775000000
68,Total Liabilities And Stockholders Equity,34346728946,33403830698,34714855122,40552531668,46944039120,49969722000,56061565000,67503498000,72916347600,89996115560,112084050960,148173242520,167585866560,202424687920,252123061400,249945056400,206226454560,179913387300,183190246440,207838966800,213537976500,244615790000,284423000000,268652000000,280136000000,278184000000,273396000000,267771000000,292555000000,283522000000,282672000000,259908000000,267969000000,277064000000,273027000000,307290000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2477011950,2300131200,1065214400,849975900,778563000,938962000,1261000000,1157000000,1679000000,2165000000,1600000000,1419000000,1003000000,841000000,675000000,636000000,792000000,-681000000,-1497000000,-1676000000
70,Total Liabilities & Equity,34346728946,33403830698,34714855122,40552531668,46944039120,49969722000,56061565000,67503498000,72916347600,89996115560,112084050960,148173242520,167585866560,202424687920,252123061400,249945056400,208703466510,182213518500,184255460840,208688942700,214316539500,245554752000,285684000000,269809000000,281815000000,280349000000,274996000000,269190000000,293558000000,284363000000,283347000000,260544000000,268761000000,276383000000,271530000000,305614000000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/717826/000119312504054554/0001193125-04-054554-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312505058488/0001193125-05-058488-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312506115498/0001193125-06-115498-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312507131377/0001193125-07-131377-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312508085247/0001193125-08-085247-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312509091164/0001193125-09-091164-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312510088419/0001193125-10-088419-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312511082214/0001193125-11-082214-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312512149674/0001193125-12-149674-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312513145407/0001193125-13-145407-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312514134810/0001193125-14-134810-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312515113168/0001193125-15-113168-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312516529446/0001193125-16-529446-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312517139501/0001193125-17-139501-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312518097690/0001193125-18-097690-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312519092671/0001193125-19-092671-index.htm,https://www.sec.gov/Archives/edgar/data/717826/000119312520078974/0001193125-20-078974-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
