,https://roic.ai/company/GLDD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,318800000,- -,- -,- -,- -,425980000,515761000,586879000,622244000,686922000,627333000,687584000,731418000,806831000,856878000,767585000,702503000,620795000,711518000,733601000,726149000
2,COGS,260500000,294600000,328200000,- -,- -,368991000,447814000,517576000,534000000,564140000,534316000,619185000,631123000,714335000,760955000,681197000,652620000,509335000,557761000,562373000,580879000
3,Gross Profit,58300000,-294600000,-328200000,- -,- -,56989000,67947000,69303000,88244000,122782000,93017000,68399000,100295000,92496000,95923000,86388000,49883000,111460000,153757000,171228000,145270000
4,Gross Profit Ratio,0.1829,-Infinity,-Infinity,- -,- -,0.1338,0.1317,0.1181,0.1418,0.1787,0.1483,0.0995,0.1371,0.1146,0.1119,0.1125,0.0710,0.1795,0.2161,0.2334,0.2001
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,29800000,- -,- -,- -,- -,38705000,42766000,45220000,54352000,50434000,53459000,68039000,67911000,71069000,65533000,68331000,55108000,59110000,62757000,62134000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,29800000,- -,- -,- -,- -,38705000,42766000,45220000,54352000,50434000,53459000,68039000,67911000,71069000,65533000,68331000,55108000,59110000,62757000,62134000
9,Other Expenses,25200000,- -,27900000,- -,- -,31376000,262000,440000,773000,- -,-11711000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,25200000,29800000,27900000,- -,- -,31376000,38967000,43206000,45993000,54352000,38723000,53459000,68039000,67911000,71069000,65533000,68331000,55108000,59110000,62757000,62134000
11,COGS and Expenses,285700000,324400000,356100000,1100,520748,400367000,486781000,560782000,579993000,618492000,573039000,672644000,699162000,782246000,832024000,746730000,720951000,564443000,616871000,625130000,643013000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,16150000,13542000,21665000,20922000,21941000,19967000,24365000,22907000,26046000,33578000,27524000,26585000,21601000
14,Depreciation and Amortization,15300000,15900000,16300000,- -,- -,28389000,29207000,30124000,33023000,34301000,42353000,40034000,46622000,50129000,64585000,63023000,60520000,50389000,37145000,38183000,43016000
15,EBITDA,21800000,-308500000,-339800000,-1100,-520748,31545000,42662000,38942000,77624000,103006000,90091000,56190000,44662000,68861000,80264000,71961000,19696000,83111000,129261000,151058000,127440000
16,EBITDA ratio,0.0684,-Infinity,-Infinity,-Infinity,-Infinity,0.0741,0.0827,0.0664,0.1247,0.1500,0.1436,0.0817,0.0611,0.0853,0.0937,0.0937,0.0280,0.1339,0.1817,0.2059,0.1755
17,Operating Income,33100000,38200000,32100000,-1100,-520748,25613000,28980000,26097000,42251000,68430000,54294000,15505000,51401000,23853000,22959000,14680000,-23525000,52621000,98128000,111765000,83430000
