,https://roic.ai/company/SONY,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,341087643110,419423663017,694124203140,871511005422,1105739949870,1177063796178,1212024801372,1112993238252,1414840088655,1381944591297,1130239148822,1356695747311,1502322242250,1445848719800,1648380803670,2207764521690,1816905561220,2344975100150,2049970584620,2132532989100,1788427000000,1714445000000,1686030000000,1544890000000,1501813000000,1375887000000,1457626000000,1728520000000,1811461000000,1691930000000,1505956000000,1583197000000,1576825000000,1502625000000,1469955000000
11,COGS and Expenses,- -,1173982866160,1390222410290,2048965066157,2634094917510,3405195356685,3752554374574,3866463744836,3619928966160,4032693851788,4402456299540,5283445953106,6286770699149,6462188809450,6248664085600,7152315605550,7456505038580,7278239834680,7415555011500,7060962132420,7283309903550,7678028000000,8004467000000,7346534000000,6437453000000,7008964000000,6498384000000,6799022000000,7684731000000,7969595000000,7766582000000,7169110000000,7813619000000,7840021000000,7427674000000,8031514000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28240000000,34272000000,22317000000,13191000000,11783000000,15101000000,21987000000,16652000000,12887000000,12455000000,11459000000,19784000000,21618000000,19278000000,10457000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,567375000000,553237000000,572201000000,694055000000,23909000000,23432000000,26657000000,23460000000,23600000000,25286000000,14544000000,13566000000,12467000000,11090000000,12185000000
14,Depreciation and Amortization,- -,70504394440,85693373876,126288729590,163760160414,214866242460,265449563932,274480301788,238195881408,213416170681,229676143005,266060802144,304156147957,307490767300,297163989600,598138639110,597828235420,663127469620,673686440100,649509433020,668432213550,400009000000,428010000000,405443000000,371004000000,325366000000,319594000000,538605000000,662368000000,627565000000,696678000000,624553000000,720718000000,722519000000,746451000000,663737000000
15,EBITDA,- -,144688802840,158634462236,294585357690,392150074938,485142238935,476089865114,360537496704,331736192004,-8095662197,362448124578,568554985624,744700317353,663927586250,506884495400,731562775770,678371568160,859198961260,815262761000,829767870680,968455758600,1147600000000,1554160000000,805965000000,1038215000000,515029000000,201605000000,749801000000,652041000000,613918000000,964544000000,836444000000,1376848000000,1696355000000,1516922000000,1848693000000
16,EBITDA ratio,- -,0.1202,0.1097,0.1333,0.1340,0.1310,0.1215,0.0903,0.0892,-0.0021,0.0781,0.1006,0.1093,0.0976,0.0782,0.0991,0.0894,0.1151,0.1085,0.1156,0.1296,0.1383,0.1752,0.1043,0.1439,0.0717,0.0310,0.1103,0.0839,0.0747,0.1190,0.1100,0.1611,0.1958,0.1836,0.2054
17,Operating Income,- -,30214082870,55574162560,161127456777,293412793659,298495886475,166434139444,126449982120,99285903876,-165637075751,237772909809,369675200724,524505890699,338930566900,233251126000,227375915310,134903436850,185217955400,99145126050,114202995900,191266481250,71750000000,374482000000,-227783000000,31772000000,199821000000,-67275000000,230100000000,26495000000,68548000000,294197000000,288702000000,734860000000,894235000000,845459000000,971865000000
18,Operating Income ratio,- -,0.0251,0.0384,0.0729,0.1002,0.0806,0.0425,0.0317,0.0267,-0.0428,0.0512,0.0654,0.0770,0.0498,0.0360,0.0308,0.0178,0.0248,0.0132,0.0159,0.0256,0.0086,0.0422,-0.0295,0.0044,0.0278,-0.0104,0.0338,0.0034,0.0083,0.0363,0.0380,0.0860,0.1032,0.1024,0.1080
19,Total Other Income Expenses (Gains),- -,43970325530,17366925800,7169171323,-65022879135,-28219890000,44206161738,-40392787204,-5745593280,-55874757127,-105000928236,-67181017244,-83961721303,17506252050,-23530620200,11475989070,-60341044660,10853536240,45246040700,43322075440,94985877150,30287000000,91835000000,52828000000,-4860000000,5192000000,-15911000000,15581000000,-754000000,-28819000000,10307000000,-37083000000,-35811000000,117413000000,-46009000000,220505000000
20,Income Before Tax,- -,74184408400,72941088360,168296628100,228389914524,270275996475,210640301182,86057194916,93540310596,-221511832878,132771981573,302494183480,440544169396,356436818950,209720505800,238851904380,74562392190,196071491640,144391166750,157525071340,286252358400,102037000000,466317000000,-174955000000,26912000000,205013000000,-83186000000,245681000000,25741000000,39729000000,304504000000,251619000000,699049000000,1011648000000,799450000000,1192370000000
21,Income Before Tax Ratio,- -,0.0616,0.0505,0.0761,0.0780,0.0730,0.0537,0.0216,0.0252,-0.0573,0.0286,0.0535,0.0647,0.0524,0.0324,0.0324,0.0098,0.0263,0.0192,0.0220,0.0383,0.0123,0.0526,-0.0226,0.0037,0.0285,-0.0128,0.0361,0.0033,0.0048,0.0376,0.0331,0.0818,0.1167,0.0968,0.1325
22,Income Tax expense (Gain),- -,36712520220,39658615559,95544778630,126208858026,152937693855,90405387576,49799012032,78304228416,63270580863,77958155511,163280809666,216642386309,177206143200,91656389600,116525427480,65258706890,80693682480,52856549850,16084929000,176435972550,53888000000,203478000000,-72741000000,13958000000,425339000000,315239000000,141505000000,94582000000,88733000000,94789000000,124058000000,151770000000,45098000000,177190000000,995000000
23,Net Income,- -,37471888180,33282472801,72751849470,102181056498,117338302620,120234913606,36258182884,15236082180,-284782413741,54813826062,139213373815,223901783087,179230675750,118064116200,16898709180,15284625850,115377809160,88719771050,164173508660,123587572500,126328000000,369435000000,-98938000000,-40802000000,-259585000000,-456660000000,43034000000,-128369000000,-125980000000,147791000000,73289000000,490794000000,916271000000,582191000000,1171776000000
24,Net Income ratio,- -,0.0311,0.0230,0.0329,0.0349,0.0317,0.0307,0.0091,0.0041,-0.0736,0.0118,0.0246,0.0329,0.0264,0.0182,0.0023,0.0020,0.0155,0.0118,0.0229,0.0165,0.0152,0.0416,-0.0128,-0.0057,-0.0361,-0.0703,0.0063,-0.0165,-0.0153,0.0182,0.0096,0.0574,0.1057,0.0705,0.1302
25,EPS,- -,74.48,66.99,109.99,138.38,131.22,147.49,45.94,21.55,-338.69,67.19,154.56,278.30,219.67,72.43,18.45,16.77,125.10,96.17,176.35,122.28,126.15,368.33,-98.59,-40.66,-258.66,455.03,42.57,-124.99,-113.04,119.40,58.07,388.32,723.41,471.64,952.29
26,EPS Diluted,- -,70.10,65.75,109.99,138.38,131.22,147.49,45.94,21.55,-338.69,67.19,154.56,241.23,196.59,65.97,18.45,16.72,117.61,91.07,158.47,116.60,120.29,351.10,-98.59,-40.66,-258.66,455.03,42.57,-124.99,-113.04,117.49,56.89,379.75,707.74,461.23,936.90
27,Weighted Average Shares Outstanding,- -,503137255,496851852,661445783,738409091,742772277,815225225,789250000,707142857,840841837,815824899,900688764,804522126,815918046,823440000,916139089,911577028,922310000,922515225,930959417,1010682432,1001403000,1003001000,1003499000,1003520000,1003559000,1003578000,1010901336,1027024000,1114424000,1237802000,1262023000,1263895000,1266592000,1234408000,1230480000
28,Weighted Average Shares Outstanding Diluted,- -,534583333,506226415,661445783,738409091,742772277,815225225,789250000,707142857,840841837,815824899,900688764,928179371,911699620,927670000,916139089,914309339,981060910,974183563,1035970016,1059971149,1050171000,1052212000,1003499000,1003520000,1003559000,1003578000,1010901336,1027024000,1114424000,1257883000,1288343000,1292420000,1294646000,1262255000,1250692000
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/313838/0000950123-96-005178-index.html,https://www.sec.gov/Archives/edgar/data/313838/0000950123-97-007750-index.html,https://www.sec.gov/Archives/edgar/data/313838/0000950123-98-008354-index.html,https://www.sec.gov/Archives/edgar/data/313838/0000950123-99-005751-index.html,https://www.sec.gov/Archives/edgar/data/313838/000095012300007096/0000950123-00-007096-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000095014401503960/0000950144-01-503960-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000095010902002462/0000950109-02-002462-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000095016803001430/0000950168-03-001430-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000089109204001950/0000891092-04-001950-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119163805000708/0001191638-05-000708-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119163806000924/0001191638-06-000924-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119163807001408/0001191638-07-001408-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000114554908001104/0001145549-08-001104-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752309003868/0001157523-09-003868-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752310003107/0001157523-10-003107-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752311003391/0001157523-11-003391-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000115752312002738/0001157523-12-002738-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312513273660/0001193125-13-273660-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312514249964/0001193125-14-249964-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312515231346/0001193125-15-231346-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312516624169/0001193125-16-624169-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312517203939/0001193125-17-203939-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312518196263/0001193125-18-196263-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312519175182/0001193125-19-175182-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312520179707/0001193125-20-179707-index.htm,https://www.sec.gov/Archives/edgar/data/313838/000119312521195631/0001193125-21-195631-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,246736174080,314924389489,424319530060,448948778550,444519707280,418742767410,489238541176,482352815844,461660104773,464107530006,427760312600,426781460416,592830766700,606863942800,612641262660,685017057660,712086355920,851230235750,779475659340,703036733850,799899000000,1086431000000,660789000000,1191608000000,1014412000000,894576000000,826361000000,1046466000000,949413000000,983612000000,960142000000,1586329000000,1470073000000,1512357000000,1786982000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119881666060,170606404924,118018338650,104192353200,90925144170,162415763380,241137261680,275437879100,461959160880,536958576900,493315000000,427709000000,466912000000,579493000000,646171000000,680913000000,697597000000,832566000000,936731000000,946397000000,1051441000000,1176601000000,1324538000000,1847772000000,2853539000000
33,Cash and Short-Term Investments,- -,246736174080,314924389489,424319530060,448948778550,444519707280,418742767410,489238541176,482352815844,461660104773,464107530006,547641978660,597387865340,710849105350,711056296000,703566406830,847432821040,953223617600,1126668114850,1241434820220,1239995310750,1293214000000,1514140000000,1127701000000,1771101000000,1660583000000,1575489000000,1523958000000,1879032000000,1886144000000,1930009000000,2011583000000,2762930000000,2794611000000,3360129000000,4640521000000
34,Net Receivables,- -,263296236900,351146834729,434390824340,646470516111,702844580340,683501402454,578086594008,545164462380,608608901621,863676545778,970862384326,1125102956415,1014528987850,1023119586600,1306749436740,1244966002930,1116380580860,1126563861300,1113613251100,985404911400,1369777000000,1090285000000,853454000000,891625000000,743690000000,971959000000,924634000000,1048725000000,1131849000000,1059650000000,1177443000000,1203485000000,1289422000000,1191026000000,1353393000000
35,Inventory,- -,280279793390,332105241084,485542397920,688786493802,734267427855,877811865110,704685881284,669382137096,702249015699,865529377335,868262121512,1002134803988,878647126700,832922302800,951245995110,674650094040,624904146340,668161001950,631601545400,804613948200,940875000000,1021595000000,813068000000,645455000000,704043000000,707052000000,710054000000,733943000000,665432000000,683146000000,640835000000,692937000000,653278000000,589969000000,637391000000
36,Other Current Assets,- -,81135545880,70472503907,95160479243,404069625696,360678414090,380568946348,337877568028,318962506944,311462675069,356868209889,403754024444,569834099198,468262469800,471537188200,546811962720,576031029860,455376629200,450166828900,571229445220,739053683550,942857000000,1383643000000,826412000000,824691000000,735730000000,500462000000,487887000000,543186000000,514476000000,523922000000,525861000000,516744000000,509301000000,594021000000,587439000000
37,Total Current Assets,- -,871447750250,1068648969209,1439413231563,2188275414159,2242310129565,2360624981322,2109888584496,2015861922264,2083980697162,2550181663008,2790520508943,3294459724941,3072287689700,3038635373600,3508373801400,3343079947870,3149884974000,3371559807000,3557879061940,3769067853900,4546723000000,5009663000000,3620635000000,4132872000000,3844046000000,3754962000000,3646533000000,4204886000000,4197901000000,4196727000000,4355722000000,5176096000000,5246612000000,5735145000000,7218744000000
38,PP&E,- -,297555414480,423058312488,546911034513,862893704874,1050443075415,1218081055356,1138348449392,1045349137368,999231082612,1132390671588,1236720557366,1358251436905,1250922935600,1217118761000,1446983500980,1414160165600,1276588213620,1368327843750,1373009539440,1388418100200,1421531000000,1243349000000,1175863000000,1007951000000,924868000000,930998000000,861550000000,750010000000,739285000000,820818000000,758199000000,739470000000,777053000000,1301254000000,1362528000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,298964223000,304669000000,304423000000,443958000000,438869000000,469005000000,576758000000,643243000000,691803000000,561255000000,606290000000,522538000000,530492000000,768552000000,783888000000,827149000000
40,Intangible Assets,- -,- -,121928224063,142336541923,793342025451,745019205945,706448213792,607545649788,523433807796,197976524634,256097735208,273435659824,287664028231,263427411800,496609115400,531048241470,563803329180,547985606900,527210202350,471181186840,207038609550,233255000000,263490000000,396348000000,378917000000,391122000000,503699000000,527507000000,675663000000,642361000000,615754000000,584185000000,527168000000,917966000000,906310000000,996305000000
41,Intangible Assets,- -,- -,121928224063,142336541923,793342025451,745019205945,706448213792,607545649788,523433807796,197976524634,256097735208,273435659824,287664028231,263427411800,496609115400,531048241470,563803329180,547985606900,527210202350,471181186840,506002832550,537924000000,567913000000,840306000000,817786000000,860127000000,1080457000000,1170750000000,1367466000000,1203616000000,1222044000000,1106723000000,1057660000000,1686518000000,1690198000000,1823454000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3888736000000,4335648000000,4798430000000,5299393000000,5892655000000,6319476000000,7317125000000,7919011000000,8531353000000,9234083000000,10111793000000,10756058000000,11724651000000,12734132000000,14263995000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,327611631940,203711436700,240523304980,178672319100,216997000000,198666000000,359050000000,403537000000,239587000000,100460000000,107688000000,105442000000,89637000000,97639000000,98958000000,96772000000,202486000000,210372000000,207470000000
44,Other Non-Current Assets,- -,128289375550,239030923743,245381784451,499253056749,580821775980,630472610300,674043869268,668653677948,819329398230,1159422734304,1369622102666,1515543912498,1718470864500,1846383032200,2411092692630,2878958961190,3057158023080,3641993515700,3861133590020,4764359771100,1104451000000,1197500000000,1219227000000,1204575000000,1163705000000,1109314000000,1102646000000,986905000000,1072539000000,1102079000000,1229161000000,1239482000000,1344266000000,1368242000000,1478649000000
45,Total Non-Current Assets,- -,425844790030,784017460294,934629360887,2155488787074,2376284057340,2555001879448,2419937968448,2237436623112,2016537005476,2547911141100,2879778319856,3161459377634,3232821211900,3560110908600,4389124435080,4856922455970,5209343475540,5741242998500,5945847621280,6837453022950,7169639000000,7543076000000,8392876000000,8733242000000,9080942000000,9540705000000,10559759000000,11128834000000,11636430000000,12476663000000,13304834000000,13889442000000,15734974000000,17304198000000,19136096000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,1297292540280,1852666429503,2374042592450,4343764201233,4618594186905,4915626860770,4529826552944,4253298545376,4100517702638,5098092804108,5670298828800,6455919102575,6305108901600,6598746282200,7897498236480,8200002403840,8359228449540,9112802805500,9503726683220,10606520876850,11716362000000,12552739000000,12013511000000,12866114000000,12924988000000,13295667000000,14206292000000,15333720000000,15834331000000,16673390000000,17660556000000,19065538000000,20981586000000,23039343000000,26354840000000
48,Accounts Payable,- -,- -,- -,- -,577437761721,668063565915,1092199126800,541575740860,550448356200,606673545877,422959675428,536775265740,682133886308,671311175550,660604180200,814669114200,871090763660,862974104300,814115971950,746876869900,854755191900,2148451000000,- -,1597625000000,1820315000000,1013037000000,1831921000000,572102000000,712829000000,622215000000,550964000000,539900000000,468550000000,492124000000,380810000000,599569000000
49,Short-Term Debt,- -,410891082510,309143684187,238358381861,855927529431,824049007890,862863884360,670724700800,364824653304,462118023766,1001589331671,980205851214,975552994481,852209113400,994554030200,1292751252270,1123752274450,854951925340,1256880798800,1036727290480,1149482126700,95461000000,355103000000,451155000000,284607000000,163351000000,410361000000,244182000000,377754000000,221525000000,336940000000,518079000000,721615000000,791079000000,908925000000,1392929000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70286000000,- -,46683000000,69175000000,79076000000,63396000000,75080000000,81842000000,98414000000,88865000000,106037000000,145905000000,135226000000,145996000000,165406000000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,752367000000,1144399000000,1326360000000,1509488000000,1647752000000,- -,1857448000000,1890023000000,1872965000000,1912673000000,2071091000000,2159246000000,2302314000000,2440783000000,2773885000000
52,Other Current Liabilities,- -,151172636960,627938417140,885041488261,550500835008,619835773905,98736395514,530584584376,486897990528,493161475499,300769182747,431434868242,476114614699,420864590100,439066987400,562827903510,568056442460,713855954220,918473775500,1027076333080,1195621487100,555573000000,2523865000000,435760000000,445515000000,1302839000000,2287699000000,1641357000000,1803008000000,2028885000000,2030173000000,2092669000000,2271130000000,2494298000000,2509925000000,3049041000000
53,Total Current Liabilities,- -,562063719470,937082101327,1123399870122,1983866126160,2111948347710,2053799406674,1742885026036,1402171000032,1561953045142,1725318189846,1948415985196,2133801495488,1944384879050,2094225197800,2670248269980,2562899480570,2431781983860,2989470546250,2810680493460,3199858805700,3551852000000,4023367000000,3810900000000,4059925000000,4126979000000,4529981000000,4315089000000,4783614000000,4745590000000,4830750000000,5221739000000,5620541000000,6079815000000,6240443000000,7815424000000
54,Long-Term Debt,- -,128727472450,194459949172,221661236081,642083240832,696946623330,886116298860,880395079872,979890413928,879999344812,1216078681914,1097820596435,1113540225961,1038466108000,788943676400,851114837730,840122782590,806346958700,779503793350,679320168100,764830520100,1001005000000,729059000000,660147000000,924207000000,812235000000,762226000000,938428000000,916648000000,712087000000,556605000000,681462000000,623451000000,568372000000,949802000000,1063553000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,21963257920,24487365378,37078264994,46215777939,58669151310,70169143414,51671068988,65161183788,121780532195,162063856188,173643487332,148330857076,120995592400,178380596800,176679787770,159890477370,158909927340,96434533750,72274947640,216454805550,261102000000,268600000000,188359000000,236521000000,306227000000,284499000000,373999000000,410896000000,445876000000,450926000000,432824000000,449863000000,531421000000,549538000000,366761000000
57,Other Non-Current Liabilities,- -,42057302400,51232431110,76515333122,233374739841,248292702165,288104059202,340875156160,385929448620,462178503633,704761432236,878907143091,1102873990084,1239609371350,1387690069000,1844229276480,2239131232130,2662419628960,2840700730400,3045949388300,3184792892100,3492729000000,3789775000000,4137503000000,4359906000000,4723645000000,5208840000000,5897598000000,6439421000000,7002309000000,7710699000000,8189109000000,8724526000000,9365288000000,10510025000000,11487626000000
58,Total Non-Current Liabilities,- -,192748032770,270179745660,335254834197,921673758612,1003908476805,1244389501476,1272941305020,1430981046336,1463958380640,2082903970338,2150371226858,2364745073120,2399071071750,2355014342200,2872023901980,3239144492090,3627676515000,3716639057500,3797544504040,4166078217750,4754836000000,4787434000000,4986009000000,5520634000000,5842107000000,6255565000000,7210025000000,7766965000000,8160272000000,8718230000000,9303395000000,9797840000000,10465081000000,12009365000000,12917940000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,383778000000,363621000000
61,Total Liabilities,- -,754811752240,1207261846987,1458654704319,2905539884772,3115856824515,3298188908150,3015826331056,2833152046368,3025911425782,3808222160184,4098787212054,4498546568609,4343455950800,4449239540000,5542272171960,5802043972660,6059458498860,6706109603750,6608224997500,7365937023450,8306688000000,8810801000000,8796909000000,9580559000000,9969086000000,10785546000000,11525114000000,12550579000000,12905862000000,13548980000000,14525134000000,15418381000000,16544896000000,18249808000000,20733364000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,331449969106,409550291642,416815525000,437731188000,476190491520,476880326520,475668023040,477481259000,618090205040,624058389900,- -,- -,- -,- -,- -,- -,630923000000,646654000000,707038000000,858867000000,860645000000,865678000000,874291000000,880214000000,880214000000
64,Retained Earnings,- -,466105895140,548633590969,602528432004,691318218963,769076662170,862013510344,887791427600,880348010352,552751424456,623750924160,730176761764,933846565513,1124687376600,1186292621000,1227930830490,1211339826060,1299946911180,1370412914750,1506836148720,1602518856750,1719506000000,2059361000000,1916951000000,1851004000000,1566274000000,1084462000000,1102297000000,940262000000,813765000000,936331000000,984368000000,1440387000000,2320586000000,2768856000000,3857152000000
65,Other Comprehensive Income/Loss,- -,-311370070060,-448885412142,-562905840034,-657069166785,-786163805565,-964138114828,-1111691736540,-1225114387116,-1270457366164,-1470012995304,-1633802179942,-1759286094788,-1754197909500,-1698725821600,-1879287792540,-1961615590610,-471303013900,-447143475950,-381963447320,-156426556050,-115493000000,-371527000000,-733443000000,-669058000000,-804204000000,-842093000000,-641513000000,-451585000000,-385283000000,-653318000000,-618769000000,-616746000000,-610670000000,-580980000000,-524020000000
66,Other Total Stockholders Equity,- -,387744962960,545656403689,875765296161,1387196688216,1498673698230,1640331615582,1652118976200,1669166667756,1696071470205,2027565353835,2029023130135,2246437068794,2038108827100,2190711016000,2511223850010,2647961746170,973515011440,983006722950,1128733084360,1133356891050,- -,- -,- -,- -,- -,- -,1106059000000,1122806000000,1181557000000,1321460000000,1271002000000,1278047000000,1162170000000,1057216000000,1362493000000
67,Total Stockholders Equity,- -,542480788040,645404582516,915387888131,1421445740394,1481586554835,1538207011098,1428218667260,1324400290992,978365528497,1181303282691,1456847681062,1830547831160,1825413819200,2116009003400,2336057379480,2374566308140,2277826931760,2383757420750,2871695990800,3203507581650,3370704000000,3465089000000,2964653000000,2965905000000,2547987000000,2028891000000,2197766000000,2258137000000,2317077000000,2463340000000,2497246000000,2967366000000,3746377000000,4125306000000,5575839000000
68,Total Liabilities And Stockholders Equity,- -,1297292540280,1852666429503,2374042592450,4326985625166,4597443379350,4836395919248,4444044998316,4157552337360,4004276954279,4989525442875,5555634893116,6329094399769,6168869770000,6565248543400,7878329551440,8176610280800,8337285430620,9089867024500,9479920988300,10569444605100,11677392000000,12275890000000,11761562000000,12546464000000,12517073000000,12814437000000,13722880000000,14808716000000,15222939000000,16012320000000,17022380000000,18385747000000,20291273000000,22375114000000,26309203000000
69,Minority Interest,- -,- -,- -,- -,16778576067,21150807555,79230941522,85781554628,95746208016,96240748359,108567361233,114663935684,126824702806,136239131600,33497738800,19168685040,23392123040,21943018920,22935781000,23805694920,37076271750,38970000000,276849000000,251949000000,319650000000,407915000000,481230000000,483412000000,525004000000,611392000000,661070000000,638176000000,679791000000,690313000000,664229000000,45637000000
