,https://roic.ai/company/BTN,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,200000,6000000,7700000,600000,900000,2220983,2168136,6276011,8761568,14031984,19628348,22622654,17220355,11424984,23589025,22250154,39889000,40168000,28791000,22491000,22070000,7596000,4870000,6698000,4951000,4435000,8731000
34,Net Receivables,5700000,9100000,11700000,17300000,15500000,8447856,8165793,5714952,6698725,6159764,7821085,7468533,9206878,8149376,12622754,23441753,33958000,28296000,22254000,21521000,11444000,17449000,11261000,14122000,13088000,5558000,4631000
35,Inventory,9300000,11900000,17400000,21400000,26200000,22720499,14998505,12031724,12459852,12173966,9942065,8848396,9883555,10003714,13473575,28603032,14920000,10971000,15185000,14108000,9693000,6563000,4821000,3490000,2879000,2264000,3271000
36,Other Current Assets,600000,600000,1300000,900000,1500000,3459619,3626996,1697159,963613,1614267,1678020,3121856,5977674,3193052,3054037,5117283,7653000,4672000,5873000,6497000,2739000,1934000,1290000,2013000,2105000,5552000,5142000
37,Total Current Assets,15800000,27600000,38100000,40200000,44100000,36848957,28959430,25719846,28883758,33979981,39069518,42061439,42288462,32771126,52739391,79412222,96420000,84107000,72103000,64617000,45946000,33542000,22242000,26323000,23023000,17809000,21775000
38,PP&E,2900000,3900000,7400000,12700000,13300000,12324366,9828349,6705358,5794935,5676595,5379933,4854508,3633124,3453363,3612935,9750047,9419000,11105000,14721000,13914000,11768000,11695000,10826000,15175000,18704000,9832000,10201000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2467219,1794426,2420993,- -,- -,- -,- -,- -,1123000,1029000,863000,889000,952000,875000,919000,938000,942000
40,Intangible Assets,1100000,1000000,- -,- -,- -,- -,- -,2572035,2531292,2490707,- -,486003,2047185,1374438,1103128,700888,262000,105000,895000,1168000,235000,1849000,3972000,1795000,1534000,353000,69000
41,Intangible Assets,1100000,1000000,- -,- -,- -,- -,- -,2572035,2531292,2490707,2467219,2280429,4468178,1374438,1103128,700888,262000,105000,2018000,2197000,1098000,2738000,4924000,2670000,2453000,1291000,1011000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,12021988,2216638,2070576,1849000,- -,- -,- -,6102000,13098000,18053000,11167000,13311000,20167000,41133000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,684067,- -,1474766,520951,75698,1596000,1936000,1393000,4910000,- -,84000,- -,- -,- -,- -,5594000
44,Other Non-Current Assets,- -,- -,1300000,3700000,3400000,2952617,2909877,12258,24782,23757,19257,27057,-249416,17257,17257,22000,3910000,2293000,5209000,4432000,1950000,1743000,2969000,4302000,142000,6400000,-3905000
45,Total Non-Current Assets,4000000,4900000,8700000,16400000,16700000,15276983,12738226,9289651,8351009,8191059,7866409,7846061,11851886,18341812,7470909,12619209,17036000,15439000,23341000,25453000,20918000,29358000,36772000,33314000,34610000,37690000,54034000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,19800000,32500000,46800000,56600000,60800000,52125940,41697656,35009497,37234767,42171040,46935927,49907500,54140348,51112938,60210300,92031431,113456000,99546000,95444000,90070000,66864000,62900000,59014000,59637000,57633000,55499000,75809000
48,Accounts Payable,3700000,5800000,8400000,5900000,6100000,2289111,3329830,2681814,3766773,2949423,2212056,3257948,6134703,6470903,9768896,30751310,31924000,16646000,12844000,9039000,7369000,5175000,3425000,4724000,3273000,2717000,4245000
49,Short-Term Debt,1000000,400000,100000,- -,- -,8870000,375000,17841,24253,25935,27761,14608,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,565000,4406000,6635000,4933000,3598000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,433533,1246247,1520769,4135000,- -,888000,1009000,1291000,108000,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5037000,5251000,3474000,5473000,5007000,4211000,1619000,2310000,2981000,2404000,3292000
52,Other Current Liabilities,2500000,1700000,2200000,3300000,3600000,4052836,4105057,3825455,4286346,4104930,4202369,3814790,3763898,4489927,7165336,8260160,8955000,5313000,7124000,5375000,5391000,4262000,3071000,2782000,4416000,6083000,2994000
53,Total Current Liabilities,7200000,7900000,10700000,9200000,9700000,15211947,7809887,6525110,8077372,7080288,6442186,7087346,9898601,10960830,16934232,39011470,45916000,27210000,23442000,19887000,17767000,13648000,8680000,14222000,17305000,16137000,14129000
54,Long-Term Debt,7200000,200000,200000,12300000,10400000,- -,1375000,93458,68306,42370,14609,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1870000,10053000,3019000,4908000,3691000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3569000,3302000,3008000,2230000,1288000,1226000,1207000,1167000,38000,15000,5594000
56,Deferred Tax Liabilities,400000,400000,200000,500000,700000,905007,541091,- -,- -,256008,156912,- -,98532,22206,- -,266439,397000,580000,790000,715000,1716000,1604000,2816000,2516000,2649000,3099000,5594000
57,Other Non-Current Liabilities,-100000,- -,100000,- -,100000,- -,- -,- -,- -,268936,324715,431207,1101517,1006056,758402,376703,351000,1538000,1748000,1776000,1581000,570000,319000,681000,8913000,4274000,-5476000
58,Total Non-Current Liabilities,7500000,600000,500000,12800000,11200000,905007,1916091,93458,68306,567314,496236,431207,1200049,1028262,758402,643142,4317000,5420000,5546000,4721000,4585000,3400000,6212000,14417000,14619000,12296000,9403000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
