,https://roic.ai/company/MCY,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,13000000,14200000,20600000,29800000,33900000,51600000,65500000,83300000,96200000,66300000,90301000,105764000,156306000,177526000,133709000,109366000,105339000,66105000,184321000,286208000,253259000,214817000,237832000,-242119000,403072000,152198000,191164000,116911000,112143000,177949000,74479000,73044000,144877000,-5728000,320087000,374607000,247937000
24,Net Income ratio,0.0892,0.0542,0.0556,0.0656,0.0647,0.0975,0.1237,0.1617,0.1802,0.1149,0.1321,0.1282,0.1386,0.1453,0.1044,0.0801,0.0699,0.0370,0.0814,0.1073,0.0846,0.0678,0.0748,-0.1003,0.1291,0.0548,0.0688,0.0420,0.0398,0.0591,0.0247,0.0226,0.0424,-0.0017,0.0806,0.0990,0.0621
25,EPS,0.28,0.31,0.40,0.56,0.63,0.96,1.21,1.53,1.76,1.22,1.66,1.93,2.84,3.23,2.45,2.02,1.94,1.22,3.39,5.25,4.64,3.93,4.35,-4.42,7.36,2.78,3.49,2.13,2.04,3.23,1.35,1.32,2.62,-0.10,5.78,6.77,4.48
26,EPS Diluted,0.28,0.31,0.40,0.56,0.63,0.96,1.21,1.53,1.75,1.21,1.66,1.93,2.82,3.21,2.44,2.02,1.94,1.21,3.38,5.24,4.63,3.92,4.34,-4.42,7.32,2.78,3.49,2.13,2.04,3.23,1.35,1.32,2.62,-0.10,5.78,6.77,4.48
27,Weighted Average Shares Outstanding,46428571,45806452,51500000,53214286,53809524,53750000,54132231,54444444,54659091,54344262,54562538,54800000,55037324,54961610,54575102,54141584,54298454,54184426,54371976,54515810,54581681,54660814,54674023,54744000,54770000,54792000,54825000,54899000,54947000,55008000,55157000,55249000,55316000,55335000,55351000,55358000,55368000
28,Weighted Average Shares Outstanding Diluted,46428571,45806452,51500000,53214286,53809524,53750000,54132231,54444444,54971429,54793388,54628099,54964539,55427660,55304050,54798770,54141584,54298454,54632231,54532840,54619847,54699568,54800255,54800000,54917000,55092000,54826000,54845000,54922000,54964000,55020000,55209000,55302000,55327000,55335000,55360000,55358000,55374000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/64996/000089843096001096/0000898430-96-001096-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/64996/000094420999000354/0000944209-99-000354-index.html,- -,https://www.sec.gov/Archives/edgar/data/64996/000089843001001052/0000898430-01-001052-index.html,https://www.sec.gov/Archives/edgar/data/64996/000089843002001049/0000898430-02-001049-index.html,https://www.sec.gov/Archives/edgar/data/64996/000089843003001831/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312504028702/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312505049377/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312506049713/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312507039974/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312508039993/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499609000002/0000064996-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/64996/000119312510034302/0001193125-10-034302-index.html,https://www.sec.gov/Archives/edgar/data/64996/000119312511035565/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312512057301/0001193125-12-057301-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499613000004/0000064996-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499614000003/mcy-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499615000008/mcy-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499616000036/0000064996-16-000036-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499617000004/0000064996-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499618000010/0000064996-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499619000004/0000064996-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499620000012/0000064996-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499621000004/0000064996-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499622000004/0000064996-22-000004-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2872000,3605000,3011000,1887000,8052000,5935000,3851000,13191000,36964000,23714000,34793000,47606000,48245000,35396000,185505000,181388000,211393000,158183000,266508000,289907000,264221000,220318000,291413000,314291000,294398000,348479000,335557000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28496000,66067000,59740000,45992000,43568000,32977000,71951000,286806000,329812000,421369000,321049000,282302000,272678000,204756000,156165000,143371000,236444000,294653000,315776000,372542000,185277000,375680000,302711000,253299000,494135000,375609000,140127000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31368000,69672000,62751000,47879000,51620000,38912000,75802000,299997000,366776000,445083000,355842000,329908000,320923000,240152000,341670000,324759000,447837000,452836000,582284000,662449000,449498000,595998000,594124000,567590000,788533000,724088000,475684000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92608000,144208000,166149000,168929000,172079000,199392000,218376000,259445000,299094000,367662000,390234000,372777000,367686000,346830000,317745000,316775000,300119000,370201000,389104000,411714000,467587000,483787000,598324000,821143000,697751000,648288000,688448000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2024235000,2374610000,2708353000,3158696000,3446117000,3553530000,3171436000,3463545000,- -,-11320000,157621000,-56922000,-21705000,-30966000,-24635000,-124264000,-266105000,137736000,-46995000,189401000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2583677000,3040480000,3521098000,3904772000,4148802000,4242139000,3758418000,4122960000,- -,736636000,980658000,914466000,1052458000,886119000,1055150000,1068184000,1122628000,1624020000,1325381000,1353533000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27464000,30060000,30493000,31901000,34221000,35208000,44448000,61619000,79286000,88645000,136779000,152260000,172357000,191777000,201862000,196505000,177760000,161940000,156716000,158976000,157131000,155910000,145223000,153023000,213895000,219477000,223299000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,42850000,42850000,42850000,42796000,42796000,42796000,42796000,42796000,42796000,42796000,42796000,42796000,42796000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66823000,60124000,53749000,47589000,41603000,35623000,31702000,25625000,20728000,15534000,10636000,11322000,10255000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,109673000,102974000,96599000,90385000,84399000,78419000,74498000,68421000,63524000,58330000,53432000,54118000,53051000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2150658000,2539514000,2921042000,3242712000,3499738000,3573561000,2933820000,3146857000,3155257000,3062421000,3180095000,3158312000,3403822000,3380642000,3547560000,3732728000,3768091000,4312161000,4729270000,5142589000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2150658000,-2539514000,-2921042000,-3242712000,-3499738000,-3573561000,-2933820000,-3348719000,748628000,-3410000,-223392000,1288000,-93386000,130255000,-38323000,91664000,331657000,-314351000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61619000,79286000,88645000,136779000,152260000,172357000,191777000,109673000,4203364000,3333370000,3209028000,3400715000,3547831000,3742526000,3733568000,4033139000,4311101000,4265137000,5002865000,5418939000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1081656000,1419927000,1725532000,1877025000,1906367000,2142263000,2316540000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11331111000,12191411000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1081656000,1419927000,1725532000,1877025000,1906367000,2142263000,2316540000,2645296000,3119766000,3609743000,4041551000,4301062000,4414496000,3950195000,4232633000,4203364000,4070006000,4189686000,4315181000,4600289000,4628645000,4788718000,5101323000,5433729000,5889157000,6328246000,6772472000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25412000,36463000,50742000,53196000,- -,39715000,- -,- -,- -,- -,- -,118953000,122605000,93864000,- -,- -,94743000,96220000,127663000,130887000,122571000,112334000,108252000,115071000,143318000,194421000,169125000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20000000,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10426000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,466088000,667237000,800158000,828504000,904800000,961785000,1117300000,1417600000,1739600000,2025500000,2290200000,2316347000,2291295000,2203636000,2190300000,2141300000,1977757000,2110980000,2175037000,2303913000,2395189000,2583982000,2860349000,3329240000,3574204000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,491500000,703700000,850900000,881700000,904800000,1001500000,1117300000,1417600000,1739600000,2025500000,2290200000,2435300000,2413900000,2297500000,2190300000,2141300000,2072500000,2207200000,2302700000,2434800000,2517760000,2716316000,2968601000,3444311000,3717522000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,75000000,75000000,78000000,92000000,107889000,129513000,128859000,124714000,124743000,143540000,141554000,138562000,158625000,271397000,267210000,140000000,140000000,190000000,290000000,290000000,300000000,371335000,371734000,372133000,416357000,407508000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10158000,6349000,19722000,22639000,- -,8336000,- -,- -,17808000,- -,37456000,33608000,30852000,- -,- -,- -,- -,445000,- -,5333000,- -,- -,22932000,- -,27964000,41132000,53569000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-10158000,-6349000,-19722000,-22639000,- -,-8325000,-13000,41000,-17822000,-43000,-37496000,-33562000,-30814000,-25000,3000,-10000,- -,-445000,- -,-5333000,- -,20000000,-22932000,- -,-27964000,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,75000000,75000000,78000000,92000000,107900000,129500000,128900000,124700000,124700000,143500000,141600000,138600000,158600000,271400000,267200000,140000000,140000000,190000000,290000000,290000000,320000000,371335000,371734000,372133000,457489000,461077000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,150005000,150040000,- -,- -,- -,259029000,257810000,- -,- -,287014000,283232000,- -,317244000,- -,534449000,280023000,- -,- -,580043000,- -,- -,- -,- -,- -,4753138000,5093268000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47996000,43825000,34577000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,516468000,778705000,925940000,959650000,996776000,1109358000,1246829000,1546510000,1864263000,2150195000,2433714000,2576932000,2552498000,2456144000,2461687000,2408549000,2212523000,2347189000,2492695000,2724843000,2807760000,3036316000,3339936000,3816045000,4089655000,4295649000,4632191000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40895000,42644000,47412000,48830000,50963000,52162000,53955000,55933000,57453000,60206000,63103000,66436000,69369000,- -,- -,- -,- -,79380000,81591000,88705000,90985000,95529000,97523000,98026000,98828000,98970000,98943000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,502150000,581622000,706049000,821349000,901099000,951872000,999781000,1000713000,1113217000,1318793000,1478185000,1588042000,1712072000,1423499000,1698954000,1721289000,1780311000,1763117000,1740484000,1782937000,1721030000,1656873000,1663864000,1519658000,1700674000,1933627000,2041338000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,67000000,70000000,81000000,-1000000,-1000000,-1000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22143000,16956000,46131000,47196000,- -,28871000,15975000,42140000,84833000,80549000,-451000,-348000,-443000,71552000,72992000,74526000,77172000,- -,411000,3804000,8870000,- -,- -,- -,- -,- -,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,565188000,641222000,799592000,917375000,909591000,1032905000,1069711000,1098786000,1255503000,1459548000,1607837000,1724130000,1861998000,1494051000,1770946000,1794815000,1857483000,1842497000,1822486000,1875446000,1820885000,1752402000,1761387000,1617684000,1799502000,2032597000,2140281000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1081656000,1419927000,1725532000,1877025000,1906367000,2142263000,2316540000,2645296000,3119766000,3609743000,4041551000,4301062000,4414496000,3950195000,4232633000,4203364000,4070006000,4189686000,4315181000,4600289000,4628645000,4788718000,5101323000,5433729000,5889157000,6328246000,6772472000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1081656000,1419927000,1725532000,1877025000,1906367000,2142263000,2316540000,2645296000,3119766000,3609743000,4041551000,4301062000,4414496000,3950195000,4232633000,4203364000,4070006000,4189686000,4315181000,4600289000,4628645000,4788718000,5101323000,5433729000,5889157000,6328246000,6772472000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/64996/000089843096001096/0000898430-96-001096-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/64996/000094420999000354/0000944209-99-000354-index.html,- -,https://www.sec.gov/Archives/edgar/data/64996/000089843001001052/0000898430-01-001052-index.html,https://www.sec.gov/Archives/edgar/data/64996/000089843002001049/0000898430-02-001049-index.html,https://www.sec.gov/Archives/edgar/data/64996/000089843003001831/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312504028702/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312505049377/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312506049713/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312507039974/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312508039993/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499609000002/0000064996-09-000002-index.html,https://www.sec.gov/Archives/edgar/data/64996/000119312510034302/0001193125-10-034302-index.html,https://www.sec.gov/Archives/edgar/data/64996/000119312511035565/d10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000119312512057301/0001193125-12-057301-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499613000004/0000064996-13-000004-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499614000003/mcy-20131231x10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499615000008/mcy-20141231x10k.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499616000036/0000064996-16-000036-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499617000004/0000064996-17-000004-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499618000010/0000064996-18-000010-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499619000004/0000064996-19-000004-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499620000012/0000064996-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/64996/000006499621000004/0000064996-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/64996/000006499622000004/0000064996-22-000004-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,33900000,51600000,65500000,83300000,96200000,66300000,90301000,105764000,156306000,177526000,133709000,109366000,105339000,66105000,184321000,286208000,253259000,214817000,237832000,-242119000,403072000,152198000,191164000,116911000,112143000,177949000,74479000,73044000,144877000,-5728000,320087000,374607000,247937000
74,Depreciation and Amortization,- -,- -,- -,- -,2500000,2700000,2600000,2200000,5700000,5000000,3736000,4067000,5157000,5444000,6896000,6926000,8477000,10233000,16126000,16192000,18781000,24262000,26324000,27037000,35692000,40735000,40657000,36974000,30587000,28054000,26478000,26385000,55343000,58791000,64730000,68463000,79056000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3300000,5000000,1000000,500000,-9000000,- -,- -,- -,-27003000,- -,- -,-6443000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,652000,763000,812000,899000,-370000,974000,4112000,5208000,142000,60000,145000,123000,142000,141000
77,Change in Working Capital,- -,- -,- -,- -,56200000,- -,- -,- -,- -,- -,-491500000,-212200000,-147200000,-30800000,-23100000,-96700000,-115800000,2283377000,134803000,194718000,118974000,98930000,114737000,-367321000,471742000,-4073960000,805436000,109322000,-161692000,5892000,-249299000,-29525000,-239251000,-421266000,228181000,2093502000,269784000
78,Accounts Receivable,- -,- -,- -,- -,18300000,13200000,2800000,-400000,7800000,7700000,9400000,26100000,26800000,12800000,6400000,-8248000,-23593000,-47339000,-45690000,-54495000,-29067000,-16600000,153000,26436000,17138000,-4192000,-7819000,-56588000,-20688000,-23934000,-41512000,-22531000,-57951000,-245718000,92482000,44073000,-23182000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,18300000,13200000,2800000,-400000,7800000,7700000,31800000,49500000,89700000,5800000,29300000,53592000,126095000,300440000,299949000,41732000,262754000,113529000,-45230000,- -,- -,- -,- -,1197000,30367000,31019000,-35086000,-10586000,-4178000,6586000,26493000,51988000,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-491500000,-703700000,-850900000,-881700000,-904800000,-1001500000,-1117300000,1166077000,1300880000,1495598000,1614572000,1713502000,1828239000,1460918000,1932660000,-2141300000,-1335864000,-1226542000,-1388234000,-1382342000,-1631641000,-1661166000,-1900417000,-2321683000,-2093502000,- -,-18097000
