,https://roic.ai/company/PAC,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,685494000,894396000,1402819000,1540842000,1199444000,1500160000,1484441000,1772030000,2246230000,2242520000,2726020000,3281884000,4649120000,5037368000,5360152000,1968856000,6043717000
24,Net Income ratio,0.2542,0.3047,0.4034,0.4414,0.3672,0.3430,0.3006,0.3584,0.4297,0.4043,0.3363,0.2955,0.3760,0.3567,0.3303,0.1659,0.3178
25,EPS,12.22,15.94,25.01,27.50,21.40,26.87,40.00,33.39,42.38,42.66,59.77,63.81,90.02,97.77,105.21,36.51,114.99
26,EPS Diluted,12.22,15.94,25.01,27.50,21.40,26.87,40.00,33.39,42.38,42.66,59.77,63.81,90.02,97.77,105.21,36.51,114.99
27,Weighted Average Shares Outstanding,56100000,56100000,56100000,56059481,56047397,55824561,53775509,53072060,53006183,52563674,52557555,52557554,52557554,52557554,52557554,52557554,52557554
28,Weighted Average Shares Outstanding Diluted,56100000,56100000,56100000,56059481,56047397,55824561,53775509,53072060,53006183,52563674,52557555,52557554,52557554,52557554,52557554,52557554,52557554
29,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1347557/000093041307005677/0000930413-07-005677-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312508142712/0001193125-08-142712-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000114420409034979/0001144204-09-034979-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312510150057/0001193125-10-150057-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312511165273/0001193125-11-165273-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312512143770/0001193125-12-143770-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312513154136/0001193125-13-154136-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312514145875/0001193125-14-145875-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312515132324/0001193125-15-132324-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312516548441/0001193125-16-548441-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312517121429/0001193125-17-121429-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000156459018008605/0001564590-18-008605-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000156459019011864/0001564590-19-011864-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000156459020027372/0001564590-20-027372-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,815066000,897368000,1426683000,1506004000,1821150000,2348807000,2115508000,1663683000,2168187000,1595502000,2996499000,4887198000,7472232000,5806213000,7491650000,13909244000,13332877000
32,Short-Term Investments,- -,- -,- -,- -,279621000,233915000,278349000,433573000,410433000,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,815066000,897368000,1426683000,1506004000,2100771000,2582722000,2393857000,2097256000,2578620000,1595502000,2996499000,4887198000,7472232000,5806213000,7491650000,13909244000,13332877000
34,Net Receivables,396543000,623680000,639134000,948816000,716360000,440111000,471713000,359165000,290361000,462197000,334774000,754224000,1195946000,1615506000,1770985000,2338860000,1720475000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,120784000,125002000,247667000,275479000,109000,266000,469000,2747000,3106000,4872000,55410000,357152000,311981000,418488000,104849000,598005000,1344223000
37,Total Current Assets,1332393000,1646050000,2313484000,2730299000,2817240000,3023099000,2866039000,2459168000,2872087000,2062571000,3386683000,5998574000,8980159000,7840207000,9367484000,16846109000,16397575000
38,PP&E,1915511000,2361574000,3180978000,335158000,364101000,4595205000,836339000,951465000,873541000,812653000,1555593000,1630393000,1655688000,1952929000,1940312000,2169858000,3094220000
39,Goodwill,- -,- -,- -,2283598000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,19765496000,- -,2015986000,16858543000,16693586000,16481904000,21183266000,22872852000,23200671000,23823570000,24240177000,25694861000,28394779000
41,Intangible Assets,2514165000,2417255000,22985000,2283598000,19765496000,- -,2015986000,16858543000,16693586000,16481904000,21183266000,22872852000,23200671000,23823570000,24240177000,25694861000,28394779000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92232000,21636000,11016000,35000,114000,- -,- -
43,Tax Assets,730465000,686607000,- -,23022000,1072384000,1536986000,1807873000,4152804000,4673687000,4851164000,4933221000,5070844000,5354282000,5472279000,5648944000,5966363000,6230886000
44,Other Non-Current Assets,18838954000,18404225000,22008830000,22769617000,4362694000,19733992000,21865608000,111657000,121699000,77915000,322404000,457163000,315716000,461482000,380773000,683982000,1205625000
45,Total Non-Current Assets,23999095000,23869661000,25212793000,25411395000,25564675000,25866183000,26525806000,22074469000,22362513000,22223636000,28086716000,30052888000,30537373000,31710295000,32210320000,34515064000,38925510000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,25331488000,25515711000,27526277000,28141694000,28381915000,28889282000,29391845000,24533637000,25234600000,24286207000,31473399000,36051462000,39517532000,39550502000,41577804000,51361173000,55323085000
48,Accounts Payable,113331000,126974000,336321000,374661000,275478000,403724000,472645000,310003000,245848000,228882000,437238000,875486000,811397000,871741000,848364000,1009265000,- -
49,Short-Term Debt,- -,- -,85714000,134857000,193965000,266492000,411439000,555925000,637577000,978538000,3529102000,84758000,141412000,14510000,2212577000,2670307000,- -
50,Tax Payable,63225000,63724000,30722000,47206000,92247000,168941000,73000000,83013000,119615000,178089000,342325000,572103000,704198000,704925000,678876000,362111000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,36010000,34357000,36363000,66676000,70215000,108853000,139576000,142044000,128200000,- -
52,Other Current Liabilities,128726000,139733000,178317000,164354000,143014000,233725000,177943000,230773000,294372000,338443000,625294000,910840000,1233485000,1146696000,1473581000,1454903000,9362958000
53,Total Current Liabilities,242057000,266707000,600352000,673872000,612457000,903941000,1062027000,1132711000,1212154000,1582226000,4658310000,1941299000,2295147000,2172523000,4676566000,5262675000,9362958000
54,Long-Term Debt,- -,- -,492857000,665143000,856003000,1042808000,1612179000,1456798000,1216899000,740936000,3021363000,9729518000,13110846000,13569552000,14261658000,21711052000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,818879000,946673000,839253000,784931000,681909000,655479000,- -
57,Other Non-Current Liabilities,54110000,65540000,71503000,65033000,132901000,271628000,374903000,490915000,592836000,677154000,818804000,1029403000,1195517000,1251346000,1288228000,879184000,25531527000
58,Total Non-Current Liabilities,54110000,65540000,564360000,730176000,988904000,1314436000,1987082000,1947713000,1809735000,1418090000,4659046000,11705594000,15145616000,15605829000,16231795000,23245715000,25531527000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48199000,37192000,26193000,- -
61,Total Liabilities,296167000,332247000,1164712000,1404048000,1601361000,2218377000,3049109000,3080424000,3021889000,3000316000,9317356000,13646893000,17440763000,17778352000,20908361000,28508390000,34894485000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,23462294000,23462294000,24344476000,24344476000,24344476000,24344476000,24344476000,15447322000,15447322000,13937322000,12528780000,10778613000,9028446000,7777576000,6185082000,6185082000,170381000
64,Retained Earnings,1119611000,1548539000,1792007000,2086659000,1199444000,1503897000,1490911000,5172414000,5766207000,6213078000,6638935000,7561527000,9001269000,9552071000,9940035000,11908891000,13925091000
65,Other Comprehensive Income/Loss,122135000,172631000,225082000,295223000,372369000,1432341000,1894651000,553477000,2663216000,2868865000,3839610000,4726249000,4731874000,5112712000,5236429000,5432212000,8192945000
66,Other Total Stockholders Equity,331281000,- -,- -,11288000,864265000,-609809000,-1387302000,280000000,-1664034000,-1733374000,-1733374000,-1733374000,-1733374000,-1733374000,-1733374000,-1733374000,-3000037000
67,Total Stockholders Equity,25035321000,25183464000,26361565000,26737646000,26780554000,26670905000,26342736000,21453213000,22212711000,21285891000,21273951000,21333015000,21028215000,20708985000,19628172000,21792811000,19288380000
68,Total Liabilities And Stockholders Equity,25331488000,25515711000,27526277000,28141694000,28381915000,28889282000,29391845000,24533637000,25234600000,24286207000,30591307000,34979908000,38468978000,38487337000,40536533000,50301201000,54182865000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,882092000,1071554000,1048554000,1063165000,1041271000,1059972000,1140220000
70,Total Liabilities & Equity,25331488000,25515711000,27526277000,28141694000,28381915000,28889282000,29391845000,24533637000,25234600000,24286207000,31473399000,36051462000,39517532000,39550502000,41577804000,51361173000,55323085000
71,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1347557/000093041307005677/0000930413-07-005677-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312508142712/0001193125-08-142712-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000114420409034979/0001144204-09-034979-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312510150057/0001193125-10-150057-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312511165273/0001193125-11-165273-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312512143770/0001193125-12-143770-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312513154136/0001193125-13-154136-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312514145875/0001193125-14-145875-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312515132324/0001193125-15-132324-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312516548441/0001193125-16-548441-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312517121429/0001193125-17-121429-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000156459018008605/0001564590-18-008605-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000156459019011864/0001564590-19-011864-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000156459020027372/0001564590-20-027372-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,685494000,894396000,1402819000,1540842000,1199444000,1500160000,1484441000,1772030000,2246230000,2242520000,2726020000,3281884000,4649120000,5037368000,5360152000,1968856000,6043717000
74,Depreciation and Amortization,642132000,717171000,754097000,798251000,828835000,879941000,944094000,827230000,883235000,925220000,1156435000,1348387000,1443562000,1569637000,1776137000,2000361000,2050539000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,327449000,75788000,514579000,847309000,1266573000,1440641000,1869041000,1891443000,467067000,1785543000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,32501000,-246865000,-256000,-294173000,268243000,-49478000,73728000,131562000,228797000,445712000,665172000,245963000,-54476000,48208000,-10989000,-1601257000,574893000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,32838000,25523000,-145122000,173005000,-434534000,-394746000,-383361000,-101537000,164258000,-464395000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,32788000,-13057000,37772000,301508000,205797000,24580000,114384000,11642000,-85718000,1244251000
81,Other Working Capital,5155000,-239325000,- -,- -,-19922000,-331643000,13368000,114226000,91579000,22563000,24680000,48875000,54110000,45754000,56985000,-198358000,- -
82,Other Non-Cash Items,142968000,105488000,-136424000,-430353000,-84147000,246547000,-211943000,-396997000,-469337000,-667801000,-490183000,-501604000,-1310145000,-1288635000,-852686000,731540000,640754000
83,Cash Provided by Operating Activities,1503095000,1470190000,2020236000,1614567000,2212375000,2577170000,2290320000,2661274000,2964713000,3460230000,4904753000,5641203000,6168702000,7235619000,8164057000,3566567000,11095446000
84,CAPEX,-605488000,-630825000,-932280000,-524922000,-542114000,-905008000,-979660000,-979014000,-686270000,-620266000,-1128382000,-1856997000,-1923893000,-2501656000,-2576616000,-3160111000,-4946784000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2543568000,58868000,- -,-40320000,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,-5740000,-10810000,-931617000,2948000,-865000,-30505000,-307412000,-4771000,5319000,-12774000,2023000,-18428000,-14682000,-8435000,-107107000,-57580000,-22524000
89,Cash Used for Investing Activites,-611228000,-641635000,-931617000,-521974000,-542114000,-935513000,-1287072000,-983785000,-680951000,-633040000,-3669927000,-1816557000,-1938575000,-2550411000,-2586095000,-3217691000,-4969308000
90,Debt Repayment,- -,- -,- -,-122571000,-163786000,-248360000,-300308000,-612222000,-646452000,-1513883000,-8076912000,-3661049000,-151724000,-263599000,-16261000,-2212977000,-7454130000
91,Common Stock Issued,- -,- -,- -,- -,53712000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-44227000,-10248000,-609809000,-777493000,-870000000,-276732000,-69340000,- -,- -,- -,- -,- -,- -,-3000037000
93,Dividends Paid,- -,- -,-1171616000,-1121485000,-1200000000,-1000000000,-1035117000,-1130000000,-1210000000,-3100000000,-3153453000,-3889259000,-4756459000,-5255756000,-6017840000,- -,-6014701000
94,Other Financing Activites,-1094814000,253000,578571000,275011000,317643000,391733000,895873000,463406000,353926000,1283348000,11396536000,5779123000,3220867000,-647339000,1802572000,8501404000,9117343000
95,Cash Used/Provided by Financing Activities,-1094814000,253000,-593045000,-1013272000,-1002679000,-1466436000,-1217045000,-2148816000,-1779258000,-3399875000,166171000,-1771185000,-1687316000,-6166694000,-4231529000,6288427000,-7351525000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,138178000,-806000,-97200000,2303000,307053000,113715000
97,Net Change In Cash,-199947000,82302000,495574000,79321000,667582000,175221000,-213797000,-471327000,504504000,-572685000,1400997000,2191639000,2542005000,-1578686000,1348736000,6944356000,-1111672000
98,Cash at the End of Period,818066000,897368000,1426683000,1506004000,2173586000,2348807000,2135010000,1663683000,2168187000,1595502000,2996499000,5188138000,7730143000,6151457000,7500193000,14444549000,13332877000
99,Cash at the Beginning of Period,1018013000,815066000,931109000,1426683000,1506004000,2173586000,2348807000,2135010000,1663683000,2168187000,1595502000,2996499000,5188138000,7730143000,6151457000,7500193000,14444549000
100,Free Cash Flow,897607000,839365000,1087956000,1089645000,1670261000,1672162000,1310660000,1682260000,2278443000,2839964000,3776371000,3784206000,4244809000,4733963000,5587441000,406456000,6148662000
101,SEC Link,- -,https://www.sec.gov/Archives/edgar/data/1347557/000093041307005677/0000930413-07-005677-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312508142712/0001193125-08-142712-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000114420409034979/0001144204-09-034979-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312510150057/0001193125-10-150057-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312511165273/0001193125-11-165273-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312512143770/0001193125-12-143770-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312513154136/0001193125-13-154136-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312514145875/0001193125-14-145875-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312515132324/0001193125-15-132324-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312516548441/0001193125-16-548441-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000119312517121429/0001193125-17-121429-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000156459018008605/0001564590-18-008605-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000156459019011864/0001564590-19-011864-index.htm,https://www.sec.gov/Archives/edgar/data/1347557/000156459020027372/0001564590-20-027372-index.htm,- -,- -
102,Forex Rate,0.0941,0.0926,0.0916,0.0727,0.0765,0.08088,0.07162,0.07782,0.07668,0.06778,0.05817,0.04822,0.05087,0.05088,0.0528,0.05024,0.04877
