,https://roic.ai/company/TREX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
23,Net Income,-1300000,5600000,8500000,11600000,19302000,9050000,16777000,20989000,27155000,2499000,2343000,-75912000,13552000,-16449000,-10066000,-11588000,2720000,34598000,41521000,48098000,67847000,95128000,134572000,144738000,175631000,208737000
24,Net Income ratio,-0.2281,0.1642,0.1816,0.1561,0.1642,0.0774,0.1004,0.1099,0.1071,0.0085,0.0070,-0.2308,0.0412,-0.0604,-0.0317,-0.0434,0.0088,0.1010,0.1060,0.1091,0.1415,0.1683,0.1967,0.1942,0.1994,0.1744
25,EPS,-0.03,0.15,0.07,0.11,0.17,0.08,0.15,0.18,0.23,0.02,0.02,-0.64,0.11,-0.13,-0.08,-0.09,0.02,0.26,0.32,0.38,0.58,0.81,1.15,1.24,1.52,1.80
26,EPS Diluted,-0.03,0.15,0.07,0.11,0.17,0.08,0.14,0.18,0.23,0.02,0.02,-0.64,0.11,-0.14,-0.08,-0.09,0.02,0.25,0.32,0.38,0.57,0.81,1.14,1.24,1.51,1.80
27,Weighted Average Shares Outstanding,38000000,38000000,128301887,102788568,113037216,113165280,113330456,116176736,117095672,118158392,118638656,119073392,119655416,120387736,121496224,123107648,128988736,134358728,129278596,125402168,117578236,117570236,117479340,116861194,115888859,115888859
28,Weighted Average Shares Outstanding Diluted,38000000,38000000,128301887,102788568,113435800,113459656,115849872,117822696,118677744,119037288,119143728,119073392,120904664,120492824,121496224,123107648,136518848,137094008,131004296,126730036,118450676,118301840,118134604,117315498,116252866,116252866
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1069878/000102140803004448/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312504035506/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312505052534/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312506056524/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312507072292/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312508058823/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312509051989/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312510055209/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312511060587/d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312512101082/d267044d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312513064375/d444142d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312514064056/d638900d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312515059388/d828432d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312516472797/d101319d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312517049572/d304676d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312518052127/d510466d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312519041150/d671149d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312520046696/d781012d10k.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312521050916/0001193125-21-050916-index.htm,https://www.sec.gov/Archives/edgar/data/1069878/000119312522058229/0001193125-22-058229-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,2000000,1200000,- -,- -,- -,14893000,8151000,23925000,1931000,672000,66000,23189000,19514000,27270000,4526000,2159000,3772000,9544000,5995000,18664000,30514000,105699000,148833000,121701000,141053000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,2000000,1200000,- -,- -,- -,14893000,8151000,23925000,1931000,672000,66000,23189000,19514000,27270000,4526000,2159000,3772000,9544000,5995000,18664000,30514000,105699000,148833000,121701000,141053000
34,Net Receivables,- -,1000000,- -,1300000,10582000,3644000,840000,5829000,21964000,20661000,24620000,8964000,16109000,39204000,53402000,29514000,26977000,37722000,36391000,47386000,48039000,75402000,102090000,89633000,106748000,160611000
35,Inventory,- -,4500000,6000000,8700000,23017000,33168000,22429000,45950000,44357000,56726000,111434000,92569000,69397000,45485000,29021000,28896000,17521000,22428000,23747000,23104000,28546000,34524000,57801000,56106000,68238000,83753000
36,Other Current Assets,- -,100000,700000,1400000,1167000,3252000,3664000,4068000,28593000,5461000,6381000,18624000,21096000,2368000,2543000,39118000,5980000,12258000,15559000,22545000,10400000,8358000,4635000,8632000,25310000,15637000
37,Total Current Assets,- -,7600000,7900000,11400000,34766000,40064000,41826000,63998000,118839000,84779000,143107000,120223000,129791000,106571000,112236000,102054000,52637000,76180000,85241000,99030000,105649000,148798000,270225000,303204000,321997000,401054000
