,https://roic.ai/company/ALX,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,- -,2200000,4900000,13200000,2500000,25200000,21600000,22500000,47800000,43665000,69137000,55483000,75454000,110146000,139176000,179578000,170009000,163845000,168384000,183829000,204265000,191312000,196459000,200814000,207915000,226936000,230574000,232825000,226350000,199142000,206148000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,61755000,64675000,69897000,76218000,82232000,85127000,93775000,89738000,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,129557000,131784000,130917000,131697000,144704000,145447000,139050000,136612000,- -,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.6772,0.6708,0.6519,0.6334,0.6376,0.6308,0.5972,0.6035,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,1200000,3600000,5100000,4400000,3900000,4100000,3700000,3885000,3855000,3960000,48921000,81285000,32393000,154844000,-38339000,91677000,101586000,86444000,84936000,5162000,5281000,5032000,5406000,5436000,5252000,5339000,5772000,6307000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,1200000,3600000,5100000,4400000,3900000,4100000,3700000,3885000,3855000,3960000,48921000,81285000,32393000,154844000,-38339000,91677000,101586000,86444000,84936000,5162000,5281000,5032000,5406000,5436000,5252000,5339000,5772000,6307000,5924000
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84607000,94156000,93339000,-4677000,-29586000,-3444000,3064000,90570000,93662000,99093000,107304000,116039000,120052000,126864000,121089000,120760000,- -
10,Operating Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,117000000,249000000,55000000,87000000,72000000,83000000,88000000,95732000,98943000,104125000,112710000,121475000,125304000,132203000,126861000,127067000,- -
11,COGS and Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,95732000,98943000,104125000,112710000,121475000,125304000,132203000,126861000,127067000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,700000,4800000,1700000,2900000,700000,1000000,1000000,1124000,3237000,2178000,1983000,1571000,14769000,28257000,27351000,15222000,2847000,851000,2672000,177000,1527000,2434000,5949000,3305000,6716000,12546000,8244000,2667000,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,900000,3300000,13200000,13900000,13400000,15100000,17600000,21424000,22469000,22888000,13691000,40320000,62678000,71980000,65322000,62474000,57992000,58372000,52659000,45652000,44540000,32068000,24239000,22241000,31474000,44533000,38901000,24204000,-19686000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,5900000,800000,2300000,4700000,4100000,4500000,5700000,7500000,8049000,7973000,8969000,11310000,18818000,22836000,24461000,24991000,26719000,30445000,34849000,37086000,36363000,31395000,31919000,33671000,36374000,38681000,38499000,36515000,35121000,34592000
15,EBITDA,- -,- -,- -,- -,- -,- -,- -,-126800000,2800000,9600000,18900000,42700000,25400000,14700000,30600000,34670000,57828000,55441000,7259000,25669000,167755000,32731000,204654000,166422000,183692000,157009000,169063000,756466000,132690000,131571000,134825000,145140000,150667000,115880000,135491000,101264000,147836000
