,https://roic.ai/company/RS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,0.0496,0.0638,0.0780,0.0888,0.0741,0.0737,0.0807,0.0757,0.0558,0.0448,0.0487,0.1067,0.1127,0.1098,0.1011,0.1085,0.0716,0.0752,0.0859,0.1017,0.0860,0.0851,0.0871,0.0921,0.0962,0.1052,0.1187,0.0958,0.1541
17,Operating Income,17300000,24600000,34600000,43700000,59400000,89000000,109500000,122938000,82815000,72186000,77826000,307840000,367186000,633130000,733437000,852971000,250392000,360721000,572800000,659200000,551900000,617400000,546600000,512600000,662400000,937500000,1013500000,565800000,1948900000
18,Operating Income ratio,0.0464,0.0550,0.0616,0.0668,0.0618,0.0658,0.0725,0.0712,0.0500,0.0413,0.0413,0.1045,0.1089,0.1101,0.1009,0.0978,0.0471,0.0571,0.0704,0.0781,0.0598,0.0591,0.0585,0.0595,0.0681,0.0813,0.0924,0.0642,0.1383
19,Total Other Income Expenses (Gains),-2400000,-400000,4000000,5900000,-1400000,-8700000,-13100000,-20351000,-22656000,-22466000,-22970000,-37872000,-33974000,-61998000,-79044000,-87273000,-54899000,-64293000,-61200000,-49800000,-73600000,-71100000,-87900000,-83400000,-78600000,-86900000,-84200000,-87600000,-65800000
20,Income Before Tax,14900000,24200000,38600000,49600000,58000000,80300000,96400000,102587000,60159000,49720000,54856000,269968000,333212000,571132000,654393000,765698000,195493000,296428000,511600000,609400000,478300000,546300000,458700000,429200000,583800000,850600000,929300000,478200000,1883100000
21,Income Before Tax Ratio,0.0399,0.0542,0.0688,0.0758,0.0603,0.0594,0.0638,0.0594,0.0363,0.0284,0.0291,0.0916,0.0989,0.0994,0.0901,0.0878,0.0368,0.0470,0.0629,0.0722,0.0519,0.0523,0.0491,0.0498,0.0601,0.0737,0.0847,0.0543,0.1336
22,Income Tax expense (Gain),5700000,9800000,15900000,19800000,23800000,32600000,38800000,40268000,23823000,19553000,20846000,100240000,127775000,216625000,246438000,282921000,46317000,98579000,162400000,201100000,153600000,170000000,142500000,120100000,-37200000,208800000,223200000,105800000,465700000
23,Net Income,9200000,14400000,22700000,29800000,34200000,47700000,57600000,62319000,36336000,30167000,34010000,169728000,205437000,354507000,407955000,482777000,148158000,194353000,343800000,403500000,321600000,371500000,311500000,304300000,613400000,633700000,701500000,369100000,1413000000
24,Net Income ratio,0.0247,0.0322,0.0404,0.0456,0.0356,0.0353,0.0381,0.0361,0.0219,0.0173,0.0181,0.0576,0.0609,0.0617,0.0561,0.0554,0.0279,0.0308,0.0423,0.0478,0.0349,0.0355,0.0333,0.0353,0.0631,0.0549,0.0639,0.0419,0.1003
25,EPS,0.28,0.38,0.48,0.95,0.72,0.85,1.04,1.15,0.64,0.47,0.54,2.62,3.12,4.85,5.39,6.60,2.02,2.62,4.60,5.36,4.19,4.78,4.20,4.21,8.42,8.85,10.49,5.74,22.39
26,EPS Diluted,0.28,0.38,0.48,0.95,0.72,0.84,1.03,1.14,0.64,0.47,0.54,2.60,3.10,4.82,5.36,6.56,2.01,2.61,4.58,5.33,4.14,4.73,4.16,4.16,8.34,8.75,10.34,5.66,22.02
27,Weighted Average Shares Outstanding,33454545,37894737,46804124,31359927,47208723,56305101,55496614,54430174,56671252,63374322,63705684,64960202,65870000,73134102,75622799,73102215,73445583,74230452,74739130,75279851,76754177,77719665,74166667,72280285,72850356,71604520,66885000,64328000,63275000
28,Weighted Average Shares Outstanding Diluted,33454545,37894737,46804124,46597938,47624052,56610375,55783766,54578222,56939640,63597602,63732668,65350758,66194000,73599681,76064616,73597717,73701979,74472380,75041753,75694212,77646192,78615939,74902064,73120918,73539424,72441000,67855000,65263000,64350000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/861884/000095015003000376/a88725e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095015004000335/a97304e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095012905002444/a06871e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013406005093/a18560e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013407004550/a27894e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013408003739/a38525e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013409004031/0000950134-09-004031-index.html,https://www.sec.gov/Archives/edgar/data/861884/000095012310018335/0000950123-10-018335-index.html,https://www.sec.gov/Archives/edgar/data/861884/000119312511047561/d10k.htm,https://www.sec.gov/Archives/edgar/data/861884/000104746912001477/0001047469-12-001477-index.html,https://www.sec.gov/Archives/edgar/data/861884/000104746913001836/0001047469-13-001836-index.html,https://www.sec.gov/Archives/edgar/data/861884/000104746914001477/a2218513z10-k.htm,https://www.sec.gov/Archives/edgar/data/861884/000104746915001302/a2223210z10-k.htm,https://www.sec.gov/Archives/edgar/data/861884/000155837016003570/0001558370-16-003570-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837017000994/0001558370-17-000994-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837018001275/0001558370-18-001275-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837019001202/0001558370-19-001202-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837020001637/0001558370-20-001637-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837021001836/0001558370-21-001836-index.htm,https://www.sec.gov/Archives/edgar/data/861884/000155837022001918/0001558370-22-001918-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,800000,34000000,6500000,9900000,3107000,9931000,9305000,2166000,11659000,35022000,57475000,77023000,51995000,43002000,72915000,84600000,97600000,83600000,106200000,104300000,122800000,154400000,128200000,174300000,683500000,300500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,800000,34000000,6500000,9900000,3107000,9931000,9305000,2166000,11659000,35022000,57475000,77023000,51995000,43002000,72915000,84600000,97600000,83600000,106200000,104300000,122800000,154400000,128200000,174300000,683500000,300500000
34,Net Receivables,- -,- -,- -,73100000,117700000,156200000,167700000,193106000,172603000,190191000,221793000,329991000,369931000,691417000,709037000,861194000,587891000,725325000,896200000,836100000,1017400000,1144600000,953100000,960200000,1090200000,1258200000,1105000000,928400000,1683000000
35,Inventory,- -,- -,- -,122800000,158700000,240700000,232900000,271549000,308093000,307385000,288080000,349779000,387385000,904318000,911315000,1284468000,719915000,860215000,1212800000,1272300000,1540000000,1752100000,1436000000,1532600000,1726000000,1817100000,1645700000,1420400000,2065000000
36,Other Current Assets,- -,- -,- -,14200000,11700000,16900000,18400000,23634000,27366000,25663000,32547000,41800000,55010000,22179000,24028000,104715000,40096000,42442000,81100000,71400000,97900000,118200000,60800000,72900000,80700000,81500000,85200000,80500000,111600000
37,Total Current Assets,- -,- -,- -,210900000,322100000,420300000,428900000,491396000,517993000,532544000,544586000,733229000,847348000,1675389000,1721403000,2302372000,1390904000,1700897000,2274700000,2277400000,2738900000,3121100000,2554200000,2688500000,3051300000,3285000000,3010200000,3112800000,4160100000
38,PP&E,- -,- -,- -,133600000,161000000,213100000,227400000,245351000,290353000,306189000,466871000,458813000,479719000,742672000,824635000,998706000,981259000,1025305000,1105500000,1240700000,1603900000,1656400000,1635500000,1662200000,1656300000,1729900000,1996700000,1996200000,2061400000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,784871000,886152000,1065527000,1081324000,1109600000,1244300000,1314600000,1691600000,1736400000,1724800000,1827400000,1842600000,1870800000,2003800000,1935200000,2107600000
40,Intangible Assets,- -,- -,- -,- -,67300000,176900000,215200000,232048000,250103000,284276000,325305000,341780000,384730000,354195000,464291000,741681000,726255000,755768000,895900000,936500000,1213800000,1241600000,1125400000,1151300000,1112100000,1072000000,1031100000,947100000,1077700000
41,Intangible Assets,- -,- -,- -,- -,67300000,176900000,215200000,232048000,250103000,284276000,325305000,341780000,384730000,1139066000,1350443000,1807208000,1807579000,1865368000,2140200000,2251100000,2905400000,2978000000,2850200000,2978700000,2954700000,2942800000,3034900000,2882300000,3185300000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20880000,18274000,16200000,15500000,14100000,5400000,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,46700000,33500000,31100000,28500000,28448000,23844000,16238000,32662000,29509000,57273000,57046000,86996000,87199000,106155000,59049000,69300000,73000000,78700000,75700000,81700000,81900000,88700000,87200000,89300000,115500000,129200000
45,Total Non-Current Assets,- -,- -,- -,180300000,261800000,421100000,471100000,505847000,564300000,606703000,824838000,830102000,921722000,1938784000,2262074000,2893113000,2915873000,2967996000,3331200000,3580300000,4602100000,4715500000,4567400000,4722800000,4699700000,4759900000,5120900000,4994000000,5375900000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
