,https://roic.ai/company/RS,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
91,Common Stock Issued,400000,47300000,400000,800000,96300000,700000,1900000,1954000,151567000,3705000,10490000,10366000,11057000,7337000,16764000,284000,258000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,-1900000,- -,-7600000,- -,-7400000,-11300000,- -,-56284000,- -,- -,- -,- -,- -,- -,-82168000,-114774000,- -,- -,- -,- -,- -,-50000000,-355500000,- -,-25000000,-484900000,-50000000,-337300000,-323500000
93,Dividends Paid,-1100000,-1100000,-1600000,-1900000,-2600000,-4500000,-4900000,-6001000,-6812000,-7605000,-8021000,-10157000,-12530000,-16145000,-24207000,-30454000,-29383000,-29692000,-35900000,-60200000,-96900000,-108700000,-120100000,-120400000,-132000000,-145300000,-151300000,-164100000,-177000000
94,Other Financing Activites,8900000,-30300000,600000,62300000,5700000,129000000,-31000000,97361000,-95117000,-19356000,147245000,-64400000,-100670000,490564000,-110239000,1712058000,357750000,565808000,890100000,615600000,1883500000,743900000,589400000,2081600000,874200000,1418500000,949300000,1633800000,-7700000
95,Cash Used/Provided by Financing Activities,6300000,15900000,-8200000,61200000,92000000,113900000,-34000000,37030000,49638000,-23256000,149714000,-64191000,-102143000,481756000,-199850000,-231488000,-859829000,-24464000,247600000,-207600000,332100000,33000000,-848500000,-100200000,-198100000,-403900000,-840600000,-483000000,-528900000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-698000,123000,472000,1565000,-81000,167000,242000,-570000,1425000,2073000,3900000,400000,-400000,-1400000,-8500000,-2700000,10100000,-5900000,4300000,7600000,-1200000
97,Net Change In Cash,6300000,15900000,-8200000,61200000,92000000,113900000,3400000,-6755000,6824000,-626000,-7139000,9493000,23363000,22453000,19548000,-25028000,-8993000,29913000,11700000,13000000,-14000000,22600000,-1900000,18500000,31600000,-26200000,46100000,509200000,-383000000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,9900000,3107000,9931000,9305000,2166000,11659000,35022000,57475000,77023000,51995000,43002000,72915000,84600000,97600000,83600000,106200000,104300000,122800000,154400000,128200000,174300000,683500000,300500000
99,Cash at the Beginning of Period,900000,1500000,8300000,18000000,800000,34000000,6500000,9862000,3107000,9931000,9305000,2166000,11659000,35022000,57475000,77023000,51995000,43002000,72900000,84600000,97600000,83600000,106200000,104300000,122800000,154400000,128200000,174300000,683500000
100,Free Cash Flow,-5700000,-6600000,31500000,15000000,-67300000,-145200000,18900000,-5915000,79048000,72086000,85505000,85786000,218479000,82222000,514837000,512794000,873095000,102731000,78400000,387900000,465300000,165600000,852800000,471600000,237400000,424700000,1059300000,1001000000,562800000
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/861884/000095015003000376/a88725e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095015004000335/a97304e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095012905002444/a06871e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013406005093/a18560e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013407004550/a27894e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013408003739/a38525e10vk.htm,https://www.sec.gov/Archives/edgar/data/861884/000095013409004031/0000950134-09-004031-index.html,https://www.sec.gov/Archives/edgar/data/861884/000095012310018335/0000950123-10-018335-index.html,https://www.sec.gov/Archives/edgar/data/861884/000119312511047561/d10k.htm,https://www.sec.gov/Archives/edgar/data/861884/000104746912001477/0001047469-12-001477-index.html,https://www.sec.gov/Archives/edgar/data/861884/000104746913001836/0001047469-13-001836-index.html,https://www.sec.gov/Archives/edgar/data/861884/000104746914001477/a2218513z10-k.htm,https://www.sec.gov/Archives/edgar/data/861884/000104746915001302/a2223210z10-k.htm,https://www.sec.gov/Archives/edgar/data/861884/000155837016003570/0001558370-16-003570-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837017000994/0001558370-17-000994-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837018001275/0001558370-18-001275-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837019001202/0001558370-19-001202-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837020001637/0001558370-20-001637-index.html,https://www.sec.gov/Archives/edgar/data/861884/000155837021001836/0001558370-21-001836-index.htm,https://www.sec.gov/Archives/edgar/data/861884/000155837022001918/0001558370-22-001918-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
