,https://roic.ai/company/AXR,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
82,Other Non-Cash Items,- -,-6200000,- -,- -,-83200000,-30300000,6300000,-1100000,-12200000,-17400000,23500000,-20200000,-17900000,9400000,31018000,9425000,32298000,-869000,1496000,-16247000,-3400000,41981000,11418000,56203000,-7714000,18985000,440000,-11987000,-22826000,-27345000,18706000,15721000,-7804000,-3480000,7779000,-10358000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,-18500000,-1300000,1100000,5400000,-13400000,6200000,10100000,-13000000,2700000,15600000,21657000,11443000,30343000,6939000,21447000,11924000,41846000,68689000,26251000,-2527000,8679000,5901000,5812000,-11614000,-6572000,9962000,3467000,10437000,531000,592000,765000,12609000
84,CAPEX,- -,- -,- -,- -,-8900000,-6000000,-2100000,-1600000,-1900000,-3100000,-5400000,-3900000,-2000000,-3300000,-2659000,-2045000,-2899000,-1916000,-3668000,-4945000,-3896000,-1797000,-5169000,-5212000,-2884000,-1012000,-1073000,-1049000,-1411000,-1127000,-798000,-249000,-139000,-8000,-9000,-5000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6580000,- -,-100000,- -,-95636000,195000,-3075000,- -,- -,- -,-1123000,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-2870000,-1208000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,- -,- -,-100000,26600000,- -,2000000,400000,-1200000,900000,- -,-800000,300000,1100000,1017000,- -,404000,- -,7190000,4057000,6173000,4749000,- -,- -,5000,-1061000,-1049000,-983000,-1127000,2802000,-249000,-139000,152000,-9000,-5000
89,Cash Used for Investing Activites,- -,- -,- -,- -,-9000000,20600000,-2100000,400000,-1500000,-4300000,-4500000,-3900000,-2800000,-3000000,-1559000,-1028000,-2899000,-8092000,-3668000,2145000,161000,-94130000,-1433000,-8287000,-2884000,-1007000,-1061000,-2172000,-983000,-1127000,2802000,-249000,-139000,152000,-9000,-5000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-46927000,-36264000,-56460000,-16163000,-21566000,-28471000,-1455000,-5706000,-13279000,- -,-3624000,-2057000,-6680000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,900000,500000,- -,- -,- -,- -,- -,5000,- -,44000,15000,103000,40000,27000,- -,- -,- -,- -,- -,- -,7144000,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-857000,-4762000,- -,- -,- -,- -,- -,- -,-21363000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5116000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1648000,-2645000,-26870000,-5648000,-6630000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,- -,- -,- -,- -,26800000,-12600000,-4600000,-3700000,13700000,200000,-7200000,25400000,4400000,-9600000,-29860000,-2651000,-27641000,1808000,-5784000,-589000,-6038000,26282000,-6319000,54151000,26982000,51791000,13503000,21219000,28097000,-2901000,1949000,340000,1838000,3075000,4567000,6491000
95,Cash Used/Provided by Financing Activities,- -,- -,- -,- -,26800000,-12600000,-4600000,-3700000,14600000,700000,-7200000,25400000,4400000,-9600000,-30717000,-7408000,-27641000,1852000,-7417000,-3131000,-32868000,20661000,-34312000,7224000,-9282000,-4669000,-2660000,-347000,6770000,-4356000,-3757000,-12939000,1838000,-549000,2510000,-5305000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,- -,- -,26800000,-12600000,-4600000,-3700000,14600000,700000,-7200000,25400000,4400000,-9600000,-10619000,3007000,-197000,699000,10362000,10938000,9139000,-4780000,-9494000,-3590000,-3487000,225000,2091000,-14133000,-785000,4479000,2512000,-2751000,2230000,195000,3266000,7299000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12934000,15941000,15744000,16443000,26805000,37743000,46882000,42102000,32608000,29018000,25531000,25756000,27847000,13714000,12929000,12050000,14562000,11811000,14041000,14236000,17502000,24801000
99,Cash at the Beginning of Period,- -,- -,- -,- -,4300000,3600000,10400000,4700000,6900000,6600000,9300000,7600000,16200000,20500000,23553000,12934000,15941000,15744000,16443000,26805000,37743000,46882000,42102000,32608000,29018000,25531000,25756000,27847000,13714000,7571000,12050000,14562000,11811000,14041000,14236000,17502000
100,Free Cash Flow,- -,- -,- -,- -,-27400000,-7300000,-1000000,3800000,-15300000,3100000,4700000,-16900000,700000,12300000,18998000,9398000,27444000,5023000,17779000,6979000,37950000,66892000,21082000,-7739000,5795000,4889000,4739000,-12663000,-7983000,8835000,2669000,10188000,392000,584000,756000,12604000
101,SEC Link,undefined,- -,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6207/000000620794000003/0000006207-94-000003-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620795000008/0000006207-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620796000004/0000006207-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620797000003/0000006207-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620798000002/0000006207-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620799000004/0000006207-99-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/6207/000000620701500003/0000006207-01-500003-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620702000004/0000006207-02-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/6207/000000620705000019/0000006207-05-000019-index.htm,- -,https://www.sec.gov/Archives/edgar/data/6207/000000620707000013/0000006207-07-000013-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620708000013/0000006207-08-000013-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620709000003/0000006207-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620710000005/0000006207-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620711000010/0000006207-11-000010-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620712000009/0000006207-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620713000031/0000006207-13-000031-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420414045520/0001144204-14-045520-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420415044862/0001144204-15-044862-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420416115345/0001144204-16-115345-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420417037145/0001144204-17-037145-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420418039152/0001144204-18-039152-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420419036278/tv525138_10k.htm,https://www.sec.gov/Archives/edgar/data/6207/000110465920086542/0001104659-20-086542-index.htm,https://www.sec.gov/Archives/edgar/data/6207/000110465921096369/0001104659-21-096369-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
