,https://roic.ai/company/AXR,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,156500000,157300000,153100000,192200000,194600000,181400000,168400000,179900000,178900000,186100000,181800000,205300000,229800000,217800000,172436000,164844000,149688000,159346000,171165000,194309000,189041000,292659000,284951000,227652000,211509000,190040000,203039000,195856000,184948000,138729000,120628000,106676000,105865000,100530000,96666000,97366000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/6207/000000620794000003/0000006207-94-000003-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620795000008/0000006207-95-000008-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620796000004/0000006207-96-000004-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620797000003/0000006207-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620798000002/0000006207-98-000002-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620799000004/0000006207-99-000004-index.html,- -,https://www.sec.gov/Archives/edgar/data/6207/000000620701500003/0000006207-01-500003-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620702000004/0000006207-02-000004-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/6207/000000620705000019/0000006207-05-000019-index.htm,- -,https://www.sec.gov/Archives/edgar/data/6207/000000620707000013/0000006207-07-000013-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620708000013/0000006207-08-000013-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620709000003/0000006207-09-000003-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620710000005/0000006207-10-000005-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620711000010/0000006207-11-000010-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620712000009/0000006207-12-000009-index.html,https://www.sec.gov/Archives/edgar/data/6207/000000620713000031/0000006207-13-000031-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420414045520/0001144204-14-045520-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420415044862/0001144204-15-044862-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420416115345/0001144204-16-115345-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420417037145/0001144204-17-037145-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420418039152/0001144204-18-039152-index.html,https://www.sec.gov/Archives/edgar/data/6207/000114420419036278/tv525138_10k.htm,https://www.sec.gov/Archives/edgar/data/6207/000110465920086542/0001104659-20-086542-index.htm,https://www.sec.gov/Archives/edgar/data/6207/000110465921096369/0001104659-21-096369-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,6200000,- -,- -,-2400000,-4300000,-6800000,- -,2400000,4000000,2800000,7300000,8200000,7500000,1169000,2557000,3698000,6273000,11677000,15525000,26050000,45106000,13705000,-43466000,-9480000,-7561000,-1143000,-2838000,-2939000,11320000,-10224000,-15000,238000,1527000,-5903000,7392000
74,Depreciation and Amortization,- -,- -,- -,- -,2100000,1500000,1900000,1900000,5500000,6700000,2300000,2700000,3300000,4800000,4104000,3033000,2691000,3071000,5015000,5343000,5568000,7319000,10524000,10159000,11554000,5899000,4979000,3762000,3730000,3264000,2977000,1396000,1246000,606000,537000,554000
75,Deferred Income Tax,- -,- -,- -,- -,-1200000,-700000,-3600000,1000000,1800000,2400000,-700000,-20700000,-2500000,-1600000,1612000,-745000,2714000,933000,3542000,1333000,1764000,3267000,1614000,- -,- -,- -,- -,- -,- -,- -,- -,- -,3896000,-299000,-1798000,2494000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,47000,122000,68000,117000,187000,231000,113000,132000
77,Change in Working Capital,- -,- -,- -,- -,66200000,32500000,3300000,3600000,-10900000,10500000,-17800000,17900000,11600000,-4500000,-16246000,-2827000,-11058000,-2469000,-283000,5970000,11864000,-28984000,-11010000,-25423000,14319000,-11422000,1536000,-551000,15416000,22601000,-8060000,-6782000,2768000,2007000,37000,12395000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,4300000,1900000,-2200000,700000,-20100000,-1400000,700000,-14300000,-7400000,10200000,19164000,-2085000,11051000,-788000,4863000,-1258000,6942000,1064000,-19696000,-4313000,166000,86000,-396000,370000,2573000,3660000,7079000,6033000,-2783000,1110000,2390000,2380000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1706000,-10703000,-2155000,-1831000,-1418000,1180000,196000,161000,1333000
81,Other Working Capital,- -,- -,- -,- -,66200000,98700000,102000000,105600000,94700000,105200000,87400000,105300000,116900000,112400000,96154000,93327000,82269000,79800000,79517000,85487000,97351000,68367000,57357000,31934000,46253000,34831000,36367000,35816000,51232000,73833000,65773000,58991000,61759000,63766000,63803000,76198000
