,https://roic.ai/company/MFA,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,9043172,9046467,8869456,15228975,41432000,53999000,76168000,82025000,59800000,91875000,179994000,245310377,281173000,341368000,356762000,362399000,369048000,372114000,372085000,389105063,421766176,453896250,452033000,453323000
28,Weighted Average Shares Outstanding Diluted,9130435,9046467,8869456,15330119,41534000,54061000,76217000,82025000,59800000,91875000,180042000,245310377,281243000,341627000,356762000,362399000,369048000,372114000,372085000,389105063,421766176,459641772,452033000,453323000
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1055160/000077673499000016/0000776734-99-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/1055160/000105516001500020/0001055160-01-500020-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000100547702001361/0001005477-02-001361-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000119380503000071/0001193805-03-000071-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000114544304000129/0001145443-04-000129-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000114544305000224/0001145443-05-000224-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380506000680/0001193805-06-000680-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000114544307000425/0001145443-07-000425-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380508000585/0001193805-08-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380509000368/0001193805-09-000368-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380510000390/0001193805-10-000390-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000110465911007328/0001104659-11-007328-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000110465912010483/0001104659-12-010483-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000110465913017869/0001104659-13-017869-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516014000036/0001055160-14-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516015000041/0001055160-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516016000119/0001055160-16-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516017000004/0001055160-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516018000005/0001055160-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516019000005/0001055160-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516020000006/0001055160-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516021000004/0001055160-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516022000005/0001055160-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6000000,23600000,8899414,58533000,64087000,139707000,68341000,64301000,47200000,234410000,361167000,653460000,345243000,394022000,401293000,565370000,182437000,165007000,260112000,449757000,51965000,70629000,814354000,304696000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,6000000,23600000,8899414,58533000,64087000,139707000,68341000,64301000,47200000,234410000,361167000,653460000,345243000,394022000,401293000,565370000,182437000,165007000,260112000,449757000,51965000,70629000,814354000,304696000
34,Net Receivables,1500000,2900000,3433256,12340000,19472000,19514000,27413000,24198000,33182000,43610000,49724000,41775000,38215000,42837000,44033000,35828000,31257000,29002000,27795000,27415000,- -,- -,38850000,50191000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,-27413000,-24198000,-33182000,-43610000,-49724000,-41775000,-383073000,-436723000,-445199000,-601074000,-31257000,-29002000,-27795000,-27415000,- -,- -,-350606000,8300406000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,68341000,64301000,47200000,234410000,361167000,653460000,385000,136000,127000,124000,182437000,165007000,260112000,449757000,51965000,70629000,502598000,8655293000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,29398000,11789000,11611000,11337000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,39370000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,- -,- -,61076000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,492080000,611807000,1217002000,238999000,21400000
41,Intangible Assets,7400000,7600000,7388247,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,7189000,499269000,618996000,1217002000,238999000,82476000
42,Investments,- -,- -,- -,- -,3485319000,4372718000,6777574000,5714906000,6340668000,8301183000,10122583000,8757954000,8058710000,11219378000,- -,- -,- -,- -,- -,- -,- -,147992000,47148000,362549000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,-6777574000,-5744304000,-6352457000,-8312794000,-10133920000,-8757954000,238050000,87208000,13065035000,492163000,1371239000,1609482000,2219763000,2955243000,5112879000,- -,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,7189000,7189000,7189000,7189000,7189000,7189000,8303949000,11313775000,13072224000,499352000,1378428000,1616671000,2226952000,3454512000,5731875000,- -,- -,484395000
46,Other Assets,264700000,524400000,522490312,2068933000,3603859000,4564930000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,13496735000,6429702000,9624083000
47,Total Assets,264700000,524400000,522490312,2068933000,3603859000,4564930000,75530000,71490000,54389000,241599000,368356000,660649000,8304334000,11313911000,13072351000,499476000,1560865000,1781678000,2487064000,3904269000,5783840000,13567364000,6932300000,9139688000
48,Accounts Payable,800000,2800000,2038887,11387000,14299000,7239000,28351000,54157000,23164000,20212000,23867000,13274000,8007000,9112000,16104000,14726000,13095000,16949000,14129000,12263000,16280000,18238000,11116000,9621000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,725200000,226470000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,3202701000,4056761000,6133649000,5108843000,5731836000,7649788000,9351133000,7436726000,6428993000,- -,- -,8849274000,8927803000,10059776000,9339258000,7584062000,7995581000,9273389000,-11116000,- -
53,Total Current Liabilities,- -,- -,- -,- -,3217000000,4064000000,6162000000,5163000000,5755000000,7670000000,9375000000,7450000000,6437000000,- -,- -,8864000000,8940898000,10076725000,9353387000,7596325000,8011861000,9291627000,725200000,236091000
54,Long-Term Debt,- -,- -,- -,- -,16337000,16161000,22686000,22552000,9606000,9462000,9309000,- -,220933000,1181921000,746816000,466205000,210574000,122057000,96733000,460717000,781236000,891785000,4336976000,2695450000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33479000,6737000,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,-337000,-161000,314000,448000,394000,-462000,-309000,9000000,- -,- -,- -,-6942000,- -,-3492000,- -,-363944000,211129000,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,16000000,16000000,23000000,23000000,10000000,9000000,9000000,9000000,220933000,1181921000,780295000,466000000,210574000,118565000,96733000,96773000,992365000,891785000,4336976000,2695450000
59,Other Liabilities,193700000,456800000,452578816,1865309000,- -,- -,- -,- -,20409000,- -,18342000,- -,- -,10434795000,10986839000,- -,- -,241902000,- -,- -,- -,- -,3682298000,9056199000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,44977000
61,Total Liabilities,193700000,456800000,452578816,1865309000,3232659000,4079972000,6184850000,5185815000,5765409000,7678596000,9384342000,7458947000,6436960000,9252874000,10206544000,9329657000,9151472000,10200062000,9450120000,7693098000,9004226000,10183412000,4407498000,6596840000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,38000,38000,38000,38000,38000,38000,38000,38000,38000,80000,80000,80000,80000,80000,80000,80000,190000,190000
63,Common Stock,- -,100000,86928,283000,463000,632000,820000,801000,807000,1229000,2195000,2801000,2805000,3561000,3575000,3651000,3701000,3706000,3719000,3978000,4498000,4524000,4517000,4326000
64,Retained Earnings,-4300000,-2900000,-440084,-13704000,-12417000,-15764000,-17330000,-52315000,-68637000,-89263000,-210815000,-202189000,-191569000,-243061000,-260308000,-571544000,-568596000,-572332000,-572641000,-578950000,-632040000,-631040000,-1405327000,-1279484000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,-58000000,-30000000,-71000000,-310000000,187000000,255000000,-59000000,762000000,738000000,754000000,516000000,574000000,609000000,420000000,370000000,77000000,45578000
66,Other Total Stockholders Equity,75200000,70400000,70264652,217045000,383154000,500090000,745306000,770578000,776350000,1086259000,1775659000,2180612000,2184173000,2796222000,2805701000,2972064000,3014087000,3019807000,3028744000,3227528000,3623563000,3640388000,3848422000,3772238000
67,Total Stockholders Equity,70900000,67600000,69911496,203624000,371200000,484958000,728834000,661102000,678558000,927263000,1257077000,2168262000,2250447000,2497760000,3311006000,3142251000,3203272000,2967261000,3033902000,3261636000,3416101000,3383952000,2524802000,2542848000
68,Total Liabilities And Stockholders Equity,264600000,524400000,522490312,2068933000,3603859000,4564930000,6913684000,5846917000,6443967000,8605859000,10641419000,9627209000,8687407000,11750634000,13517550000,12471908000,12354744000,13167323000,12484022000,10954734000,12420327000,13567364000,6932300000,9139688000
69,Minority Interest,100000,- -,- -,- -,- -,- -,-6838154000,-5775427000,-6389578000,-8364260000,-10273063000,-8966560000,-383073000,-436723000,-445199000,-11972432000,-10793879000,-11385645000,-9996958000,-7050465000,-6636487000,- -,- -,- -
70,Total Liabilities & Equity,264700000,524400000,522490312,2068933000,3603859000,4564930000,75530000,71490000,54389000,241599000,368356000,660649000,8304334000,11313911000,13072351000,499476000,1560865000,1781678000,2487064000,3904269000,5783840000,13567364000,6932300000,9139688000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1055160/000077673499000016/0000776734-99-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/1055160/000105516001500020/0001055160-01-500020-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000100547702001361/0001005477-02-001361-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000119380503000071/0001193805-03-000071-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000114544304000129/0001145443-04-000129-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000114544305000224/0001145443-05-000224-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380506000680/0001193805-06-000680-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000114544307000425/0001145443-07-000425-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380508000585/0001193805-08-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380509000368/0001193805-09-000368-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380510000390/0001193805-10-000390-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000110465911007328/0001104659-11-007328-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000110465912010483/0001104659-12-010483-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000110465913017869/0001104659-13-017869-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516014000036/0001055160-14-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516015000041/0001055160-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516016000119/0001055160-16-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516017000004/0001055160-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516018000005/0001055160-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516019000005/0001055160-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516020000006/0001055160-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516021000004/0001055160-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516022000005/0001055160-22-000005-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,2900000,7600000,7866116,3784000,56094000,57848000,78073000,6708000,8758000,30210000,45797000,268189000,269762000,316414000,306839000,302709000,313504000,313226000,312668000,322393000,301801000,378117000,-679390000,328870000
74,Depreciation and Amortization,300000,1400000,1892234,5555000,28094000,45883000,50927000,58931000,31634000,27708000,18788000,512000,730000,2664000,3534000,5831000,1191000,860000,964000,1519000,1825000,3318000,46052000,- -
75,Deferred Income Tax,- -,- -,- -,-8656000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1910000,3283000,4385000,6488000,4158000,8581000,7832000,9162000,8033000,8007000,9239000,- -,- -
77,Change in Working Capital,-2500000,- -,- -,- -,-3217000000,-847000000,-2029659000,994960000,-609101000,-1727790000,-1578243000,2217293000,359925000,6436751000,-9000,-8864003000,105415000,-1153257000,818443000,1946707000,-813328000,-1261102000,8998396000,-5395000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-4622000,-1160000,8180000,4561000,4844000,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5267000,1105000,6992000,13808000,45165000,50745000,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,-3217000000,-4064000000,-6093659000,-5098699000,-5707800000,-7435590000,-9013833000,-6796540000,-6436615000,136000,127000,-8863876000,-8758461000,-9911718000,-9093275000,-7146568000,-7959896000,-9220998000,-222602000,- -
82,Other Non-Cash Items,-300000,1300000,-4836710,20987000,3216179000,855419000,2028957000,-924405000,584592000,1738550000,1700083000,-2217940000,-387762000,-6425805000,-6465000,8849393000,-172878000,1113513000,-1055725000,-2102582000,649576000,1086203000,-8326662000,-203182000
83,Cash Provided by Operating Activities,400000,10300000,4921640,21670000,83367000,112150000,128298000,136194000,15883000,68678000,186425000,269964000,245938000,334409000,310387000,298088000,255813000,282174000,85512000,176070000,147881000,215775000,38396000,120293000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-231000,- -,- -,-438000,-2343000,-443000,-373000,-786000,-1560000,-708000,-872000,-1133000,-1879000,-4862000,-12048000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-808887000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6121000
86,Purchases of Investments,-240900000,-356000000,-121074725,-1753715000,-2958608000,-3401798000,-4594995000,-2308134000,-4128466000,-4492460000,-5202083000,- -,-3114178000,-4834169000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,48000000,113300000,112550865,308384000,1404542000,2433179000,2118515000,3247039000,3480963000,2541767000,3231566000,2584110000,4029995000,2441783000,- -,- -,- -,- -,- -,- -,- -,- -,- -,157297000
88,Other Investing Activites,3700000,-7800000,-754791,-397000,345000,1504000,258000,- -,23534000,-231000,- -,-666000,- -,11370000,-649985000,1600974000,451789000,551644000,1027634000,1817220000,-2156742000,-1132862000,6388370000,-2318398000
89,Cash Used for Investing Activites,-189200000,-250500000,-9278651,-1445728000,-1553721000,-967115000,-2476222000,938905000,-623969000,-1950924000,-1970517000,1774557000,915379000,-2383359000,-650428000,1600601000,451003000,550084000,1026926000,1816348000,-2157875000,-1134741000,6383508000,-2167028000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,-144000,-63987878000,-166000,-34517000,-308668000,-415395000,-409606000,-254078000,-88347000,-22057000,-16562000,-97969000,-114386000,-23545964000,-1929343000
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,403368000,609000,607803000,13038000,77625000,35639000,1218000,4660000,196808000,392474000,12325000,7441000,1825000
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-9713000,-112281000,- -,- -,- -,- -,-329000,- -,-50835000,-85591000
93,Dividends Paid,-5600000,-7300000,-5319001,-10736000,-47573000,-60224000,-77392000,-55806000,-24239000,-37730000,-139003000,-229661000,-268388000,-337421000,-349389000,-608577000,-309670000,-312379000,-312895000,-323588000,-344759000,-376565000,-143304000,-189015000
94,Other Financing Activites,190200000,261400000,-1819282,1484926000,1523481000,990809000,2353950000,-1023333000,615224000,2107330000,66037730000,-1925769000,-1167238000,2136015000,1108771000,-681773000,-561640000,-450180000,-687041000,-1659431000,1685543000,1443547000,17997613000,3831787000
95,Cash Used/Provided by Financing Activities,184600000,254100000,-7138283,1474190000,1475908000,930585000,2276558000,-1079139000,590985000,2069456000,1910849000,-1752228000,-1469534000,2097729000,347312000,-1734612000,-1089749000,-849688000,-1017333000,-1802773000,1634960000,964921000,-5735049000,1629663000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,184600000,13900000,-11495294,50132000,5554000,75620000,-71366000,-4040000,-17101000,187210000,126757000,292293000,-308217000,48779000,7271000,164077000,-382933000,-17430000,95105000,189645000,-375034000,45955000,686855000,-417072000
98,Cash at the End of Period,- -,19900000,8400539,58533000,64087000,139707000,68341000,64301000,47200000,234410000,361167000,653460000,345243000,394022000,401293000,565370000,182437000,165007000,260112000,449757000,88709000,134664000,821519000,404447000
99,Cash at the Beginning of Period,10100000,6000000,19895833,8401000,58533000,64087000,139707000,68341000,64301000,47200000,234410000,361167000,653460000,345243000,394022000,401293000,565370000,182437000,165007000,260112000,463743000,88709000,134664000,821519000
100,Free Cash Flow,400000,10300000,4921640,21670000,83367000,112150000,128298000,136194000,15883000,68447000,186425000,269964000,245500000,332066000,309944000,297715000,255027000,280614000,84804000,175198000,146748000,213896000,33534000,108245000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1055160/000077673499000016/0000776734-99-000016-index.html,- -,https://www.sec.gov/Archives/edgar/data/1055160/000105516001500020/0001055160-01-500020-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000100547702001361/0001005477-02-001361-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000119380503000071/0001193805-03-000071-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000114544304000129/0001145443-04-000129-index.html,https://www.sec.gov/Archives/edgar/data/1055160/000114544305000224/0001145443-05-000224-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380506000680/0001193805-06-000680-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000114544307000425/0001145443-07-000425-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380508000585/0001193805-08-000585-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380509000368/0001193805-09-000368-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000119380510000390/0001193805-10-000390-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000110465911007328/0001104659-11-007328-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000110465912010483/0001104659-12-010483-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000110465913017869/0001104659-13-017869-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516014000036/0001055160-14-000036-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516015000041/0001055160-15-000041-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516016000119/0001055160-16-000119-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516017000004/0001055160-17-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516018000005/0001055160-18-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516019000005/0001055160-19-000005-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516020000006/0001055160-20-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516021000004/0001055160-21-000004-index.htm,https://www.sec.gov/Archives/edgar/data/1055160/000105516022000005/0001055160-22-000005-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,
