,https://roic.ai/company/CTSH,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,58600000,88900000,137031000,177778000,229086000,368231000,586673000,885830000,1424267000,2135577000,2816304000,3278663000,4592389000,6121156000,7346472000,8843189000,10262681000,12416000000,13487000000,14810000000,16125000000,16783000000,16652000000,18507000000
2,COGS,31900000,46200000,70437000,90848000,122701000,199724000,319810000,479915000,787923000,1206035000,1572816000,1849443000,2654569000,3538622000,4278241000,5265469000,6141118000,7440200000,8108000000,9152000000,9838000000,10634000000,10671000000,11604000000
3,Gross Profit,26700000,42700000,66594000,86930000,106385000,168507000,266863000,405915000,636344000,929542000,1243488000,1429220000,1937820000,2582534000,3068231000,3577720000,4121563000,4975800000,5379000000,5658000000,6287000000,6149000000,5981000000,6903000000
4,Gross Profit Ratio,0.4556,0.4803,0.4860,0.4890,0.4644,0.4576,0.4549,0.4582,0.4468,0.4353,0.4415,0.4359,0.4220,0.4219,0.4176,0.4046,0.4016,0.4008,0.3988,0.3820,0.3899,0.3664,0.3592,0.3730
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,15500000,23100000,35959000,44942000,53345000,84259000,132796000,206899000,343238000,494102000,652021000,721359000,972093000,1328665000,1557646000,1727609000,2037021000,2508600000,2731000000,2769000000,3026000000,2972000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",15500000,23100000,35959000,44942000,53345000,84259000,132796000,206899000,343238000,494102000,652021000,721359000,972093000,1328665000,1557646000,1727609000,2037021000,2508600000,2731000000,2769000000,3026000000,2972000000,3100000000,3503000000
9,Other Expenses,2200000,3000000,4507000,6368000,7842000,9926000,16447000,21400000,34163000,53918000,74797000,89371000,103875000,117401000,149089000,172201000,199664000,325200000,359000000,408000000,460000000,507000000,552000000,574000000
