,https://roic.ai/company/WTRG,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,-13600000,-15100000,-15500000,-17700000,-18300000,-31900000,-37775000,-35253000,-36928000,-36843000,-45103000,-48438000,-53297000,-60474000,-63299000,-65264000,-73948000,-69957000,-70549000,-77559000,-75256000,-104348000,-70425000,-72315000,-144859000,-128633000,-169715000,-180709000
20,Income Before Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,27200000,30900000,33800000,39100000,48400000,62800000,86995000,99087000,109252000,116718000,132131000,148069000,152250000,155542000,162502000,172195000,198128000,215853000,250968000,227683000,239103000,216752000,255160000,256652000,178319000,211526000,264971000,422000000
21,Income Before Tax Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.2505,0.2641,0.2759,0.2871,0.3205,0.2441,0.3157,0.3225,0.3393,0.3178,0.2989,0.2981,0.2854,0.2582,0.2592,0.2568,0.2729,0.3032,0.3312,0.2962,0.3066,0.2662,0.3112,0.3170,0.2128,0.2378,0.1812,0.2247
22,Income Tax expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,11600000,12900000,14000000,15900000,19600000,26500000,34105000,38976000,42046000,45923000,52124000,56913000,60246000,60528000,64584000,67842000,74153000,71091000,66881000,22690000,25219000,14962000,20978000,16914000,-13669000,-6694000,-19878000,-9612000
23,Net Income,7800000,8500000,8100000,8500000,7800000,4100000,4900000,4300000,13800000,15600000,18400000,20800000,23200000,28800000,36300000,52890000,60111000,67206000,70903000,80007000,91156000,92004000,95014000,97918000,104353000,123975000,143069000,196563000,221300000,233239000,201790000,234182000,239738000,191988000,224543000,284849000,431612000
24,Net Income ratio,0.0943,0.0886,0.0780,0.0675,0.0584,0.0498,0.0553,0.0461,0.1364,0.1436,0.1573,0.1698,0.1703,0.1907,0.1411,0.1920,0.1956,0.2087,0.1931,0.1810,0.1835,0.1725,0.1577,0.1562,0.1556,0.1707,0.2010,0.2594,0.2879,0.2991,0.2478,0.2856,0.2961,0.2291,0.2524,0.1947,0.2298
25,EPS,0.18,0.19,0.17,0.18,0.16,0.08,0.10,0.08,0.20,0.21,0.24,0.25,0.27,0.32,0.27,0.39,0.42,0.47,0.48,0.52,0.58,0.56,0.58,0.58,0.62,0.73,0.83,1.13,1.26,1.32,1.14,1.32,1.35,1.08,1.04,1.14,1.73
26,EPS Diluted,0.18,0.19,0.17,0.18,0.16,0.08,0.10,0.08,0.20,0.21,0.24,0.25,0.27,0.32,0.27,0.39,0.42,0.47,0.47,0.51,0.57,0.56,0.57,0.58,0.62,0.72,0.82,1.12,1.25,1.31,1.14,1.32,1.35,1.08,1.04,1.12,1.70
27,Weighted Average Shares Outstanding,44157609,44270833,46875000,47096631,48363095,50843254,51041667,52083333,65870098,75265755,78207654,82672571,84333829,89216519,133017507,134910689,141398548,142786013,147121321,155407781,159205000,163406250,166017500,167877500,169770000,171185000,172727500,174201250,176140000,176864000,176788000,177273000,177612000,177904000,215550000,249768000,249768000
28,Weighted Average Shares Outstanding Diluted,44157609,44270833,46875000,47096631,48363095,50843254,51041667,52083333,65870098,75265755,78207654,82672571,85077182,90739918,134453018,136275238,143236002,144227644,148736281,157132738,161507500,164717500,167002500,168381250,170161250,171620000,173361250,174917500,176814000,177763000,177517000,177846000,178175000,178399000,215931000,254629000,254629000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78128/000136231007000195/0001362310-07-000195-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000136231008001150/0001362310-08-001150-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000136231009002971/0001362310-09-002971-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000095012310017964/0000950123-10-017964-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000095012311018861/0000950123-11-018861-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000119312512082050/0001193125-12-082050-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000119312513084841/0001193125-13-084841-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000119312514080172/0001193125-14-080172-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812815000003/0000078128-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000156276216000347/0001562762-16-000347-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812817000002/0000078128-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812818000003/0000078128-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812819000002/0000078128-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812820000005/0000078128-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000156276221000081/0001562762-21-000081-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000156276222000068/0001562762-22-000068-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5915000,10757000,13116000,11872000,44039000,14540000,14944000,21869000,5934000,8204000,5521000,5058000,4138000,3229000,3763000,4204000,3627000,1868922000,4827000,- -
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273199000,307651000,355166000,408583000,478705000,601764000,38620000,1510377000,1664768000,1745634,7026000,6671000,6959000,5984000,1258098000,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5915000,10757000,13116000,11872000,317238000,322191000,370110000,430452000,484639000,609968000,44141000,1515435000,1668906000,4974634,10789000,10875000,10586000,1874906000,1262925000,- -
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,57680000,62320000,64538000,62690000,72149000,82921000,84523000,78742000,85881000,81056000,92921000,95356000,96999000,61870000,62759000,63554000,65825000,67137000,273313000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4555000,5841000,6903000,7798000,8359000,8803000,9822000,9519000,9158000,11186000,11757000,11438000,12788000,12414000,12961000,14361000,15844000,18379000,58401000,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2758000,5051000,5570000,7596000,-263046000,-298404000,-343414000,-397142000,-434259000,-381757000,112075000,-1450560000,-1626171000,49111366,42141000,42456000,54917000,52316000,-1214419000,437795000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,70908000,83969000,90127000,89956000,134700000,115511000,121041000,121571000,145419000,320453000,260894000,171669000,152522000,128370000,128650000,131246000,147172000,2012738000,380220000,437795000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1490841000,1824291000,2069812000,2279950000,3185111000,3573996000,3848419000,4141690000,4489653000,3612926000,3936163000,4167293000,4401990000,- -,6509117000,7003993000,7648469000,12867000,9573211000,10251866000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22580000,36631000,41007000,43083000,40234000,26944000,28152000,28223000,31184000,33866000,42208000,42230000,52726000,63822000,2324547000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7241000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,20122000,20180000,22580000,36631000,41007000,43083000,40234000,26944000,28152000,- -,- -,33866000,42208000,42230000,52726000,63822000,2331788000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,135086000,88905000,38620000,48695000,43334000,7716000,7026000,6671000,6959000,5984000,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16082000,7873000,581000,1118923000,1269253000,769073000,845403000,936158000,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,155320000,161476000,160187000,236639000,- -,- -,- -,- -,-737926000,299192000,578606000,656287000,808325000,4428998000,-1797263000,-1620750000,-1736233000,6330416000,1420058000,3968617000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1646161000,1985767000,2250121000,2536769000,3207691000,3610627000,3889426000,4184773000,3927047000,4027967000,4597623000,4880148000,5254230000,5589503000,6030341000,6201217000,6817324000,7349247000,13325057000,14220483000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1717069000,2069736000,2340248000,2626725000,3342391000,3726138000,4010467000,4306344000,4072466000,4348420000,4858517000,5051817000,5406752000,5717873000,6158991000,6332463000,6964496000,9361985000,13705277000,14658278000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31058000,32321000,23534000,55455000,49406000,45801000,50044000,57862000,45382000,68299000,55506000,65816000,63035000,56452000,59872000,59165000,77331000,74919000,177489000,- -
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,149378000,135845000,135310000,163150000,31155000,23927000,7297000,87064000,118081000,188200000,125421000,123028000,77013000,52314000,157206000,139048000,168944000,141719000,206554000,197146000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,18813000,16401000,16209000,28214000,15442000,31462000,21887000,25607000,23764000,22234000,22775000,37172000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,273199000,307651000,355166000,408583000,478705000,37758000,37818000,34366000,22456000,85089000,1269253000,769073000,845403000,936158000,1258098000,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,46095000,63835000,58538000,44734000,-98149000,-194167000,-219336000,-87064000,-551972000,131416000,55419000,43700000,62831000,-656000,-1184795000,-682798000,-692701000,-833947000,-1038268000,477917000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,226531000,232001000,217382000,263339000,255611000,183212000,193171000,466445000,90196000,425673000,274164000,266910000,225335000,193199000,301536000,284488000,398977000,318849000,603873000,675063000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,582910000,696666000,784461000,878438000,951660000,1215053000,1248104000,1386557000,1531976000,1395457000,1543954000,1468583000,1560655000,1720447000,1737605000,2007753000,2398464000,2943327000,5507744000,5779504000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,93343000,95556000,99014000,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,187300000,190395000,223887000,250346000,- -,- -,- -,- -,- -,601764000,723367000,867880000,1000791000,1118923000,1269253000,769073000,845403000,936158000,1258098000,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,116250000,-1165877000,-1073018000,-1031760000,-1094345000,959374000,1000529000,1313528000,1218945000,1187235000,1552671000,3019261000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,770210000,887061000,1008348000,1128784000,951660000,1215053000,1248104000,1386557000,1648226000,831344000,1194303000,1304703000,1467101000,3798744000,4007387000,4090354000,4556155000,5162276000,8417527000,8798765000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1767479000,2065766000,2382746000,2678696000,- -,- -,- -,- -,4456242000,3502778000,4392952000,4554775000,4993175000,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11645000,55642000,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1223800000,1410706000,1591780000,1813251000,696049000,1031841000,1054933000,920112000,2898212000,3097107000,3472813000,3516982000,3751409000,3991943000,4308923000,4374842000,4955132000,5481125000,9021400000,9473828000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,172000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,35034000,46635000,48036000,64829000,66509000,67050000,68026000,68574000,69223000,69762000,70472000,88964000,89296000,89682000,90155000,90350000,90576000,111935000,124285000,- -
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,180047000,210915000,245115000,285132000,319113000,350364000,379778000,409402000,452470000,508334000,611303000,729272000,849952000,930061000,1032844000,1132556000,1174245000,1210072000,1261862000,- -
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,566000,171000,-505000,-3632000,194000,- -,-14000,280000,499000,256000,115000,346000,788000,687000,669000,860000,- -,- -,- -,- -
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277450000,400397000,455822000,465594000,535814000,558884000,610656000,630648000,652062000,672961000,703814000,716253000,715307000,705500000,726400000,733855000,744543000,2558853000,3297730000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,493269000,658118000,748468000,811923000,921630000,976298000,1058446000,1108904000,1174254000,1251313000,1385704000,1534835000,1655343000,1725930000,1850068000,1957621000,2009364000,3880860000,4683877000,5184450000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1717069000,2068824000,2340248000,2625174000,1617679000,2008139000,2113379000,2029016000,4072466000,4348420000,4858517000,5051817000,5406752000,5717873000,6158991000,6332463000,6964496000,9361985000,13705277000,14658278000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,912000,- -,1551000,1724712000,1717999000,1897088000,2277328000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1717069000,2069736000,2340248000,2626725000,3342391000,3726138000,4010467000,4306344000,4072466000,4348420000,4858517000,5051817000,5406752000,5717873000,6158991000,6332463000,6964496000,9361985000,13705277000,14658278000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/78128/000136231007000195/0001362310-07-000195-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000136231008001150/0001362310-08-001150-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000136231009002971/0001362310-09-002971-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000095012310017964/0000950123-10-017964-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000095012311018861/0000950123-11-018861-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000119312512082050/0001193125-12-082050-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000119312513084841/0001193125-13-084841-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000119312514080172/0001193125-14-080172-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812815000003/0000078128-15-000003-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000156276216000347/0001562762-16-000347-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812817000002/0000078128-17-000002-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812818000003/0000078128-18-000003-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812819000002/0000078128-19-000002-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000007812820000005/0000078128-20-000005-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000156276221000081/0001562762-21-000081-index.htm,https://www.sec.gov/Archives/edgar/data/78128/000156276222000068/0001562762-22-000068-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,15600000,18400000,20800000,23200000,28800000,36300000,52890000,60111000,67206000,70903000,80007000,91156000,92004000,95014000,97918000,104353000,123975000,143069000,196563000,221300000,233239000,201790000,234182000,239738000,191988000,224543000,284849000,431612000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34100000,40168000,- -,- -,- -,- -,75041000,88011000,94300000,114939000,121067000,111942000,116996000,124793000,126535000,128737000,133008000,136724000,146673000,156476000,257059000,297952000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,2700000,2600000,600000,3800000,5000000,6300000,10885000,14935000,18470000,26741000,40577000,26027000,10794000,21993000,45768000,47240000,-74153000,-74142000,-77563000,-26742000,-31477000,16506000,17250000,13780000,-14950000,-10436000,-17782000,-8514000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3604000,4320000,3871000,3603000,4031000,3851000,5550000,5066000,6819000,5860000,5390000,6342000,7567000,7368000,8160000,10078000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,400000,- -,- -,- -,- -,- -,-6067000,-5398000,-144158000,7591000,20777000,-46128000,52472000,53210000,-4429000,-272744000,400097000,-160443000,91950000,-81971000,22428000,7984000,-108057000,19644000,-98563000,1945694000,-1917542000,-104415000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8769000,-7235000,-10081000,-1704000,-8303000,-6831000,-7543000,- -,- -,- -,-3974000,-6458000,-18024000,-4335000,-35348000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8769000,-7235000,-10081000,-1704000,-8303000,-6831000,-7543000,- -,- -,- -,-3974000,-6458000,-18024000,-4335000,-35348000,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-12870000,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-6067000,-11465000,-155623000,-148032000,-127255000,-173383000,-120911000,-67701000,-72130000,-344874000,55223000,-105220000,-13270000,-95241000,-72813000,-64829000,-172886000,-153242000,-251805000,1693889000,-223653000,- -
82,Other Non-Cash Items,- -,- -,- -,- -,- -,- -,- -,- -,- -,10500000,11800000,16200000,14800000,21400000,31500000,-4836000,-7651000,180042000,38138000,32242000,128619000,-63189000,-68380000,-15922000,261199000,-311175000,342570000,34911000,125373000,6244000,9917000,114390000,-34910000,135807000,-1985122000,1893280000,-7781000
83,Cash Provided by Operating Activities,- -,- -,- -,- -,- -,- -,- -,- -,- -,29200000,32800000,37600000,41800000,55200000,74100000,86972000,102165000,121560000,143373000,173603000,199674000,170726000,194168000,221506000,258590000,263842000,366847000,368407000,367819000,363788000,370794000,396163000,381318000,368522000,338523000,508024000,644679000
84,CAPEX,- -,- -,- -,- -,- -,- -,- -,- -,- -,-27400000,-33200000,-31400000,-39000000,-58900000,-96400000,-129740000,-124088000,-136164000,-163320000,-195736000,-237462000,-271706000,-238140000,-267418000,-283584000,-326626000,-330585000,-347985000,-308171000,-328605000,-364689000,-382996000,-478089000,-495737000,-550273000,-835642000,-1020519000
