,https://roic.ai/company/BLDR,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0041,0.0144,0.0207,0.0403,0.0333,0.0496,-0.0255,-0.1456,-0.1294,-0.1362,-0.0801,-0.0503,-0.0279,0.0123,-0.0052,0.0034,0.0131,0.0338,0.0388,0.0477,0.1132
22,Income Tax expense (Gain),- -,8611000,13343000,31480000,29317000,42237000,-16850000,-18870000,-30823000,-1112000,2217000,577000,769000,1111000,4387000,-122672000,53148000,55564000,60946000,94629000,526131000
23,Net Income,1542000,-9549000,17576000,51581000,48628000,68893000,-23752000,-139494000,-61854000,-95508000,-64995000,-56856000,-42691000,18150000,-22831000,144341000,38781000,205191000,221809000,313537000,1725416000
24,Net Income ratio,0.0010,-0.0064,0.0105,0.0251,0.0208,0.0308,-0.0149,-0.1348,-0.0912,-0.1364,-0.0834,-0.0531,-0.0287,0.0113,-0.0064,0.0227,0.0055,0.0266,0.0305,0.0366,0.0867
25,EPS,0.13,-0.35,0.64,1.88,1.53,1.87,-0.62,-3.58,-1.58,-1.04,-0.68,-0.60,-0.44,0.19,-0.22,1.30,0.34,1.79,1.92,2.69,8.55
26,EPS Diluted,0.13,-0.35,0.64,1.77,1.42,1.75,-0.62,-3.59,-1.58,-1.04,-0.68,-0.60,-0.44,0.18,-0.22,1.27,0.34,1.76,1.90,2.66,8.48
27,Weighted Average Shares Outstanding,27867080,27682623,27509082,27433771,31818154,36886880,38096215,38892978,39164000,91676000,94950000,95463000,96449000,98050000,103190000,110754000,112587000,114586000,115713000,116611000,201839000
28,Weighted Average Shares Outstanding Diluted,28030798,27735013,27561472,29157182,34302310,39335018,38096215,38892978,39164000,91676000,94950000,95463000,96449000,100522000,103190000,113585000,115597000,116554000,117025000,117917000,203470000
29,SEC Link,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1316835/000095013406004905/d33711e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013407005357/d43878e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013408004136/d54408e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000095013409004066/0000950134-09-004066-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000095012310021074/0000950123-10-021074-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000095012311021379/d80042e10vk.htm,https://www.sec.gov/Archives/edgar/data/1316835/000119312512094395/0001193125-12-094395-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000119312513087218/0001193125-13-087218-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459014000455/bldr-10k_20131231.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459015001235/bldr-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459016014562/0001564590-16-014562-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459017003114/0001564590-17-003114-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459018004035/0001564590-18-004035-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459019005770/0001564590-19-005770-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459020005717/0001564590-20-005717-index.html,https://www.sec.gov/Archives/edgar/data/1316835/000156459021009308/0001564590-21-009308-index.htm,https://www.sec.gov/Archives/edgar/data/1316835/000156459022007980/0001564590-22-007980-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,3309000,- -,5585000,50628000,30736000,93258000,97574000,106891000,84098000,103234000,146833000,131432000,54696000,17773000,65063000,14449000,57533000,10127000,14096000,423806000,42603000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,3309000,- -,5585000,50628000,30736000,93258000,97574000,106891000,84098000,103234000,146833000,131432000,54696000,17773000,65063000,14449000,57533000,10127000,14096000,423806000,42603000
34,Net Receivables,- -,- -,216855000,223242000,237695000,196658000,149482000,126500000,100481000,59691000,76429000,117405000,143036000,148352000,586322000,624989000,703224000,722807000,692393000,956454000,1963871000
35,Inventory,- -,- -,122552000,137858000,149397000,122015000,95038000,68868000,48022000,63810000,73327000,108999000,123636000,138156000,513045000,541771000,601547000,596896000,561255000,784527000,1626244000
36,Other Current Assets,- -,- -,22306000,21851000,24753000,28380000,26672000,8358000,7741000,8614000,23072000,22036000,9793000,27259000,29899000,34772000,33564000,43921000,39123000,58895000,335551000
37,Total Current Assets,- -,- -,367298000,433579000,442581000,440311000,368766000,310617000,240342000,235349000,319661000,379872000,331161000,331540000,1194329000,1215981000,1395868000,1373751000,1306867000,2223682000,3968269000
38,PP&E,- -,- -,85741000,87486000,99862000,109777000,96358000,80374000,64025000,57068000,48224000,44084000,49392000,75679000,734329000,656101000,639303000,670075000,1014571000,1023692000,1843274000
39,Goodwill,- -,- -,- -,- -,- -,173806000,155588000,111193000,111193000,111193000,111193000,111193000,111193000,139774000,739625000,740411000,740411000,740411000,769022000,785305000,3270192000
40,Intangible Assets,- -,- -,163244000,163152000,163030000,7855000,10568000,4040000,2748000,2200000,1657000,1208000,827000,17228000,189604000,159373000,132567000,103154000,128388000,119882000,1603409000
41,Intangible Assets,- -,- -,163244000,163152000,163030000,181661000,166156000,115233000,113941000,113393000,112850000,112401000,112020000,157002000,929229000,899784000,872978000,843565000,897410000,905187000,4873601000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,115320000,75105000,22766000,8417000,4653000,362121000
