,https://roic.ai/company/CSBB,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,414141284,440117690,447047000,536958000,572803000,194134000,186961000,204674000,169210000,164544000,156477000,17648000,19281000,819014000
38,PP&E,2669430,2563216,3601254,5372876,8941975,9249920,9040612,9070238,8563276,8243997,7671822,7390182,7273238,8470855,8353869,7878000,8513000,8475000,8690000,8286000,8209000,8749000,9244000,9961000,12040000,12633000,13866000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1725422,1725000,4728000,4728000,4728000,4728000,4728000,4728000,4728000,4728000,4728000,4728000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,469000,406000,1034000,894000,759000,629000,504000,383000,268000,167000,104000,44000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2045043,2194422,2131000,5762000,5622000,5487000,5357000,5232000,5111000,4996000,4895000,4832000,4772000,4728000
42,Investments,- -,- -,- -,- -,- -,- -,- -,73088050,67773242,76228470,81220248,70241026,74525730,81887616,80620551,80667000,123026000,129291000,146072000,138424000,161788000,127758000,123510000,106299000,126107000,199570000,306631000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-81887616,-80620551,-80667000,-123026000,-129291000,242082000,281953000,270411000,359150000,404769000,454090000,-138147000,-212203000,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10515898,10548291,10009000,14275000,14097000,402331000,434020000,445640000,500768000,542519000,575245000,4832000,4772000,325225000
46,Other Assets,233210243,254135180,288441915,317501918,326546468,325212250,306345312,304713124,306179789,317340343,320989232,327239847,350269745,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1469464000
47,Total Assets,233210243,254135180,288441915,317501918,326546468,325212250,306345312,304713124,306179789,317340343,320989232,327239847,350269745,424657182,450665981,457056000,551233000,586900000,596465000,620981000,650314000,669978000,707063000,731722000,22480000,24053000,1144239000
48,Accounts Payable,- -,- -,- -,- -,859963,1041043,877632,1166463,1132971,1120408,930800,1470379,1276610,1846841,- -,- -,- -,2340000,1991000,1876000,1943000,2651000,2383000,2748000,4442000,4332000,4240000
49,Short-Term Debt,- -,- -,- -,- -,12835554,- -,- -,15380060,767247,10677396,21417616,28022077,27305157,22891593,28763604,32018000,37073000,43992000,48671000,46627000,48598000,48742000,39480000,37415000,38889000,37215000,36530000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,480938000,499997000,- -,- -,- -,- -,-4442000,-4332000,- -
53,Total Current Liabilities,- -,- -,- -,- -,13695517,- -,- -,16546523,1900218,11797804,22348416,29492456,28581767,24738434,28763604,32018000,37073000,46332000,531600000,548500000,50541000,51393000,41863000,40163000,38889000,37215000,40770000
54,Long-Term Debt,1950196,11741515,11686863,10111119,- -,- -,- -,- -,8745234,8067840,8067840,2499399,26023888,50997537,45009781,22909000,19161000,12672000,12459000,14953000,13465000,12385000,11409000,8525000,6330000,4664000,3407000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,41000,47000,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,1950196,11741515,11686863,10111119,- -,- -,- -,- -,8745234,8067840,8067840,2499399,26023888,50997537,45009781,22909000,19161000,12672000,12500000,15000000,13465000,12385000,11409000,8525000,6330000,4664000,3407000
59,Other Liabilities,214817676,242450215,272854298,296752938,279649273,293672316,273624175,254424317,278307267,277402872,271538397,265176470,311433818,407447813,421090096,400793000,483892000,500787000,- -,30031000,551972000,565555000,606077000,623548000,700648000,905222000,1009561000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,212867480,230708700,261167435,286641819,293344790,293672316,273624175,270970840,271462251,281132836,285818973,292169527,313991697,381188710,404843919,409902000,501804000,534447000,544054000,563531000,589048000,604563000,636531000,655186000,733207000,937773000,1046924000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,4026738,8114826,8216191,16590255,16673693,16673667,16673667,16673667,16673667,16673667,16673667,16673667,16673667,18628767,18628767,18629000,18629000,18629000,18629000,18629000,18629000,18629000,18629000,18629000,18629000,18629000,18629000
64,Retained Earnings,12065770,10818500,13907908,8292636,10702853,9840016,10571152,11621292,12214751,13358321,14752250,16248608,17990445,19723972,21146199,22673000,24391000,26962000,30232000,34090000,38030000,42629000,47535000,54288000,61740000,69209000,76715000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,121722,61143,388723,-582887,-583618,-239101,143775,1067825,873000,1430000,1864000,-1456000,-282000,-417000,-874000,-663000,-1412000,72000,986000,-2125000
66,Other Total Stockholders Equity,4250255,4493154,5150381,5977208,5825132,5026251,5476318,5325603,5767977,5786796,4327229,2731663,1853037,4971958,4979271,4979000,4979000,4998000,5006000,5013000,5024000,5031000,5031000,5031000,5035000,5035000,- -
67,Total Stockholders Equity,20342763,23426480,27274480,30860099,33201678,31539934,32721137,33742284,34717538,36207507,35170259,35070320,36278048,43468472,45822062,47154000,49429000,52453000,52411000,57450000,61266000,65415000,70532000,76536000,85476000,93859000,97315000
68,Total Liabilities And Stockholders Equity,233210243,254135180,288441915,317501918,326546468,325212250,306345312,304713124,306179789,317340343,320989232,327239847,350269745,424657182,450665981,457056000,551233000,586900000,596465000,620981000,650314000,669978000,707063000,731722000,818683000,1031632000,1144239000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-796203000,-1007579000,- -
70,Total Liabilities & Equity,233210243,254135180,288441915,317501918,326546468,325212250,306345312,304713124,306179789,317340343,320989232,327239847,350269745,424657182,450665981,457056000,551233000,586900000,596465000,620981000,650314000,669978000,707063000,731722000,22480000,24053000,1144239000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880417/000095015209003077/0000950152-09-003077-index.html,https://www.sec.gov/Archives/edgar/data/880417/000095012310028592/0000950123-10-028592-index.html,- -,https://www.sec.gov/Archives/edgar/data/880417/000119312512131766/0001193125-12-131766-index.html,https://www.sec.gov/Archives/edgar/data/880417/000119312513124348/0001193125-13-124348-index.html,- -,https://www.sec.gov/Archives/edgar/data/880417/000119312515101699/0001193125-15-101699-index.htm,https://www.sec.gov/Archives/edgar/data/880417/000119312516516446/0001193125-16-516446-index.html,https://www.sec.gov/Archives/edgar/data/880417/000119312517093319/0001193125-17-093319-index.html,https://www.sec.gov/Archives/edgar/data/880417/000119312518085631/0001193125-18-085631-index.html,https://www.sec.gov/Archives/edgar/data/880417/000119312519076197/0001193125-19-076197-index.html,https://www.sec.gov/Archives/edgar/data/880417/000156459020011140/0001564590-20-011140-index.html,https://www.sec.gov/Archives/edgar/data/880417/000156459021013635/0001564590-21-013635-index.htm,https://www.sec.gov/Archives/edgar/data/880417/000156459022010667/0001564590-22-010667-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3592252,3859466,4407200,4230644,4266286,320893,1059078,1923138,2060109,2526235,2872639,3110105,3513914,3537070,3391283,3496000,3687000,4547000,5240000,5884000,6022000,6738000,7101000,9412000,10414000,10568000,10837000
74,Depreciation and Amortization,331927,428307,385148,398058,448818,640263,552590,809299,738605,791457,758310,739789,711973,838954,758502,645000,662000,644000,779000,928000,916000,905000,865000,799000,745000,853000,- -
75,Deferred Income Tax,-48921,-72705,1763,- -,53573,-1436845,435642,1426542,-113793,115246,408837,198675,-131300,-46900,402900,293000,345000,-50000,77000,175000,83000,-4000,-167000,93000,66000,-36000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7313,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,-225128,- -,- -,- -,-13695517,13695517,- -,-16546523,14646305,-9897586,-10550612,-7144040,910689,417984617,21951236,3674914,84856000,26586000,-863937000,-24073000,515672000,-36316000,4864000,-6367000,-137555000,3307000,796178000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32000,-57000,45000,-184000,103000,-135000,-36000,-60000,-518000,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,123781,11006,33255,23691,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-95753,-109000,-31000,-47000,-39000,-12000,-4000,-4000,14000,-2000,39000,-36000,- -
81,Other Working Capital,- -,- -,- -,- -,-13695517,- -,- -,-16546523,-1900218,-11797804,-22348416,-29492456,-28581767,389402850,411354086,415029000,499885000,526471000,-337466000,-361539000,154133000,117817000,122681000,116314000,-21241000,-17934000,778244000
82,Other Non-Cash Items,351445,643399,-715664,923585,17233081,-7492755,-1097446,16350796,-13893772,9337158,10429442,7914451,-710282,-417747199,-23084871,-2106914,-83776000,-24663000,864790000,24249000,-515027000,35644000,-3708000,8351000,138228000,-520000,-807015000
83,Cash Provided by Operating Activities,4001575,4858467,4078447,5552287,8306241,5727073,949864,3963252,3437454,2872510,3918616,4818980,4294994,4566542,3426363,6002000,5774000,7064000,6949000,7163000,7666000,6967000,8955000,12288000,11898000,14172000,- -
84,CAPEX,-587624,-322093,-1423186,-2169680,-3784214,-807918,-488288,-459672,-216879,-440730,-624692,-283749,-295975,-513633,-670950,-103000,883000,26000,18000,-427000,-611000,26000,-1325000,30000,-2786000,-2142000,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6762056,- -,- -,60872000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
86,Purchases of Investments,-23664287,-16867155,-56987747,-24849223,-37613638,-969782,-34770000,-20497528,-44537368,-48940043,-26295553,-5778145,-19406047,-31756113,-32428590,-54909000,-95542000,-82382000,-63828000,-37893000,-79684000,-36739000,-17728000,-7036000,-45858000,-135831000,- -
87,Sales/Maturities of Investments,18178470,19100731,23161211,22082463,20946537,10328950,39295843,39932822,49843793,41637417,20151584,16811030,15634028,35582233,35073937,54593000,48576000,76220000,41720000,47942000,55597000,69275000,21904000,22850000,27458000,62595000,77194000
88,Other Investing Activites,-15555647,-15417443,-14572028,-14145447,-9371057,-10324871,33302250,-31945937,-13662117,-5472798,1637535,-17436465,-25323483,-2638080,1947326,-3351000,-182000,-46769000,-17174000,-33470000,-12598000,-53605000,-43481000,-34560000,-10414000,-62878000,- -
89,Cash Used for Investing Activites,-21629088,-13505960,-49821750,-19081887,-26038158,-965703,37828093,-12510643,-8355692,-12775424,-4506434,-6403580,-29095502,7950096,3921723,-3770000,13138000,-52931000,-39282000,-23421000,-36685000,-21069000,-39305000,-18746000,-28814000,-136114000,- -
90,Debt Repayment,- -,-281348,-1343961,-1575744,-1401288,-1245004,-2105039,-508641,-10867579,-767245,-10677396,-5568441,-475511,-572168,-11581404,-21902000,-3748000,-6489000,-213000,-2506000,-1488000,-1080000,-10976000,-2884000,-2195000,-6666000,-1257000
91,Common Stock Issued,42217,49384,339350,469487,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
93,Dividends Paid,-610483,-784482,-940380,-1114047,-1458263,-845158,-197136,-406538,-951235,-1337323,-1822491,-1613747,-1771491,-1803543,-1969056,-1969000,-1969000,-1969000,-1970000,-2026000,-2082000,-2139000,-2304000,-2688000,-2962000,-3099000,-3331000
94,Other Financing Activites,25558979,17931998,31705580,27023049,8250358,-85663,-17779885,-2521253,11373737,10450393,14093389,9770000,21587684,-9588219,36117751,27338000,20703000,38945000,10237000,22114000,26938000,15887000,43212000,21174000,78522000,211342000,109561000
95,Cash Used/Provided by Financing Activities,24990713,16915552,29760589,24802745,5390807,-2175825,-20082060,-3436432,-445077,8345825,1593502,2587812,19340682,-11963930,22567291,3467000,14986000,30487000,8054000,17582000,23368000,12668000,29932000,15602000,73369000,201577000,104973000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,7363200,8268059,-15982714,11273145,-12341110,2585545,18695897,-11983823,-5363315,-1557089,1005684,1003212,-5459826,552708,29915377,5699000,33898000,-15380000,-24279000,1324000,-5651000,-1434000,-418000,9144000,56453000,79635000,62005000
98,Cash at the End of Period,22049697,30317756,14335042,25608187,13267077,15852622,34548519,22564696,17201381,15644292,16649976,17653188,12193362,12746070,42661447,48360000,82258000,66878000,42599000,43923000,38272000,36838000,36420000,45564000,102017000,181652000,243657000
99,Cash at the Beginning of Period,14686497,22049697,30317756,14335042,25608187,13267077,15852622,34548519,22564696,17201381,15644292,16649976,17653188,12193362,12746070,42661000,48360000,82258000,66878000,42599000,43923000,38272000,36838000,36420000,45564000,102017000,181652000
100,Free Cash Flow,3413951,4536374,2655261,3382607,4522027,4919155,461576,3503580,3220575,2431780,3293924,4535231,3999019,4052909,2755413,5899000,5188000,6111000,5423000,6736000,7055000,5549000,7630000,10951000,9112000,12030000,- -
101,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/880417/000095015209003077/0000950152-09-003077-index.html,https://www.sec.gov/Archives/edgar/data/880417/000095012310028592/0000950123-10-028592-index.html,- -,https://www.sec.gov/Archives/edgar/data/880417/000119312512131766/0001193125-12-131766-index.html,https://www.sec.gov/Archives/edgar/data/880417/000119312513124348/0001193125-13-124348-index.html,- -,https://www.sec.gov/Archives/edgar/data/880417/000119312515101699/0001193125-15-101699-index.htm,https://www.sec.gov/Archives/edgar/data/880417/000119312516516446/0001193125-16-516446-index.html,https://www.sec.gov/Archives/edgar/data/880417/000119312517093319/0001193125-17-093319-index.html,https://www.sec.gov/Archives/edgar/data/880417/000119312518085631/0001193125-18-085631-index.html,https://www.sec.gov/Archives/edgar/data/880417/000119312519076197/0001193125-19-076197-index.html,https://www.sec.gov/Archives/edgar/data/880417/000156459020011140/0001564590-20-011140-index.html,https://www.sec.gov/Archives/edgar/data/880417/000156459021013635/0001564590-21-013635-index.htm,https://www.sec.gov/Archives/edgar/data/880417/000156459022010667/0001564590-22-010667-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,
