,https://roic.ai/company/PPL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1976500000,2188900000,2088800000,2213900000,2356400000,2388700000,2559700000,2744100000,2727000000,2725100000,2751800000,2910000000,3049000000,3786000000,4590000000,5683000000,5725000000,5429000000,5587000000,5812000000,6219000000,6899000000,6498000000,8044000000,7556000000,8521000000,12737000000,12286000000,11860000000,11499000000,7669000000,7517000000,7447000000,7785000000,7769000000,7607000000,5783000000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,729200000,800000000,970000000,1553000000,2010000000,2461000000,2128000000,1457000000,1647000000,1697000000,1856000000,2219000000,1626000000,3271000000,5450000000,4105000000,5199000000,7711000000,7299000000,6633000000,3656000000,3242000000,3079000000,3527000000,3417000000,3210000000,3070000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2022600000,2110000000,2079000000,2233000000,2580000000,3222000000,3597000000,3972000000,3940000000,4115000000,4363000000,4680000000,4872000000,4773000000,2106000000,4416000000,7538000000,4575000000,4561000000,4866000000,4013000000,4275000000,4368000000,4258000000,4352000000,4397000000,2713000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.7350,0.7251,0.6819,0.5898,0.5621,0.5670,0.6283,0.7316,0.7052,0.7080,0.7016,0.6784,0.7498,0.5934,0.2787,0.5182,0.5918,0.3724,0.3846,0.4232,0.5233,0.5687,0.5865,0.5469,0.5602,0.5780,0.4691
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
9,Other Expenses,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1187200000,1301000000,1324000000,1313000000,1708000000,2020000000,2742000000,2732000000,2600000000,2728000000,3017000000,3067000000,3189000000,2954000000,1145000000,2550000000,3953000000,1466000000,1525000000,1594000000,1182000000,1227000000,1300000000,1406000000,1512000000,1594000000,1289000000
