,https://roic.ai/company/ARMP,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/921114/000103221003000453/0001032210-03-000453-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000095012404000848/0000950124-04-000848-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000095012405001252/0000950124-05-001252-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000095012406001265/0000950124-06-001265-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420407015314/0001144204-07-015314-index.htm,- -,https://www.sec.gov/Archives/edgar/data/921114/000119312509069362/0001193125-09-069362-index.htm,undefined,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/921114/000114420414022813/0001144204-14-022813-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420415023071/0001144204-15-023071-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420416091546/0001144204-16-091546-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420417016833/0001144204-17-016833-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420418014652/0001144204-18-014652-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000114420419015711/0001144204-19-015711-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000155837020002943/0001558370-20-002943-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000155837021003202/0001558370-21-003202-index.htm,https://www.sec.gov/Archives/edgar/data/921114/000155837022003845/0001558370-22-003845-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,2300000,2200000,3500000,1000000,1900000,4100000,38630216,25186000,12606000,21057000,34096000,14122000,6206000,16442000,5216000,5070000,- -,1100000,862000,20355000,6581000,9370000,5711000,5132000,8157000,6033000,9649000,10288000
32,Short-Term Investments,- -,- -,- -,- -,- -,3100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,2300000,2200000,3500000,1000000,1900000,7200000,38630216,25186000,12606000,21057000,34096000,14122000,6206000,16442000,5216000,5070000,- -,1100000,862000,20355000,6581000,9370000,5711000,5132000,8157000,6033000,9649000,10288000
34,Net Receivables,- -,- -,- -,- -,- -,1800000,3263622,3368000,1170000,166000,404000,380000,1498000,2611000,317000,- -,- -,120000,641000,8000,100000,125000,25000,- -,- -,- -,561000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,9400000,12400000,16000000,4300000,10500000,300000,291435,935000,452000,409000,653000,683000,531000,243000,132000,240000,- -,400000,148000,171000,339000,521000,619000,253000,251000,622000,636000,4707000
37,Total Current Assets,11700000,14600000,19500000,5300000,12400000,9300000,42185273,29489000,14228000,21632000,35153000,15185000,8235000,19296000,5665000,5310000,- -,1620000,1651000,20534000,7020000,10016000,6355000,5385000,8408000,6655000,10846000,14995000
38,PP&E,5000000,5000000,5000000,3900000,3300000,4000000,6206276,8308000,5520000,3423000,2495000,1747000,1100000,1052000,1285000,140000,- -,140000,136000,145000,1220000,1131000,1072000,816000,503000,4215000,12837000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7926000,7926000,- -,- -,- -,9730000,7407000,4329000,7562000,7562000,- -,- -,- -,3490000,3490000,3490000
