,https://roic.ai/company/STLY,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,- -,- -,25400000,34700000,40900000,42900000,42500000,46200000,41500000,44400000,38500000,53800000,51200000,62900000,64500000,88500000,91200000,72000000,91900000,97059000,87300000,52800000,46000000,72300000,56100000,29413000,28394000,23650000,15788000,7066000,3622000,12492000,11973000
82,Other Non-Cash Items,-1300000,4660000,1140000,1040000,-13020000,-11800000,-4900000,-1800000,-2500000,-4000000,2800000,8300000,-30833000,7886000,-16229000,-7776000,-38626000,1841000,33218000,-7763000,3100000,13717000,57485000,2345000,-33887000,9970000,48597000,256000,6588000,11785000,5698000,4582000,-8729000,-2241991
83,Cash Provided by Operating Activities,7520000,3660000,140000,10440000,-3620000,6500000,4100000,6600000,15300000,8300000,25000000,27800000,11845000,19803000,16119000,14344000,10472000,32802000,35324000,23008000,18277000,-1186000,-9402000,-7307000,25359000,-15635000,-6472000,5871000,-2606000,-2652000,-4405000,1395000,290000,-935
84,CAPEX,-2000000,-1720000,-2460000,-1930000,-2150000,-6400000,-5000000,-14200000,-3600000,-4100000,-6700000,-23100000,-8768000,-4172000,-1037000,-1243000,-1718000,-4986000,-4196000,-3951000,-2261000,-2621000,-857000,-4352000,-3820000,-2700000,- -,- -,- -,- -,-10000,- -,-3000,-13
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-5000000,-8250000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-25000000,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15000000,10000000,- -,- -,- -,- -,120000,- -,- -
88,Other Investing Activites,3550000,-42660000,-210000,-720000,-920000,2100000,-200000,-500000,-400000,-100000,200000,- -,42000,-71000,695000,-104000,-135000,-33000,- -,-20000,360000,-1318000,4846000,-4407000,-6619000,-5115000,5845000,516000,28125000,34000,9199000,-176000,4118000,9413
89,Cash Used for Investing Activites,1550000,-44380000,-2670000,-2650000,-3070000,-4300000,-5200000,-14700000,-4000000,-4200000,-6500000,-23100000,-8726000,-4243000,-342000,-1347000,-1853000,-5019000,-4196000,-3971000,-1901000,-1318000,4846000,-4407000,-31619000,9885000,15845000,516000,28125000,34000,9189000,-5056000,-4135000,9400
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1429000,-27857000,-121000,-132000,-132000,-13708000,-5461000,-5495000,- -,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,13100000,100000,- -,- -,- -,1600000,1300000,459000,940000,1205000,2360000,5043000,6362000,1111000,532000,- -,- -,11797000,- -,- -,- -,- -,- -,- -,- -,- -,- -,12675000,- -
92,Common Stock Repurchased,- -,4920000,- -,12930000,- -,- -,- -,- -,-2300000,-25300000,-5600000,-4700000,-19754000,-1973000,-3066000,-14788000,- -,-22993000,-33576000,-13557000,- -,- -,- -,- -,-661000,-358000,- -,-13000,-1012000,-136000,-163000,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1261000,-2517000,-3081000,-3736000,-4194000,-4132000,- -,- -,- -,- -,- -,- -,- -,-21282000,-483000,- -,- -,- -,-165
94,Other Financing Activites,-6130000,32770000,2410000,-21570000,7050000,-15800000,1100000,8100000,-1200000,13800000,-8500000,-4500000,14404000,-14397000,-6644000,-6026000,-6022000,-3147000,-1214000,23561000,121000,1747000,4321000,2003000,2283000,2528000,2701000,- -,-15000,- -,1209000,- -,- -,- -
95,Cash Used/Provided by Financing Activities,-6130000,37690000,2410000,-8640000,7050000,-2700000,1200000,8100000,-3500000,-11500000,-12500000,-7900000,-4891000,-15430000,-8505000,-19715000,-3496000,-22859000,-37415000,6342000,-4011000,318000,-11739000,1882000,1490000,2038000,-11007000,-5474000,-27804000,-619000,1046000,- -,12675000,- -
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,2950000,-3020000,-120000,-850000,360000,-2700000,1200000,8100000,-3500000,-11500000,-12500000,-3200000,-1772000,130000,7272000,-6718000,5123000,4924000,-6287000,25379000,12365000,-2186000,-16295000,-9832000,-4770000,-3712000,-1634000,913000,-2285000,-3237000,5830000,-3661000,8830000,8463
98,Cash at the End of Period,9007000,3037000,5937000,-850000,660000,- -,- -,- -,- -,- -,- -,3600000,1825000,1955000,9227000,2509000,7632000,12556000,6269000,31648000,44013000,41827000,25532000,15700000,10930000,7218000,5584000,6497000,4212000,975000,6461000,2800000,11630000,- -
99,Cash at the Beginning of Period,6057000,6057000,6057000,- -,300000,600000,200000,300000,300000,8100000,800000,6800000,3597000,1825000,1955000,9227000,2509000,7632000,12556000,6269000,31648000,44013000,41827000,25532000,15700000,10930000,7218000,5584000,6497000,4212000,631000,6461000,2800000,11630000
100,Free Cash Flow,5520000,1940000,-2320000,8510000,-5770000,100000,-900000,-7600000,11700000,4200000,18300000,4700000,3077000,15631000,15082000,13101000,8754000,27816000,31128000,19057000,16016000,-3807000,-10259000,-11659000,21539000,-18335000,-6472000,5871000,-2606000,-2652000,-4415000,1395000,287000,-948
101,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797465/000079746595000010/0000797465-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/797465/000079746596000004/0000797465-96-000004-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797465/000079746506000016/0000797465-06-000016-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000079746507000016/0000797465-07-000016-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000079746508000008/0000797465-08-000008-index.htm,- -,https://www.sec.gov/Archives/edgar/data/797465/000095012310009169/0000950123-10-009169-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000095012311008470/0000950123-11-008470-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000119312512032382/0001193125-12-032382-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316213000105/0001513162-13-000105-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316214000085/0001513162-14-000085-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316215000098/0001513162-15-000098-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316216000732/0001513162-16-000732-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316217000052/0001513162-17-000052-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774918005339/0001437749-18-005339-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774919006041/0001437749-19-006041-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774920005176/0001437749-20-005176-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774921004617/0001437749-21-004617-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774922007427/0001437749-22-007427-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
