,https://roic.ai/company/STLY,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
21,Income Before Tax Ratio,0.0182,-0.0113,-0.0131,-0.1637,0.0162,0.0539,0.0456,0.0362,0.0703,0.0882,0.0946,0.1148,0.1095,0.0538,0.0814,0.0909,0.1063,0.1076,0.0836,0.0308,0.0209,-0.1190,-0.3489,-0.0478,0.3144,-0.1321,-0.1308,0.0946,-0.1019,-0.0086,Infinity,Infinity,Infinity,1.0916
22,Income Tax expense (Gain),1700000,-600000,-1000000,-9100000,1100000,3700000,3300000,2400000,5500000,7100000,8900000,11200000,11500000,4300000,6900000,8500000,11700000,12700000,9000000,2800000,998000,-7400000,-4000000,1000,600000,-200000,-39000,76000,718000,-35000,-1202000,-84000,- -,102000
23,Net Income,1300000,-1000000,-1000000,-16000000,100000,5300000,2400000,3900000,9000000,11600000,14500000,19200000,19500000,8300000,12600000,15200000,20800000,23200000,16800000,5900000,3736000,-11800000,-43800000,-5000000,30400000,-12600000,-29892000,5340000,-5258000,-7459000,-1440000,170000,63000,2760000
24,Net Income ratio,0.0079,-0.0071,-0.0065,-0.1110,0.0006,0.0317,0.0130,0.0224,0.0446,0.0547,0.0586,0.0725,0.0689,0.0354,0.0526,0.0583,0.0680,0.0695,0.0546,0.0209,0.0165,-0.0735,-0.3197,-0.0478,0.3083,-0.1300,-0.4931,0.0931,-0.1180,-0.1651,-Infinity,Infinity,Infinity,1.1335
25,EPS,0.09,-0.07,-0.07,-1.16,0.01,1.02,1.45,2.38,5.29,8.02,12.03,15.70,16.04,7.32,11.04,13.95,19.24,21.16,16.74,6.51,4.19,-13.22,-49.32,-4.20,25.03,-10.44,-24.27,4.30,-4.28,-6.48,-1.20,0.12,0.03,0.19
26,EPS Diluted,0.09,-0.07,-0.07,-1.16,0.01,1.02,1.45,2.38,5.12,7.27,10.58,14.36,15.29,7.03,10.75,13.60,18.43,20.58,16.39,6.39,4.19,-13.25,-49.32,-4.20,25.03,-10.68,-25.32,4.30,-4.44,-6.48,-1.20,0.12,0.03,0.18
27,Weighted Average Shares Outstanding,13800000,13800000,13800000,13800000,13800000,1624285,1625661,1626349,1701353,1444000,1205569,1224664,1217267,1137102,1136930,1088246,1081537,1098052,1001975,901252,888694,888694,887496,1195411,1213836,1210002,1231688,1242230,1227562,1186328,1210911,1208911,2083658,14507000
28,Weighted Average Shares Outstanding Diluted,13800000,13800000,13800000,13800000,13800000,1624285,1625661,6371394,1761219,1596072,1369856,1336654,1277993,1186990,1166691,1111642,1126609,1131425,1025628,918369,888694,888694,887496,1195411,1213836,1210002,1231688,1242230,1227562,1186328,1214495,1244745,2118408,14937000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797465/000079746595000010/0000797465-95-000010-index.html,https://www.sec.gov/Archives/edgar/data/797465/000079746596000004/0000797465-96-000004-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/797465/000079746506000016/0000797465-06-000016-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000079746507000016/0000797465-07-000016-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000079746508000008/0000797465-08-000008-index.htm,- -,https://www.sec.gov/Archives/edgar/data/797465/000095012310009169/0000950123-10-009169-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000095012311008470/0000950123-11-008470-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000119312512032382/0001193125-12-032382-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316213000105/0001513162-13-000105-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316214000085/0001513162-14-000085-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316215000098/0001513162-15-000098-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316216000732/0001513162-16-000732-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000151316217000052/0001513162-17-000052-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774918005339/0001437749-18-005339-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774919006041/0001437749-19-006041-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774920005176/0001437749-20-005176-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774921004617/0001437749-21-004617-index.htm,https://www.sec.gov/Archives/edgar/data/797465/000143774922007427/0001437749-22-007427-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,300000,600000,200000,300000,300000,8100000,800000,6800000,3600000,1800000,2000000,9200000,2500000,7600000,12600000,6300000,31600000,44013000,41800000,25500000,15700000,10900000,7200000,5584000,6497000,4212000,975000,6057000,2567000,11396000,11806000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25000000,10000000,- -,- -,- -,- -,- -,4405000,12072000,- -
33,Cash and Short-Term Investments,- -,- -,- -,300000,600000,200000,300000,300000,8100000,800000,6800000,3600000,1800000,2000000,9200000,2500000,7600000,12600000,6300000,31600000,44013000,41800000,25500000,15700000,35900000,17200000,5584000,6497000,4212000,975000,6057000,6972000,23468000,11806000
34,Net Receivables,- -,- -,- -,17900000,22500000,22700000,23800000,22700000,23100000,27400000,29100000,32100000,33200000,23900000,27800000,30100000,36000000,37000000,32300000,25400000,21873000,22200000,13800000,10300000,10000000,12000000,5608000,6925000,3492000,3146000,488000,826000,786000,183000
35,Inventory,- -,- -,- -,34400000,33300000,37700000,39900000,40200000,40200000,45700000,46500000,43600000,54400000,49500000,54200000,54600000,73700000,70000000,59400000,58100000,47344000,37200000,25700000,31100000,35100000,33700000,24216000,20934000,22951000,23231000,- -,- -,- -,- -
