,https://roic.ai/company/NFLX,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,35894000,75912000,152806000,272243000,506228000,682213000,996660000,1205340000,1364661000,1670269000,2162625000,3204577000,3609282000,4374562000,5504656000,6779511000,8830669000,11692713000,15794341000,20156447000,24996056000,29697844000
2,COGS,24861000,49907000,78136000,148360000,276458000,464550000,626985000,786168000,910234000,1079271000,1357355000,2039901000,2625866000,3083256000,3752760000,4591476000,6029901000,7659666000,9967538000,12440213000,15276319000,17332683000
3,Gross Profit,11033000,26005000,74670000,123883000,229770000,217663000,369675000,419172000,454427000,590998000,805270000,1164676000,983416000,1291306000,1751896000,2188035000,2800768000,4033047000,5826803000,7716234000,9719737000,12365161000
4,Gross Profit Ratio,0.3074,0.3426,0.4887,0.4550,0.4539,0.3191,0.3709,0.3478,0.3330,0.3538,0.3724,0.3634,0.2725,0.2952,0.3183,0.3227,0.3172,0.3449,0.3689,0.3828,0.3889,0.4164
5,Research and Development Exp.,16823000,17734000,14625000,17884000,22906000,30942000,48379000,71395000,89873000,114542000,163329000,259033000,329008000,378769000,472321000,650788000,852098000,1052778000,1221814000,1545149000,1829600000,2273885000
6,General and Administrative Exp.,-8490000,- -,- -,- -,- -,- -,- -,- -,- -,51333000,70555000,126937000,119687000,180301000,269741000,407329000,577799000,863568000,630294000,914369000,2906086000,1351621000
7,Selling and Marketing Exp.,25727000,- -,- -,- -,- -,- -,- -,- -,- -,237744000,293839000,402638000,484729000,503889000,607186000,824092000,991078000,1278022000,2369469000,2652462000,2228362000,2545146000
8,"Selling, General and Administrative Exp.",17237000,- -,- -,- -,- -,- -,- -,- -,- -,289077000,364394000,529575000,604416000,684190000,876927000,1231421000,1568877000,2141590000,2999763000,3566831000,5134448000,3896767000
9,Other Expenses,35441000,44827000,71717000,101527000,187510000,183732000,256882000,256616000,243048000,-4560000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1829600000,- -
10,Operating Expenses,69501000,62561000,86342000,119411000,210416000,214674000,305261000,328011000,332921000,399059000,527723000,788608000,933424000,1062959000,1349248000,1882209000,2420975000,3194368000,4221577000,5111980000,5134448000,6170652000
11,COGS and Expenses,94362000,112468000,164478000,267771000,486874000,679224000,932246000,1114179000,1243155000,1478330000,1885078000,2828509000,3559290000,4146215000,5102008000,6473685000,8450876000,10854034000,14189115000,17552193000,20410767000,23503335000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,6728000,3684000,3479000,474000,-3002000,-3060000,-31225000,30828000,-115154000,41725000,84000000,- -,411214000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,6475000,19629000,20025000,19986000,32144000,53279000,163941000,150114000,353358000,420493000,626023000,1385940000,765620000
14,Depreciation and Amortization,- -,29797000,26477000,50991000,88204000,107002000,157136000,224986000,242836000,257534000,38099000,43747000,1702083000,2241680000,2781798000,3547045000,4924978000,6330385000,7656457000,9319826000,10922622000,12438779000
15,EBITDA,-58274000,-8821000,4530000,57503000,109980000,115337000,237454000,336487000,374336000,456201000,325424000,423294000,1752549000,2444898000,3184446000,3852871000,5335599000,7169064000,9303408000,12008080000,15507911000,19044502000
16,EBITDA ratio,-1.6235,-0.1162,0.0296,0.2112,0.2173,0.1691,0.2382,0.2792,0.2743,0.2731,0.1505,0.1321,0.4856,0.5589,0.5785,0.5683,0.6042,0.6131,0.5890,0.5957,0.6204,0.6413
17,Operating Income,-58468000,-37227000,-11672000,4472000,19354000,2989000,64414000,91161000,121506000,191939000,283641000,376068000,49992000,228347000,402648000,305826000,379793000,838679000,1605226000,2604254000,4585289000,6194509000
18,Operating Income ratio,-1.6289,-0.4904,-0.0764,0.0164,0.0382,0.0044,0.0646,0.0756,0.0890,0.1149,0.1312,0.1174,0.0139,0.0522,0.0731,0.0451,0.0430,0.0717,0.1016,0.1292,0.1834,0.2086
19,Total Other Income Expenses (Gains),194000,-671000,- -,- -,2422000,5346000,15904000,20340000,9994000,253000,-15945000,-16546000,-19512000,-57273000,-53279000,-163941000,-119286000,-353358000,-378768000,-542023000,-1385940000,-354406000
20,Income Before Tax,-58274000,- -,- -,- -,21776000,8335000,80318000,111501000,131500000,192192000,267696000,359522000,30480000,171074000,349369000,141885000,260507000,485321000,1226458000,2062231000,3199349000,5840103000
21,Income Before Tax Ratio,-1.6235,- -,- -,- -,0.0430,0.0122,0.0806,0.0925,0.0964,0.1151,0.1238,0.1122,0.0084,0.0391,0.0635,0.0209,0.0295,0.0415,0.0777,0.1023,0.1280,0.1967
22,Income Tax expense (Gain),- -,- -,- -,- -,181000,-33692000,31236000,44549000,48474000,76332000,106843000,133396000,13328000,58671000,82570000,19244000,73829000,-73608000,15216000,195315000,437954000,723875000
23,Net Income,-58274000,-38618000,-21947000,6512000,21595000,42027000,49082000,66952000,83026000,115860000,160853000,226126000,17152000,112403000,266799000,122641000,186678000,558929000,1211242000,1866916000,2761395000,5116228000
24,Net Income ratio,-1.6235,-0.5087,-0.1436,0.0239,0.0427,0.0616,0.0492,0.0555,0.0608,0.0694,0.0744,0.0706,0.0048,0.0257,0.0485,0.0181,0.0211,0.0478,0.0767,0.0926,0.1105,0.1723
25,EPS,-1.47,-0.76,-0.11,0.01,0.06,0.11,0.11,0.14,0.19,0.29,0.44,0.63,0.04,0.28,0.63,0.29,0.44,1.29,2.78,4.26,6.26,11.55
26,EPS Diluted,-1.47,-0.76,-0.11,0.01,0.05,0.09,0.10,0.14,0.19,0.28,0.42,0.61,0.04,0.26,0.62,0.28,0.43,1.25,2.68,4.13,6.08,11.25
27,Weighted Average Shares Outstanding,39592000,51128000,197428000,669004000,363916000,374696000,438039000,469532000,426727000,395920000,367703000,369929000,388647000,407386000,420546000,425889000,428822000,431885000,435374000,437799000,440922000,442778000
28,Weighted Average Shares Outstanding Diluted,39592000,51128000,197428000,880376000,452991000,458626000,483525000,482314000,439852000,408912000,380128000,380583000,412328000,425327000,431893000,436456000,438652000,446814000,451244000,451765000,454208000,454925000
29,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1065280/000095016803001155/0000950168-03-001155-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312504031416/0001193125-04-031416-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312505051159/0001193125-05-051159-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312506056663/0001193125-06-056663-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312507042689/0001193125-07-042689-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312508040378/0001193125-08-040378-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312509037430/0001193125-09-037430-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312510036181/0001193125-10-036181-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312511040217/0001193125-11-040217-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000119312512053009/0001193125-12-053009-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528013000008/0001065280-13-000008-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528014000006/0001065280-14-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528015000006/0001065280-15-000006-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528016000047/0001065280-16-000047-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000162828017000496/0001628280-17-000496-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528018000069/0001065280-18-000069-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528019000043/0001065280-19-000043-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528020000040/0001065280-20-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528021000040/0001065280-21-000040-index.htm,https://www.sec.gov/Archives/edgar/data/1065280/000106528022000036/0001065280-22-000036-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,59814000,89894000,174461000,212256000,400430000,177439000,139881000,134224000,194499000,508053000,290291000,604965000,1113608000,1809330000,1467576000,2822795000,3794483000,5018437000,8205550000,6027804000
32,Short-Term Investments,- -,- -,43796000,45297000,- -,- -,- -,207703000,157390000,186018000,155888000,289758000,457787000,595440000,494888000,501385000,266206000,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,103610000,135191000,174461000,212256000,400430000,385142000,297271000,320242000,350387000,797811000,748078000,1200405000,1608496000,2310715000,1733782000,2822795000,3794483000,5018437000,8205550000,6027804000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,979068000,610819000,804320000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,37329000,181006000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,3465000,3755000,12885000,31435000,27988000,31390000,64176000,53442000,109574000,1033046000,1492713000,1858358000,2331973000,3121125000,3986509000,4847179000,5899652000,180999000,945211000,1237701000
37,Total Current Assets,- -,- -,107075000,138946000,187346000,243691000,428418000,416532000,361447000,411013000,640967000,1830857000,2240791000,3058763000,3940469000,5431840000,5720291000,7669974000,9694135000,6178504000,9761580000,8069825000
38,PP&E,- -,- -,15592000,9772000,18728000,40213000,55503000,77326000,124948000,131653000,128570000,136353000,131681000,133605000,149875000,173412000,250395000,319404000,418281000,565221000,960183000,1323453000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,6094000,2948000,961000,457000,105877000,132455000,- -,108810000,180973000,- -,1506008000,2091071000,2773326000,4312817000,7274501000,10371055000,14960954000,24504567000,25383950000,30919539000
41,Intangible Assets,- -,- -,6094000,2948000,961000,457000,105877000,132455000,- -,108810000,180973000,- -,1506008000,2091071000,2773326000,4312817000,7274501000,10371055000,14960954000,24504567000,25383950000,30919539000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,21239000,15600000,16242000,22409000,15958000,17467000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,1769000,24346000,44758000,59081000,3381000,4465000,109142000,12300000,14090000,1101986000,89410000,129124000,192981000,284802000,341423000,652309000,901030000,2727420000,3174646000,4271846000
45,Total Non-Current Assets,- -,- -,23455000,37066000,64447000,120990000,180361000,230488000,256499000,268721000,341100000,1238339000,1727099000,2353800000,3116182000,4771031000,7866319000,11342768000,16280265000,27797208000,29518779000,36514838000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,130530000,176012000,251793000,364681000,608779000,647020000,617946000,679734000,982067000,3069196000,3967890000,5412563000,7056651000,10202871000,13586610000,19012742000,25974400000,33975712000,39280359000,44584663000
48,Accounts Payable,- -,- -,20350000,32654000,49775000,63491000,93864000,104445000,100344000,91475000,222824000,1012566000,86468000,108435000,201581000,253491000,312842000,359555000,562985000,674347000,656183000,837483000
49,Short-Term Debt,- -,- -,1231000,416000,68000,- -,- -,- -,1152000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,499878000,699823000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,9743000,18324000,31936000,48533000,69678000,71665000,83127000,100097000,127183000,148796000,169472000,215767000,274586000,346721000,443472000,618622000,760899000,924745000,1117992000,1209342000
52,Other Current Liabilities,- -,- -,9102000,11625000,13131000,25563000,29905000,36466000,31394000,34797000,38572000,63693000,1419986000,1830001000,2186987000,2929412000,3830343000,4488135000,5163436000,5256604000,5531732000,5742318000
53,Total Current Liabilities,- -,- -,40426000,63019000,94910000,137587000,193447000,212576000,216017000,226369000,388579000,1225055000,1675926000,2154203000,2663154000,3529624000,4586657000,5466312000,6487320000,6855696000,7805785000,8488966000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,200000000,200000000,400000000,400000000,500000000,900000000,2371362000,3364311000,6499432000,10360058000,14759260000,15809095000,14693072000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,748000,285000,600000,842000,1121000,3695000,54774000,54222000,103324000,801331000,1147291000,1424799000,1635789000,2078459000,2955842000,3465042000,3888257000,4778599000,4600239000,5553377000
58,Total Non-Current Liabilities,- -,- -,748000,285000,600000,842000,1121000,3695000,54774000,254222000,303324000,1201331000,1547291000,1924799000,2535789000,4449821000,6320153000,9964474000,14248315000,19537859000,20409334000,20246449000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,460000,44000,- -,- -,- -,- -,37988000,37982000,36206000,2319000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,41174000,63304000,95510000,138429000,194568000,216271000,270791000,480591000,691903000,2426386000,3223217000,4079002000,5198943000,7979445000,10906810000,15430786000,20735635000,26393555000,28215119000,28735415000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,22000,51000,53000,55000,69000,65000,62000,53000,53000,55000,56000,60000,60000,1324809000,1599762000,1871396000,2315988000,2793929000,3447698000,4024561000
64,Retained Earnings,- -,- -,-159213000,-153293000,-131698000,-89671000,-40589000,26363000,108452000,198817000,237739000,422930000,440082000,552485000,819284000,941925000,1128603000,1731117000,2942359000,4811749000,7573144000,12689372000
65,Other Comprehensive Income/Loss,- -,- -,-64727000,-19553000,-23477000,-32410000,-45343000,2000000,-98838000,-134294000,1000000,1000000,3000000,4000000,-4000000,-43000000,-49000000,-21000000,-20000000,-24000000,44398000,-40495000
66,Other Total Stockholders Equity,- -,- -,313274000,285503000,311405000,348278000,500074000,402321000,337479000,134567000,51372000,218825000,301535000,777016000,1042364000,-308000,435000,443000,418000,479000,- -,-824190000
67,Total Stockholders Equity,- -,- -,89356000,112708000,156283000,226252000,414211000,430749000,347155000,199143000,290164000,642810000,744673000,1333561000,1857708000,2223426000,2679800000,3581956000,5238765000,7582157000,11065240000,15849248000
68,Total Liabilities And Stockholders Equity,- -,- -,130530000,176012000,251793000,364681000,608779000,647020000,617946000,679734000,982067000,3069196000,3967890000,5412563000,7056651000,10202871000,13586610000,19012742000,25974400000,33975712000,39280359000,44584663000
