,https://roic.ai/company/MAS,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1154000000,1452000000,2023300000,2438600000,3150500000,3209000000,3141000000,3525000000,3886000000,4468000000,2927000000,3237000000,3760000000,4345000000,6307000000,7243000000,8358000000,9419400000,10936000000,12074000000,12642000000,12778000000,11770000000,9600000000,7792000000,7592000000,7467000000,7745000000,8173000000,8521000000,7142000000,7357000000,7644000000,8359000000,6707000000,7188000000,8375000000
2,COGS,709700000,885900000,1244300000,1514200000,2085600000,2116000000,2103800000,2266500000,2505600000,2881200000,1756200000,1960500000,2280900000,2686200000,3859100000,4726030000,5806800000,6450590000,7586000000,8356000000,9033000000,9259000000,8559000000,7224000000,5774000000,5752000000,5683000000,5794000000,5918000000,6134000000,4889000000,4901000000,5033000000,5670000000,4336000000,4601000000,5512000000
3,Gross Profit,444300000,566100000,779000000,924400000,1064900000,1093000000,1037200000,1258500000,1380400000,1586800000,1170800000,1276500000,1479100000,1658800000,2447900000,2516970000,2551200000,2968810000,3350000000,3718000000,3609000000,3519000000,3211000000,2376000000,2018000000,1840000000,1784000000,1951000000,2255000000,2387000000,2253000000,2456000000,2611000000,2689000000,2371000000,2587000000,2863000000
4,Gross Profit Ratio,0.3850,0.3899,0.3850,0.3791,0.3380,0.3406,0.3302,0.3570,0.3552,0.3551,0.4000,0.3943,0.3934,0.3818,0.3881,0.3475,0.3052,0.3152,0.3063,0.3079,0.2855,0.2754,0.2728,0.2475,0.2590,0.2424,0.2389,0.2519,0.2759,0.2801,0.3155,0.3338,0.3416,0.3217,0.3535,0.3599,0.3419
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,956600000,678300000,696300000,775900000,842000000,1354600000,1221940000,1418200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",210100000,258600000,359600000,453600000,570900000,636700000,686200000,785400000,860500000,956600000,678300000,696300000,775900000,842000000,1354600000,1221940000,1418200000,1506540000,1856000000,2011000000,1969000000,2063000000,2025000000,1835000000,1701000000,1618000000,1585000000,1561000000,1582000000,1607000000,1339000000,1403000000,1442000000,1478000000,1274000000,1292000000,1413000000
9,Other Expenses,34500000,43800000,63300000,74600000,89100000,93500000,102700000,114500000,116000000,120600000,90100000,99700000,116100000,136300000,181800000,238330000,93200000,131170000,70000000,138000000,63000000,330000000,227000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
