,https://roic.ai/company/DXCM,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,- -,- -,- -,- -,- -,2169790,4627000,9838000,29693000,48631000,76266000,99900000,160000000,259200000,402000000,573300000,718500000,1031600000,1476000000,1926700000,2448000000
2,COGS,- -,- -,- -,- -,- -,- -,10958953,12736000,15367000,26032000,30188000,40422000,53300000,59900000,82900000,123600000,194900000,226400000,367700000,544500000,646600000,768000000
3,Gross Profit,- -,- -,- -,- -,- -,- -,-8789163,-8109000,-5529000,3661000,18443000,35844000,46600000,100100000,176300000,278400000,378400000,492100000,663900000,931500000,1280100000,1680000000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,-4.0507,-1.7525,-0.5620,0.1233,0.3792,0.4700,0.4665,0.6256,0.6802,0.6925,0.6600,0.6849,0.6436,0.6311,0.6644,0.6863
5,Research and Development Exp.,2902000,5039000,6310907,8934631,12469842,26769514,19419550,16131000,19629000,14294000,23227000,30747000,39500000,44800000,69400000,137500000,156100000,185400000,417400000,273500000,359900000,517000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,5659960,21111325,22436000,27669000,35200000,40506000,49940000,62800000,84200000,128400000,198000000,286200000,349200000,432800000,515700000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,5659960,21111325,22436000,27669000,35200000,40506000,49940000,62800000,84200000,128400000,198000000,286200000,349200000,432800000,515700000,- -,810000000
9,Other Expenses,1112000,1685000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,620700000,87000000
10,Operating Expenses,4014000,6724000,- -,- -,- -,32429474,40530875,38567000,47298000,49494000,63733000,80687000,102300000,129000000,197800000,335500000,442300000,534600000,850200000,789200000,980600000,1414000000
11,COGS and Expenses,4014000,6724000,6310907,10184591,14067117,32429474,51489828,51303000,62665000,75526000,93921000,121109000,155600000,188900000,280700000,459100000,637200000,761000000,1217900000,1333700000,1627200000,2182000000
