,https://roic.ai/company/LTC,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4100000,15800000,27600000,35500000,54930000,73434000,89391000,87662000,87130000,70112000,69203000,63447000,66917000,72992000,73163000,74790000,69357000,69894000,74302000,85160000,94033000,104974000,118961000,136203000,161583000,168065000,168645000,185304000,159337000,155322000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9932000,11364000,13128000,17497000,26442000,29949000,30196000,47337000,15065000,15392000
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,84101000,93610000,105833000,118706000,135141000,138116000,138449000,137967000,144272000,139930000
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,0.8944,0.8917,0.8896,0.8715,0.8364,0.8218,0.8209,0.7445,0.9055,0.9009
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7519000,8155000,9158000,10029000,11636000,11832000,15116000,17412000,17513000,19193000,18453000,19710000,21460000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7519000,8155000,9158000,10029000,11636000,11832000,15116000,17412000,17513000,19193000,18453000,19710000,21460000
9,Other Expenses,- -,- -,- -,- -,11789000,14761000,19660000,57139000,64483000,74580000,28123000,21388000,18306000,19427000,20824000,21794000,22051000,15597000,17973000,19502000,22153000,26569000,25561000,30050000,36389000,37404000,37642000,39382000,39068000,39317000
