,https://roic.ai/company/Y,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),38200000,19900000,9100000,20600000,40100000,14700000,55900000,21600000,24622000,35776000,40034000,13830000,27635000,61799000,-46119000,103816000,2591000,77989000,52179000,13842000,106109000,157901000,20485000,124381000,78869000,47586000,17032000,225882000,251777000,195173000,187141000,-63802000,-15062000,233435000,30734000,281925000
23,Net Income,79500000,61100000,46000000,55000000,68600000,63900000,72800000,97500000,137506000,85300000,87048000,105667000,96106000,100105000,68857000,224230000,54813000,162378000,117696000,52334000,251244000,305277000,147971000,270999000,198502000,143251000,702244000,628421000,679239000,560315000,456921000,90133000,39539000,857801000,101754000,1034892000
24,Net Income ratio,0.1164,0.0560,0.0456,0.0471,0.0488,0.0454,0.0407,0.0511,0.0753,0.0478,0.0422,0.1326,0.1046,0.0727,0.0728,0.2424,0.0950,0.1595,0.0948,0.0478,0.2078,0.2132,0.1496,0.2288,0.2015,0.1459,0.1649,0.1264,0.1298,0.1121,0.0745,0.0140,0.0057,0.0949,0.0114,0.0862
25,EPS,8.10,6.37,4.95,5.98,7.56,7.26,8.24,10.56,14.80,9.06,9.14,11.21,10.24,10.77,7.58,25.46,6.28,18.60,13.36,5.90,27.51,32.67,14.89,27.92,21.85,16.75,45.48,37.44,41.40,35.14,29.60,5.85,2.62,59.44,7.14,72.58
26,EPS Diluted,8.10,6.37,4.95,5.98,7.56,7.26,8.24,10.56,14.80,9.06,9.14,11.09,10.06,10.61,7.50,25.22,6.23,18.54,13.33,5.90,27.45,30.86,14.89,27.92,21.85,16.75,45.48,37.44,41.40,35.13,29.59,5.85,2.62,59.39,7.04,72.45
27,Weighted Average Shares Outstanding,9818333,9598706,9284560,9196358,9074118,8807331,8833449,9234446,9291880,9420014,9523880,9427002,9382895,9294096,9088644,8808737,8722584,8731148,8807538,8875992,8806835,8817843,8835444,9001080,9081535,8551646,15441578,16786608,16405388,15871055,15436286,15410034,15091221,14431892,14257793,14257793
28,Weighted Average Shares Outstanding Diluted,9818333,9598706,9284560,9196358,9074118,8807331,8833449,9234446,9291880,9420014,9523880,9525542,9548645,9432195,9186161,8891839,8792833,8759287,8830549,8875992,8824268,9335297,8835444,9603322,9081535,8551646,15441578,16786608,16405388,15879101,15442649,15410034,15091221,14443476,14283618,14283618
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775368/000095012395000585/0000950123-95-000585-index.html,https://www.sec.gov/Archives/edgar/data/775368/000095012396001240/0000950123-96-001240-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775368/000095012301002452/0000950123-01-002452-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775368/000095012307002859/y30951e10vk.htm,https://www.sec.gov/Archives/edgar/data/775368/000095012308002163/y44451e10vk.htm,https://www.sec.gov/Archives/edgar/data/775368/000095012309003629/0000950123-09-003629-index.html,https://www.sec.gov/Archives/edgar/data/775368/000095012310017570/0000950123-10-017570-index.html,https://www.sec.gov/Archives/edgar/data/775368/000095012311018269/y88984e10vk.htm,https://www.sec.gov/Archives/edgar/data/775368/000119312512076843/0001193125-12-076843-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312513069346/0001193125-13-069346-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312514067345/d647217d10k.htm,https://www.sec.gov/Archives/edgar/data/775368/000119312515060159/d840943d10k.htm,https://www.sec.gov/Archives/edgar/data/775368/000119312516473635/0001193125-16-473635-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312517052180/0001193125-17-052180-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312518052080/0001193125-18-052080-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312519045528/0001193125-19-045528-index.html,https://www.sec.gov/Archives/edgar/data/775368/000156459020005335/0001564590-20-005335-index.html,https://www.sec.gov/Archives/edgar/data/775368/000156459021007601/0001564590-21-007601-index.htm,https://www.sec.gov/Archives/edgar/data/775368/000095017022001798/0000950170-22-001798-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,107942000,178068000,59954000,45772000,25441000,26786000,10247000,15717000,27423000,231583000,288436000,160762000,68332000,65115000,18125000,32526000,76741000,84749000,649524000,498315000,605259000,475267000,594091000,838375000,1038763000,1179098000,791442000,927966000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,277798000,342341000,796511000,237698000,135079000,378452000,625541000,438567000,424494000,636197000,262903000,264811000,1096517000,17789596000,18350238000,18129678000,16977681000,16871146000,17398920000,893776000,914776000,714208000,1142258000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,107942000,178068000,59954000,45772000,25441000,304584000,352588000,812228000,265121000,366662000,666888000,786303000,506899000,489609000,654322000,295429000,341552000,1181266000,18439120000,18848553000,18734937000,17452948000,17465237000,18237295000,1932539000,2093874000,1505650000,2070224000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,634134000,701073000,678105000,643411000,1074410000,1374391000,652608000,148697000,325547000,675341000,365353000,241688000,222958000,203712000,168360000,145992000,128075000,147006000,2013727000,2052011000,2136133000,2014180000,2041861000,2574919000,2880557000,2634053000,2929626000,3654654000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1257317000,2114590000,3003462000,4883689000,5446996000,6037920000,-169173854000,-139915651000,-155853928000,- -,-1428532000,-1376756000,-1452285000,-17873948000,-58046000,-375851000,-2037915000,16291009000,3829519000,3673700000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1847985000,3156593000,4035703000,5911680000,6176853000,6731241000,-168351172000,-139474230000,-155384301000,1328272000,19024315000,19523808000,19418785000,1593180000,19449052000,20436363000,2775181000,21018936000,8264795000,9398578000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,202918000,272289000,287177000,193304000,208698000,207617000,165819000,169622000,173539000,177708000,168316000,19708000,18404000,21518000,23310000,20097000,19504000,17906000,34118000,58974000,88910000,101306000,112920000,125337000,195243000,205397000,267872000,304452000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48095000,83447000,99747000,111904000,141015000,284974000,334905000,455142000,523021000,614163000,753607000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112858000,233739000,223706000,167506000,159772000,214995000,151223000,145667000,142312000,90863000,128800000,127300000,133400000,212800000,378700000,459000000,553100000,686000000,728600000,924400000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,112858000,233739000,223706000,167506000,159772000,214995000,151223000,145667000,142312000,138958000,212247000,227047000,245304000,353815000,663674000,793905000,1008242000,1209021000,1342763000,1678007000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1304657000,1673103000,2202846000,3011104000,3933774000,4614964000,4025734000,4176462000,4597908000,4646995000,17789596000,18350238000,18129678000,16977681000,16871146000,17398920000,16290534000,17632017000,19051580000,20887638000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1304657000,-1673103000,-2202846000,-3196267000,-4110063000,-4849672000,170332733000,141324774000,157056276000,345958000,-14252309000,-14798979000,-14393241000,3820351000,-13340201000,-13370208000,5075696000,-13133767000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,286397000,411447000,392022000,2051000,1887000,1805000,174533000000,145667000000,161816000000,5149817000,3783652000,3837280000,4070651000,21253153000,4307539000,4947954000,22569715000,5912668000,20662215000,22870097000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,3587891000,4122514000,4500623000,3700376000,4282444000,4485025000,2707616000,1875005000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49589225000,55138772000
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,3587891000,4122514000,4500623000,3700376000,4282444000,4485025000,2707616000,1875005000,2134382000,3568040000,4427725000,5913731000,6178740000,6733046000,6181828000,6192770000,6431699000,6478089000,22807967000,23361088000,23489436000,22846333000,23756591000,25384317000,25344896000,26931604000,28927010000,32268675000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,255117000,112479000,181693000,114454000,78379000,53541000,51795000,41500000,45462000,67654000,90562000,79100000,69297000,90659000,156376000,168667000,188399000,208384000,322902000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,28372000,49605000,17433000,- -,29499000,- -,- -,3827000,3220000,16247000,- -,- -,- -,- -,- -,- -,- -,- -,- -,34297000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2232000000,2470000000,2629000000,1739000000,2595000000,2969000000,1315000000,302000000,602000000,1582883000,2421521000,3783307000,3560546000,3855621000,- -,3423205000,3182500000,3207538000,14525346000,14552438000,14169783000,13795712000,14249498000,15228981000,15814480000,16215358000,- -,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2232000000,2470000000,2629000000,1739000000,2595000000,2969000000,1315000000,302000000,602000000,1838000000,2534000000,3965000000,3675000000,3934000000,- -,3475000000,3224000000,3253000000,14593000000,14643000000,14248883000,13865009000,14340157000,15385357000,15983147000,16403757000,- -,- -
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,335073000,331689000,447525000,389641000,439795000,407950000,228343000,181856000,152507000,167050000,138258000,80000000,80000000,5000000,- -,- -,298923000,299035000,1811483000,1794407000,1767125000,1390340000,1476489000,1484897000,1669039000,1751113000,2135946000,2847199000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,21659000,38941000,133241000,150218000,53625000,52082000,108763000,104164000,190842000,224847000,213512000,62937000,57733000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,43547000,56958000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,-73000,-21348000,-38466000,-132882000,-150013000,-53575000,-52425000,-108619000,-103671000,-190892000,-225105000,-213512000,-62937000,-57733000,- -,- -,77000,-35000,-483000,-407000,- -,29023000,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,335000000,332000000,448000000,390000000,440000000,408000000,228000000,182000000,153000000,167000000,138000000,80000000,80000000,5000000,- -,- -,299000000,299000000,1811000000,1794000000,1767125000,1419363000,1476489000,1484897000,1669039000,1751113000,2179493000,2904157000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,896363000,780441000,880016000,816128000,- -,364423000,306040000,334218000,- -,160404000,- -,- -,3535139000,249000,- -,598412000,3622180000,- -,- -,2845980000,- -,- -,- -,- -,22350783000,25985950000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,2566698000,2801871000,3077363000,2129441000,3035016000,3377128000,1542542000,484423000,755040000,2005218000,2671625000,4045404000,3677619000,3840036000,3535139000,3475249000,3522831000,3552412000,16404180000,16413567000,16007392000,15291626000,15816646000,16870254000,17652186000,18154870000,20171290000,23081793000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,299527000,299480000,299429000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,1320643000,1423260000,1570935000,1247428000,1107897000,1165074000,1390582000,1379342000,1562822000,1756100000,1868327000,7959000,8159000,8349000,9118000,9118000,9118000,17479000,17460000,17460000,17460000,17460000,17460000,17460000,17460000,17460000,17460000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,564100000,627400000,686700000,762500000,825900000,529069000,565659000,761371000,789499000,927238000,1004888000,1014861000,1212674000,1468169000,1533089000,1759458000,1900358000,1990309000,2691706000,3320127000,3999366000,4557127000,5014048000,5091282000,5577362000,6435163000,6318334000,7353226000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,254000000,275871000,328632000,87249000,94045000,170262000,155532000,250508000,186930000,353584000,116273000,109284000,618118000,-202003000,171350000,452402000,141822000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,457093000,- -,- -,- -,- -,- -,- -,- -,-789499000,-927238000,-1004888000,-1268861000,627215000,689435000,718573000,854900000,829130000,770718000,3444094000,3399240000,3103018000,2863847000,2799153000,2787203000,2299891000,2152761000,1967524000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,1021193000,1320643000,1423260000,1570935000,1247428000,1107897000,1165074000,1390582000,1379342000,1562822000,1756100000,1868327000,2423246000,2793875000,2646689000,2717521000,2908868000,2925677000,6403787000,6923757000,7473428000,7554707000,7939945000,8514063000,7692710000,8776734000,8755720000,9186882000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,3587891000,4122514000,4500623000,3700376000,4282444000,4485025000,2707616000,1875005000,2134382000,3568040000,4427725000,5913731000,6100865000,6633911000,6181828000,6192770000,6431699000,6478089000,22807967000,23337324000,23480820000,22846333000,23756591000,25384317000,25344896000,26931604000,28927010000,32268675000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,77875000,99135000,- -,- -,- -,- -,- -,23764000,8616000,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,3587891000,4122514000,4500623000,3700376000,4282444000,4485025000,2707616000,1875005000,2134382000,3568040000,4427725000,5913731000,6178740000,6733046000,6181828000,6192770000,6431699000,6478089000,22807967000,23361088000,23489436000,22846333000,23756591000,25384317000,25344896000,26931604000,28927010000,32268675000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/775368/000095012395000585/0000950123-95-000585-index.html,https://www.sec.gov/Archives/edgar/data/775368/000095012396001240/0000950123-96-001240-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775368/000095012301002452/0000950123-01-002452-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/775368/000095012307002859/y30951e10vk.htm,https://www.sec.gov/Archives/edgar/data/775368/000095012308002163/y44451e10vk.htm,https://www.sec.gov/Archives/edgar/data/775368/000095012309003629/0000950123-09-003629-index.html,https://www.sec.gov/Archives/edgar/data/775368/000095012310017570/0000950123-10-017570-index.html,https://www.sec.gov/Archives/edgar/data/775368/000095012311018269/y88984e10vk.htm,https://www.sec.gov/Archives/edgar/data/775368/000119312512076843/0001193125-12-076843-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312513069346/0001193125-13-069346-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312514067345/d647217d10k.htm,https://www.sec.gov/Archives/edgar/data/775368/000119312515060159/d840943d10k.htm,https://www.sec.gov/Archives/edgar/data/775368/000119312516473635/0001193125-16-473635-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312517052180/0001193125-17-052180-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312518052080/0001193125-18-052080-index.html,https://www.sec.gov/Archives/edgar/data/775368/000119312519045528/0001193125-19-045528-index.html,https://www.sec.gov/Archives/edgar/data/775368/000156459020005335/0001564590-20-005335-index.html,https://www.sec.gov/Archives/edgar/data/775368/000156459021007601/0001564590-21-007601-index.htm,https://www.sec.gov/Archives/edgar/data/775368/000095017022001798/0000950170-22-001798-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,55000000,68600000,63900000,72800000,97500000,137506000,85300000,87048000,105667000,96106000,100105000,68857000,224230000,54813000,162378000,117696000,52334000,251244000,305277000,147971000,270999000,198502000,143251000,702244000,628421000,679239000,560315000,456921000,90133000,39539000,857801000,101754000,1034892000
74,Depreciation and Amortization,- -,- -,- -,21500000,24800000,32000000,56500000,45300000,44800000,44100000,51600000,24200000,18400000,32810000,18994000,19742000,18545000,29886000,45801000,50828000,8521000,14517000,25674000,32358000,33816000,27045000,464857000,246598000,178949000,163062000,160469000,135029000,127374000,119513000,160002000,178031000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,- -,- -,-210700000,- -,- -,- -,- -,-2232000000,-238000000,-159000000,890000000,-856000000,-374000000,1654000000,1013000000,1547985000,72608000,183110000,444977000,555173000,295388000,-171148413000,25401942000,-15659071000,156683573000,6356043000,449493000,289094000,-17441731000,17380724000,-57889000,-18258972000,17823145000,1016483000,983807000
78,Accounts Receivable,- -,- -,- -,-15100000,-26100000,-40200000,-2000000,3800000,-109400000,8300000,-5400000,-12400000,-270200000,-391866000,-370412000,50570000,18216000,-532306000,125020000,-9450000,456551000,173481000,17671000,8030000,17917000,-18931000,238039000,-90060000,-8593000,-68255000,8411000,-53654000,-45296000,-105368000,-197331000,-313338000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,-87600000,-38900000,6400000,18400000,46300000,88700000,68400000,147200000,94900000,340100000,57515000,387531000,78804000,-39752000,758245000,807766000,1407186000,-116159000,87999000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-2232000000,-2470000000,-2629000000,-1739000000,-2595000000,-2969000000,-1315000000,-302000000,1245985000,1318593000,1501703000,1946680000,2501853000,2797241000,-168351172000,-142949230000,-158608301000,-1924728000,4431315000,4880808000,5169902000,-12271829000,5108895000,5051006000,-13207966000,4615179000,-79149000,-300361000
82,Other Non-Cash Items,- -,- -,- -,104100000,-78200000,-86900000,23400000,42200000,2110595000,327432000,294662000,-851720000,880703000,372290000,-1858764000,-915630000,-1582468000,161311000,63628000,-168463000,-260862000,-136022000,171305314000,-25561874000,15487621000,-156760228000,-7027290000,-740652000,-774503000,17044332000,-17205187000,278462000,18494482000,-18086054000,-241405000,-336497000
83,Cash Provided by Operating Activities,- -,- -,- -,-30100000,15200000,9000000,152700000,185000000,60901000,218832000,274310000,168147000,139209000,131205000,-116913000,341342000,38875000,426183000,410235000,379676000,554076000,479160000,330546000,143425000,60868000,93641000,495854000,583860000,372779000,325978000,792927000,445735000,402423000,714405000,1036834000,1860233000
