,https://roic.ai/company/PTSI,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,19600000,42400000,68700000,75800000,70100000,57500000,65700000,66700000,70200000,76147103,91595000,113021000,127211000,143164000,207381000,205245000,225794000,264012000,293547000,325066000,360880000,400269000,408841000,406723000,291910000,331994000,359243000,380633000,402813000,410937000,417050000,432852000,437838000,533261000,514177000,486825000,707120000
2,COGS,4600000,9400000,16400000,26900000,24700000,20300000,20100000,17400000,17800000,25459472,30639000,38732000,42513000,45527000,84507000,86150000,91772000,103324000,160987000,194700000,223119000,248860000,264835000,178896000,107654000,144457000,192905000,351564000,363739000,362373000,362355000,392640000,398483000,463791000,451664000,430525000,577275000
3,Gross Profit,15000000,33000000,52300000,48900000,45400000,37200000,45600000,49300000,52400000,50687631,60956000,74289000,84698000,97637000,122874000,119095000,134022000,160688000,132560000,130366000,137761000,151409000,144006000,227827000,184256000,187537000,166338000,29069000,39074000,48564000,54695000,40212000,39355000,69470000,62513000,56300000,129845000
4,Gross Profit Ratio,0.7653,0.7783,0.7613,0.6451,0.6476,0.6470,0.6941,0.7391,0.7464,0.6657,0.6655,0.6573,0.6658,0.6820,0.5925,0.5803,0.5936,0.6086,0.4516,0.4010,0.3817,0.3783,0.3522,0.5602,0.6312,0.5649,0.4630,0.0764,0.0970,0.1182,0.1311,0.0929,0.0899,0.1303,0.1216,0.1156,0.1836
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,33647127,41558000,54268000,59317000,66251000,103557000,103222000,110885000,125212000,154637000,158457000,161079000,171383000,174324000,142848000,117056000,125279000,131391000,15979000,16823000,20274000,15315000,16632000,17484000,17191000,35622000,8866000,18792000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",10500000,21400000,35100000,32400000,34400000,28500000,35900000,38900000,38000000,33647127,41558000,54268000,59317000,66251000,103557000,103222000,110885000,125212000,154637000,158457000,161079000,171383000,174324000,142848000,117056000,125279000,131391000,15979000,16823000,20274000,15315000,16632000,17484000,17191000,35622000,8866000,18792000
9,Other Expenses,1200000,2400000,5000000,6000000,4900000,5100000,1100000,-1300000,- -,33528165,40133000,51012000,55934000,60935000,92678000,95165000,104166000,118940000,153787000,185910000,215349000,241666000,267870000,59485000,55764000,36821000,40290000,10353000,11599000,9871000,8904000,8352000,9249000,11983000,13761000,13138000,12295000
