,https://roic.ai/company/MFIN,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
27,Weighted Average Shares Outstanding,8276207,11112849,13963665,14018049,14536942,16582179,18242728,18245774,18001604,17087034,17293665,17480523,17520966,17569688,17501414,17426097,19912883,21850415,24850496,24315427,24123888,23919994,24214978,24342979,24445452,24599804
28,Weighted Average Shares Outstanding Diluted,8276207,11157544,14093434,14122826,14576183,16582179,18242728,18287952,18424518,17552228,17761039,17786310,17722575,17691437,17631928,17659831,20180694,22225783,25073323,24391959,24173020,24053307,24214978,24557925,24445452,24943169
29,SEC Link,https://www.sec.gov/Archives/edgar/data/1000209/000092701697000957/0000927016-97-000957-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000209/000095013001500469/0000950130-01-500469-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000209/000095013003002707/0000950130-03-002707-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312504042419/0001193125-04-042419-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312505071187/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312506054921/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312507067617/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312508055644/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312509053775/0001193125-09-053775-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312510055581/0001193125-10-055581-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312511064323/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312512134839/0001193125-12-134839-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312513103504/0001193125-13-103504-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312514084781/d683800d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312515087622/d879043d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312516495428/0001193125-16-495428-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312517082178/0001193125-17-082178-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312518082402/0001193125-18-082402-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312519073307/0001193125-19-073307-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000156459020014310/0001564590-20-014310-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000156459021013216/0001564590-21-013216-index.htm,https://www.sec.gov/Archives/edgar/data/1000209/000095017022003603/0000950170-22-003603-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1700000,2500000,6000000,6000000,15652878,25409058,35369285,47675537,37267122,43035506,14533740,32602000,32075000,33401000,17303000,29352000,26875000,52172000,47083000,30912000,20962000,12690000,23842000,17700000,51773000,61482000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45324000,48998000,- -,- -
33,Cash and Short-Term Investments,1700000,2500000,6000000,6000000,15652878,25409058,35369285,47675537,37267122,43035506,14533740,32602000,32075000,33401000,17303000,29352000,26875000,52172000,47083000,30912000,20962000,12690000,69166000,66698000,51773000,61482000
34,Net Receivables,1700000,7400000,15500000,20400000,15334497,7565068,5384518,4391187,5374648,3580460,2177694,2449000,2149000,1661000,1441000,1120000,957000,907000,988000,1003000,769000,547000,7413000,10178000,12095000,11454000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,179800000,293600000,392300000,474600000,522026774,467840155,-1697804011,-1677910267,-1415070146,-4876083764,430802454,680646000,607042000,514741000,526080000,501024000,509963000,536459000,578861000,651838000,667379000,622050000,890341000,1188000000,1307708000,1559578000
37,Total Current Assets,183200000,303500000,413800000,501000000,553014149,500814281,-1657050208,-1625843543,-1372428376,-4829467798,447513888,715697000,641266000,549803000,544824000,531496000,537795000,589538000,626932000,683753000,689110000,635287000,966920000,1264876000,1371576000,1632514000
38,PP&E,100000,400000,1700000,2400000,2050808,1933918,1551781,1351887,991901,614858,525472,558000,411000,302000,419000,466000,601000,446000,256000,198000,267000,235000,1222000,14375000,12404000,11762000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5069000,5069000,5069000,5069000,5069000,5099000,5099000,- -,- -,150803000,150803000,150803000,150803000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53982000,52536000,51090000,23480000
41,Intangible Assets,6300000,6100000,6700000,6200000,5650045,5007583,5007583,5007583,5007583,5007583,5007583,5007000,5008000,5069000,5069000,5069000,5069000,5069000,5099000,5099000,- -,- -,204785000,203339000,201893000,174283000
42,Investments,- -,- -,- -,- -,- -,- -,11914984,8591248,48244261,42105346,76477386,62381000,78022000,75296000,83524000,85932000,455010000,523560000,575103000,644841000,661788000,617585000,54521000,59077000,56538000,54498000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,2063863652,2067387282,2028094255,5574713213,102080559,-62381000,-78022000,-75296000,-83524000,-85932000,-455010000,-523560000,-575103000,-644841000,-661788000,-617585000,154398000,- -,- -,- -
45,Total Non-Current Assets,6400000,6500000,8400000,8600000,7700853,6941501,2082338000,2082338000,2082338000,5622441000,184091000,5565000,5419000,5371000,5488000,5535000,5670000,5515000,5355000,5297000,267000,235000,414926000,276791000,270835000,240543000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1818458000,1913246000,2113600000
47,Total Assets,189600000,310000000,422200000,509600000,560715002,507755782,425287792,456494457,709909624,792973202,631604888,721262000,646685000,555174000,550312000,537031000,543465000,595053000,632287000,689050000,689377000,635522000,1381846000,1541667000,1642411000,1873057000
48,Accounts Payable,1100000,800000,2300000,3700000,3887589,2138240,5589754,1197248,1758956,1759737,1783258,2087000,2015000,2207000,1913000,1708000,4377000,6600000,8822000,6422000,8308000,8204000,22641000,20632000,19575000,19113000
49,Short-Term Debt,- -,- -,- -,- -,24066269,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55178000,38223000,87334000,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,6200000,12900000,11400000,15700000,-11053858,8761760,7010246,5702752,11741044,4340263,5116742,4213000,6985000,7493000,5087000,5992000,-77000,- -,- -,- -,45900000,12536000,882609000,- -,- -,- -
53,Total Current Liabilities,7300000,13700000,13700000,19400000,16900000,10900000,12600000,6900000,13500000,6100000,6900000,6300000,9000000,9700000,7000000,7700000,4300000,6600000,8822000,6422000,54208000,20740000,960428000,58855000,106909000,- -
54,Long-Term Debt,125900000,165600000,260300000,340000000,372060000,321845000,250767241,287454057,525932946,620022165,455136424,542549000,462650000,382522000,380532000,357779000,- -,- -,- -,- -,- -,- -,158810000,187352000,164736000,229026000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6973000,9341000,807000,18210000
57,Other Non-Current Liabilities,-100000,11900000,- -,17200000,24040000,-45000,32759,45943,-32946,-219122165,-36424,-49000,50000,-22000,-32000,21000,322800000,315000000,348795000,404540000,349073000,327623000,-6973000,- -,- -,- -
58,Total Non-Current Liabilities,125800000,177500000,260300000,357200000,396100000,321800000,250800000,287500000,525900000,400900000,455100000,542500000,462700000,382500000,380500000,357800000,322800000,315000000,348795000,404540000,349073000,327623000,158810000,196693000,165543000,247236000
59,Other Liabilities,- -,- -,- -,- -,- -,643632205,501623113,- -,1051848239,1021419363,- -,1085039000,925439000,- -,761047000,715627000,645647000,- -,- -,- -,- -,- -,- -,1345037000,1396484000,1764465000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12738000,11018000,9053000
61,Total Liabilities,133100000,178600000,274000000,358900000,412981951,332732205,263423113,294378135,539448239,626619363,461976886,548839000,471739000,392197000,387547000,365527000,327147000,321558000,357617000,410962000,403281000,348363000,1091642000,1207199000,1337850000,1517229000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,100000,145467,182421,182421,182524,183077,185271,187998,189000,190000,190000,190000,192000,233000,266000,268000,269000,270000,273000,274000,276000,278000,281000
64,Retained Earnings,- -,- -,- -,8500000,1208207,-9645103,-11767464,-11392806,5185596,3519951,5198189,2739000,178482000,6619000,10093000,-6737000,-13189000,-14782000,-19191000,-15617000,-33993000,-65592000,13043000,11281000,-23502000,30606000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,4000000,5000000,7000000,9000000,-3000000,-2000000,5000000,13000000,19000000,24000000,29000000,38000000,38000000,- -,999000,2012000,1034000
66,Other Total Stockholders Equity,56500000,131400000,148200000,142100000,146379377,184486259,173449722,173326604,165092712,158648617,159241815,162495000,-12726000,159168000,154482000,173049000,216274000,269011000,269593000,264436000,281819000,314478000,249291000,250592000,252620000,255119000
67,Total Stockholders Equity,56500000,131400000,148200000,150700000,147733051,175023577,161864679,162116322,170461385,166353839,169628002,172423000,174946000,162977000,162765000,171504000,216318000,273495000,274670000,278088000,286096000,287159000,262608000,263148000,231408000,287040000
68,Total Liabilities And Stockholders Equity,189600000,310000000,422200000,509600000,560715002,507755782,425287792,456494457,709909624,792973202,631604888,721262000,646685000,555174000,550312000,537031000,543465000,595053000,632287000,689050000,689377000,635522000,1354250000,1470347000,1569258000,1804269000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27596000,71320000,73153000,68788000
70,Total Liabilities & Equity,189600000,310000000,422200000,509600000,560715002,507755782,425287792,456494457,709909624,792973202,631604888,721262000,646685000,555174000,550312000,537031000,543465000,595053000,632287000,689050000,689377000,635522000,1381846000,1541667000,1642411000,1873057000
71,SEC Link,https://www.sec.gov/Archives/edgar/data/1000209/000092701697000957/0000927016-97-000957-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000209/000095013001500469/0000950130-01-500469-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000209/000095013003002707/0000950130-03-002707-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312504042419/0001193125-04-042419-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312505071187/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312506054921/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312507067617/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312508055644/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312509053775/0001193125-09-053775-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312510055581/0001193125-10-055581-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312511064323/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312512134839/0001193125-12-134839-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312513103504/0001193125-13-103504-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312514084781/d683800d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312515087622/d879043d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312516495428/0001193125-16-495428-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312517082178/0001193125-17-082178-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312518082402/0001193125-18-082402-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312519073307/0001193125-19-073307-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000156459020014310/0001564590-20-014310-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000156459021013216/0001564590-21-013216-index.htm,https://www.sec.gov/Archives/edgar/data/1000209/000095017022003603/0000950170-22-003603-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,3700000,11400000,11700000,9800000,7540688,-4058283,-12611616,2018023,22512029,6861502,13108019,15436000,15090000,1022000,11279000,19163000,24517000,25776000,28692000,29376000,23515000,278000,-25046000,1996000,-26907000,57654000
74,Depreciation and Amortization,300000,400000,-1700000,2100000,2905613,2858419,2124376,2020450,2339952,2639331,1516501,8242000,1472000,1718000,1421000,1316000,1218000,1095000,483000,415000,485000,1019000,5564000,7499000,7714000,6519000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,234000,223000,228000,- -,- -,- -,- -,- -,- -,576000,1221000,2030000,2261000
77,Change in Working Capital,-2800000,113900000,110300000,81500000,54514149,-46199868,-2159564489,36906665,246815167,-3449639422,5276181686,268783112,-77131000,-92163000,-2279000,-14028000,9699000,49443000,35172000,59221000,-42429000,-20355000,-608055000,6946000,16913000,23209000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,797000,-1249000,-1676000,-283000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,191000,-2660000,-206000,- -,- -,- -,- -,- -,- -,-536000,-7334000,-6784000,1553000
81,Other Working Capital,175900000,289800000,400100000,481600000,536114149,489914281,-1669650208,-1632743543,-1385928376,-4835567798,440613888,709397000,632266000,540103000,537824000,523796000,533495000,582938000,618110000,677331000,634902000,614547000,6492000,- -,- -,- -
82,Other Non-Cash Items,100000,-112200000,-119300000,-81800000,-52224314,57040664,2166017107,-44172264,-258677155,3455271006,-5287432610,-289810112,77817000,99114000,-3925000,2728000,-25314000,-61187000,-35230000,-76473000,80020000,32381000,705105000,47273000,78956000,-10917000
83,Cash Provided by Operating Activities,1300000,13500000,1000000,11600000,12736136,9640932,-4034622,-3227126,12989993,15132417,3373596,2651000,17248000,9925000,6719000,9407000,10120000,15127000,29117000,12539000,61591000,13323000,78144000,64935000,78706000,78726000
84,CAPEX,-100000,-1200000,-13500000,-900000,-626169,-493556,-213039,-301346,-281741,-451357,-486224,-488000,-240000,-149000,-336000,-216000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-36000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,17676000
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-312418802,-334716000,-248950000,-174868000,-219737000,-198084000,-169051000,-219231000,-110477000,-117540000,- -,- -,-10376000,-10507000,-15580000,-19354000
87,Sales/Maturities of Investments,44300000,96500000,194400000,224700000,170084338,190071504,248178399,232171193,144835651,225381052,293920109,275468000,342523000,262970000,213139000,233875000,177632000,211782000,83993000,57026000,- -,- -,6417000,7119000,15399000,35647000
88,Other Investing Activites,-102700000,-214100000,-258000000,-298600000,-196066389,-143423171,-160914853,-251631112,-392473121,-317864610,-189615,-488000,-19266000,-3200000,-2179000,474000,-5556000,-4503000,-12552000,3362000,- -,- -,-31331000,-203122000,-170776000,-272290000
89,Cash Used for Investing Activites,-58400000,-117600000,-63600000,-73900000,-25982051,46648333,87263546,-19459919,-247637470,-92483558,-54688308,-59736000,74307000,84753000,-9113000,36049000,3025000,-11952000,-39036000,-57152000,- -,- -,-35290000,-206510000,-170957000,-238321000
90,Debt Repayment,- -,- -,-26600000,-40200000,-1410000,-72700000,-227667658,-165679566,-187987804,-229140360,-215434472,-308777000,-609118000,-366411000,-167780000,-231929000,-140334000,-297293000,-90643000,-55997000,-350116000,-21450000,- -,- -,- -,- -
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34655000,45407000,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1213000,-78000,- -,- -,-5880000,-3212000,-1524000,- -,- -,- -,- -,- -
93,Dividends Paid,-2200000,-9500000,-15600000,-17500000,-17760963,-10027293,-2190938,-1643366,-5933627,-8527147,-11426149,-13285000,-13314000,-13355000,-10511000,-12251000,-16383000,-19541000,-23892000,-24372000,-14570000,-145000,-66000,- -,- -,- -
94,Other Financing Activites,61000000,114500000,103700000,119900000,40610472,36194208,156589899,202316229,418160493,320787033,270765685,397202000,529498000,286414000,165800000,210851000,106440000,293549000,125245000,112023000,294669000,- -,-27588000,151683000,136470000,172039000
95,Cash Used/Provided by Financing Activities,58800000,105000000,61500000,62200000,21439509,-46533085,-73268697,34993297,224239062,83119526,43905064,75140000,-92934000,-93352000,-13704000,-33407000,-15622000,22122000,4830000,28442000,-71541000,-21595000,-27654000,151683000,136470000,172039000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
97,Net Change In Cash,- -,- -,100000,- -,8193594,9756180,9960227,12306252,-10408415,5768384,-7409648,18055000,-1379000,1326000,-16098000,12049000,-2477000,25297000,-5089000,-16171000,-9950000,-8272000,15200000,10108000,44219000,12444000
98,Cash at the End of Period,- -,- -,- -,6000000,15652878,25409058,35369285,47675537,37267122,43035506,15398740,33454000,32075000,33401000,17303000,29352000,26875000,52172000,47083000,30912000,20962000,12690000,57713000,67821000,112040000,124484000
99,Cash at the Beginning of Period,- -,1700000,7100000,6000000,7459284,15652878,25409058,35369285,47675537,37267122,22808388,15399000,33454000,32075000,33401000,17303000,29352000,26875000,52172000,47083000,30912000,20962000,42513000,57713000,67821000,112040000
100,Free Cash Flow,1200000,12300000,-12500000,10700000,12109967,9147376,-4247661,-3528472,12708252,14681060,2887372,2163000,17008000,9776000,6383000,9191000,10120000,15127000,29117000,12539000,61591000,13323000,78144000,64935000,78706000,78726000
101,SEC Link,https://www.sec.gov/Archives/edgar/data/1000209/000092701697000957/0000927016-97-000957-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1000209/000095013001500469/0000950130-01-500469-index.html,- -,https://www.sec.gov/Archives/edgar/data/1000209/000095013003002707/0000950130-03-002707-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312504042419/0001193125-04-042419-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312505071187/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312506054921/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312507067617/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312508055644/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312509053775/0001193125-09-053775-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312510055581/0001193125-10-055581-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312511064323/d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312512134839/0001193125-12-134839-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312513103504/0001193125-13-103504-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312514084781/d683800d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312515087622/d879043d10k.htm,https://www.sec.gov/Archives/edgar/data/1000209/000119312516495428/0001193125-16-495428-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312517082178/0001193125-17-082178-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312518082402/0001193125-18-082402-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000119312519073307/0001193125-19-073307-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000156459020014310/0001564590-20-014310-index.html,https://www.sec.gov/Archives/edgar/data/1000209/000156459021013216/0001564590-21-013216-index.htm,https://www.sec.gov/Archives/edgar/data/1000209/000095017022003603/0000950170-22-003603-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,
