,https://roic.ai/company/DGX,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1616296000,1528700000,1458600000,2205200000,3421162000,3627771000,4108051000,4737958000,5126601000,5503711000,6268659000,6704907000,7249447000,7455243000,7368925000,7510490000,7382562000,7146000000,7435000000,7493000000,7515000000,7709000000,7531000000,7726000000,9437000000,10788000000
2,COGS,1010875000,875500000,813900000,1319000000,1967606000,2151594000,2432388000,2768623000,2990712000,3257335000,3696006000,3969848000,4256156000,4321475000,4317247000,4395333000,4364699000,4326000000,4637000000,4657000000,4616000000,4719000000,4926000000,5037000000,5804000000,6579000000
3,Gross Profit,605421000,653200000,644700000,886200000,1453556000,1476177000,1675663000,1969335000,2135889000,2246376000,2572653000,2735059000,2993291000,3133768000,3051678000,3115157000,3017863000,2820000000,2798000000,2836000000,2899000000,2990000000,2605000000,2689000000,3633000000,4209000000
4,Gross Profit Ratio,0.3746,0.4273,0.4420,0.4019,0.4249,0.4069,0.4079,0.4157,0.4166,0.4082,0.4104,0.4079,0.4129,0.4203,0.4141,0.4148,0.4088,0.3946,0.3763,0.3785,0.3858,0.3879,0.3459,0.3480,0.3850,0.3902
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,495323000,502100000,481600000,643400000,1001443000,1018680000,1074841000,1165700000,1227746000,1257775000,1433733000,1612858000,1736934000,1747618000,1707673000,1814315000,1745200000,1704000000,1728000000,1679000000,1681000000,1750000000,1424000000,1457000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",495323000,502100000,481600000,643400000,1001443000,1018680000,1074841000,1165700000,1227746000,1257775000,1433733000,1612858000,1736934000,1747618000,1707673000,1814315000,1745200000,1704000000,1728000000,1679000000,1681000000,1750000000,1424000000,1457000000,- -,1727000000
9,Other Expenses,711382000,76400000,68800000,90800000,134296000,46107000,8373000,8201000,6703000,20490000,10913000,30865000,33981000,27039000,48470000,305794000,71866000,115000000,87000000,92000000,59000000,75000000,76000000,1000000,1662000000,101000000
