,https://roic.ai/company/TTEK,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
89,Cash Used for Investing Activites,-700000,-1100000,-1200000,-8500000,-36700000,-8800000,-3800000,-41300000,-57700000,-42260000,-51182000,-52244000,-94196000,-44699000,-16685000,-7721000,-39687000,-89836000,-133299000,-97361000,-293841000,-79799000,-196605000,-41161000,-21020000,-94015000,-16960000,-42634000,-99706000,-63023000,-92992000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-168711000,-2673000,-43047000,-120792000,-171400000,-4379000,-75459000,-148485000,-233865000,-485946000,-415491000,-332377000,-417022000
91,Common Stock Issued,- -,15500000,200000,400000,600000,700000,2600000,4100000,26600000,8545000,8229000,6067000,7892000,12105000,5863000,7008000,7617000,20667000,20336000,3353000,8378000,18166000,15993000,23834000,10825000,17953000,18555000,13520000,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,-100000,-200000,- -,- -,- -,- -,- -,-890000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-20000000,-80000000,-100500000,-99500000,-100000000,-75000000,-100000000,-117188000,-60000000
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8956000,-18240000,-19735000,-21672000,-24477000,-29674000,-34743000,-40041000
94,Other Financing Activites,-600000,-8900000,- -,-400000,20000000,-20100000,6200000,36400000,5200000,44237000,8364000,-18927000,6065000,31061000,-59091000,-18173000,-3218000,-25050000,120315000,120754000,66020000,35232000,261022000,-18176000,59795000,224379000,242210000,398816000,410102000,321259000,306964000
95,Cash Used/Provided by Financing Activities,-600000,6600000,200000,-100000,20400000,-19400000,8800000,40500000,31800000,52782000,15703000,-12860000,13957000,43166000,-53228000,-11165000,4399000,-4383000,-28060000,121434000,31351000,-67394000,85615000,-87677000,-123579000,-25388000,-94772000,-173087000,-135063000,-163049000,-210099000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,-1100000,1034000,-112000,-2000,292000,201000,247000,- -,- -,- -,1394000,861000,428000,3526000,-2303000,-5464000,-5301000,2516000,3256000,-4931000,-1727000,207000,7772000
97,Net Change In Cash,-600000,6600000,200000,-100000,20400000,-19400000,8800000,40500000,3300000,-632000,8683000,30105000,-13181000,14868000,-21170000,38492000,11388000,-25839000,38283000,131748000,-130439000,14354000,24457000,-6926000,12947000,25133000,29516000,-43790000,-27983000,36614000,9053000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,8200000,7557000,16240000,46345000,33164000,48032000,26862000,65353000,76741000,50902000,89185000,220933000,90494000,104848000,129305000,122379000,135326000,160459000,189975000,146185000,120901000,157515000,166568000
99,Cash at the Beginning of Period,700000,1000000,9000000,13400000,15900000,13100000,6100000,12300000,4900000,8189000,7557000,16240000,46345000,33164000,48032000,26861000,65353000,76741000,50902000,89185000,220933000,90494000,104848000,129305000,122379000,135326000,160459000,189975000,148884000,120901000,157515000
100,Free Cash Flow,900000,1400000,4200000,9700000,12100000,18700000,-1500000,-47900000,-27400000,-26933000,33257000,88046000,58347000,-1692000,38704000,45832000,33535000,50612000,178445000,85230000,112722000,132915000,110205000,107972000,138551000,130075000,128251000,167136000,192315000,250234000,295799000
101,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831641/000089843096005943/0000898430-96-005943-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831641/000091205700055237/0000912057-00-055237-index.html,https://www.sec.gov/Archives/edgar/data/831641/000091205701544914/0000912057-01-544914-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746902008614/a2096805z10-k.htm,https://www.sec.gov/Archives/edgar/data/831641/000104746903041045/a2124434z10-k.htm,https://www.sec.gov/Archives/edgar/data/831641/000104746905000037/a2149127z10-k.htm,https://www.sec.gov/Archives/edgar/data/831641/000110465905061302/a05-21654_110k.htm,https://www.sec.gov/Archives/edgar/data/831641/000110465906084204/a06-25650_110k.htm,https://www.sec.gov/Archives/edgar/data/831641/000104746907009543/0001047469-07-009543-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746908012390/0001047469-08-012390-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746909010148/0001047469-09-010148-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746910009822/0001047469-10-009822-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746911009637/0001047469-11-009637-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746912010616/0001047469-12-010616-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746913010692/0001047469-13-010692-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746914009389/0001047469-14-009389-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746915008864/0001047469-15-008864-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746916016906/0001047469-16-016906-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164117000022/0000831641-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164118000097/0000831641-18-000097-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164119000193/0000831641-19-000193-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164120000154/0000831641-20-000154-index.htm,https://www.sec.gov/Archives/edgar/data/831641/000083164121000110/0000831641-21-000110-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
