,https://roic.ai/company/TTEK,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831641/000089843096005943/0000898430-96-005943-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/831641/000091205700055237/0000912057-00-055237-index.html,https://www.sec.gov/Archives/edgar/data/831641/000091205701544914/0000912057-01-544914-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746902008614/a2096805z10-k.htm,https://www.sec.gov/Archives/edgar/data/831641/000104746903041045/a2124434z10-k.htm,https://www.sec.gov/Archives/edgar/data/831641/000104746905000037/a2149127z10-k.htm,https://www.sec.gov/Archives/edgar/data/831641/000110465905061302/a05-21654_110k.htm,https://www.sec.gov/Archives/edgar/data/831641/000110465906084204/a06-25650_110k.htm,https://www.sec.gov/Archives/edgar/data/831641/000104746907009543/0001047469-07-009543-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746908012390/0001047469-08-012390-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746909010148/0001047469-09-010148-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746910009822/0001047469-10-009822-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746911009637/0001047469-11-009637-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746912010616/0001047469-12-010616-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746913010692/0001047469-13-010692-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746914009389/0001047469-14-009389-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746915008864/0001047469-15-008864-index.html,https://www.sec.gov/Archives/edgar/data/831641/000104746916016906/0001047469-16-016906-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164117000022/0000831641-17-000022-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164118000097/0000831641-18-000097-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164119000193/0000831641-19-000193-index.html,https://www.sec.gov/Archives/edgar/data/831641/000083164120000154/0000831641-20-000154-index.htm,https://www.sec.gov/Archives/edgar/data/831641/000083164121000110/0000831641-21-000110-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,1000000,9000000,13400000,15900000,13100000,6100000,12300000,4900000,8200000,7600000,16240000,46300000,33200000,48000000,26900000,65400000,76741000,50900000,89200000,220900000,90500000,104848000,129300000,122400000,135326000,160459000,189975000,146185000,120732000,157515000,166568000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,1000000,9000000,13400000,15900000,13100000,6100000,12300000,4900000,8200000,7600000,16240000,46300000,33200000,48000000,26900000,65400000,76741000,50900000,89200000,220900000,90500000,104848000,129300000,122400000,135326000,160459000,189975000,146185000,120732000,157515000,166568000
34,Net Receivables,15600000,17600000,21300000,25200000,52500000,47500000,65200000,128700000,176400000,275600000,282397000,280500000,336500000,364000000,319100000,351600000,437315000,630100000,511500000,573900000,664000000,706297000,680900000,724000000,646324000,728707000,802079000,848192000,896864000,761176000,787042000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,1000000,800000,1100000,1800000,6700000,4300000,3400000,8700000,10500000,13700000,17650000,18600000,22100000,40700000,44900000,22600000,28800000,39100000,55200000,49900000,84600000,48168000,61400000,52200000,42125000,46262000,49969000,56003000,62196000,81094000,112338000
37,Total Current Assets,17600000,27400000,35800000,42900000,72300000,57900000,80900000,142300000,195100000,296900000,316287000,345400000,391800000,452700000,390900000,439600000,542856000,720100000,655900000,844700000,839100000,859313000,871600000,898600000,823775000,935428000,1042023000,1050380000,1079792000,999785000,1065948000
38,PP&E,1600000,2000000,2500000,3500000,6400000,7000000,8400000,13700000,21700000,35200000,39936000,40100000,41800000,37800000,31600000,32000000,54377000,61400000,70900000,79400000,77500000,74309000,88000000,73900000,64906000,67827000,56835000,43278000,39441000,274903000,253155000
