,https://roic.ai/company/SBH,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1460137000,1667052000,1824008000,2097667000,2254307000,2373100000,2513772000,2648191000,2636600000,2916090000,3269131000,3523644000,3622216000,3753498000,3834343000,3952618000,3938317000,3932565000,3876411000,3514330000,3874997000
2,COGS,837422000,952096000,1016941000,1146814000,1227307000,1286329000,1360025000,1413597000,1393283000,1511716000,1674526000,1780385000,1826953000,1893326000,1936492000,1988678000,1973422000,1988152000,1965869000,1798736000,1921663000
3,Gross Profit,622715000,714956000,807067000,950853000,1027000000,1086771000,1153747000,1234594000,1243317000,1404374000,1594605000,1743259000,1795263000,1860172000,1897851000,1963940000,1964895000,1944413000,1910542000,1715594000,1953334000
4,Gross Profit Ratio,0.4265,0.4289,0.4425,0.4533,0.4556,0.4580,0.4590,0.4662,0.4716,0.4816,0.4878,0.4947,0.4956,0.4956,0.4950,0.4969,0.4989,0.4944,0.4929,0.4882,0.5041
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,861055000,903146000,899415000,1012321000,1086414000,1179206000,1202709000,1273513000,1313134000,1365986000,1351296000,1484209000,1452751000,1442809000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,527971000,591307000,711208000,830368000,865095000,861055000,903146000,899415000,1012321000,1086414000,1179206000,1202709000,1273513000,1313134000,1365986000,1351296000,1484209000,1452751000,1442809000,1530280000
9,Other Expenses,- -,- -,45695000,70026000,- -,- -,42605000,48533000,47066000,51123000,59722000,64698000,72192000,79663000,89391000,99657000,112323000,- -,- -,- -,- -
10,Operating Expenses,- -,527971000,637002000,781234000,830368000,865095000,903660000,951679000,946481000,1063444000,1146136000,1243904000,1274901000,1353176000,1402525000,1465643000,1463619000,1484209000,1452751000,1442809000,1530280000
11,COGS and Expenses,837422000,1480067000,1653943000,1928048000,2057675000,2151424000,2263685000,2365276000,2339764000,2575160000,2820662000,3024289000,3101854000,3246502000,3339017000,3454321000,3437041000,3472361000,3418620000,3241545000,3451943000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,132022000,112982000,112530000,138412000,107695000,116317000,116842000,144237000,132899000,98162000,96309000,98793000,93509000
14,Depreciation and Amortization,- -,- -,22335000,24619000,33906000,38032000,50012000,57002000,47066000,51123000,59722000,64698000,72192000,79663000,89391000,99657000,112323000,108829000,107658000,106779000,102201000
15,EBITDA,36222000,154810000,192053000,191988000,223521000,218141000,132625000,180801000,343902000,392053000,508191000,564053000,592554000,586659000,584717000,597954000,590920000,535418000,566131000,365539000,520644000
16,EBITDA ratio,0.0248,0.0929,0.1053,0.0915,0.0992,0.0919,0.0528,0.0683,0.1304,0.1344,0.1555,0.1601,0.1636,0.1563,0.1525,0.1513,0.1500,0.1361,0.1460,0.1040,0.1344
17,Operating Income,622715000,186985000,170065000,169619000,196632000,180201000,228585000,282915000,296836000,340930000,448469000,499355000,520362000,506996000,495326000,498297000,478597000,426589000,458473000,258760000,418443000
18,Operating Income ratio,0.4265,0.1122,0.0932,0.0809,0.0872,0.0759,0.0909,0.1068,0.1126,0.1169,0.1372,0.1417,0.1437,0.1351,0.1292,0.1261,0.1215,0.1085,0.1183,0.0736,0.1080
19,Total Other Income Expenses (Gains),-480359000,-32175000,-347000,-2250000,-7017000,-92000,-145972000,-159116000,-132022000,-112982000,-112530000,-138412000,-107695000,-116317000,-116842000,-144237000,-132899000,-98162000,-96309000,-98793000,-93509000
20,Income Before Tax,142356000,154810000,169718000,167369000,189615000,180109000,82613000,123799000,164814000,227948000,335939000,360943000,412667000,390679000,378484000,354060000,345698000,328427000,362164000,159967000,324934000
