,https://roic.ai/company/ZBH,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,- -,385000000,439000000,481700000,604400000,626700000,843300000,1356700000,1435100000,1544000000,1868800000,1965300000,1937500000,2052400000,2230500000,2142400000,2177900000,2248800000,3268200000,4214900000,4343500000,4513800000,4459800000,4198300000,4489900000
11,COGS and Expenses,- -,650000000,708000000,772600000,930300000,971500000,1359500000,2136600000,2174500000,2324100000,2744700000,2962600000,2928300000,3064800000,3352500000,3267600000,3464000000,3498600000,5068800000,6596700000,6476400000,6785700000,6712400000,6326600000,6830900000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10100000,15600000,15600000,11900000,9400000,2900000,2200000,3300000,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,55300000,72900000,70100000,63100000,286600000,357900000,327500000,289300000,226900000,212000000,208400000
14,Depreciation and Amortization,- -,26000000,22000000,23100000,23400000,25300000,103300000,181300000,185700000,197400000,230000000,275100000,337400000,340200000,359900000,363100000,358500000,375800000,712400000,1039300000,1062700000,1040500000,1006100000,1032700000,1067400000
15,EBITDA,- -,237000000,253000000,291100000,264300000,414200000,596400000,912700000,1225500000,1365900000,1361100000,1396000000,1335600000,1200400000,1394900000,1428200000,1411500000,1383900000,1153000000,1798100000,1855200000,1058800000,2138900000,968800000,1693700000
16,EBITDA ratio,- -,0.2753,0.2694,0.2797,0.2242,0.3018,0.3137,0.3062,0.3729,0.3908,0.3492,0.3387,0.3261,0.2844,0.3133,0.3194,0.3053,0.2961,0.1922,0.2340,0.2371,0.1335,0.2680,0.1379,0.2161
17,Operating Income,- -,211000000,231000000,268000000,248300000,400900000,450700000,763200000,1055000000,1165200000,1127600000,1090000000,1018800000,916700000,1024100000,1047400000,1035600000,1034700000,467300000,825900000,808200000,33800000,1137500000,-87800000,780100000
18,Operating Income ratio,- -,0.2451,0.2460,0.2575,0.2107,0.2921,0.2371,0.2560,0.3210,0.3334,0.2893,0.2645,0.2488,0.2172,0.2300,0.2342,0.2240,0.2214,0.0779,0.1075,0.1033,0.0043,0.1425,-0.0125,0.0996
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,-7400000,-12000000,-13200000,-31700000,-14300000,3800000,4000000,31800000,-20600000,-56500000,-45200000,-57300000,-54500000,-90800000,-314100000,-426300000,-343600000,-304900000,-231700000,-186600000,-361700000
20,Income Before Tax,- -,211000000,231000000,268000000,240900000,388900000,437500000,731500000,1040700000,1169000000,1131600000,1121800000,998200000,860200000,978900000,990100000,981100000,943900000,153200000,399600000,464600000,-271100000,905800000,-274400000,418400000
21,Income Before Tax Ratio,- -,0.2451,0.2460,0.2575,0.2044,0.2834,0.2301,0.2454,0.3167,0.3344,0.2903,0.2722,0.2437,0.2038,0.2199,0.2214,0.2122,0.2020,0.0255,0.0520,0.0594,-0.0342,0.1135,-0.0391,0.0534
22,Income Tax expense (Gain),- -,66000000,81000000,92000000,91100000,131100000,146800000,189600000,307300000,334000000,357900000,272300000,280800000,263300000,218900000,237200000,221900000,224900000,7000000,95000000,-1348800000,108200000,-225700000,-137000000,16300000
23,Net Income,- -,145000000,150000000,176000000,149800000,257800000,346300000,541800000,732500000,834500000,773200000,848600000,717400000,596900000,760800000,755000000,761000000,720100000,147000000,305900000,1813800000,-379200000,1131600000,-138900000,401600000
24,Net Income ratio,- -,0.1684,0.1597,0.1691,0.1271,0.1878,0.1822,0.1818,0.2229,0.2387,0.1984,0.2059,0.1752,0.1414,0.1709,0.1688,0.1646,0.1541,0.0245,0.0398,0.2318,-0.0478,0.1418,-0.0198,0.0512
25,EPS,- -,0.75,0.77,0.91,0.77,1.33,1.67,2.22,2.96,3.43,3.28,3.73,3.34,2.98,4.05,4.32,4.49,4.26,0.27,1.51,9.11,-1.86,5.52,-0.67,1.94
26,EPS Diluted,- -,0.75,0.77,0.91,0.77,1.31,1.64,2.19,2.93,3.40,3.26,3.72,3.32,2.97,4.03,4.29,4.43,4.19,0.26,1.50,9.03,-1.86,5.47,-0.67,1.94
27,Weighted Average Shares Outstanding,- -,193800000,193600000,193600000,193700000,194500000,207700000,244400000,247100000,243000000,235500000,227300000,215000000,200000000,187600000,174900000,169600000,169000000,187400000,200000000,201900000,203500000,205100000,207000000,207000000
28,Weighted Average Shares Outstanding Diluted,- -,193800000,193600000,193600000,194300000,196800000,211200000,247800000,249800000,245400000,237500000,228300000,215800000,201100000,188700000,176000000,171800000,171700000,189800000,202400000,203700000,203500000,206700000,207000000,207000000
29,SEC Link,undefined,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1136869/000095013702001247/c67231e10-k405.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013703001382/c75212e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013704001881/c83286e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013705002914/c92811e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013706002478/c02799e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013707002904/c12593e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095013708003099/c23011e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095015209001918/c48761e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095012310017177/c55340e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000095012311018592/c61394e10vk.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312512078626/d263321d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312513079914/d458588d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312514076641/d649455d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312515058361/d842425d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312516485039/d112646d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000119312517065632/d285470d10k.htm,https://www.sec.gov/Archives/edgar/data/1136869/000156459018003549/zbh-10k_20171231.htm,https://www.sec.gov/Archives/edgar/data/1136869/000156459019004283/zbh-10k_20181231.htm,https://www.sec.gov/Archives/edgar/data/1136869/000156459020005657/zbh-10k_20191231.htm,https://www.sec.gov/Archives/edgar/data/1136869/000156459021007163/0001564590-21-007163-index.htm,https://www.sec.gov/Archives/edgar/data/1136869/000156459022007160/0001564590-22-007160-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,18400000,15700000,77500000,154600000,233200000,265700000,463900000,212600000,691700000,668900000,768300000,884300000,1080600000,1083300000,1459300000,634100000,524400000,542800000,617900000,802100000,478500000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,66400000,265100000,455500000,671600000,727000000,612500000,164600000,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,18400000,15700000,77500000,154600000,233200000,265700000,463900000,212600000,758100000,934000000,1223800000,1555900000,1807600000,1695800000,1623900000,634100000,524400000,542800000,617900000,802100000,478500000
34,Net Receivables,- -,- -,196000000,188700000,181700000,214800000,486400000,524800000,524200000,625500000,674300000,732800000,751400000,775900000,838800000,884600000,936600000,912100000,1446500000,1604400000,1494600000,1275800000,1363900000,1452700000,1404900000
