,https://roic.ai/company/GS,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,25363000000,33000000000,15811000000,22854000000,23623000000,29839000000,43391000000,69353000000,45987000000,53579000000,42875000000,39161000000,28811000000,31955000000,31865000000,32027000000,31244000000,28053000000,29533000000,33416000000,36546000000,44559000000,59339000000
2,COGS,12464000000,16983000000,- -,9720000000,8440000000,10241000000,19718000000,34079000000,- -,34355000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,12899000000,16017000000,- -,13134000000,15183000000,19598000000,23673000000,35274000000,- -,19224000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
4,Gross Profit Ratio,0.5086,0.4854,- -,0.5747,0.6427,0.6568,0.5456,0.5086,- -,0.3588,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,10370000000,10511000000,7700000000,9137000000,9232000000,11471000000,13759000000,18888000000,20190000000,13917000000,16193000000,15376000000,12752000000,13542000000,12789000000,12691000000,12678000000,11647000000,11853000000,12328000000,12353000000,13309000000,17719000000
7,Selling and Marketing Exp.,- -,- -,406000000,- -,- -,- -,- -,- -,601000000,- -,342000000,530000000,640000000,509000000,541000000,549000000,557000000,457000000,588000000,740000000,739000000,401000000,553000000
8,"Selling, General and Administrative Exp.",10370000000,10511000000,8106000000,9137000000,9232000000,11471000000,13759000000,18888000000,20791000000,13917000000,16535000000,15906000000,13392000000,14051000000,13330000000,13240000000,13235000000,12104000000,12441000000,13068000000,13092000000,13710000000,18272000000
9,Other Expenses,537000000,486000000,- -,744000000,1506000000,1451000000,1641000000,1826000000,7592000000,2971000000,- -,10363000000,9250000000,8905000000,9139000000,8931000000,11807000000,8382000000,9157000000,11067000000,12871000000,- -,- -
10,Operating Expenses,10907000000,10997000000,- -,9881000000,10738000000,12922000000,15400000000,20714000000,28383000000,16888000000,- -,26269000000,22642000000,22956000000,22469000000,22171000000,25042000000,20486000000,21598000000,24135000000,25963000000,- -,- -
11,COGS and Expenses,23371000000,27980000000,- -,19601000000,19178000000,23163000000,35118000000,54793000000,- -,51243000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
12,Interest Income ,12722000000,17396000000,16620000000,11269000000,10751000000,11914000000,21250000000,35186000000,45968000000,35633000000,13907000000,12309000000,13174000000,11381000000,10060000000,9604000000,8452000000,9691000000,13113000000,19679000000,21738000000,13689000000,12120000000
13,Interest Expense (Gain),12018000000,16410000000,15327000000,8868000000,7600000000,8888000000,18153000000,31688000000,41981000000,31357000000,6500000000,6266000000,7316000000,8053000000,7120000000,6493000000,6354000000,7259000000,10181000000,15912000000,17376000000,8938000000,5650000000
14,Depreciation and Amortization,337000000,486000000,873000000,744000000,881000000,624000000,854000000,995000000,1167000000,1625000000,1943000000,1904000000,1869000000,1738000000,1322000000,1337000000,991000000,998000000,1152000000,1328000000,1704000000,1902000000,2015000000
15,EBITDA,14347000000,21916000000,19896000000,12865000000,12926000000,16188000000,27280000000,47243000000,60752000000,35318000000,28272000000,21062000000,15354000000,20998000000,20179000000,20187000000,16123000000,18561000000,22465000000,29721000000,29663000000,23319000000,34709000000
16,EBITDA ratio,0.5657,0.6641,1.2584,0.5629,0.5472,0.5425,0.6287,0.6812,1.3211,0.6592,0.6594,0.5378,0.5329,0.6571,0.6333,0.6303,0.5160,0.6616,0.7607,0.8894,0.8117,0.5233,0.5849
17,Operating Income,1992000000,5020000000,- -,3253000000,4445000000,6676000000,8273000000,14560000000,- -,2336000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,0.0785,0.1521,- -,0.1423,0.1882,0.2237,0.1907,0.2099,- -,0.0436,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,1992000000,5020000000,3696000000,3253000000,4445000000,6676000000,8273000000,14560000000,17604000000,2336000000,19829000000,12892000000,6169000000,11207000000,11737000000,12357000000,8778000000,10304000000,11132000000,12481000000,10583000000,12479000000,27044000000
21,Income Before Tax Ratio,0.0785,0.1521,0.2338,0.1423,0.1882,0.2237,0.1907,0.2099,0.3828,0.0436,0.4625,0.3292,0.2141,0.3507,0.3683,0.3858,0.2809,0.3673,0.3769,0.3735,0.2896,0.2801,0.4558
22,Income Tax expense (Gain),-716000000,1953000000,1386000000,1139000000,1440000000,2123000000,2647000000,5023000000,6005000000,14000000,6444000000,4538000000,1727000000,3732000000,3697000000,3880000000,2695000000,2906000000,6846000000,2022000000,2117000000,3020000000,5409000000
