,https://roic.ai/company/FDS,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,44300000,58400000,78900000,103800000,134178000,176688000,205853000,222295000,251910000,312644000,387350000,475801000,575519000,622023000,641059000,726510000,805793000,858112000,920335000,1006768000,1127092000,1221179000,1350145000,1435351000,1494111000,1591445000
2,COGS,9600000,18700000,24000000,27500000,33626000,61576000,67947000,66286000,74191000,91801000,121352000,152797000,191239000,209364000,206550000,244623000,275537000,306379000,353686000,405339000,487409000,566580000,659296000,663446000,695446000,786400000
3,Gross Profit,34700000,39700000,54900000,76300000,100552000,115112000,137906000,156009000,177719000,220843000,265998000,323004000,384280000,412659000,434509000,481887000,530256000,551733000,566649000,601429000,639683000,654599000,690849000,771905000,798665000,805045000
4,Gross Profit Ratio,0.7833,0.6798,0.6958,0.7351,0.7494,0.6515,0.6699,0.7018,0.7055,0.7064,0.6867,0.6789,0.6677,0.6634,0.6778,0.6633,0.6581,0.6430,0.6157,0.5974,0.5676,0.5360,0.5117,0.5378,0.5345,0.5059
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,21000000,20100000,27500000,37900000,49518000,64209000,75084000,79282000,90116000,111822000,144710000,167913000,200393000,201629000,212875000,243552000,257266000,282314000,264430000,269511000,290007000,302464000,324645000,333870000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",21000000,20100000,27500000,37900000,49518000,64209000,75084000,79282000,90116000,111822000,144710000,167913000,200393000,201629000,212875000,243552000,257266000,282314000,264430000,269511000,290007000,302464000,324645000,333870000,- -,331004000
9,Other Expenses,3000000,4700000,6600000,9800000,11865000,- -,-81113000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,359005000,- -
10,Operating Expenses,24000000,24800000,34100000,47700000,61383000,64209000,-6029000,79282000,90116000,111822000,144710000,167913000,200393000,201629000,212875000,243552000,257266000,282314000,264430000,269511000,290007000,302464000,324645000,333870000,359005000,331004000
11,COGS and Expenses,33600000,43500000,58100000,75200000,95009000,125785000,61918000,145568000,164307000,203623000,266062000,320710000,391632000,410993000,419425000,488175000,532803000,588693000,618116000,674850000,777416000,869044000,983941000,997316000,1054451000,1117404000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9829000,6394000
14,Depreciation and Amortization,3000000,4700000,6600000,9800000,11865000,16524000,18276000,17541000,14658000,18318000,24256000,28560000,30654000,34337000,37343000,36847000,33779000,35779000,34435000,31349000,38052000,48294000,57285000,60463000,100799000,107322000
15,EBITDA,14400000,20400000,29200000,40500000,51441000,70770000,82513000,96557000,104033000,128481000,150288000,191436000,219701000,246459000,259524000,275805000,308484000,306689000,337899000,365103000,499045000,392606000,409123000,482428000,537762000,581333000
16,EBITDA ratio,0.3251,0.3493,0.3701,0.3902,0.3834,0.4005,0.4008,0.4344,0.4130,0.4109,0.3880,0.4023,0.3817,0.3962,0.4048,0.3796,0.3828,0.3574,0.3671,0.3626,0.4428,0.3215,0.3030,0.3361,0.3599,0.3653
17,Operating Income,10700000,14900000,20800000,28600000,39169000,50903000,143935000,76727000,87603000,109021000,121288000,155091000,183887000,211030000,221634000,238335000,272990000,269419000,302219000,331918000,349676000,352135000,366204000,438035000,439660000,474041000
18,Operating Income ratio,0.2415,0.2551,0.2636,0.2755,0.2919,0.2881,0.6992,0.3452,0.3478,0.3487,0.3131,0.3260,0.3195,0.3393,0.3457,0.3281,0.3388,0.3140,0.3284,0.3297,0.3102,0.2884,0.2712,0.3052,0.2943,0.2979
19,Total Other Income Expenses (Gains),700000,800000,1600000,2100000,407000,3343000,-79698000,2289000,1772000,1142000,4744000,7785000,5160000,1092000,547000,623000,1715000,1491000,1245000,1836000,111317000,-7823000,-14366000,-16070000,-12526000,-6424000
20,Income Before Tax,11400000,15700000,22400000,30700000,39576000,54246000,64237000,79016000,89375000,110163000,126032000,162876000,189047000,212122000,222181000,238958000,274705000,270910000,303464000,333754000,460993000,344312000,351838000,421965000,427134000,467617000
21,Income Before Tax Ratio,0.2573,0.2688,0.2839,0.2958,0.2950,0.3070,0.3121,0.3555,0.3548,0.3524,0.3254,0.3423,0.3285,0.3410,0.3466,0.3289,0.3409,0.3157,0.3297,0.3315,0.4090,0.2820,0.2606,0.2940,0.2859,0.2938
