,https://roic.ai/company/CSL,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,481900000,466100000,542800000,567400000,553700000,621100000,500800000,528100000,611300000,692700000,822500000,1017500000,1260600000,1517500000,1611300000,1771067000,1849477000,1971280000,2108164000,2227614000,2209610000,2572510000,2876383000,2971400000,2379500000,2527700000,3224500000,3629400000,2943000000,3204000000,3543200000,3675400000,4089900000,4479500000,4811600000,4245200000,4810300000
2,COGS,333200000,324100000,375100000,386200000,376500000,429500000,351300000,370400000,432100000,494400000,601700000,750000000,935300000,1144200000,1206900000,1343134000,1527620000,1611805000,1732654000,1804486000,1770694000,2049921000,2293130000,2401400000,1875600000,1999000000,2547400000,2731700000,2197400000,2384500000,2536500000,2518100000,2941900000,3304800000,3439900000,3062800000,3495600000
3,Gross Profit,148700000,142000000,167700000,181200000,177200000,191600000,149500000,157700000,179200000,198300000,220800000,267500000,325300000,373300000,404400000,427933000,321857000,359475000,375510000,423128000,438916000,522589000,583253000,570000000,503900000,528700000,677100000,897700000,745600000,819500000,1006700000,1157300000,1148000000,1174700000,1371700000,1182400000,1314700000
4,Gross Profit Ratio,0.3086,0.3047,0.3090,0.3194,0.3200,0.3085,0.2985,0.2986,0.2931,0.2863,0.2684,0.2629,0.2581,0.2460,0.2510,0.2416,0.1740,0.1824,0.1781,0.1899,0.1986,0.2031,0.2028,0.1918,0.2118,0.2092,0.2100,0.2473,0.2533,0.2558,0.2841,0.3149,0.2807,0.2622,0.2851,0.2785,0.2733
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,15800000,16200000,15800000,16463000,17325000,19929000,20219000,16315000,15386000,15081000,17392000,12800000,16600000,23200000,28700000,33000000,29300000,33800000,42800000,48100000,54900000,55100000,60900000,54800000,49900000
6,General and Administrative Exp.,73700000,85700000,108100000,119500000,124500000,131000000,115400000,97600000,109600000,114900000,121600000,140600000,143200000,160400000,173400000,176484000,207103000,211802000,213810000,221676000,214887000,242513000,286056000,312300000,289000000,310500000,376600000,427700000,353700000,379000000,461900000,532000000,589400000,625400000,667100000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",73700000,85700000,108100000,119500000,124500000,131000000,115400000,97600000,109600000,114900000,121600000,140600000,143200000,160400000,173400000,176484000,207103000,211802000,213810000,221676000,214887000,242513000,286056000,312300000,289000000,310500000,376600000,427700000,353700000,379000000,461900000,532000000,589400000,625400000,667100000,641500000,698200000
9,Other Expenses,20800000,21000000,25500000,24400000,21700000,23000000,19400000,18800000,20700000,21900000,23200000,29800000,38800000,45200000,47400000,59549000,-2427000,93000,-4713000,-553000,-823000,-10636000,-49581000,- -,18400000,-1100000,-3300000,12700000,-4200000,-1600000,100000,-5400000,-2000000,-14800000,-10500000,2500000,-900000
