,https://roic.ai/company/TER,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,336400000,306100000,377700000,462300000,483600000,458900000,508900000,529600000,554734000,677440000,1191022000,1171615000,1266274000,1489151000,1790912000,3043946000,1440581000,1222236000,1352867000,1791880000,1075232000,1376818000,1102280000,1107042000,819407000,1608650000,1429061000,1656750000,1427933000,1647824000,1639578000,1753250000,2136606000,2100802000,2294965000,3121469000,3702881000
2,COGS,164600000,152300000,200700000,235100000,241200000,248100000,259800000,277100000,314596000,378933000,646382000,724624000,734370000,947174000,1047752000,1669699000,1181808000,989567000,953968000,1068007000,663464000,716386000,588847000,608850000,507774000,735901000,715368000,770713000,619132000,769016000,723935000,793683000,912734000,880408000,955136000,2671456000,1496225000
3,Gross Profit,171800000,153800000,177000000,227200000,242400000,210800000,249100000,252500000,240138000,298507000,544640000,446991000,531904000,541977000,743160000,1374247000,258773000,232669000,398899000,723873000,411768000,660432000,513433000,498192000,311633000,872749000,713693000,886037000,808801000,878808000,915643000,959567000,1223872000,1220394000,1339829000,450013000,2206656000
4,Gross Profit Ratio,0.5107,0.5025,0.4686,0.4915,0.5012,0.4594,0.4895,0.4768,0.4329,0.4406,0.4573,0.3815,0.4201,0.3640,0.4150,0.4515,0.1796,0.1904,0.2949,0.4040,0.3830,0.4797,0.4658,0.4500,0.3803,0.5425,0.4994,0.5348,0.5664,0.5333,0.5585,0.5473,0.5728,0.5809,0.5838,0.1442,0.5959
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,62356000,70442000,123487000,143931000,162500000,195158000,228570000,300920000,288657000,293922000,254600000,262000000,223015000,208702000,204344000,216461000,164835000,197022000,195600000,251382000,264055000,291639000,292250000,291025000,305665000,301505000,322824000,- -,427609000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,129935000,176797000,180265000,194103000,212885000,256392000,362562000,270084000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,233711000,- -,- -,- -,- -,- -,- -,- -,- -,464769000,- -
8,"Selling, General and Administrative Exp.",128700000,136700000,176600000,178100000,190900000,196900000,188500000,189500000,126508000,129935000,176797000,180265000,194103000,212885000,256392000,362562000,270084000,290376000,249464000,268576000,252807000,289006000,250841000,247789000,200430000,230101000,233711000,281500000,279560000,319713000,306313000,315682000,348287000,390669000,437084000,464769000,547559000
9,Other Expenses,23900000,23700000,32500000,29300000,33800000,34600000,36600000,35300000,- -,- -,-5600000,- -,- -,- -,- -,- -,- -,- -,- -,-865000,- -,- -,- -,353914000,32296000,29251000,48668000,73508000,72447000,70771000,69031000,52648000,30530000,39191000,40147000,392565000,21456000
10,Operating Expenses,152600000,160400000,209100000,207400000,224700000,231500000,225100000,224800000,188864000,200377000,294684000,324196000,356603000,408043000,484962000,663482000,558741000,584298000,504064000,529711000,475822000,497708000,455185000,818164000,397561000,456374000,477979000,606390000,616062000,682123000,667594000,659355000,684482000,731365000,800055000,857334000,996624000
