,https://roic.ai/company/IBA,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
22,Income Tax expense (Gain),- -,37585800,39817224,394958863,310759327,-184561032,105575894,106084512,340285055,577176265,312062664,-274019000,406358000,503415000,-40530000,602020000,1350439000,1656110000,1680560000,1643433000,1084444000,1154978000,1124978000,1211611000,1782200000
23,Net Income,- -,918873900,811981897,1221734405,1069840460,1473485659,533486161,704342520,1765582335,872991650,1268141274,-879048000,797600000,1983350000,157041000,2184567000,2038422000,3926926000,3812840000,3946634000,4948242000,3349967000,3219931000,3935672000,5069100000
24,Net Income ratio,- -,0.1724,0.1442,0.1327,0.1116,0.1427,0.0498,0.0531,0.1222,0.0583,0.0698,-0.0437,0.0343,0.0802,0.0057,0.0555,0.0513,0.0940,0.0825,0.0759,0.0852,0.0549,0.0522,0.0572,0.0620
25,EPS,- -,22.42,17.82,24.78,21.57,29.55,10.70,13.99,35.32,17.47,25.39,-10.92,16.20,40.08,3.24,43.20,38.16,78.72,77.88,79.20,96.84,68.64,63.12,73.44,101.41
26,EPS Diluted,- -,22.42,17.82,24.78,21.57,29.55,10.70,13.99,35.32,17.47,25.39,-10.92,16.20,40.08,3.24,43.20,38.16,78.72,77.88,79.20,96.84,68.64,63.12,73.44,101.41
27,Weighted Average Shares Outstanding,- -,50000000,49680000,49354000,49575000,49649667,49894833,49938333,49974500,49964250,50000000,50000000,49995500,49998583,50000000,50000000,49999417,49995000,49969250,49997750,49999833,49998417,49997750,49984833,49984833
28,Weighted Average Shares Outstanding Diluted,- -,50000000,49680000,49354000,49575000,49650000,49894833,49971000,49974500,49964250,50000000,50000000,49995500,49998583,50000000,50000000,49999417,49995000,49969250,49997750,49999833,49998417,49997750,49984833,49984833
29,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1044896/000114420407034400/0001144204-07-034400-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420408037304/0001144204-08-037304-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420409035170/0001144204-09-035170-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420410035449/0001144204-10-035449-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420411036116/0001144204-11-036116-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420412024894/0001144204-12-024894-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1044896/000114420414026120/0001144204-14-026120-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420415025470/0001144204-15-025470-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420416097413/0001144204-16-097413-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420417022863/0001144204-17-022863-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420418023204/0001144204-18-023204-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420419021974/0001144204-19-021974-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000110465920053509/0001104659-20-053509-index.htm,- -,- -
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,717097500,1182322760,1197213934,1161891360,1690233703,1564177261,2330538570,3163875055,3452608030,3033188529,1998247000,- -,3967874000,2625661000,4179026000,6715513000,11028054000,14020491000,14661968000,16088210000,17897521000,18620138000,17247332000,20707100000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11272000,12897000,- -,961968000,1004106000,925584000,1242614000,970292000,1127841000,550068000,502045000,1956037000,- -
33,Cash and Short-Term Investments,- -,717097500,1182322760,1197213934,1161891360,1690233703,1564177261,2330538570,3163875055,3452608030,3033188529,1998247000,11272000,3980771000,2625661000,5140994000,7719619000,11953638000,15263105000,15632260000,17216051000,18447589000,19122183000,19203369000,20707100000
34,Net Receivables,- -,297719100,390594766,433194991,554033457,547657122,622767959,561497148,757592550,838490830,1203796323,1348939000,1386078000,1436501000,2235152000,2300637000,2340009000,3111262000,2727949000,3777999000,3627204000,3486453000,3880784000,4366705000,5252500000
35,Inventory,- -,950525100,1260036824,1336086162,1599299119,1718264871,1536636210,1449177516,1636281020,2231164575,3322016424,3973615000,3613212000,3577929000,4592551000,5829837000,2738222000,2968061000,3404269000,3970688000,4727333000,4575596000,4710207000,5688338000,9145600000
36,Other Current Assets,- -,47476800,65368738,99132487,48003621,153994799,235581741,217799766,246501530,56587390,360797946,443064000,2892638000,542517000,1406988000,1110321000,2526498000,2819010000,3326665000,3549408000,2654445000,3265358000,3384074000,3327595000,2865300000
37,Total Current Assets,- -,2012818500,2898323088,3065627574,3363227556,4110150495,3959163171,4559013000,5804250155,6578850825,7919799222,7763865000,7903200000,9537718000,10860352000,14381789000,15324348000,20851971000,24721988000,26930355000,28225033000,29774996000,31097248000,32586007000,37970500000
38,PP&E,- -,3999920400,5772617724,6271071955,6752321407,7107812720,7779837717,8201325654,8804187150,9513547140,10233690282,10689235000,10910126000,10587321000,10440253000,12081077000,11785663000,12222689000,13465408000,15633522000,17651732000,18344852000,19874393000,20885495000,21762000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,278314685,289824160,300189294,300848000,300848000,300848000,300848000,300848000,344259000,349764000,454295000,484877000,1631094000,1631771000,1578994000,1650716000,- -
40,Intangible Assets,- -,24727500,247682244,283604695,278335509,14545454,286030769,295230798,38415685,21417280,28278228,- -,- -,- -,- -,- -,37955000,54512000,73125000,12200000,1051548000,976253000,775481000,756220000,- -
41,Intangible Assets,- -,24727500,247682244,283604695,278335509,14545454,286030769,295230798,316730370,311241440,328467522,300848000,300848000,300848000,300848000,300848000,382214000,404276000,527420000,497077000,2682642000,2608024000,2354475000,2406936000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,342903000,150528000,35754000,41187000,52572000,65509000,64629000,66177000,65545000,71431000,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,174141000,- -,- -,49378000,54127000,60132000,80670000,103826000,245272000,261934000,- -
44,Other Non-Current Assets,- -,6923700,60525208,28645771,64401978,292727262,339982580,337844520,367501915,512406265,592437591,701023000,763705000,771881000,1051377000,1125942000,1253612000,1273627000,1625063000,1903871000,1852683000,1967719000,2065558000,2263197000,6202300000
45,Total Non-Current Assets,- -,4031571600,6080825176,6583322421,7095058894,7415085436,8405851066,8834400972,9488419435,10337194845,11154595395,11691106000,11974679000,11660050000,12309522000,13658395000,13457243000,13991157000,15724590000,18160111000,22332356000,23090598000,24605243000,25888993000,27964300000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,6044390100,8979148263,9648949995,10458286451,11525235931,12365014237,13393413972,15292669590,16916045670,19074394617,19454971000,19877879000,21197768000,23169874000,28040184000,28781591000,34843128000,40446578000,45090466000,50557389000,52865594000,55702491000,58475000000,65934800000
48,Accounts Payable,- -,143419500,315198406,289860114,399927099,261402588,407430737,445084056,437231850,827857755,1135508106,1651930000,1653988000,1572292000,2326779000,2838500000,2764765000,3257291000,3800407000,3646410000,3684220000,3996014000,3972460000,4516424000,8565100000
49,Short-Term Debt,- -,114735600,990180293,106245737,93869908,117309087,57868661,99332064,92573415,9348470,58713270,234235000,591865000,139867000,1452993000,1197056000,557592000,797982000,1631883000,3097525000,3695051000,3492793000,3589937000,1336541000,1924000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,328602000,437770000,- -,30393000,33425000,129122000,927187000,446011000,698176000,973393000,508118000,357879000,1190168000,2193300000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,54590000,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,85062600,185312332,292568547,294424635,149007787,163265499,206405010,442900260,279892760,269656215,1297964000,505383000,454595000,673205000,640194000,1048442000,1600239000,1210529000,1572351000,1849873000,1596137000,1345736000,2326818000,2193400000
53,Total Current Liabilities,- -,343217700,1490691032,688674398,788221642,527719461,628564897,750821130,972705525,1117098985,1463877591,3184129000,2751236000,2166754000,4452977000,4730340000,4370799000,5655512000,6642819000,8316286000,9229144000,9084944000,8908133000,8179783000,12682500000
54,Long-Term Debt,- -,274969800,984002900,595566005,154670250,73049348,92560761,72300060,51854275,34198560,50641557,472347000,371970000,633510000,384370000,1526602000,1510210000,1652470000,2495127000,950412000,1553973000,1544807000,2141720000,1901135000,- -
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,1297011481,1603682928,1453859686,1585843037,1675784340,1692296375,2102110350,2369804829,1719076000,2021581000,2029150000,1921333000,2597940000,2701191000,3082197000,3369036000,3912575000,3843379000,3767320000,3904493000,3874980000,3825700000
57,Other Non-Current Liabilities,- -,32640300,38748242,53339736,65793519,28737661,30484284,54197280,84187565,76277470,96163404,- -,94629000,- -,142088000,96613000,48245000,90899000,160218000,195019000,252965000,302818000,487810000,592294000,1207800000
58,Total Non-Current Liabilities,- -,307610100,1022751142,1945917221,1824146698,1555646695,1708888082,1802281680,1828338215,2212586380,2516609790,2191423000,2488180000,2662660000,2447791000,4221155000,4259646000,4825566000,6024381000,5058006000,5650317000,5614945000,6534023000,6368409000,5033500000
59,Other Liabilities,- -,- -,2045502285,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,80690000,- -,126457000,- -,- -,- -,- -,- -,- -,- -,- -,803050000,719711000,- -
61,Total Liabilities,- -,650827800,2513442174,2634591618,2612368339,2083366156,2337452979,2553102810,2801043740,3329685365,3980487381,5375552000,5239416000,4829414000,6900768000,8951495000,8630445000,10481078000,12667200000,13374292000,14879461000,14699889000,15442156000,14548192000,17716000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,1394631000,1559493757,1706775157,1766666045,1873163566,1949304335,2050223130,2122798315,2210859180,2289882888,2294927000,2294927000,2294927000,2294927000,1174432000,1174432000,1174432000,1174432000,1174432000,1174432000,1174432000,1174432000,1174432000,1173900000
64,Retained Earnings,- -,4121579700,6267859231,7916738705,7873967215,9207552901,7937384615,11679147342,14339729195,14078623100,14218894332,10841564000,10591519000,11139037000,12822461000,17405360000,18586228000,22513154000,24749616000,28244970000,32367912000,34792320000,36424411000,39607821000,44957200000
65,Other Comprehensive Income/Loss,- -,-1515301200,-2697042242,-3178572103,-3521635868,-2212103813,-502699720,-3576120894,-4685482230,-3463316670,-2203599435,159455000,797600000,- -,35636000,72558000,-48456000,230177000,1390865000,1828524000,1662224000,1715033000,2166616000,2121959000,- -
66,Other Total Stockholders Equity,- -,1392652800,1335395343,569416618,1726920720,532280500,602344384,646069338,671685355,716431765,742042053,743674000,904208000,2882391000,1055873000,399641000,399641000,399641000,414017000,414385000,414385000,414470000,414516000,413423000,1596800000
67,Total Stockholders Equity,- -,5393562300,6465706090,7014358377,7845918111,9400893154,9986333614,10799318916,12448730635,13542597375,15047219838,14039620000,14588254000,16316355000,16208897000,19051991000,20111845000,24317404000,27728930000,31662311000,35618953000,38096255000,40179975000,43317635000,47727900000
68,Total Liabilities And Stockholders Equity,- -,6044390100,8979148263,9648949995,10458286451,11484259310,12323786593,13352421726,15249774375,16872282740,19027707219,19415172000,19827670000,21145769000,23109665000,28003486000,28742290000,34798482000,40396130000,45036603000,50498414000,52796144000,55622131000,57865827000,65443900000
69,Minority Interest,- -,- -,- -,- -,- -,40976622,41227644,40992246,42895215,43762930,46687398,39799000,50209000,51999000,60209000,36698000,39301000,44646000,50448000,53863000,58975000,69450000,80360000,609173000,490900000
70,Total Liabilities & Equity,- -,6044390100,8979148263,9648949995,10458286451,11525235931,12365014237,13393413972,15292669590,16916045670,19074394617,19454971000,19877879000,21197768000,23169874000,28040184000,28781591000,34843128000,40446578000,45090466000,50557389000,52865594000,55702491000,58475000000,65934800000
71,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1044896/000114420407034400/0001144204-07-034400-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420408037304/0001144204-08-037304-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420409035170/0001144204-09-035170-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420410035449/0001144204-10-035449-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420411036116/0001144204-11-036116-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420412024894/0001144204-12-024894-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1044896/000114420414026120/0001144204-14-026120-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420415025470/0001144204-15-025470-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420416097413/0001144204-16-097413-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420417022863/0001144204-17-022863-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420418023204/0001144204-18-023204-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420419021974/0001144204-19-021974-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000110465920053509/0001104659-20-053509-index.htm,- -,- -
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,918873900,811981897,1221734405,1069840460,1473485659,533486161,704342520,1765582335,872991650,1268141274,-879048000,797600000,1983350000,157041000,2184567000,2038422000,3926926000,3812840000,3946634000,4948242000,3349967000,3219931000,3935672000,5069100000
74,Depreciation and Amortization,- -,130561200,173846788,322611907,294379160,331875312,380773775,436388058,460531775,517695815,570139620,616358000,662630000,692640000,726061000,837807000,816673000,805650000,769270000,925748000,1075788000,1226917000,1589247000,2042903000,1829600000
75,Deferred Income Tax,- -,- -,- -,243961339,261446020,-234212978,65758316,80673984,987195,333435960,169353471,- -,- -,- -,- -,235603000,1350439000,1656110000,1680560000,1643433000,1084444000,1154978000,1124978000,1211611000,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
77,Change in Working Capital,- -,-221558400,60364388,-76587918,-328321849,-440425958,-121623788,141834726,-454810290,-284599380,-1303990137,-1189158000,-530217000,-611445000,-868772000,-905791000,1531908000,-358004000,126562000,-2152125000,246605000,207609000,-555254000,-646205000,-243000000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-151635000,-11402000,-59664000,-192647000,14514000,-8091000,-665742000,521603000,-1144991000,162906000,200145000,-306588000,-335742000,-398100000
79,Inventory,- -,-204743700,-6328753,-35460225,-386775671,-101828568,-303108235,-42535980,-326336945,-516303260,-1137632241,-784442000,281755000,31071000,-730284000,-1267482000,1871404000,-246515000,-448404000,-562905000,-461783000,149738000,-133572000,-850655000,-1824800000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,23517000,17277000,-6740000,17670000,532030000,-70540000,602297000,629631000,-43707000,-350299000,457941000,-38542000,320821000,4950600000
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,-24191585,- -,-35685468,-745636000,-797415000,-475874000,-190277000,-3425000,-84110000,42654000,43375000,34801000,57946000,49853000,184992000,104484000,-2970700000
82,Other Non-Cash Items,- -,989100,0,- -,0,1984416,4252580,-22212,39105660,36994465,43299675,1297806000,426661000,562836000,-69508000,-97223000,-883629000,-1044638000,-2261050000,-1353074000,-1875685000,-2433635000,-2103554000,-726386000,1471400000
83,Cash Provided by Operating Activities,- -,828865800,1046193072,1711719733,1297343791,1132706451,862647044,1363217076,1811396675,1476518510,746943903,-154042000,1356674000,2627381000,-55178000,2254963000,4853813000,4986044000,4128182000,3010616000,5479394000,3505836000,3275348000,5817595000,8127100000
84,CAPEX,- -,-835789500,-432417514,-262419162,-541791533,-263054536,-753187873,- -,-772941840,-862801170,-989552799,-1156168000,-988250000,-560586000,-707533000,-951760000,-575411000,-1288520000,-1909771000,-2792252000,-2126361000,-1977567000,-2199600000,-2346415000,-3501000000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-436821192,- -,- -,- -,- -,- -,- -,-1326741000,- -,-135450000,- -,-190595000,- -,-2494862000,- -,- -,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-139655000,-317030000,- -,-157549000,- -,-315761000,-1453992000,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,78522000,- -,272322000,- -,577773000,363784000,- -,- -
88,Other Investing Activites,- -,-2967300,-1204109186,11566260,-34761243,5620779,3760176,2909772,-2505140,-1986280,-1557699,229910000,186547000,148821000,-70040000,-184867000,281693000,359611000,290817000,954534000,1014913000,1081979000,1212935000,703219000,837400000
89,Cash Used for Investing Activites,- -,-838756800,-1636526700,-250852902,-576552776,-257433757,-749427697,-433911420,-775446980,-864787450,-991110498,-926258000,-801703000,-411765000,-2104314000,-1136627000,-429168000,-990042000,-2126579000,-1565396000,-3763859000,-317815000,-938642000,-3097188000,-2663600000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-18809000,-706668000,-1095870000,-774598000,-2130805000,-2181166000,-1098575000,-2231596000,-2670474000,-4246100000,-3588067000,-5133370000,-7148932000,-2261200000
91,Common Stock Issued,- -,- -,- -,- -,6757615,- -,44764000,- -,- -,17196435,- -,- -,- -,- -,- -,- -,3198000,8523000,54289000,5224000,- -,1887000,9255000,12085000,- -
92,Common Stock Repurchased,- -,- -,-47214960,4819275,- -,- -,- -,-11194848,-7908175,- -,- -,- -,- -,- -,- -,- -,-3071000,-7019000,-40612000,-4157000,-1800000,-6454000,-10729000,-15594000,- -
93,Dividends Paid,- -,-193863600,-186419154,-163460169,-319581516,-276799990,-304059470,-246275550,-243964545,-364223300,-362911188,-353880000,-250045000,-250082000,-299926000,-299175000,-950400000,- -,-899162000,-779960000,-780000000,-852000000,-840000000,-791744000,-851600000
94,Other Financing Activites,- -,-155288700,1203882145,-1398746376,-485038483,-140394800,-47539368,13393836,-33278025,-106859705,64257807,411360000,954463000,699083000,1859679000,2873750000,1280554000,1335565000,3755030000,2147232000,5121837000,3037101000,4506896000,3737783000,-886000000
95,Cash Used/Provided by Financing Activities,- -,-349152300,970248031,-1557387270,-797862384,-417194790,-306834838,-244076562,-285150745,-453886570,-298653381,38671000,-2250000,-646869000,785155000,443770000,-1850885000,238494000,637949000,-1302135000,93937000,-1407533000,-1467948000,-4206402000,-3998800000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,32124000,-8226000,-36407000,76664000,352885000,498392000,-383230000,33147000,-107838000,109604000,- -
97,Net Change In Cash,- -,-359043300,379914403,-96520440,-77071369,458077905,-193604300,685217988,750798950,157844490,-542819976,-1041629000,552721000,1568747000,-1342213000,1553880000,2537353000,4311160000,2992437000,641477000,1426242000,1813635000,760920000,-1376391000,1464700000
98,Cash at the End of Period,- -,717097500,1182322760,1197213934,1161891360,1690233703,1564177261,2330538570,3163875055,3452608030,3033188529,1998247000,2550968000,3967874000,2625661000,4179541000,6716894000,11028054000,14020491000,14661968000,16088210000,17901845000,18662765000,17286374000,20707100000
99,Cash at the Beginning of Period,- -,1076140800,802408356,1293734374,1238962729,1232155798,1757781561,1645320582,2413076105,3294763540,3576008505,3039876000,1998247000,2399127000,3967874000,2625661000,4179541000,6716894000,11028054000,14020491000,14661968000,16088210000,17901845000,18662765000,19242400000
100,Free Cash Flow,- -,-6923700,613775558,1449300571,755552258,869651915,109459171,1363217076,1038454835,613717340,-242608896,-1310210000,368424000,2066795000,-762711000,1303203000,4278402000,3697524000,2218411000,218364000,3353033000,1528269000,1075748000,3471180000,4626100000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1044896/000114420407034400/0001144204-07-034400-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420408037304/0001144204-08-037304-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420409035170/0001144204-09-035170-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420410035449/0001144204-10-035449-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420411036116/0001144204-11-036116-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420412024894/0001144204-12-024894-index.htm,- -,https://www.sec.gov/Archives/edgar/data/1044896/000114420414026120/0001144204-14-026120-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420415025470/0001144204-15-025470-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420416097413/0001144204-16-097413-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420417022863/0001144204-17-022863-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420418023204/0001144204-18-023204-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000114420419021974/0001144204-19-021974-index.htm,https://www.sec.gov/Archives/edgar/data/1044896/000110465920053509/0001104659-20-053509-index.htm,- -,- -
102,Forex Rate,undefined,0.101,0.1052,0.1037,0.1093,0.0964,0.089,0.0898,0.0941,0.0926,0.0916,0.0727,0.0765,0.08088,0.07162,0.07782,0.07668,0.06778,0.05817,0.04822,0.05087,0.05088,0.0528,0.05024,0.04877
