,https://roic.ai/company/INTC,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1365000000,1265000000,1907100000,2874800000,3126800000,3921300000,4778600000,5844000000,8782000000,11521000000,16202000000,20847000000,25070000000,26273000000,29389000000,33726000000,26539000000,26764000000,30141000000,34209000000,38826000000,35382000000,38334000000,37586000000,35127000000,43623000000,53999000000,53341000000,52708000000,55870000000,55355000000,59387000000,62761000000,70848000000,71965000000,77867000000,79024000000
2,COGS,777200000,687200000,872100000,1295000000,1483800000,1637900000,1897300000,2039800000,2535000000,5576000000,7811000000,9164000000,9945000000,12088000000,11836000000,12650000000,13487000000,13446000000,13047000000,14463000000,15777000000,17164000000,18430000000,16742000000,15566000000,15132000000,20242000000,20190000000,21187000000,20261000000,20676000000,23196000000,23663000000,27111000000,29825000000,34255000000,35209000000
3,Gross Profit,587800000,577800000,1035000000,1579800000,1643000000,2283400000,2881300000,3804200000,6247000000,5945000000,8391000000,11683000000,15125000000,14185000000,17553000000,21076000000,13052000000,13318000000,17094000000,19746000000,23049000000,18218000000,19904000000,20844000000,19561000000,28491000000,33757000000,33151000000,31521000000,35609000000,34679000000,36191000000,39098000000,43737000000,42140000000,43612000000,43815000000
4,Gross Profit Ratio,0.4306,0.4568,0.5427,0.5495,0.5255,0.5823,0.6030,0.6510,0.7113,0.5160,0.5179,0.5604,0.6033,0.5399,0.5973,0.6249,0.4918,0.4976,0.5671,0.5772,0.5936,0.5149,0.5192,0.5546,0.5569,0.6531,0.6251,0.6215,0.5980,0.6374,0.6265,0.6094,0.6230,0.6173,0.5856,0.5601,0.5545
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1111000000,1296000000,1808000000,2347000000,2509000000,3111000000,3897000000,3796000000,4034000000,4360000000,4778000000,5145000000,5873000000,5755000000,5722000000,5653000000,6576000000,8350000000,10148000000,10611000000,11537000000,12128000000,12740000000,13035000000,13543000000,13362000000,13556000000,15190000000
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,1447000000,1843000000,2322000000,2891000000,3076000000,3872000000,5089000000,4464000000,4334000000,4278000000,4659000000,5688000000,6138000000,5401000000,5452000000,7931000000,6309000000,7670000000,8057000000,8088000000,8136000000,7930000000,8397000000,7452000000,6750000000,6150000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",481700000,539600000,617700000,774500000,848500000,1132700000,1383100000,1796500000,2138000000,1447000000,1843000000,2322000000,2891000000,3076000000,3872000000,5089000000,4464000000,4334000000,4278000000,4659000000,5688000000,6096000000,5401000000,5458000000,7931000000,6309000000,7670000000,8057000000,8088000000,8136000000,7930000000,8397000000,7474000000,6750000000,6150000000,6180000000,6543000000
9,Other Expenses,166300000,173500000,171400000,210900000,237200000,292400000,418300000,517600000,717000000,- -,- -,- -,- -,221000000,803000000,1695000000,2536000000,568000000,923000000,179000000,126000000,669000000,727000000,2242000000,487000000,143000000,260000000,308000000,531000000,589000000,619000000,294000000,539000000,128000000,593000000,- -,- -
10,Operating Expenses,648000000,713100000,789100000,985400000,1085700000,1425100000,1801400000,2314100000,2855000000,2558000000,3139000000,4130000000,5238000000,5806000000,7786000000,10681000000,10796000000,8936000000,9561000000,9616000000,10959000000,12638000000,11883000000,13422000000,14071000000,13028000000,16280000000,18513000000,19230000000,20262000000,20677000000,21431000000,21048000000,20421000000,20105000000,19736000000,21733000000
11,COGS and Expenses,1425200000,1400300000,1661200000,2280400000,2569500000,3063000000,3698700000,4353900000,5390000000,8134000000,10950000000,13294000000,15183000000,17894000000,19622000000,23331000000,24283000000,22382000000,22608000000,24079000000,26736000000,29802000000,30313000000,30164000000,29637000000,28160000000,36522000000,38703000000,40417000000,40523000000,41353000000,44627000000,44711000000,47532000000,49930000000,53991000000,56942000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,592000000,168000000,119000000,98000000,97000000,104000000,141000000,124000000,222000000,441000000,438000000,483000000,272000000,144000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8000000,1000000,- -,41000000,90000000,244000000,192000000,337000000,733000000,646000000,468000000,489000000,629000000,597000000
14,Depreciation and Amortization,- -,- -,- -,- -,237200000,292400000,418300000,517600000,717000000,1047000000,1379000000,1888000000,2192000000,2807000000,3597000000,4835000000,6469000000,5344000000,5070000000,4889000000,4595000000,4912000000,4798000000,4616000000,5052000000,4638000000,6064000000,7522000000,8032000000,8549000000,8711000000,7790000000,8129000000,9085000000,10826000000,12239000000,11792000000
15,EBITDA,-5400000,-174600000,287800000,629000000,820200000,1278700000,1612900000,2086100000,4247000000,4650000000,7017000000,9822000000,12851000000,11944000000,14825000000,19976000000,8652000000,9548000000,12512000000,15306000000,17205000000,11980000000,13964000000,12310000000,10757000000,20683000000,23886000000,22485000000,20887000000,24542000000,23260000000,21459000000,29127000000,32870000000,35373000000,37946000000,34092000000
16,EBITDA ratio,-0.0040,-0.1380,0.1509,0.2188,0.2623,0.3261,0.3375,0.3570,0.4836,0.4036,0.4331,0.4711,0.5126,0.4546,0.5044,0.5923,0.3260,0.3567,0.4151,0.4474,0.4431,0.3386,0.3643,0.3275,0.3062,0.4741,0.4423,0.4215,0.3963,0.4393,0.4202,0.3613,0.4641,0.4640,0.4915,0.4873,0.4314
17,Operating Income,-60200000,-135300000,245900000,594400000,557300000,858300000,1079900000,1490100000,3392000000,3387000000,5252000000,7553000000,9887000000,8379000000,9767000000,10395000000,2256000000,4382000000,7533000000,10130000000,12090000000,5652000000,8216000000,8954000000,5711000000,15588000000,17477000000,14638000000,12291000000,15347000000,14002000000,12874000000,17936000000,23316000000,22035000000,23678000000,19456000000
18,Operating Income ratio,-0.0441,-0.1070,0.1289,0.2068,0.1782,0.2189,0.2260,0.2550,0.3862,0.2940,0.3242,0.3623,0.3944,0.3189,0.3323,0.3082,0.0850,0.1637,0.2499,0.2961,0.3114,0.1597,0.2143,0.2382,0.1626,0.3573,0.3237,0.2744,0.2332,0.2747,0.2529,0.2168,0.2858,0.3291,0.3062,0.3041,0.2462
19,Total Other Income Expenses (Gains),54800000,-39300000,41900000,34600000,25700000,128000000,114700000,78400000,138000000,216000000,386000000,381000000,772000000,758000000,1461000000,4746000000,-73000000,-178000000,-91000000,287000000,520000000,1416000000,950000000,-1268000000,-7000000,457000000,304000000,235000000,320000000,454000000,210000000,62000000,2416000000,1000000,2023000000,1400000000,2247000000
20,Income Before Tax,-5400000,-174600000,287800000,629000000,583000000,986300000,1194600000,1568500000,3530000000,3603000000,5638000000,7934000000,10659000000,9137000000,11228000000,15141000000,2183000000,4204000000,7442000000,10417000000,12610000000,7068000000,9166000000,7686000000,5704000000,16045000000,17781000000,14873000000,12611000000,15801000000,14212000000,12936000000,20352000000,23317000000,24058000000,25078000000,21703000000
21,Income Before Tax Ratio,-0.0040,-0.1380,0.1509,0.2188,0.1865,0.2515,0.2500,0.2684,0.4020,0.3127,0.3480,0.3806,0.4252,0.3478,0.3820,0.4489,0.0823,0.1571,0.2469,0.3045,0.3248,0.1998,0.2391,0.2045,0.1624,0.3678,0.3293,0.2788,0.2393,0.2828,0.2567,0.2178,0.3243,0.3291,0.3343,0.3221,0.2746
22,Income Tax expense (Gain),-7000000,8700000,112300000,176100000,192000000,336000000,376000000,502000000,1235000000,1315000000,2072000000,2777000000,3714000000,3069000000,3914000000,4606000000,892000000,1087000000,1801000000,2901000000,3946000000,2024000000,2190000000,2394000000,1335000000,4581000000,4839000000,3868000000,2991000000,4097000000,2792000000,2620000000,10751000000,2264000000,3010000000,4179000000,1835000000
23,Net Income,1600000,-183300000,175500000,452900000,391000000,650300000,818600000,1066500000,2295000000,2288000000,3566000000,5157000000,6945000000,6068000000,7314000000,10535000000,1291000000,3117000000,5641000000,7516000000,8664000000,5044000000,6976000000,5292000000,4369000000,11464000000,12942000000,11005000000,9620000000,11704000000,11420000000,10316000000,9601000000,21053000000,21048000000,20899000000,19868000000
24,Net Income ratio,0.0012,-0.1449,0.0920,0.1575,0.1250,0.1658,0.1713,0.1825,0.2613,0.1986,0.2201,0.2474,0.2770,0.2310,0.2489,0.3124,0.0486,0.1165,0.1872,0.2197,0.2231,0.1426,0.1820,0.1408,0.1244,0.2628,0.2397,0.2063,0.1825,0.2095,0.2063,0.1737,0.1530,0.2972,0.2925,0.2684,0.2514
25,EPS,0.01,-0.04,0.04,0.09,0.07,0.11,0.13,0.16,0.35,0.33,0.50,0.73,1.06,0.91,1.10,1.57,0.19,0.47,0.86,1.17,1.42,0.87,1.20,0.93,0.79,2.10,2.46,2.20,1.94,2.39,2.41,2.18,2.04,4.57,4.77,4.98,4.89
26,EPS Diluted,0.01,-0.04,0.04,0.08,0.07,0.10,0.13,0.16,0.33,0.33,0.50,0.73,0.97,0.86,1.05,1.51,0.19,0.46,0.85,1.16,1.40,0.86,1.18,0.92,0.77,2.05,2.39,2.13,1.89,2.31,2.33,2.12,1.99,4.48,4.71,4.94,4.86
27,Weighted Average Shares Outstanding,5568960000,4582500000,4387500000,5032222222,5585714286,5911818182,6296923077,6665625000,6557142857,6986259542,7072000000,7104000000,6540000000,6672000000,6648000000,6709000000,6716000000,6651000000,6527000000,6400000000,6106000000,5797000000,5816000000,5663000000,5557000000,5555000000,5256000000,4996000000,4970000000,4901000000,4742000000,4730000000,4701000000,4611000000,4417000000,4199000000,4061000000
28,Weighted Average Shares Outstanding Diluted,5568960000,4582500000,4387500000,5661250000,5585714286,6503000000,6296923077,6665625000,6954545455,6992000000,7072000000,7104000000,7180000000,7034000000,6940000000,6986000000,6879000000,6759000000,6621000000,6494000000,6178000000,5880000000,5936000000,5748000000,5645000000,5696000000,5411000000,5160000000,5097000000,5056000000,4894000000,4875000000,4835000000,4701000000,4473000000,4232000000,4086000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50863/000005086395000004/0000050863-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/50863/000005086396000002/0000050863-96-000002-index.html,https://www.sec.gov/Archives/edgar/data/50863/000005086397000020/0000050863-97-000020-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/50863/000091205701503434/0000912057-01-503434-index.html,https://www.sec.gov/Archives/edgar/data/50863/000091205702009698/0000912057-02-009698-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000104746903008257/0001047469-03-008257-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000119312504027430/0001193125-04-027430-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000119312505033162/0001193125-05-033162-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000089161806000089/0000891618-06-000089-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000089161807000111/0000891618-07-000111-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000089161808000106/0000891618-08-000106-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000089161809000047/0000891618-09-000047-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000095012310015237/0000950123-10-015237-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000095012311015783/0000950123-11-015783-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000119312512075534/0001193125-12-075534-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000119312513065416/0001193125-13-065416-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086314000020/0000050863-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086315000015/0000050863-15-000015-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086316000105/0000050863-16-000105-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086317000012/0000050863-17-000012-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086318000007/0000050863-18-000007-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086319000007/0000050863-19-000007-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086320000011/0000050863-20-000011-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086321000010/0000050863-21-000010-index.htm,https://www.sec.gov/Archives/edgar/data/50863/000005086322000007/0000050863-22-000007-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,1180000000,1463000000,4165000000,4102000000,2038000000,3695000000,2976000000,7970000000,7404000000,7971000000,8407000000,7324000000,6598000000,7307000000,3350000000,3987000000,5498000000,5065000000,8478000000,5674000000,2561000000,15308000000,5560000000,3433000000,3019000000,4194000000,5865000000,4827000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,1230000000,995000000,3829000000,5825000000,5588000000,8093000000,10847000000,3580000000,5183000000,8193000000,8765000000,5448000000,3404000000,8056000000,8493000000,9933000000,16387000000,9772000000,9684000000,14413000000,11493000000,10005000000,11539000000,10569000000,8631000000,8929000000,18030000000,23586000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2410000000,2458000000,7994000000,9927000000,7626000000,11788000000,13823000000,11550000000,12587000000,16164000000,17172000000,12772000000,10002000000,15363000000,11843000000,13920000000,21885000000,14837000000,18162000000,20087000000,14054000000,25313000000,17099000000,14002000000,11650000000,13123000000,23895000000,28413000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,1978000000,3116000000,3723000000,3438000000,3527000000,3700000000,4129000000,2607000000,2574000000,2960000000,2999000000,3914000000,2709000000,2576000000,1712000000,2273000000,2867000000,3650000000,3833000000,3582000000,4427000000,4787000000,4690000000,5607000000,6722000000,7659000000,6782000000,9457000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,1169000000,2004000000,1293000000,1697000000,1582000000,1478000000,2241000000,2253000000,2276000000,2519000000,2621000000,3126000000,4314000000,3370000000,3744000000,2935000000,3757000000,4096000000,4734000000,4172000000,4273000000,5167000000,5553000000,6983000000,7253000000,8744000000,8427000000,10776000000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,610000000,519000000,674000000,805000000,740000000,853000000,957000000,1223000000,1488000000,1239000000,1266000000,1382000000,1255000000,2576000000,2572000000,2029000000,3102000000,3289000000,4629000000,4243000000,4976000000,3053000000,8166000000,2908000000,3162000000,1713000000,8145000000,9072000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6167000000,8097000000,13684000000,15867000000,13475000000,17819000000,21150000000,17633000000,18925000000,22882000000,24058000000,21194000000,18280000000,23885000000,19871000000,21157000000,31611000000,25872000000,31358000000,32084000000,27730000000,38320000000,35508000000,29500000000,28787000000,31239000000,47249000000,57718000000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,5367000000,7471000000,8487000000,10666000000,11609000000,11715000000,15013000000,18121000000,17847000000,16661000000,15768000000,17111000000,17602000000,16918000000,17574000000,17225000000,17899000000,23627000000,27983000000,31428000000,33238000000,31858000000,36171000000,41109000000,48976000000,56014000000,56584000000,63245000000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000000,4934000000,5941000000,5127000000,4330000000,3705000000,3719000000,- -,3861000000,3916000000,3932000000,4421000000,4531000000,9254000000,9710000000,10513000000,10861000000,11332000000,14099000000,24389000000,24513000000,26276000000,26971000000,26963000000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,797000000,- -,- -,- -,3873000000,987000000,960000000,775000000,883000000,860000000,6267000000,6235000000,5150000000,4446000000,3933000000,9494000000,12745000000,11836000000,10827000000,9026000000,7270000000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,111000000,4934000000,5941000000,5127000000,4330000000,3705000000,3719000000,3873000000,4848000000,4876000000,4707000000,5304000000,5391000000,15521000000,15945000000,15663000000,15307000000,15265000000,23593000000,37134000000,36349000000,37103000000,35997000000,34233000000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1653000000,1353000000,1839000000,5365000000,7911000000,3712000000,1474000000,1234000000,2380000000,3219000000,4672000000,4421000000,5385000000,3276000000,4952000000,4034000000,1451000000,7111000000,10002000000,12335000000,12374000000,15322000000,12404000000,9430000000,7243000000,7344000000,7138000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,620000000,997000000,1076000000,1387000000,3130000000,1266000000,945000000,1232000000,1482000000,855000000,- -,265000000,411000000,46000000,555000000,926000000,- -,3412000000,4397000000,3775000000,954000000,907000000,3046000000,1665000000,2044000000,1232000000,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,2282000000,-337000000,-786000000,-568000000,-476000000,-1660000000,863000000,1095000000,656000000,33000000,524000000,1464000000,2952000000,4176000000,4998000000,3902000000,3325000000,4648000000,-1458000000,-1216000000,-485000000,2688000000,1826000000,56000000,2756000000,2881000000,4685000000,6072000000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,7649000000,9407000000,10051000000,13013000000,17996000000,26030000000,26795000000,26762000000,25299000000,24261000000,24085000000,27120000000,30088000000,31766000000,30601000000,31938000000,31575000000,45247000000,52993000000,60274000000,64170000000,63139000000,77819000000,93749000000,99176000000,105285000000,105842000000,110688000000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,13816000000,17504000000,23735000000,28880000000,31471000000,43849000000,47945000000,44395000000,44224000000,47143000000,48143000000,48314000000,48368000000,55651000000,50472000000,53095000000,63186000000,71119000000,84351000000,92358000000,91900000000,101459000000,113327000000,123249000000,127963000000,136524000000,153091000000,168406000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,575000000,864000000,969000000,1407000000,1244000000,1370000000,2387000000,1769000000,1543000000,1660000000,1943000000,2249000000,2256000000,2361000000,2390000000,1883000000,2290000000,2956000000,3023000000,2969000000,2748000000,2063000000,2475000000,2928000000,3824000000,4128000000,5581000000,5747000000
