,https://roic.ai/company/UEIC,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,22500000,50800000,89000000,96400000,105100000,98600000,114300000,96100000,105091183,124739877,119029715,103890728,120467786,158379726,181349000,235846000,272680000,287100000,317550000,331780000,468630000,463090000,529354000,562329000,602833000,651371000,695790000,680241000,753477000,614680000,601602000
2,COGS,12800000,27700000,50700000,66700000,73000000,71300000,76600000,57300000,58098457,69383385,69956570,62235709,74168285,96799689,114222000,149970000,173329000,190910000,215938000,227931000,338569000,329653000,377892000,395429000,436084000,487247000,530083000,538437000,583274000,438424000,428586000
3,Gross Profit,9700000,23100000,38300000,29700000,32100000,27300000,37700000,38800000,46992726,55356492,49073145,41655019,46299501,61580037,67127000,85876000,99351000,96190000,101612000,103849000,130061000,133437000,151462000,166900000,166749000,164124000,165707000,141804000,170203000,176256000,173016000
4,Gross Profit Ratio,0.4311,0.4547,0.4303,0.3081,0.3054,0.2769,0.3298,0.4037,0.4472,0.4438,0.4123,0.4010,0.3843,0.3888,0.3702,0.3641,0.3644,0.3350,0.3200,0.3130,0.2775,0.2881,0.2861,0.2968,0.2766,0.2520,0.2382,0.2085,0.2259,0.2867,0.2876
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4450626,4699626,5865431,6580000,7412000,8820000,8160000,8691000,10709000,12267000,14152000,16447000,16975000,18141000,19850000,21416000,23815000,29412000,31450000,30917000
6,General and Administrative Exp.,- -,- -,- -,- -,28700000,28600000,30100000,26700000,30408321,33330047,33064604,30223709,33026393,42174501,48870000,59947000,64080000,67269000,70974000,71839000,91218000,93083000,102861000,108645000,112689000,118877000,127476000,119654000,125476000,107539000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",7500000,17500000,30100000,35200000,28700000,28600000,30100000,26700000,30408321,33330047,33064604,30223709,33026393,42174501,48870000,59947000,64080000,67269000,70974000,71839000,91218000,93083000,102861000,108645000,112689000,118877000,127476000,119654000,125476000,107539000,118846000
9,Other Expenses,100000,200000,500000,900000,1300000,1600000,2100000,2600000,3616267,3784586,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,7600000,17700000,30600000,36100000,30000000,30200000,32200000,29300000,34024588,37114633,33064604,34674335,37726019,48039932,55450000,67359000,72900000,75429000,79665000,82548000,103485000,107235000,119308000,125620000,130830000,138727000,148892000,143469000,154888000,138989000,149763000
11,COGS and Expenses,20400000,45400000,81300000,102800000,103000000,101500000,108800000,86600000,92123045,106498018,103021174,96910044,111894304,144839621,169672000,217329000,246229000,266339000,295603000,310479000,442054000,436888000,497200000,521049000,566914000,625974000,678975000,681906000,738162000,577413000,578349000
