,https://roic.ai/company/WRLD,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,- -,0.2882,0.4040,0.3745,0.3864,0.3560,0.2930,0.2625,0.2236,0.3102,0.3203,0.2995,0.2935,0.3056,0.3067,0.3133,0.3293,0.3066,0.3026,0.3321,0.3485,0.3458,0.3506,0.3333,0.3520,0.3237,0.2801,0.2429,0.1506,0.1293,0.2991
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
20,Income Before Tax,- -,- -,3900000,7300000,9200000,13500000,16200000,12100000,12000000,10900000,21728519,24270900,30034147,35850523,45415122,53857706,61594965,77170380,87717194,97623969,119443975,143249112,159873341,166290831,170244205,176030339,137888464,113997131,101204505,89878572,34909443,111403427
21,Income Before Tax Ratio,- -,- -,0.1147,0.1843,0.1957,0.2473,0.2443,0.1704,0.1536,0.1263,0.2189,0.2162,0.2290,0.2371,0.2592,0.2613,0.2608,0.2730,0.2623,0.2547,0.2799,0.3005,0.3038,0.3044,0.2854,0.2999,0.2599,0.2234,0.1911,0.1707,0.0619,0.2229
22,Income Tax expense (Gain),- -,- -,1600000,2900000,3400000,4900000,5600000,4000000,3900000,3600000,7560000,8670000,10695000,12987000,16650000,19868000,23080000,29274000,34721036,36920499,45782667,51999932,59178898,62201083,63636273,65196881,50492907,40396837,47514487,15981057,6751965,23120599
23,Net Income,-600000,1300000,2000000,4400000,5800000,8600000,10600000,8100000,8100000,7300000,14168519,15600900,19339147,22863523,28765122,33989706,38514965,47896380,52996158,60703470,73661308,91249180,100694443,104089748,106607932,110833458,87395557,73600294,53690018,37235134,28157478,88282828
24,Net Income ratio,-Infinity,Infinity,0.0588,0.1111,0.1234,0.1575,0.1599,0.1141,0.1037,0.0846,0.1427,0.1389,0.1475,0.1512,0.1642,0.1649,0.1631,0.1694,0.1584,0.1584,0.1726,0.1914,0.1913,0.1906,0.1787,0.1888,0.1647,0.1442,0.1014,0.0707,0.0499,0.1766
25,EPS,-0.40,0.03,0.07,0.21,0.28,0.41,0.51,0.41,0.43,0.39,0.75,0.84,1.03,1.28,1.58,1.81,2.08,2.66,3.11,3.74,4.46,5.81,7.25,8.55,10.39,12.36,9.78,8.38,5.89,4.01,3.93,12.97
26,EPS Diluted,-0.40,0.03,0.07,0.21,0.28,0.41,0.49,0.41,0.42,0.38,0.74,0.83,1.00,1.25,1.49,1.74,2.02,2.60,3.05,3.69,4.45,5.63,6.59,7.88,9.08,11.90,9.78,8.38,5.89,4.01,3.86,12.97
27,Weighted Average Shares Outstanding,20378001,20378001,15714286,20952381,20714286,20975610,20784314,19832525,18959348,19010789,19003380,18670597,18786529,17860101,18251639,18761066,18493389,18018370,17044122,16239883,16253140,15711365,13898265,12171075,10262384,8969948,8812250,8782949,9119443,9284118,7807834,6805294
28,Weighted Average Shares Outstanding Diluted,20378001,20378001,15714286,20952381,20714286,20975610,21632653,19839942,19172456,19212813,19155042,18839620,19339764,18304976,19347080,19557515,19098087,18393728,17374746,16464403,16546000,16210000,15289000,13214000,11741000,9317000,8812250,8782949,9119443,9284118,7953000,6805294
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/108385/000095016897001714/0000950168-97-001714-index.html,- -,https://www.sec.gov/Archives/edgar/data/108385/000095016899001882/0000950168-99-001882-index.html,https://www.sec.gov/Archives/edgar/data/108385/000095016800001593/0000950168-00-001593-index.html,https://www.sec.gov/Archives/edgar/data/108385/000095016801500696/0000950168-01-500696-index.html,https://www.sec.gov/Archives/edgar/data/108385/000103221002001035/0001032210-02-001035-index.html,https://www.sec.gov/Archives/edgar/data/108385/000119312503015114/0001193125-03-015114-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000119312504102664/0001193125-04-102664-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000119312505124342/0001193125-05-124342-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420406024826/0001144204-06-024826-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420407028855/0001144204-07-028855-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420408032794/0001144204-08-032794-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420409030075/0001144204-09-030075-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420410032368/0001144204-10-032368-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114036111031335/0001140361-11-031335-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114036112027556/0001140361-12-027556-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838513000022/0000108385-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/108385/000010838514000020/0000108385-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838515000036/0000108385-15-000036-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838516000127/0000108385-16-000127-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838517000026/0000108385-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838518000049/0000108385-18-000049-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838519000011/0000108385-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838520000014/0000108385-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838521000054/0000108385-21-000054-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,400000,500000,1300000,1200000,1700000,1500000,1200000,1200000,1690676,3292504,3222266,4022686,4314107,3046677,4033888,5779032,7589575,6260410,5445168,8030580,10768176,11625365,19569683,38338935,12377024,15200410,32086304,9335433,11618922,15746454
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,400000,500000,1300000,1200000,1700000,1500000,1200000,1200000,1690676,3292504,3222266,4022686,4314107,3046677,4033888,5779032,7589575,6260410,5445168,8030580,10768176,11625365,19569683,38338935,12377024,15200410,32086304,9335433,11618922,15746454
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4271000,- -
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,85500000,101200000,116200000,133920884,160191517,171136544,4018663314,- -,- -,- -,- -,- -,- -,5439722832,8022549420,- -,- -,- -,- -,- -,- -,32054217696,9326097567,11603032078,- -
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,87000000,102400000,117400000,135611560,163484021,174358810,4022686000,4314107,3046677,4033888,5779032,7589575,6260410,5445168000,8030580000,10768176,11625365,19569683,38338935,12377024,15200410,32086304000,9335433000,11618922000,- -
38,PP&E,- -,- -,1100000,1500000,3400000,4400000,5600000,6100000,6400000,6300000,6752791,6538131,6920824,8297859,9273602,9806237,11039619,14310458,18654010,23060360,22985830,23366207,23485435,23935439,24826238,25906507,25296913,24184207,25591418,25424183,126448026,116395609
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5580946,5616380,5634586,5690934,5896288,5967127,6121458,6121458,6067220,7034463,7034463,7370791,7370791
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8987551,7613518,6364890,5479490,4624832,3777810,3363753,2916537,6614182,6644301,15340153,24448477,23537517
41,Intangible Assets,- -,- -,16200000,12800000,11200000,8500000,4900000,9100000,9600000,9800000,11108477,13138307,13967315,14598808,15514003,17358505,16861118,16099769,15350002,14568497,13229898,11999476,11170424,10521120,9744937,9485211,9037995,12681402,13678764,22374616,31819268,30908308
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3817265387,232867608,263295083,300848882,374926748,444516840,487365066,-4888331463,-7399548728,689579064,763243041,795886703,792400066,759506931,748522756,-31284587145,-8528243726,-10747102859,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,15200000,16000000,16100000,17861268,19676438,20888139,-3794368720,257655213,290459825,328749619,405336975,478520852,524993923,-4852115735,-7364183045,724234923,797699600,830457878,827791784,793841839,785388365,-31245316963,-8480444927,-10588835565,- -
46,Other Assets,- -,- -,62600000,63400000,73200000,83500000,89400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,954269164
47,Total Assets,- -,- -,62600000,63400000,73200000,83500000,89400000,102200000,118400000,133500000,153472828,183160459,195246949,228317280,261969320,293506502,332783507,411116007,486110427,531254333,593052265,666396955,735003099,809324965,850027561,866130719,806218863,800588775,840987037,854988073,1030086435,954269164
48,Accounts Payable,- -,- -,- -,7700000,9100000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,16407846,- -,95000000,77000000,- -,- -,28737074,27650955,31208814,31373640,31869581,40444215,39381251,59298680,41040287
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,170642000,187430000,279250000,- -,- -,- -,- -,- -,- -,- -,- -,- -
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8015514,- -,11253460,14043486,13097419,11528236,13941632,9521285,18204186,8258642,12519417,14534970,11550197,4965302,11575861
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,6800000,6900000,7200000,6900000,8800000,9400000,9800000,10400000,19900000,21800000,7992154,36900000,-73500000,-213742000,-152930000,-242450000,13862926,9549045,18204186,8258640,12519419,14534975,11550199,107724690,- -
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,6800000,6900000,7200000,6900000,8800000,9400000,9800000,10400000,19900000,21800000,24400000,36900000,21500000,33900000,34500000,36800000,42600000,37200000,49413000,39632280,44389000,54979190,50931450,167023370,- -
54,Long-Term Debt,- -,- -,38400000,32800000,36100000,37900000,38300000,58700000,64200000,71700000,78382000,91632000,83382000,102532000,95032000,83900000,100600000,171200000,214900000,113310000,93642041,187430400,279250000,400250000,505500000,501150000,374685000,295136200,244900000,251940000,451100000,496725575
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,-100000,18000,-32000,18000,-32000,-32000,- -,- -,- -,- -,94990000,82557959,1869600,50000,50000,- -,- -,- -,- -,- -,- -,- -,- -
58,Total Non-Current Liabilities,- -,- -,38400000,32800000,36100000,37900000,38300000,58700000,64200000,71600000,78400000,91600000,83400000,102500000,95000000,83900000,100600000,171200000,214900000,208300000,176200000,189300000,279300000,400300000,505500000,501150000,374685000,295136200,244900000,251940000,451100000,496725575
59,Other Liabilities,- -,- -,84400000,75200000,82400000,85600000,82800000,- -,- -,- -,- -,183233925,166813569,- -,- -,- -,- -,342423360,429805155,427667926,352404311,378621786,558628086,800628706,- -,- -,749370002,- -,- -,- -,- -,1046067298
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,102759386,91718075
61,Total Liabilities,- -,- -,46000000,42400000,46300000,47700000,44500000,63200000,71100000,78800000,85280442,100433925,92813569,112276250,105388983,103795309,122353388,195623360,251805155,240867926,210104311,223821786,316128086,442928706,542672240,550563000,414317282,339525198,299879185,302871448,618123368,549341723
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
64,Retained Earnings,- -,- -,900000,5300000,11100000,19700000,30200000,38300000,46400000,53800000,67924428,82412879,101752026,114992309,143757431,177747137,209270853,209769808,232812768,292195154,357179568,395086232,355980694,277024787,193095944,188605305,276000862,344605347,391275705,353990976,184748490,149336767
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-50092,-47826,169503,-4229663,-1344436,136199,-2736434,-418317,-4106126,-14902350,-22934345,-27782875,-26055080,- -,-43764179,-46377973
66,Other Total Stockholders Equity,- -,- -,15700000,15700000,15800000,16100000,14700000,700000,900000,900000,267958,313655,681354,1048721,12822906,11964056,1209358,5770665,1323001,2420916,27112822,47352738,65630753,89789789,118365503,141864764,138835064,144241105,175887227,198125649,270978756,301968647
67,Total Stockholders Equity,- -,- -,16600000,21000000,26900000,35800000,44900000,39000000,47300000,54700000,68192386,82726534,102433380,116041030,156580337,189711193,210430119,215492647,234305272,290386407,382947954,442575169,418875013,366396259,307355321,315567719,391901581,461063577,541107852,552116625,411963067,404927441
68,Total Liabilities And Stockholders Equity,- -,- -,62600000,63400000,73200000,83500000,89400000,102200000,118400000,133500000,153472828,183160459,195246949,228317280,261969320,293506502,332783507,411116007,486110427,531254333,593052265,666396955,735003099,809324965,850027561,866130719,806218863,800588775,840987037,854988073,1030086435,954269164
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,62600000,63400000,73200000,83500000,89400000,102200000,118400000,133500000,153472828,183160459,195246949,228317280,261969320,293506502,332783507,411116007,486110427,531254333,593052265,666396955,735003099,809324965,850027561,866130719,806218863,800588775,840987037,854988073,1030086435,954269164
71,SEC Link,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/108385/000095016897001714/0000950168-97-001714-index.html,- -,https://www.sec.gov/Archives/edgar/data/108385/000095016899001882/0000950168-99-001882-index.html,https://www.sec.gov/Archives/edgar/data/108385/000095016800001593/0000950168-00-001593-index.html,https://www.sec.gov/Archives/edgar/data/108385/000095016801500696/0000950168-01-500696-index.html,https://www.sec.gov/Archives/edgar/data/108385/000103221002001035/0001032210-02-001035-index.html,https://www.sec.gov/Archives/edgar/data/108385/000119312503015114/0001193125-03-015114-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000119312504102664/0001193125-04-102664-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000119312505124342/0001193125-05-124342-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420406024826/0001144204-06-024826-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420407028855/0001144204-07-028855-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420408032794/0001144204-08-032794-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420409030075/0001144204-09-030075-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114420410032368/0001144204-10-032368-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114036111031335/0001140361-11-031335-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000114036112027556/0001140361-12-027556-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838513000022/0000108385-13-000022-index.html,https://www.sec.gov/Archives/edgar/data/108385/000010838514000020/0000108385-14-000020-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838515000036/0000108385-15-000036-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838516000127/0000108385-16-000127-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838517000026/0000108385-17-000026-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838518000049/0000108385-18-000049-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838519000011/0000108385-19-000011-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838520000014/0000108385-20-000014-index.htm,https://www.sec.gov/Archives/edgar/data/108385/000010838521000054/0000108385-21-000054-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,2000000,4400000,5800000,8600000,10600000,8100000,8100000,7300000,14168519,15600900,19339147,22863523,28765122,33989706,38514965,47896380,52996158,60703470,73661308,91249180,100694443,104089748,106607932,110833458,87395557,73600294,53690018,37235134,28157478,88282828
74,Depreciation and Amortization,- -,- -,300000,4400000,4700000,4000000,3800000,4400000,3000000,2900000,3049945,3429782,3823284,4022094,4178716,4715298,5257412,6322494,3268727,7983917,8420671,8122191,8192058,7807765,7339875,7261709,7032308,7408361,8330056,8136004,12158592,12419821
75,Deferred Income Tax,- -,- -,-700000,-500000,-800000,- -,- -,- -,- -,- -,- -,-808000,-914000,-1685000,-918000,-1155000,6792000,-1250000,-3127924,5128126,608244,-2837480,-3993974,-10941998,-4098193,-3831417,-785377,-894086,8785432,-3655751,572914,7387746
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4650260,4850156,5340707,6617827,11165327,14913204,15968637,-6356767,4810698,5434619,17635309,28952161,19281278
77,Change in Working Capital,- -,- -,1800000,- -,- -,- -,- -,80200000,15300000,14700000,18511560,25972461,10274789,3847927190,-4018971893,-10767430,-912789,-854856,-10689457,14070835,5426507590,2584812000,-8022111824,-4942811,13344318,6556252,-16181191,-1933334,32060513400,-22746823260,2167397080,-11451898630
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3387226,-967249,1041341,511863,-904326,8574634,5877916,- -,- -
81,Other Working Capital,- -,- -,- -,- -,- -,- -,- -,80200000,95500000,110200000,128711560,154684021,164958810,4012886000,-6085893,-16853323,-17766112,-18620968,-29310425,-15239590,5411268000,7996080000,-26031824,-30974635,-17630317,-11074065,-27255256,-29188590,32031324810,9284501550,11451898630,- -
82,Other Non-Cash Items,- -,- -,8600000,5700000,5000000,5600000,7300000,-69500000,-4400000,-4200000,-3870202,-5098189,15766796,-3817985245,4057322398,61278803,48350720,57974175,93575106,61377481,-5330441968,-2486850728,8130002772,124866058,107856448,105140642,134965829,136370814,-31918727057,22932136835,-1979828989,11524086264
83,Cash Provided by Operating Activities,- -,- -,12000000,14000000,14700000,18200000,21700000,23200000,22000000,20700000,31859822,39096954,48290016,55142562,70376343,88061377,98002308,110088193,136022610,153914089,183606001,199835870,219401302,232044089,245963584,241929281,206070359,219362747,218026468,244664271,257409236,199559307
84,CAPEX,- -,- -,-300000,-800000,-1500000,-1800000,-2200000,-1698000,-1764000,-1300000,-1892173,-1340245,-1979310,-2891724,-2362994,-2419886,-5909983,-8313850,-9731711,-11536227,-6148541,-7140953,-7724877,-7627124,-7665495,-9092814,-8736335,-10946824,-11159230,-20028592,-25733058,-16247137
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,-19965000,-9375000,-5838000,-12375612,-19481129,-13699629,-19678973,-21841556,-26108224,-6800032,-16269811,-3220879,-9153680,-2838303,-2977729,-3383421,-1951646,-774549,-1516149,-92097,-16703456,-15586411,37494505,- -,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,- -,- -,-6800000,-8300000,-17000000,-20200000,-21800000,-9835000,-18625000,-22362000,-25099846,-30155890,-26251855,-44164351,-48743219,-48048121,-88872154,-104277215,-135553982,-130263622,-153903161,-162022151,-168093751,-172675265,-157431300,-98105218,-93145878,-108096464,-145050769,-234655260,-244753370,-43513685
89,Cash Used for Investing Activites,- -,- -,-6800000,-8300000,-17000000,-20200000,-21800000,-29800000,-28000000,-28200000,-37475458,-49637019,-39951484,-63843324,-70584775,-74156345,-95672186,-120547026,-138774861,-149280162,-161986087,-171394167,-178332860,-181537866,-165589908,-108250836,-101892779,-131613502,-169808648,-206965839,-256031150,-55197542
90,Debt Repayment,- -,- -,-9700000,-26500000,-5800000,-5900000,-4000000,-4000000,-4500000,-4000000,-4000000,- -,-8250000,-2000000,-8700000,-11132000,-200000,-39400000,-200000,-9579752,-28607500,-17529048,-77000000,-322515466,-320390000,-315071600,-421560000,-354450000,-345200000,-357250000,-341531400,-357076750
91,Common Stock Issued,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-7848764,-1434657,-53342516,-139799981,-183045655,-190536775,-115324097,- -,-4995809,-4614331,-74519863,-197399964,-102452302
