,https://roic.ai/company/VZ,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,9084200000,9920800000,10298400000,10880100000,11448600000,12298000000,12279700000,12647000000,12990200000,13791400000,13429500000,13081400000,30193900000,31565900000,33174000000,64707000000,67190000000,67625000000,67752000000,71283000000,75112000000,88144000000,93469000000,97354000000,107808000000,106565000000,110875000000,115846000000,120550000000,127079000000,131620000000,125980000000,126034000000,130863000000,131868000000,128292000000,133613000000
2,COGS,5275800000,5530300000,5835400000,6281600000,3739100000,3761100000,3936600000,3941500000,4027600000,4001600000,3694200000,3628600000,8444200000,9386000000,10217000000,39481000000,41651000000,41952000000,21783000000,23168000000,25469000000,34994000000,37547000000,39007000000,44299000000,44149000000,45875000000,46275000000,44887000000,49931000000,52557000000,51424000000,51556000000,55508000000,54726000000,51201000000,56301000000
3,Gross Profit,3808400000,4390500000,4463000000,4598500000,7709500000,8536900000,8343100000,8705500000,8962600000,9789800000,9735300000,9452800000,21749700000,22179900000,22957000000,25226000000,25539000000,25673000000,45969000000,48115000000,49643000000,53150000000,55922000000,58347000000,63509000000,62416000000,65000000000,69571000000,75663000000,77148000000,79063000000,74556000000,74478000000,75355000000,77142000000,77091000000,77312000000
4,Gross Profit Ratio,0.4192,0.4426,0.4334,0.4227,0.6734,0.6942,0.6794,0.6883,0.6900,0.7098,0.7249,0.7226,0.7203,0.7027,0.6920,0.3898,0.3801,0.3796,0.6785,0.6750,0.6609,0.6030,0.5983,0.5993,0.5891,0.5857,0.5862,0.6005,0.6276,0.6071,0.6007,0.5918,0.5909,0.5758,0.5850,0.6009,0.5786
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,4333100000,4022000000,3921600000,9047200000,9802700000,8241000000,- -,- -,- -,24999000000,21088000000,21312000000,25232000000,25967000000,26898000000,32950000000,31366000000,35624000000,39951000000,27089000000,41016000000,29986000000,31569000000,28336000000,31083000000,29990000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,- -,- -,- -,3276800000,3550100000,3519000000,3781900000,3619900000,4333100000,4022000000,3921600000,9047200000,9802700000,8241000000,- -,- -,- -,24999000000,21088000000,21312000000,25232000000,25967000000,26898000000,32950000000,31366000000,35624000000,39951000000,27089000000,41016000000,29986000000,31569000000,28336000000,31083000000,29990000000,31573000000,28658000000
9,Other Expenses,1483900000,1926600000,2116900000,2354000000,2419900000,2377200000,2298700000,2417400000,2545100000,2652100000,2627100000,2594600000,7361000000,5750000000,6221000000,12261000000,14007000000,10676000000,13617000000,13910000000,14047000000,14545000000,14377000000,14565000000,16532000000,16405000000,16496000000,16460000000,16606000000,16533000000,16017000000,15928000000,16954000000,17403000000,16682000000,16720000000,16206000000
10,Operating Expenses,1483900000,1926600000,2116900000,2354000000,5696700000,5927300000,5817700000,6199300000,6165000000,6985200000,6649100000,6516200000,16408200000,15552700000,14462000000,12261000000,14007000000,10676000000,38616000000,34998000000,35359000000,39777000000,40344000000,41463000000,49482000000,47771000000,52120000000,56411000000,43695000000,57549000000,46003000000,47497000000,45290000000,48486000000,46672000000,48293000000,44864000000
11,COGS and Expenses,6759700000,7456900000,7952300000,8635600000,9435800000,9688400000,9754300000,10140800000,10192600000,10986800000,10343300000,10144800000,24852400000,24938700000,24679000000,51742000000,55658000000,52628000000,60399000000,58166000000,60828000000,74771000000,77891000000,80470000000,93781000000,91920000000,97995000000,102686000000,88582000000,107480000000,98560000000,98921000000,96846000000,103994000000,101398000000,99494000000,101165000000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,96000000,116000000,120000000,201000000,168000000,362000000,75000000,- -,68000000,57000000,64000000,108000000,115000000,59000000,82000000,94000000,121000000,65000000,48000000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,2797000000,2384000000,2180000000,2349000000,1829000000,1819000000,3102000000,2523000000,2827000000,2571000000,2667000000,4915000000,4920000000,4376000000,4733000000,4833000000,4730000000,4247000000,3485000000
14,Depreciation and Amortization,- -,- -,- -,- -,2419900000,2377200000,2298700000,2417400000,2545100000,2652100000,2627100000,2594600000,5754100000,5750000000,6070000000,12261000000,13657000000,13423000000,13617000000,13910000000,14047000000,14545000000,14377000000,14565000000,16532000000,16405000000,16496000000,16460000000,16606000000,16533000000,16017000000,15928000000,16954000000,17403000000,16682000000,16720000000,16206000000
15,EBITDA,1903300000,2071600000,1954400000,1846800000,3965400000,4359300000,4295100000,4401500000,4740500000,2782200000,5633000000,5345200000,9738200000,10723400000,12829000000,31067000000,16222000000,19120000000,20743000000,26976000000,26834000000,25765000000,25709000000,26143000000,24495000000,23944000000,22012000000,19246000000,36500000000,34387000000,48681000000,40809000000,41832000000,41348000000,43622000000,44387000000,48558000000
16,EBITDA ratio,0.2095,0.2088,0.1898,0.1697,0.3464,0.3545,0.3498,0.3480,0.3649,0.2017,0.4194,0.4086,0.3225,0.3397,0.3867,0.4801,0.2414,0.2827,0.3062,0.3784,0.3573,0.2923,0.2751,0.2685,0.2272,0.2247,0.1985,0.1661,0.3028,0.2706,0.3699,0.3239,0.3319,0.3160,0.3308,0.3460,0.3634
17,Operating Income,2324500000,2463900000,2346100000,2244500000,2012800000,2609600000,2525400000,2506200000,2797600000,2804600000,3086200000,2936600000,5341500000,6627200000,8495000000,12965000000,11532000000,14997000000,7494000000,13117000000,14814000000,13373000000,15578000000,16884000000,14027000000,14645000000,12880000000,13160000000,31968000000,19599000000,33060000000,27059000000,27414000000,22278000000,30378000000,28798000000,32448000000
