,https://roic.ai/company/COST,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1834000000,2648600000,3305700000,4053400000,4901200000,5286500000,6598100000,7320200000,15154700000,16480600000,17905900000,19566500000,21874400000,24269900000,27456000000,32164296000,34797037000,38762499000,42545552000,48106992000,52935228000,60151227000,64400155000,72483020000,71422000000,77946000000,88915000000,99137000000,105156000000,112640000000,116199000000,118719000000,129025000000,141576000000,152703000000,166761000000,195929000000
2,COGS,1784600000,2354000000,2938600000,3690300000,4460100000,4790500000,5972700000,6605000000,13619600000,14519200000,16083800000,17183700000,19132200000,21183400000,23945400000,28067773000,30598140000,33983121000,37235383000,42092016000,46346961000,52745497000,56449702000,63502750000,62335000000,67995000000,77739000000,86823000000,91948000000,98458000000,101065000000,102901000000,111882000000,123152000000,132886000000,144939000000,170684000000
3,Gross Profit,49400000,294600000,367100000,363100000,441100000,496000000,625400000,715200000,1535100000,1961400000,1822100000,2382800000,2742200000,3086500000,3510600000,4096523000,4198897000,4779378000,5310169000,6014976000,6588267000,7405730000,7950453000,8980270000,9087000000,9951000000,11176000000,12314000000,13208000000,14182000000,15134000000,15818000000,17143000000,18424000000,19817000000,21822000000,25245000000
4,Gross Profit Ratio,0.0269,0.1112,0.1111,0.0896,0.0900,0.0938,0.0948,0.0977,0.1013,0.1190,0.1018,0.1218,0.1254,0.1272,0.1279,0.1274,0.1207,0.1233,0.1248,0.1250,0.1245,0.1231,0.1235,0.1239,0.1272,0.1277,0.1257,0.1242,0.1256,0.1259,0.1302,0.1332,0.1329,0.1301,0.1298,0.1309,0.1288
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,182700000,229600000,289700000,350500000,395000000,528900000,629400000,1367200000,1425500000,1555600000,1730400000,1979200000,2102900000,2425700000,2804676000,3206630000,3647843000,4153541000,4629328000,5113964000,5774645000,6328259000,7011187000,7293000000,7840000000,8682000000,9518000000,10104000000,10899000000,11445000000,12068000000,12950000000,13876000000,14994000000,16332000000,18461000000
9,Other Expenses,5700000,10100000,10500000,15100000,19500000,27400000,40600000,54000000,112100000,143700000,142000000,161600000,182300000,196300000,224800000,254397000,- -,- -,- -,- -,- -,- -,13608000,248000,- -,34000000,55000000,37000000,51000000,63000000,65000000,78000000,82000000,68000000,86000000,55000000,76000000
10,Operating Expenses,5700000,192800000,240100000,304800000,370000000,422400000,569500000,683400000,1479300000,1569200000,1697600000,1892000000,2161500000,2299200000,2650500000,3059073000,3206630000,3647843000,4153541000,4629328000,5113964000,5774645000,6341867000,7011435000,7293000000,7874000000,8737000000,9555000000,10155000000,10962000000,11510000000,12146000000,13032000000,13944000000,15080000000,16387000000,18537000000
11,COGS and Expenses,1790300000,2546800000,3178700000,3995100000,4830100000,5212900000,6542200000,7288400000,15098900000,16088400000,17781400000,19075700000,21293700000,23482600000,26595900000,31126846000,33804770000,37630964000,41388924000,46721344000,51460925000,58520142000,62791569000,70514185000,69628000000,75869000000,86476000000,96378000000,102103000000,109420000000,112575000000,115047000000,124914000000,137096000000,147966000000,161326000000,189221000000
