,https://roic.ai/company/AXTI,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
28,Weighted Average Shares Outstanding Diluted,15177000,19771000,21059000,22278000,22433000,22781000,23063000,23047000,24600000,31348000,30400000,30500000,32512000,33061000,32865000,32700000,32452000,32183000,32894000,38966000,40265000,39487000,41025000,42720000
29,SEC Link,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/1051627/000089161802001428/0000891618-02-001428-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000089161803001360/0000891618-03-001360-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000089161804000813/0000891618-04-000813-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000110465905011968/0001104659-05-011968-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000110465906020548/0001104659-06-020548-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000110465907021885/0001104659-07-021885-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000104746908002766/0001047469-08-002766-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000104746909003513/0001047469-09-003513-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000104746910002549/0001047469-10-002549-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036111017021/0001140361-11-017021-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036112015825/0001140361-12-015825-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036113012640/0001140361-13-012640-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000114036114012780/0001140361-14-012780-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000156761915000258/0001567619-15-000258-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837016004062/0001558370-16-004062-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837017001073/0001558370-17-001073-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837018001801/0001558370-18-001801-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837019001765/0001558370-19-001765-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837020002561/0001558370-20-002561-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837021003377/0001558370-21-003377-index.htm,https://www.sec.gov/Archives/edgar/data/1051627/000155837022003664/0001558370-22-003664-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,16100000,6062000,68585000,37538000,13797000,24339000,12117000,17472000,16116000,18380000,13566000,16934000,23724000,26156000,30634000,24961000,28814000,24875000,36152000,44352000,16526000,26892000,72602000,36763000
32,Short-Term Investments,- -,- -,30852000,25673000,8205000,14669000,20062000,5555000,19428000,20825000,17756000,18469000,10079000,5505000,10270000,12499000,12340000,11437000,11415000,20032000,22129000,9427000,240000,5419000
33,Cash and Short-Term Investments,16100000,6062000,99437000,63211000,22002000,39008000,32179000,23027000,35544000,39205000,31322000,35403000,33803000,31661000,40904000,37460000,41154000,36312000,47567000,64384000,38655000,36319000,72842000,42182000
34,Net Receivables,8900000,17561000,27773000,15684000,15978000,6297000,4034000,5226000,9658000,12149000,11497000,15362000,23076000,18378000,19948000,14943000,18035000,18468000,14453000,22778000,19586000,19031000,24558000,34839000
35,Inventory,20600000,35470000,51846000,55587000,37598000,24083000,16462000,16156000,20263000,24781000,35082000,27718000,35986000,46012000,40352000,39127000,38574000,38012000,40152000,45840000,58571000,49152000,51515000,65912000
36,Other Current Assets,3000000,12155000,3603000,6035000,4002000,2575000,3773000,1801000,8644000,8709000,3131000,2411000,4090000,7052000,5268000,8010000,5430000,4096000,5114000,7519000,11728000,8703000,15603000,17252000
37,Total Current Assets,48600000,71248000,182659000,140517000,79580000,71963000,56448000,46210000,74109000,84844000,81032000,80894000,96955000,103103000,106472000,99540000,103193000,96888000,107286000,140521000,128540000,113205000,164518000,160185000
