,https://roic.ai/company/MX,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , 
1,Revenue,1085170000,937656000,744352000,792356000,601664000,560066000,770405000,772831000,819592000,734177000,698218000,633712000,687969000,679672000,750898000,792195000,507059000,474230000
2,COGS,859030000,728999000,644911000,654787000,445254000,401547000,526847000,538515000,556091000,579109000,545356000,498848000,531743000,491779000,552802000,611584000,378742000,320687000
3,Gross Profit,226140000,208657000,99441000,137569000,156410000,158519000,243558000,234316000,263501000,155068000,152862000,134864000,156226000,187893000,198096000,180611000,128317000,153543000
4,Gross Profit Ratio,0.2084,0.2225,0.1336,0.1736,0.2600,0.2830,0.3161,0.3032,0.3215,0.2112,0.2189,0.2128,0.2271,0.2764,0.2638,0.2280,0.2531,0.3238
5,Research and Development Exp.,97715000,107590000,131252000,138863000,89455000,70889000,83524000,76767000,78723000,87862000,92765000,83420000,72180000,70523000,78039000,75356000,45698000,51212000
6,General and Administrative Exp.,- -,123211000,87677000,92990000,- -,- -,66640000,68367000,78971000,85767000,126954000,94378000,89094000,81775000,72639000,71637000,49974000,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,123211000,87677000,92990000,81314000,- -,66640000,68367000,78971000,85767000,126954000,94378000,89094000,81775000,72639000,71637000,49974000,52440000
9,Other Expenses,83766000,- -,- -,- -,- -,70828000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
10,Operating Expenses,181481000,230801000,218929000,231853000,170769000,141717000,150164000,145134000,157694000,173629000,219719000,177798000,161274000,152298000,150678000,146993000,95672000,103652000
11,COGS and Expenses,1040511000,959800000,863840000,886640000,616023000,543264000,677011000,683649000,713785000,752738000,765075000,676646000,693017000,644077000,703480000,758577000,474414000,424339000
