,https://roic.ai/company/CVI,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
54,Long-Term Debt,497201527,769202019,484328313,479503000,474726000,468954000,853903000,845910000,625000000,625000000,546900000,1162800000,1164400000,1126000000,1129000000,1683000000,1654000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,209523747,284122958,286985797,289150000,278008000,298943000,357473000,386940000,601700000,638300000,639700000,579900000,385900000,362000000,396000000,368000000,268000000
57,Other Non-Current Liabilities,170715071,85182498,94196145,6854000,6721000,6399000,20653000,92276000,102200000,100300000,33900000,32000000,8700000,55000000,116000000,49000000,58000000
58,Total Non-Current Liabilities,877440345,1138507475,865510255,775507000,759455000,774296000,1232029000,1325126000,1328900000,1363600000,1220500000,1774700000,1559000000,1543000000,1641000000,2100000000,1980000000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,51168000,49900000,48500000,- -,- -,- -,41000000,75000000,75000000,67000000
61,Total Liabilities,1105719775,1368707255,1401952978,1020416000,950079000,1040011000,1819588000,1950757000,1830400000,1787200000,1705300000,2340600000,2102700000,2039000000,2237000000,2759000000,3136000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,861413,862000,863000,864000,869000,869000,900000,900000,900000,900000,900000,1000000,1000000,1000000,1000000
64,Retained Earnings,- -,- -,-17897142,137435000,206789000,221079000,566855000,945460000,76200000,-184900000,-189200000,-338100000,-277400000,-226000000,-113000000,-490000000,-956000000
65,Other Comprehensive Income/Loss,115828128,76446072,- -,-220719000,-304794000,2000,-1008000,-1158000,-600000,-300000,- -,- -,-1431000000,-1637000000,-1827000000,- -,- -
66,Other Total Stockholders Equity,115828128,80772260,460550842,661889000,750957000,467628000,584896000,579984000,1112100000,1172400000,1172400000,1195300000,2626300000,3108000000,3332000000,1508000000,- -
67,Total Stockholders Equity,115828128,76446072,443515113,579467000,653815000,689573000,1151612000,1525155000,1188600000,988100000,984100000,858100000,918800000,1246000000,1393000000,1019000000,553000000
68,Total Liabilities And Stockholders Equity,1221547903,1445153327,1845468091,1599883000,1603894000,1729584000,2971200000,3475912000,3019000000,2775300000,2689400000,3198700000,3021500000,3285000000,3630000000,3778000000,3689000000
69,Minority Interest,- -,4326188,10600000,10600000,10600000,10600000,148091000,134983000,646800000,687200000,616400000,851500000,785200000,622000000,275000000,200000000,217000000
70,Total Liabilities & Equity,1221547903,1449479515,1856068091,1610483000,1614494000,1740184000,3119291000,3610895000,3665800000,3462500000,3305800000,4050200000,3806700000,3907000000,3905000000,3978000000,3906000000
71,SEC Link,- -,- -,https://www.sec.gov/Archives/edgar/data/1376139/000095012308003514/y52203e10vk.htm,https://www.sec.gov/Archives/edgar/data/1376139/000095012309004595/0000950123-09-004595-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000095012310024185/0000950123-10-024185-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000095012311022741/y90110e10vk.htm,https://www.sec.gov/Archives/edgar/data/1376139/000104746912001887/0001047469-12-001887-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000104746913002747/0001047469-13-002747-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613914000016/cviform10-kx12312013.htm,https://www.sec.gov/Archives/edgar/data/1376139/000137613915000012/cviform10-kx12312014.htm,https://www.sec.gov/Archives/edgar/data/1376139/000137613916000084/0001376139-16-000084-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613917000019/0001376139-17-000019-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613918000016/0001376139-18-000016-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613919000011/0001376139-19-000011-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613920000015/0001376139-20-000015-index.html,https://www.sec.gov/Archives/edgar/data/1376139/000137613921000021/0001376139-21-000021-index.htm,https://www.sec.gov/Archives/edgar/data/1376139/000137613922000014/0001376139-22-000014-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , 
73,Net Income,-119157090,191571323,-56823575,163935000,69354000,14290000,345776000,378605000,370700000,173900000,169600000,24700000,234400000,289000000,380000000,-256000000,25000000
74,Depreciation and Amortization,25705072,54341377,71183752,84168000,86814000,86761000,90321000,130005000,142800000,154400000,164100000,193100000,214000000,213000000,287000000,278000000,279000000
75,Deferred Income Tax,- -,86770299,-56901929,55846000,- -,-770000,62688000,-17254000,-93300000,19200000,-10400000,-84400000,-216500000,59000000,24000000,-30000000,-98000000
76,Stock Based Compensation,- -,- -,- -,- -,7935000,37244000,27173000,39096000,18400000,12300000,12800000,9300000,18800000,16000000,17000000,4000000,46000000
