,https://roic.ai/company/NWE,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
26,EPS Diluted,0.77,0.80,0.84,0.86,1.02,1.12,0.94,0.88,0.98,1.00,1.10,1.28,1.31,1.44,1.62,1.83,1.53,-30.04,-3.44,-0.19,1.65,1.01,1.44,1.77,2.02,2.14,2.53,2.66,2.46,3.01,3.17,3.39,3.34,3.92,3.98,3.06,3.68
27,Weighted Average Shares Outstanding,15064935,15375000,15238095,15348837,15294118,15267857,15319149,15454545,15408163,15300000,16261162,17840244,17843000,18660000,23094000,23141000,24390000,29726000,37397000,36547368,35630000,35554000,36623000,37976000,36091000,36190000,36258000,36847000,38145000,40156000,47298000,48299000,48558000,49985000,50429000,50559208,50559208
28,Weighted Average Shares Outstanding Diluted,15064935,15375000,15238095,15348837,15294118,15267857,15319149,15454545,15408163,15300000,16261162,17931034,17843000,18819444,27469136,26973770,28981046,29726000,37397000,36547368,36040606,37524752,36938194,38192655,36346535,36190000,36583399,37040900,38227075,40156000,47643000,48475062,48655321,50237000,50800000,50704389,50704389
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73088/000007308895000004/0000073088-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/73088/000007308896000009/0000073088-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/73088/000007308897000005/0000073088-97-000005-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73088/000110465901500253/0001104659-01-500253-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465902001256/0001104659-02-001256-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000104746903013477/0001047469-03-013477-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465904007415/0001104659-04-007415-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465905010721/0001104659-05-010721-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465906013882/0001104659-06-013882-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308807000008/0000073088-07-000008-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308808000008/0000073088-08-000008-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308809000025/0000073088-09-000025-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/73088/000007308812000008/0000073088-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308813000036/0000073088-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308814000041/0000073088-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308815000028/0000073088-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308816000230/0000073088-16-000230-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308817000031/0000073088-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308818000022/0000073088-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308819000023/0000073088-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308820000030/0000073088-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308821000026/0000073088-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308822000019/0000073088-22-000019-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,4600000,36800000,14300000,30900000,29700000,91601000,53528000,45569000,15183000,17058000,2691000,1930000,12773000,11292000,4344000,6234000,5928000,9822000,16557000,20362000,11980000,5079000,8473000,7860000,5145000,5811000,2820000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,2600000,4600000,36800000,14300000,30900000,29700000,91601000,53528000,45569000,15183000,17058000,2691000,1930000,12773000,11292000,4344000,6234000,5928000,9822000,16557000,20362000,11980000,5079000,8473000,7860000,5145000,5811000,2820000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,12300000,51500000,89300000,90700000,131500000,205400000,710440000,382329000,281447000,106443000,141350000,160856000,149793000,143482000,155672000,143759000,143304000,147151000,143695000,174913000,163479000,154410000,159556000,182282000,162373000,167405000,168229000,198671000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,14700000,21700000,50800000,36000000,72800000,104100000,143870000,106228000,86650000,26521000,28033000,40925000,60543000,63586000,70741000,47305000,50701000,59532000,54161000,55609000,55094000,53458000,49206000,52432000,50815000,53925000,61010000,80614000
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,6600000,12800000,20800000,15400000,32000000,44400000,55080000,86461000,142692000,282331000,161237000,109021000,56208000,58513000,75712000,69419000,102815000,77588000,95450000,73877000,111950000,66812000,66354000,53172000,56637000,75252000,73630000,155690000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,36200000,90600000,197700000,156400000,267200000,383600000,1000991000,628546000,556358000,430478000,347678000,313493000,268474000,278354000,313417000,264827000,303054000,290199000,303128000,320956000,350885000,286660000,280195000,296359000,277685000,301727000,308680000,437795000
38,PP&E,- -,- -,- -,- -,- -,- -,- -,- -,- -,250500000,336900000,519100000,545600000,629300000,681700000,695965000,818367000,1253746000,1362749000,1379060000,1409205000,1491855000,1770880000,1839699000,1964121000,2117977000,2213267000,2435590000,2690128000,3758008000,4059499000,4214892000,4358265000,4521318000,4700924000,4952935000,5247232000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,355128000,355128000,355128000,355128000,355128000,355128000,355128000,355128000,357586000,357586000,357586000,357586000,357586000,357586000,357586000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,49100000,197300000,224100000,631000000,742000000,1033035000,979648000,518239000,375798000,435076000,435076000,435076000,355128000,355128000,355128000,355128000,355128000,355128000,355128000,355128000,357586000,357586000,357586000,357586000,357586000,357586000,357586000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,72400000,82100000,199600000,180000000,208700000,149500000,168079000,190800000,344582000,275486000,251702000,242629000,200532000,143018000,253793000,211056000,261510000,351844000,391687000,349048000,509922000,574895000,646648000,408707000,487787000,550465000,770248000,737830000
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,322900000,468100000,916000000,949700000,1469000000,1573200000,1897079000,1988815000,2116567000,2014033000,2065838000,2086910000,2127463000,2269026000,2448620000,2530305000,2734615000,2920239000,3182405000,3394304000,4623058000,4991980000,5219126000,5124558000,5366691000,5608975000,6080769000,6342648000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,359100000,558700000,1113700000,1106100000,1736200000,1956800000,2898070000,2617361000,2672925000,2444511000,2413516000,2400403000,2395937000,2547380000,2762037000,2795132000,3037669000,3210438000,3485533000,3715260000,4973943000,5278640000,5499321000,5420917000,5644376000,5910702000,6389449000,6780443000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,13100000,15600000,99400000,89100000,113000000,158000000,638818000,264844000,101779000,67602000,85120000,99419000,78739000,91588000,94685000,92923000,75042000,76735000,83746000,92957000,81961000,74511000,79311000,85160000,87043000,96690000,100388000,115237000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,10400000,4100000,1200000,7800000,31700000,49900000,57263000,404297000,57878000,919392000,73380000,156455000,7693000,21006000,229238000,7320000,7854000,172096000,124546000,142612000,269570000,231711000,302790000,321689000,2298000,2476000,102668000,2875000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,86168000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29013000
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,15700000,39100000,52200000,47700000,64700000,61100000,194896000,259959000,377838000,149792000,169568000,168785000,192504000,209245000,264654000,194749000,221073000,227123000,240973000,228019000,263051000,264978000,231731000,225389000,257668000,235101000,263367000,232517000
53,Total Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,39200000,58800000,152800000,144600000,209400000,269000000,890977000,929100000,537495000,1136786000,328068000,424659000,278936000,321839000,588577000,294992000,303969000,475954000,449265000,463588000,614582000,571200000,613832000,632238000,347009000,334267000,466423000,379642000
54,Long-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,127100000,212800000,457000000,457800000,676400000,783200000,1083565000,835873000,1704016000,- -,763566000,586515000,739424000,825362000,670809000,1016866000,1096068000,937967000,1086636000,1184992000,1690261000,1808453000,1817684000,1815629000,2122260000,2250720000,2330032000,2553375000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,45194000,49998000,- -,- -,- -,34681000,27371000,30001000,36046000,40209000,45376000,50089000,56870000,65186000,80780000
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,47900000,53700000,80400000,81800000,74100000,64900000,55549000,5934000,173000,10536000,41354000,100192000,113355000,74046000,114707000,161188000,232709000,282406000,363928000,395333000,446600000,501532000,575582000,340729000,394618000,447986000,471777000,499634000
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,27500000,42000000,221000000,219100000,490500000,535800000,544986000,446293000,- -,- -,- -,- -,- -,457915000,574413000,535062000,584576000,654999000,616991000,613306000,714716000,761235000,775787000,788030000,788018000,781765000,976936000,927299000
58,Total Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,202500000,308500000,758400000,758700000,1241000000,1383900000,1684100000,1288100000,1704189000,- -,804920000,686707000,852779000,1402517000,1409927000,1713116000,1913353000,1875372000,2102236000,2221002000,2881578000,3107266000,3209262000,2989764000,3354985000,3537341000,3843931000,4061088000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,405100000,649400000,- -,- -,- -,- -,- -,- -,4285355000,1893676000,2181033000,1924956000,2227009000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,40383000,40391000,37991000,36767000,35564000,34288000,33174000,31557000,29892000,28162000,26325000,24346000,22213000,19915000,17439000,14772000
61,Total Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,241800000,399700000,759400000,736000000,1061600000,1291300000,2177115000,2033883000,3118661000,3030462000,1704181000,1662908000,1653166000,1724356000,1998504000,2008108000,2217322000,2351326000,2551501000,2684590000,3496160000,3678466000,3823094000,3622002000,3701994000,3871608000,4310354000,4440730000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,26900000,31200000,31200000,31200000,40300000,40400000,40968000,47942000,65444000,65940000,355000,358000,360000,393000,395000,395000,398000,398000,408000,423000,505000,518000,520000,530000,539000,541000,541000,576000
64,Retained Earnings,- -,- -,- -,- -,- -,- -,- -,- -,- -,55400000,59200000,66100000,72900000,81100000,94700000,111355000,112307000,-818604000,-947274000,-6944000,16889000,10698000,16603000,34371000,59605000,87984000,128631000,172791000,209091000,264758000,325909000,396919000,458352000,548253000,635246000,670111000,728468000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,-139400000,-150500000,-162900000,-175300000,-196600000,-236400000,-284113000,-350542000,-4137000,-6072000,-2070000,4581000,205000,13748000,12354000,9725000,8514000,3656000,2317000,2716000,-8766000,-8596000,-9714000,-8772000,-9934000,-9648000,-7269000,-7310000
66,Other Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,174400000,219100000,233200000,241600000,361100000,405300000,454741000,590459000,301221000,301455000,717994000,715667000,731508000,792280000,716413000,- -,- -,726427000,758516000,818440000,1221286000,1282343000,1288502000,1348805000,1403524000,1412955000,1415712000,- -
67,Total Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,117300000,159000000,167600000,170400000,285900000,304000000,322951000,400166000,-456076000,-585951000,709335000,737495000,742771000,823024000,763533000,787024000,820347000,859112000,934032000,1030670000,1477783000,1600174000,1676227000,1798915000,1942382000,2039094000,2079095000,2339713000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,359100000,558700000,927000000,906400000,1347500000,1595300000,2500066000,2434049000,2662585000,2444511000,2413516000,2400403000,2395937000,2547380000,2762037000,2795132000,3037669000,3210438000,3485533000,3715260000,4973943000,5278640000,5499321000,5420917000,5644376000,5910702000,6389449000,6780443000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,186700000,199700000,388700000,361500000,398004000,183312000,10340000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,- -,- -,- -,- -,- -,359100000,558700000,1113700000,1106100000,1736200000,1956800000,2898070000,2617361000,2672925000,2444511000,2413516000,2400403000,2395937000,2547380000,2762037000,2795132000,3037669000,3210438000,3485533000,3715260000,4973943000,5278640000,5499321000,5420917000,5644376000,5910702000,6389449000,6780443000
71,SEC Link,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,undefined,https://www.sec.gov/Archives/edgar/data/73088/000007308895000004/0000073088-95-000004-index.html,https://www.sec.gov/Archives/edgar/data/73088/000007308896000009/0000073088-96-000009-index.html,https://www.sec.gov/Archives/edgar/data/73088/000007308897000005/0000073088-97-000005-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/73088/000110465901500253/0001104659-01-500253-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465902001256/0001104659-02-001256-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000104746903013477/0001047469-03-013477-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465904007415/0001104659-04-007415-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465905010721/0001104659-05-010721-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000110465906013882/0001104659-06-013882-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308807000008/0000073088-07-000008-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308808000008/0000073088-08-000008-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308809000025/0000073088-09-000025-index.htm,- -,- -,https://www.sec.gov/Archives/edgar/data/73088/000007308812000008/0000073088-12-000008-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308813000036/0000073088-13-000036-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308814000041/0000073088-14-000041-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308815000028/0000073088-15-000028-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308816000230/0000073088-16-000230-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308817000031/0000073088-17-000031-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308818000022/0000073088-18-000022-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308819000023/0000073088-19-000023-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308820000030/0000073088-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308821000026/0000073088-21-000026-index.htm,https://www.sec.gov/Archives/edgar/data/73088/000007308822000019/0000073088-22-000019-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,15400000,18200000,23400000,23700000,27300000,44700000,49553000,44532000,-863942000,-128670000,-6944000,59467000,37900000,53191000,67601000,73420000,77376000,92556000,98406000,93983000,120686000,151209000,164172000,162703000,196960000,202120000,155215000,186840000
74,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,82415000,85071000,89039000,91769000,100926000,106044000,112831000,- -,- -,- -,- -,- -,- -,- -,- -
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,2500000,5800000,4400000,1500000,-9500000,-9493000,-48529000,35643000,10334000,-3938000,40746000,26711000,34994000,42587000,47014000,48783000,64065000,51890000,54617000,-9612000,33886000,-8184000,12363000,-13189000,-13864000,-7574000,525000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5082000,6731000,5563000,7683000,8007000,4149000,5350000
77,Change in Working Capital,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1200000,-2500000,11200000,3400000,-7500000,-6900000,1997000,168348000,-24945000,-73381000,-39334000,13979000,12879000,35690000,-1610000,-94064000,4096000,-25889000,20758000,-66387000,14778000,11385000,-30556000,-21836000,15488000,-71158000,22662000,-154315000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,6311000,-12150000,11913000,455000,-3847000,3456000,-30792000,12622000,9069000,-5146000,-22726000,19909000,-5032000,-824000,-30442000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1400000,-300000,-4400000,8300000,24700000,-34700000,-41451000,37907000,5931000,-614000,3830000,-3776000,-19618000,-3096000,-7155000,23436000,-3396000,-8831000,5371000,181000,747000,1636000,4252000,-3226000,1617000,-3110000,-7085000,-19604000
