,https://roic.ai/company/LEA,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,1950300000,3147500000,4714400000,6249100000,7342900000,9059400000,12428800000,14072800000,13624700000,14424600000,15746700000,16960000000,17089200000,17838900000,15995000000,13570500000,9739600000,11954600000,14156500000,14567000000,16234000000,17727300000,18211400000,18557600000,20467000000,21148500000,19810300000,17045500000,19263100000
2,COGS,1780100000,2836800000,4235900000,5517300000,6390500000,8027500000,10895300000,12320400000,12589900000,13164300000,14400300000,15557900000,16353200000,16911200000,14846500000,12826500000,9379400000,10936300000,12963300000,13349500000,14934300000,16234500000,16391600000,16455500000,18175900000,18830200000,18072800000,15936600000,17871200000
3,Gross Profit,170200000,310700000,478500000,731800000,952400000,1031900000,1533500000,1752400000,1034800000,1260300000,1346400000,1402100000,736000000,927700000,1148500000,744000000,360200000,1018300000,1193200000,1217500000,1299700000,1492800000,1819800000,2102100000,2291100000,2318300000,1737500000,1108900000,1391900000
4,Gross Profit Ratio,0.0873,0.0987,0.1015,0.1171,0.1297,0.1139,0.1234,0.1245,0.0760,0.0874,0.0855,0.0827,0.0431,0.0520,0.0718,0.0548,0.0370,0.0852,0.0843,0.0836,0.0801,0.0842,0.0999,0.1133,0.1119,0.1096,0.0877,0.0651,0.0723
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,82600000,139000000,210300000,286900000,337000000,483700000,524800000,514200000,517200000,573600000,633700000,630600000,646700000,574700000,513200000,447900000,452700000,485600000,479300000,528700000,529900000,580500000,621900000,635200000,612800000,605000000,- -,- -
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,82600000,139000000,210300000,286900000,337000000,483700000,524800000,514200000,517200000,573600000,633700000,630600000,646700000,574700000,513200000,447900000,452700000,485600000,479300000,528700000,529900000,580500000,621900000,635200000,612800000,605000000,- -,643200000
9,Other Expenses,90600000,58500000,94700000,145700000,184400000,219700000,340900000,392200000,90200000,- -,- -,- -,- -,- -,- -,- -,8600000,27200000,28000000,33000000,34400000,33700000,52500000,53000000,47600000,51400000,62300000,654800000,73300000
10,Operating Expenses,90600000,141100000,233700000,356000000,471300000,556700000,824600000,917000000,604400000,517200000,573600000,633700000,630600000,646700000,574700000,513200000,456500000,479900000,513600000,512300000,563100000,563600000,633000000,674900000,682800000,664200000,667300000,654800000,716500000
11,COGS and Expenses,1870700000,2977900000,4469600000,5873300000,6861800000,8584200000,11719900000,13237400000,13194300000,13681500000,14973900000,16191600000,16983800000,17557900000,15421200000,13339700000,9835900000,11416200000,13476900000,13861800000,15497400000,16798100000,17024600000,17130400000,18858700000,19494400000,18740100000,16591400000,18587700000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
