,https://roic.ai/company/CPB,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,4378700000,4490400000,4868900000,5672100000,6205800000,6204100000,6263200000,6586200000,6690000000,7278000000,7678000000,7964000000,6696000000,6424000000,6267000000,6664000000,6133000000,6678000000,7109000000,7548000000,7343000000,7867000000,7998000000,7586000000,7676000000,7719000000,7707000000,8052000000,8268000000,8082000000,7961000000,5837000000,6615000000,8107000000,8691000000,8476000000
2,COGS,3046700000,3035900000,3221900000,3809300000,4057300000,3886900000,3746900000,3785600000,3723000000,4264000000,4363000000,4305000000,3233000000,3050000000,2908000000,3146000000,3443000000,3805000000,4187000000,4491000000,4268000000,4571000000,4827000000,4558000000,4526000000,4616000000,4715000000,5140000000,5370000000,5287000000,5181000000,3401000000,4157000000,5390000000,5692000000,5665000000
3,Gross Profit,1332000000,1454500000,1647000000,1862800000,2148500000,2317200000,2516300000,2800600000,2967000000,3014000000,3315000000,3659000000,3463000000,3374000000,3359000000,3518000000,2690000000,2873000000,2922000000,3057000000,3075000000,3296000000,3171000000,3028000000,3150000000,3103000000,2992000000,2912000000,2898000000,2795000000,2780000000,2436000000,2458000000,2717000000,2999000000,2811000000
4,Gross Profit Ratio,0.3042,0.3239,0.3383,0.3284,0.3462,0.3735,0.4018,0.4252,0.4435,0.4141,0.4318,0.4594,0.5172,0.5252,0.5360,0.5279,0.4386,0.4302,0.4110,0.4050,0.4188,0.4190,0.3965,0.3992,0.4104,0.4020,0.3882,0.3616,0.3505,0.3458,0.3492,0.4173,0.3716,0.3351,0.3451,0.3316
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,88000000,84000000,77000000,71000000,66000000,64000000,63000000,77000000,88000000,93000000,95000000,99000000,112000000,115000000,114000000,123000000,129000000,125000000,128000000,121000000,117000000,124000000,93000000,91000000,88000000,93000000,84000000
6,General and Administrative Exp.,789400000,884900000,1012800000,1118600000,1324900000,1319200000,1392000000,1936800000,1644000000,1716000000,1842000000,1960000000,1818000000,1938000000,1941000000,2137000000,1490000000,507000000,542000000,- -,617000000,604000000,608000000,591000000,605000000,612000000,611000000,677000000,573000000,592000000,641000000,276000000,277000000,543000000,665000000,560000000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1145000000,1153000000,- -,1203000000,1322000000,1162000000,1077000000,1058000000,1007000000,1020000000,947000000,935000000,878000000,893000000,817000000,902000000,842000000,947000000,817000000
8,"Selling, General and Administrative Exp.",789400000,884900000,1012800000,1118600000,1324900000,1319200000,1392000000,1936800000,1644000000,1716000000,1842000000,1960000000,1818000000,1938000000,1941000000,2137000000,1490000000,1652000000,1695000000,1756000000,1820000000,1926000000,1770000000,1668000000,1663000000,1619000000,1631000000,1624000000,1508000000,1470000000,1534000000,1093000000,1179000000,1385000000,1612000000,1377000000
9,Other Expenses,126800000,144600000,170900000,192300000,200900000,208600000,216200000,242200000,255000000,63000000,72000000,356000000,326000000,100000000,89000000,124000000,139000000,28000000,19000000,2000000,5000000,-35000000,188000000,61000000,16000000,3000000,24000000,80000000,71000000,148000000,20000000,-191000000,174000000,260000000,43000000,42000000
10,Operating Expenses,916200000,1029500000,1183700000,1310900000,1525800000,1527800000,1608200000,2179000000,1899000000,1867000000,1998000000,2393000000,2215000000,2104000000,2094000000,2324000000,1706000000,1768000000,1807000000,1853000000,1924000000,2003000000,2073000000,1843000000,1802000000,1751000000,1780000000,1832000000,1700000000,1735000000,1678000000,995000000,1444000000,1733000000,1748000000,1503000000
