,https://roic.ai/company/RMD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
68,Total Liabilities And Stockholders Equity,- -,- -,- -,46900000,54900000,64600000,89900000,115594000,288090000,376191000,459595000,544159000,774146000,1007221000,1252042000,1406000000,1507968000,1626397000,2068922000,2137869000,2210721000,2360962000,2184260000,3258935000,3468487000,3063923000,4107682000,4587376000,4728125000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,46900000,54900000,64600000,89900000,115594000,288090000,376191000,459595000,544159000,774146000,1007221000,1252042000,1406000000,1507968000,1626397000,2068922000,2137869000,2210721000,2360962000,2184260000,3258935000,3468487000,3063923000,4107682000,4587376000,4728125000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/943819/000094381900000018/0000943819-00-000018-index.html,https://www.sec.gov/Archives/edgar/data/943819/000102140801507065/0001021408-01-507065-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/943819/000119312504149113/d10k.htm,https://www.sec.gov/Archives/edgar/data/943819/000119312505184704/d10k.htm,https://www.sec.gov/Archives/edgar/data/943819/000119312506189387/d10k.htm,https://www.sec.gov/Archives/edgar/data/943819/000119312507190078/0001193125-07-190078-index.html,https://www.sec.gov/Archives/edgar/data/943819/000119312508185614/0001193125-08-185614-index.html,https://www.sec.gov/Archives/edgar/data/943819/000119312509179280/0001193125-09-179280-index.html,https://www.sec.gov/Archives/edgar/data/943819/000119312510190619/0001193125-10-190619-index.html,https://www.sec.gov/Archives/edgar/data/943819/000119312511224622/0001193125-11-224622-index.html,https://www.sec.gov/Archives/edgar/data/943819/000119312512353206/0001193125-12-353206-index.html,https://www.sec.gov/Archives/edgar/data/943819/000119312513331415/0001193125-13-331415-index.html,https://www.sec.gov/Archives/edgar/data/943819/000119312514301852/0001193125-14-301852-index.html,https://www.sec.gov/Archives/edgar/data/943819/000119312515281887/0001193125-15-281887-index.html,https://www.sec.gov/Archives/edgar/data/943819/000119312516673607/0001193125-16-673607-index.html,https://www.sec.gov/Archives/edgar/data/943819/000119312517248016/0001193125-17-248016-index.html,https://www.sec.gov/Archives/edgar/data/943819/000094381918000013/0000943819-18-000013-index.html,https://www.sec.gov/Archives/edgar/data/943819/000094381919000017/0000943819-19-000017-index.html,https://www.sec.gov/Archives/edgar/data/943819/000094381920000013/0000943819-20-000013-index.htm,https://www.sec.gov/Archives/edgar/data/943819/000094381921000017/0000943819-21-000017-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,800000,1200000,2800000,4500000,7500000,10600000,16100000,22226000,11630000,37506000,45729000,57284000,64785000,88211000,66302000,110303000,146448000,190085000,226986000,254850000,307133000,345273000,352886000,352409000,342284000,315588000,404592000,621674000,474505000
74,Depreciation and Amortization,200000,300000,600000,1300000,2600000,3700000,4600000,6248000,8445000,9972000,12583000,17867000,29126000,41619000,48141000,59485000,53963000,61563000,10146000,85856000,78280000,73454000,73056000,86849000,112157000,119960000,150795000,181373000,191518000
75,Deferred Income Tax,400000,300000,-100000,- -,-1000000,400000,500000,77000,-2306000,-6153000,2002000,1259000,-7997000,-11915000,-18900000,8883000,-26658000,3323000,-11154000,-12622000,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,25515000,29734000,30809000,30586000,38157000,43457000,47855000,46408000,45925000,48412000,52073000,57559000,63927000
77,Change in Working Capital,-600000,- -,- -,30400000,4000000,-1600000,-200000,14950000,96722000,394000,46656000,25916000,-75579000,239625000,85112000,80251000,37537000,88485000,410943000,24687000,-233499000,411851000,-109728000,-395755000,502709000,-729409000,34907000,331323000,-257707000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-32897000,-24742000,-30799000,-20293000,-37267000,-35108000,-28259000,-27307000,-63604000,-32356000,-18013000,54383000,-129195000
79,Inventory,-100000,-800000,-2600000,300000,-300000,-2400000,-2900000,-6027000,-8130000,-7063000,-2988000,-6722000,-22562000,-25041000,-30467000,9605000,-16141000,-32272000,11394000,18806000,27143000,-15851000,-99524000,30492000,-41599000,1494000,-84188000,-69881000,-21954000
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-23424000,210708000
81,Other Working Capital,- -,- -,- -,30400000,34400000,32800000,32600000,47550000,144272000,144666000,191322000,217238000,141659000,381284000,466396000,546647000,584184000,672669000,1083612000,1108299000,874800000,1286651000,1176923000,781168000,1283877000,554468000,589375000,920698000,662991000
82,Other Non-Cash Items,200000,-200000,-2600000,-32700000,-3600000,-6300000,-2800000,-23226000,-84971000,-6079000,-47686000,-25785000,60744000,-258512000,-89549000,-121086000,2072000,-184977000,-384540000,-198000,212752000,-482767000,19111000,458022000,-589022000,750475000,-183316000,-389674000,264475000
83,Cash Provided by Operating Activities,1000000,1600000,700000,3500000,9500000,6800000,18200000,20275000,29520000,35640000,59284000,76541000,71079000,99028000,91106000,137836000,238877000,188213000,283190000,383159000,402823000,391268000,383180000,547933000,414053000,505026000,459051000,802255000,736718000
84,CAPEX,-300000,-300000,-1800000,-1500000,-4000000,-11800000,-22500000,-16168000,-27459000,-28185000,-25635000,-57246000,-39691000,-102749000,-77556000,-75779000,-114220000,-61641000,-74996000,-61107000,-71782000,-81156000,-71944000,-67829000,-71476000,-71457000,-77342000,-105938000,-116826000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-54000000,-11000000,-2000000,2000000,-2000000,-11000000,-22000000,-53000000,-5000000,-4000000,-29000000,-1042000000,-7000000,-1000000,-951000000,-27910000,-39067000
86,Purchases of Investments,- -,- -,-27200000,-102700000,-50100000,-32000000,-8800000,-39536000,-82481000,-393072000,-15169000,-80425000,-403419000,-4386000,-23572000,-6500000,-2267000,- -,- -,-6260000,-3342000,-12327000,-42657000,-16529000,-6464000,-29465000,-46981000,-46013000,-21788000
87,Sales/Maturities of Investments,- -,- -,6700000,105200000,49300000,44500000,6900000,38717000,20976000,435871000,30781000,73376000,413576000,2002000,2000000,21450000,- -,1050000,20935000,19074000,2542000,2348000,937000,468000,3324000,- -,- -,- -,19219000
88,Other Investing Activites,100000,-200000,- -,-7300000,-500000,-400000,-500000,-1537000,-55586000,-1078000,-1860000,-2542000,-3244000,-2641000,-4289000,20976000,9188000,13280000,-450000,-322000,-418000,148000,-407000,136000,-274000,98000,-383000,-10608000,-14114000
89,Cash Used for Investing Activites,-200000,-500000,-22300000,-6300000,-5300000,300000,-24900000,-18524000,-144550000,13536000,-11883000,-66837000,-86778000,-118774000,-105417000,-37853000,-109299000,-58311000,-76511000,-101615000,-78000000,-94987000,-143071000,-1125754000,-81890000,-101824000,-1075706000,-179861000,-158462000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-38435000,-38438000,-123591000,-125985000,-100221000,-560035000,-181536000,-283694000,-545000000,-1146242000,-711745000,-1284012000,-612000000
91,Common Stock Issued,500000,1300000,20700000,5000000,200000,1000000,2100000,6380000,7943000,9781000,9031000,20341000,39426000,34389000,38260000,21627000,24892000,95222000,94650000,62491000,69239000,33354000,38806000,27694000,30161000,23332000,36727000,48182000,37790000
92,Common Stock Repurchased,- -,-300000,- -,- -,- -,- -,- -,- -,- -,-7873000,-3542000,-19027000,-10966000,- -,-2092000,-96557000,-68593000,-131082000,-163342000,-392743000,-186258000,-202169000,-160300000,-102058000,- -,-53801000,-22844000,- -,- -
93,Dividends Paid,- -,-200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-97204000,-141518000,-157262000,-168130000,-186346000,-199497000,-211712000,-225093000,-226713000
94,Other Financing Activites,-200000,-200000,400000,- -,100000,-200000,-200000,- -,131083000,-23074000,-21826000,- -,-3264000,63378000,1928000,11173000,84007000,13169000,112940000,279132000,160517000,573052000,204501000,1138772000,438318000,349514000,1490217000,1143637000,36291000
95,Cash Used/Provided by Financing Activities,300000,600000,21100000,5000000,- -,800000,1900000,6380000,139026000,-21166000,-16337000,1314000,25196000,97767000,38096000,-63757000,1871000,-61129000,-79343000,-177105000,-153927000,-297316000,-255791000,612584000,-262867000,-1026694000,580643000,-317286000,-764632000
96,Effect of Forex Changes on Cash,-100000,300000,- -,100000,-500000,-1500000,400000,-989000,-2110000,4714000,10567000,3398000,3781000,438000,14463000,27060000,-36877000,4353000,119155000,-30165000,-104389000,30717000,-172799000,-20578000,21205000,-9742000,-5561000,10920000,18498000
97,Net Change In Cash,300000,600000,21100000,- -,- -,- -,-4400000,7142000,21886000,32724000,41631000,14416000,13278000,77359000,38248000,63286000,94572000,73126000,246491000,74274000,66507000,29682000,-188481000,14185000,90501000,-633234000,-41573000,316028000,-167878000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,11100000,18250000,40136000,72860000,114491000,128907000,142185000,219544000,257792000,321078000,415650000,488776000,735267000,809541000,876048000,905730000,717249000,731434000,821935000,188701000,147128000,463156000,295278000
