,https://roic.ai/company/INOD,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
10,Operating Expenses,2400000,3500000,5300000,6200000,6600000,6300000,8600000,10206961,11279000,10038000,8898000,10205000,13684000,14284000,15281000,16134000,16318000,15659000,19082000,22189000,17295000,16412000,16796000,19539000,20200000,15846000,19010000,18662000,27912000
11,COGS and Expenses,9000000,13600000,18300000,21600000,21300000,18100000,24700000,41705785,55633000,42043000,35927000,43255000,44604000,48425000,63862000,69659000,71079000,62943000,69258000,79571000,66422000,60317000,60735000,66758000,66026000,54891000,56335000,57060000,71406000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,154406,216000,89000,30000,87000,457000,683000,678000,262000,58000,224000,673000,324000,313000,95000,31000,-63000,23000,-33000,- -,- -,108000
13,Interest Expense (Gain),100000,- -,- -,- -,- -,100000,- -,42883,9000,29000,9000,25000,18000,7000,33000,56000,28000,9000,86000,- -,- -,- -,- -,- -,- -,- -,51000,135000,108000
14,Depreciation and Amortization,400000,700000,1000000,1400000,1300000,1300000,1800000,2959060,4790000,5228000,4528000,3924000,3160000,3437000,3156000,3702000,3713000,3703000,3414000,3897000,3653000,3046000,2773000,3195000,3674000,3374000,2922000,2266000,2869000
15,EBITDA,1100000,1200000,3500000,400000,-2800000,3400000,4700000,12139157,6786000,-585000,5345000,15043000,1065000,-3956000,7703000,9306000,12021000,2497000,9332000,12520000,-1528000,2478000,1150000,-1203000,-1096000,5186000,2462000,3419000,2146000
16,EBITDA ratio,0.1146,0.0839,0.1683,0.0195,-0.1393,0.1735,0.1709,0.2393,0.1164,-0.0161,0.1456,0.2788,0.0253,-0.0966,0.1137,0.1241,0.1515,0.0406,0.1262,0.1446,-0.0238,0.0419,0.0197,-0.0191,-0.0180,0.0903,0.0441,0.0587,0.0308
17,Operating Income,600000,700000,2500000,-1100000,-1200000,1500000,2800000,9025691,1780000,-5902000,787000,10694000,-2552000,-8076000,3869000,5342000,8250000,-1430000,4684000,6515000,-7697000,-1615000,-2212000,-4722000,-5097000,2527000,-477000,1180000,-1651000
18,Operating Income ratio,0.0625,0.0490,0.1202,-0.0537,-0.0597,0.0765,0.1018,0.1779,0.0305,-0.1622,0.0214,0.1982,-0.0607,-0.1972,0.0571,0.0712,0.1040,-0.0232,0.0633,0.0752,-0.1198,-0.0273,-0.0378,-0.0749,-0.0837,0.0440,-0.0085,0.0203,-0.0237
19,Total Other Income Expenses (Gains),- -,-200000,- -,100000,-2900000,500000,100000,111523,207000,60000,21000,400000,439000,676000,645000,206000,30000,215000,587000,324000,313000,95000,31000,-63000,23000,-708000,-51000,-135000,688000
20,Income Before Tax,600000,500000,2500000,-1000000,-4100000,2000000,2900000,9137214,1987000,-5842000,808000,11094000,-2113000,-7400000,4514000,5548000,8280000,-1215000,5271000,6839000,-7384000,-1520000,-2181000,-4785000,-5074000,1819000,-528000,1045000,-963000
21,Income Before Tax Ratio,0.0625,0.0350,0.1202,-0.0488,-0.2040,0.1020,0.1055,0.1801,0.0341,-0.1606,0.0220,0.2056,-0.0502,-0.1807,0.0666,0.0740,0.1044,-0.0198,0.0713,0.0790,-0.1149,-0.0257,-0.0373,-0.0759,-0.0833,0.0317,-0.0095,0.0179,-0.0138
22,Income Tax expense (Gain),200000,200000,1000000,-400000,100000,-300000,800000,2969000,639000,-677000,333000,3237000,-462000,-77000,-52000,-2036000,967000,-468000,1361000,1150000,5451000,406000,1203000,1126000,285000,1808000,1091000,401000,842000
23,Net Income,400000,300000,1500000,-600000,-4200000,2300000,2100000,6168214,1348000,-5165000,475000,7857000,-1651000,-7323000,4566000,7584000,7313000,-747000,4471000,7473000,-10632000,-974000,-2826000,-5524000,-5055000,4000,-1602000,617000,-1673000
24,Net Income ratio,0.0417,0.0210,0.0721,-0.0293,-0.2090,0.1173,0.0764,0.1216,0.0231,-0.1420,0.0129,0.1456,-0.0393,-0.1788,0.0674,0.1011,0.0922,-0.0121,0.0605,0.0863,-0.1655,-0.0165,-0.0483,-0.0876,-0.0830,0.0001,-0.0287,0.0106,-0.0240
25,EPS,0.01,0.01,0.02,-0.03,-0.70,0.13,0.11,0.15,0.06,-0.24,0.02,0.35,-0.07,-0.30,0.19,0.31,0.30,-0.03,0.18,0.30,-0.43,-0.04,-0.11,-0.22,-0.20,0.00,-0.06,0.03,-0.06
26,EPS Diluted,0.01,0.01,0.02,-0.03,-0.70,0.12,0.10,0.13,0.05,-0.24,0.02,0.32,-0.07,-0.30,0.18,0.30,0.28,-0.03,0.18,0.28,-0.43,-0.04,-0.11,-0.22,-0.20,0.00,-0.06,0.02,-0.06
27,Weighted Average Shares Outstanding,41995800,41995800,17744461,18459692,17948236,18157895,18666667,20191316,22466667,21520833,23750000,22288000,23009000,24021000,24142000,24390000,24613000,25360000,24916000,24895000,24997000,25232000,25401000,25542000,25816000,25878000,25774000,24607000,26630000
28,Weighted Average Shares Outstanding Diluted,41995800,41995800,17744461,18459692,17948236,18523490,21000000,23056400,26960000,21520833,23750000,24817000,23009000,24021000,25327000,25137000,25764000,25360000,25103000,26232000,24997000,25232000,25401000,25542000,25816000,25878000,25774000,25573000,26630000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/903651/000092281103000030/0000922811-03-000030-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/903651/000114420407015812/0001144204-07-015812-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420408015122/0001144204-08-015122-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420409013288/0001144204-09-013288-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420410012793/0001144204-10-012793-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420411011474/0001144204-11-011474-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420412011533/0001144204-12-011533-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420413015435/0001144204-13-015435-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420414015700/0001144204-14-015700-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420415015794/0001144204-15-015794-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420416087840/0001144204-16-087840-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420417014715/0001144204-17-014715-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420418016374/0001144204-18-016374-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420419015946/0001144204-19-015946-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000110465920034167/0001104659-20-034167-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000110465921035749/0001104659-21-035749-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000141057822000489/0001410578-22-000489-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,2100000,2000000,3500000,3400000,9040207,6267000,7255000,5051000,20663000,20059000,13597000,14751000,13875000,26480000,14120000,11389000,25425000,24752000,24216000,24908000,14172000,11407000,10869000,10874000,17573000,18902000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8875000,5828000,3091000,- -,- -,- -,- -,- -,- -,- -,- -,- -
33,Cash and Short-Term Investments,- -,- -,- -,2100000,2000000,3500000,3400000,9040207,6267000,7255000,5051000,20663000,20059000,13597000,14751000,13875000,26480000,22995000,17217000,28516000,24752000,24216000,24908000,14172000,11407000,10869000,10874000,17573000,18902000
34,Net Receivables,- -,- -,- -,3700000,3200000,2900000,5200000,5799102,7846000,3253000,8497000,8019000,8384000,7546000,11126000,14017000,11741000,8389000,21706000,14317000,11876000,10445000,9249000,9952000,10291000,10626000,9723000,10048000,11379000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,1400000,900000,1000000,1000000,2033158,2771000,3698000,4495000,2402000,1881000,1779000,2319000,6361000,5662000,5423000,4918000,3665000,1952000,3274000,3182000,3124000,3630000,5778000,3418000,4240000,3681000
37,Total Current Assets,- -,- -,- -,7200000,6100000,7400000,9600000,16872467,16884000,14206000,18043000,31084000,30324000,22922000,28196000,34253000,43883000,36807000,43841000,46498000,38580000,37935000,37339000,27248000,25328000,27273000,24015000,31861000,33962000
38,PP&E,- -,- -,- -,3600000,2900000,2700000,4900000,9464056,10236000,6707000,5628000,4559000,4823000,4564000,7160000,6726000,5559000,4284000,7430000,10656000,6083000,5915000,4723000,5397000,7189000,6813000,14130000,13837000,8568000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,675000,675000,675000,675000,675000,675000,675000,675000,1635000,1476000,2734000,2832000,2050000,2108000,2150000,2143000
40,Intangible Assets,- -,- -,- -,1200000,400000,- -,- -,- -,623000,675000,675000,675000,675000,- -,- -,- -,- -,- -,- -,- -,- -,5261000,3987000,8191000,7606000,6275000,5477000,4656000,10347000
41,Intangible Assets,- -,- -,- -,1200000,400000,- -,- -,- -,623000,675000,675000,675000,675000,675000,675000,675000,675000,675000,675000,675000,675000,6896000,5463000,10925000,10438000,8325000,7585000,6806000,12490000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,5000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,256000,381000,906000,943000,2797000,3886000,4848000,1336000,1397000,1382000,1641000,1757000,1204000,1906000,2187000,1950000
44,Other Non-Current Assets,- -,- -,- -,400000,600000,500000,1100000,1609514,2351000,1109000,800000,893000,1789000,1912000,2037000,2825000,2505000,2684000,3565000,3504000,3323000,2718000,2330000,2377000,3159000,2436000,2110000,2563000,2247000
45,Total Non-Current Assets,- -,- -,- -,5200000,3900000,3200000,6000000,11073570,13210000,8491000,7103000,6127000,7287000,7407000,10253000,11132000,9682000,15440000,15556000,19683000,11417000,16926000,13898000,20340000,22543000,18778000,25731000,25393000,25255000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,- -,- -,12400000,10000000,10600000,15600000,27946037,30094000,22697000,25146000,37211000,37611000,30329000,38449000,45385000,53565000,52247000,59397000,66181000,49997000,54861000,51237000,47588000,47871000,46051000,49746000,57254000,59217000
48,Accounts Payable,- -,- -,- -,1300000,1500000,1300000,1600000,3196112,2875000,647000,1299000,1449000,1529000,987000,1973000,1053000,1261000,855000,1528000,1618000,898000,1271000,1250000,1018000,1258000,1834000,1419000,1435000,1823000
49,Short-Term Debt,- -,- -,- -,200000,100000,100000,- -,- -,650000,- -,146000,180000,663000,632000,370000,- -,- -,458000,- -,818000,351000,1606000,1582000,1120000,2133000,1529000,1107000,990000,1034000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1649000,1339000,1852000,2576000,2155000,1003000,1325000,1255000,1330000,1098000,3532000,4183000,5000000,3213000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,900000,2400000,1300000,2000000,4170490,4505000,4989000,4615000,7246000,6700000,7671000,9524000,10393000,10033000,9406000,14165000,11278000,8487000,9291000,9548000,10703000,12208000,10929000,12700000,15921000,18447000
53,Total Current Liabilities,- -,- -,- -,2400000,4000000,2700000,3600000,7366602,8030000,5636000,6060000,8875000,8892000,9290000,11867000,11446000,11294000,10719000,15693000,13714000,9736000,12168000,12380000,12841000,15599000,14292000,15226000,18346000,21304000
54,Long-Term Debt,- -,- -,- -,200000,100000,- -,- -,- -,- -,- -,- -,- -,548000,904000,2128000,- -,- -,- -,- -,3374000,3747000,5540000,3436000,3917000,4477000,4062000,6731000,6332000,5276000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,400000,700000,400000,400000,1263000,1702000,1492000,1410000,1449000,1357000,1126000,1224000,2080000,87000,486000,153000,182000,190000,879000,716000,680000,614000,571000,363000,44000,15000
57,Other Non-Current Liabilities,- -,- -,- -,-100000,-100000,- -,-100000,- -,- -,- -,272000,150000,- -,- -,- -,1671000,1199000,1604000,2944000,- -,- -,- -,- -,- -,- -,- -,4534000,6282000,6217000
58,Total Non-Current Liabilities,- -,- -,- -,500000,700000,400000,300000,1263000,1702000,1492000,1682000,1599000,1905000,2030000,3352000,3751000,1286000,2090000,3097000,3556000,3937000,6419000,4152000,4597000,5091000,4633000,11628000,12658000,11508000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,272000,150000,- -,- -,- -,- -,- -,- -,- -,4192000,- -,7146000,5018000,- -,- -,- -,7838000,7322000,6310000
61,Total Liabilities,- -,- -,- -,2900000,4700000,3100000,3900000,8629602,9732000,7128000,7742000,10474000,10797000,11320000,15219000,15197000,12580000,12809000,18790000,17270000,13673000,18587000,16532000,17438000,20690000,18925000,26854000,31004000,32812000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,100000,216882,217000,220000,226000,227000,237000,241000,249000,249000,262000,262000,262000,264000,266000,268000,270000,273000,275000,275000,275000,289000,303000
64,Retained Earnings,- -,- -,- -,800000,-3400000,-1200000,900000,7081400,8429000,3264000,3739000,11596000,9945000,2622000,7188000,14772000,21159000,20412000,24883000,32356000,21724000,20750000,17924000,12400000,7345000,7349000,4993000,4833000,3160000
65,Other Comprehensive Income/Loss,- -,- -,- -,-3300000,-4000000,-5100000,-6200000,-5756025,-9890000,-12780000,-12142000,-14055000,-16026000,-760000,-211000,742000,1486000,1202000,-1027000,37000,-692000,-287000,-84000,-324000,846000,-15000,-920000,-938000,-2192000
66,Other Total Stockholders Equity,- -,- -,- -,12000000,12700000,13800000,16900000,17774178,21606000,24865000,25581000,28969000,32658000,16906000,16004000,14425000,18078000,17562000,17050000,17852000,18675000,18492000,20102000,21435000,22653000,22957000,21961000,25456000,28656000
67,Total Stockholders Equity,- -,- -,- -,9500000,5300000,7500000,11700000,19316435,20362000,15569000,17404000,26737000,26814000,19009000,23230000,30188000,40985000,39438000,41168000,50509000,39973000,39223000,38212000,33784000,31119000,30566000,26309000,29640000,29927000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,12400000,10000000,10600000,15600000,27946037,30094000,22697000,25146000,37211000,37611000,30329000,38449000,45385000,53565000,52247000,59958000,67779000,53646000,57810000,54744000,51222000,51809000,49491000,53163000,60644000,62739000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-561000,-1598000,-3649000,-2949000,-3507000,-3634000,-3938000,-3440000,-3417000,-3390000,-3522000
70,Total Liabilities & Equity,- -,- -,- -,12400000,10000000,10600000,15600000,27946037,30094000,22697000,25146000,37211000,37611000,30329000,38449000,45385000,53565000,52247000,59397000,66181000,49997000,54861000,51237000,47588000,47871000,46051000,49746000,57254000,59217000
71,SEC Link,undefined,undefined,undefined,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/903651/000092281103000030/0000922811-03-000030-index.html,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/903651/000114420407015812/0001144204-07-015812-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420408015122/0001144204-08-015122-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420409013288/0001144204-09-013288-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420410012793/0001144204-10-012793-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420411011474/0001144204-11-011474-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420412011533/0001144204-12-011533-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420413015435/0001144204-13-015435-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420414015700/0001144204-14-015700-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420415015794/0001144204-15-015794-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420416087840/0001144204-16-087840-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420417014715/0001144204-17-014715-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420418016374/0001144204-18-016374-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000114420419015946/0001144204-19-015946-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000110465920034167/0001104659-20-034167-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000110465921035749/0001104659-21-035749-index.htm,https://www.sec.gov/Archives/edgar/data/903651/000141057822000489/0001410578-22-000489-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,400000,300000,1500000,-600000,-4200000,2300000,2100000,6168214,1348000,-5165000,475000,7857000,-1651000,-7323000,4566000,7584000,7313000,-747000,4471000,7473000,-10632000,-974000,-2826000,-5524000,-5055000,4000,-1619000,644000,-1805000
74,Depreciation and Amortization,400000,700000,1000000,1400000,1300000,1300000,1800000,2959060,4790000,5228000,4528000,3924000,3160000,3437000,3156000,3702000,3713000,3703000,3414000,3897000,3653000,3046000,2773000,3195000,3674000,3374000,2922000,2266000,2869000
75,Deferred Income Tax,- -,- -,200000,-200000,400000,-500000,-200000,574000,-463000,30000,-2000,815000,215000,-222000,-87000,-3582000,-607000,-1617000,-767000,-762000,4617000,-383000,-157000,-159000,-255000,175000,-313000,-618000,88000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,220000,204000,256000,815000,977000,935000,1156000,1326000,1162000,695000,796000,836000,913000,1750000
77,Change in Working Capital,-1200000,- -,- -,4800000,-2700000,2600000,1300000,3505865,-651865,-284000,3413000,10226000,-777000,-7800000,2697000,6478000,9782000,-6501000,2060000,4636000,-3940000,-3077000,-808000,-10552000,-4678000,3252000,2692000,1616000,2322000
78,Accounts Receivable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3344000,912000,3693000,-12894000,7389000,2441000,1874000,1043000,17000,-40000,-533000,1216000,-481000,-1872000
79,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
80,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-920000,208000,-406000,673000,90000,-999000,160000,132000,-1749000,1595000,-779000,-589000,155000,4441000
81,Other Working Capital,- -,- -,- -,4800000,2100000,4700000,6000000,9505865,8854000,8570000,11983000,22209000,21432000,13632000,16329000,22807000,32589000,26088000,28148000,32784000,28844000,25767000,24959000,14407000,9729000,12981000,926000,778000,-1730000
82,Other Non-Cash Items,100000,-100000,-2000000,-4500000,6300000,-3200000,-2100000,-820038,-183135,3241000,-7732000,-7153000,189000,8454000,-4335000,-9898000,-8310000,9764000,-12973000,1544000,5988000,4845000,2351000,9143000,6357000,-3997000,335000,839000,-73000
83,Cash Provided by Operating Activities,-300000,900000,700000,900000,1100000,2500000,2900000,12387101,4840000,3050000,682000,15669000,1136000,-3454000,5997000,4504000,12095000,4858000,-2980000,17765000,621000,4613000,2659000,-2735000,738000,3604000,4853000,5660000,5151000
84,CAPEX,-1800000,-800000,-1200000,-1200000,-1000000,-1000000,-3900000,-7403446,-5568000,-1162000,-2408000,-2051000,-2335000,-2329000,-4449000,-2452000,-2168000,-1872000,-5886000,-6845000,-3780000,-2033000,-697000,-2740000,-3410000,-2033000,-1769000,-1414000,-4368000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,-796000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3375000,- -,-4228000,- -,- -,- -,- -,- -
86,Purchases of Investments,-1400000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13875000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
87,Sales/Maturities of Investments,- -,- -,- -,1200000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3091000,- -,- -,- -,- -,- -,- -,- -,- -
88,Other Investing Activites,100000,-500000,- -,-400000,- -,200000,- -,- -,- -,- -,-1000000,1000000,- -,- -,- -,-2452000,-2168000,-1872000,2161000,-4108000,-3780000,-2033000,-697000,-2740000,-3410000,-2033000,-1769000,-1375000,-4368000
89,Cash Used for Investing Activites,-3100000,-1300000,-1200000,-400000,-1000000,-800000,-3900000,-7403446,-6364000,-1162000,-3408000,-1051000,-2335000,-2329000,-4449000,-2452000,-2168000,-15747000,2161000,-4108000,-689000,-5408000,-697000,-6968000,-3410000,-2033000,-1769000,-1375000,-4368000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1129000,-784000,-699000,-585000,-195000,-677000,-788000,-930000,-703000,-1077000,-2025000,-1038000,-864000,- -
91,Common Stock Issued,6800000,- -,- -,100000,- -,- -,900000,701127,390000,110000,571000,1082000,1297000,356000,455000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-1639000,-360000,- -,- -,- -,-319000,- -,-1870000,- -,-772000,-1327000,- -,- -,- -,-200000,-134000,- -,- -,-1843000,- -,- -
93,Dividends Paid,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
94,Other Financing Activites,-500000,-200000,-300000,- -,-200000,-100000,- -,-24817,- -,-650000,-49000,-88000,-702000,-716000,-849000,71000,3462000,- -,- -,574000,72000,1210000,- -,- -,793000,-2000,11000,3176000,773000
95,Cash Used/Provided by Financing Activities,6300000,-200000,-300000,- -,-200000,-100000,900000,676310,-1249000,-900000,522000,994000,595000,-679000,-394000,-2928000,2678000,-1471000,-1912000,379000,-605000,422000,-1130000,-837000,-284000,-2027000,-2870000,2312000,773000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-163000,-140000,-196000,191000,-82000,-209000,102000,-227000
97,Net Change In Cash,6300000,-200000,-300000,- -,- -,- -,-100000,5659965,-2773000,988000,-2204000,15612000,-604000,-6462000,1154000,-876000,12605000,-12360000,-2731000,14036000,-673000,-536000,692000,-10736000,-2765000,-538000,5000,6699000,1329000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,3400000,9040207,6267000,7255000,5051000,20663000,20059000,13597000,14751000,13875000,26480000,14120000,11389000,25425000,24752000,24216000,24908000,14172000,11407000,10869000,10874000,17573000,18902000
99,Cash at the Beginning of Period,200000,3000000,2400000,1600000,2100000,2000000,3500000,3380242,9040000,6267000,7255000,5051000,20663000,20059000,13597000,14751000,13875000,26480000,14120000,11389000,25425000,24752000,24216000,24908000,14172000,11407000,10869000,10874000,17573000
100,Free Cash Flow,-2100000,100000,-500000,-300000,100000,1500000,-1000000,4983655,-728000,1888000,-1726000,13618000,-1199000,-5783000,1548000,2052000,9927000,2986000,-8866000,10920000,-3159000,2580000,1962000,-5475000,-2672000,1571000,3084000,4246000,783000
