,https://roic.ai/company/IPAR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822663/000088981296000303/0000889812-96-000303-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822663/000114420407013234/0001144204-07-013234-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420408014388/0001144204-08-014388-index.htm,- -,https://www.sec.gov/Archives/edgar/data/822663/000114420410012581/0001144204-10-012581-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420411013508/0001144204-11-013508-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420412014284/0001144204-12-014284-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420413014616/0001144204-13-014616-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420414014887/0001144204-14-014887-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420415015369/0001144204-15-015369-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420416087700/0001144204-16-087700-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420417014248/0001144204-17-014248-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000161577418001852/0001615774-18-001852-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000161577419003459/0001615774-19-003459-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000121390020005153/0001213900-20-005153-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000121390021012513/0001213900-21-012513-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000175392622000273/0001753926-22-000273-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,1500000,1500000,1100000,1800000,4800000,9900000,5300000,14200000,20200000,18700000,23400000,24900000,27599000,28562000,38290000,58958000,40972000,42132000,58247000,90034000,42404000,100467000,37548000,35856000,307335000,125650000,90138000,176967000,161828000,208343000,193136000,192417000,169681000,159613000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400000,- -,- -,- -,- -,- -,17400000,12800000,- -,- -,- -,49391000,- -,- -,181677000,190152000,82847000,94202000,69899000,67870000,60714000,126627000,160014000
33,Cash and Short-Term Investments,- -,1500000,1500000,1100000,1800000,4800000,9900000,5300000,14200000,20200000,18700000,23400000,29300000,27599000,28562000,38290000,58958000,40972000,59532000,71047000,90034000,42404000,100467000,86939000,35856000,307335000,307327000,280290000,259814000,256030000,278242000,261006000,253131000,296308000,319627000
34,Net Receivables,900000,1000000,1400000,3200000,9700000,11700000,18200000,21800000,23900000,26200000,26900000,28600000,26900000,31341000,34800000,44457000,66208000,78629000,84454000,113102000,124236000,125042000,104563000,101281000,179885000,153842000,88785000,92595000,97604000,112878000,126622000,139342000,135233000,128678000,159281000
35,Inventory,1000000,1000000,1000000,1900000,6600000,12700000,18000000,24600000,26100000,23300000,21700000,21900000,19500000,25340000,27645000,32198000,54255000,61066000,48631000,69537000,106022000,123633000,85428000,109840000,164077000,142614000,117347000,102326000,98346000,96977000,137058000,160978000,167809000,158822000,198914000
36,Other Current Assets,- -,200000,100000,200000,400000,1400000,1100000,2800000,3300000,3000000,1600000,2200000,2000000,2243000,2722000,3221000,3019000,3535000,7224000,8631000,9553000,13422000,12178000,11865000,11528000,19029000,12032000,11352000,12993000,14330000,7356000,8076000,17123000,16912000,31893000
37,Total Current Assets,1900000,3700000,4000000,6400000,18500000,30600000,47200000,54500000,67500000,72700000,68900000,76100000,77700000,86523000,93729000,118166000,182440000,184202000,199841000,262317000,329845000,304501000,302636000,309925000,391346000,622820000,525491000,486563000,468757000,480215000,549278000,569402000,573296000,600720000,709715000
38,PP&E,- -,- -,100000,200000,600000,700000,800000,1200000,2000000,1700000,2100000,3000000,3100000,3162000,3896000,4213000,4967000,6448000,5835000,6806000,7262000,7670000,9191000,11207000,14525000,12289000,10444000,9187000,9333000,10076000,10330000,9839000,39466000,44314000,183080000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4978000,6715000,5470000,3927000,3654000,2763000,954000,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,1700000,12400000,12600000,9300000,8000000,7700000,5800000,4539000,3842000,6745000,6323000,39314000,34612000,58342000,101577000,104922000,101799000,111402000,105750000,113041000,116243000,98531000,201335000,183868000,200495000,204325000,201983000,214108000,214047000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,1700000,12400000,12600000,9300000,8000000,7700000,5800000,4539000,3842000,6745000,6323000,39314000,34612000,63320000,108292000,110392000,105726000,115056000,108513000,113995000,116243000,98531000,201335000,183868000,200495000,204325000,201983000,214108000,214047000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,9658000,9299000,8004000,8041000,7936000
44,Other Non-Current Assets,300000,100000,100000,100000,600000,500000,200000,1400000,1900000,1900000,1300000,900000,600000,347000,1072000,246000,271000,521000,622000,602000,653000,2574000,1535000,1917000,1650000,10816000,11880000,10225000,8234000,8250000,8011000,6302000,6083000,22962000,30586000
45,Total Non-Current Assets,300000,100000,200000,300000,1200000,1200000,2700000,15000000,16500000,12900000,11400000,11600000,9500000,8048000,8810000,11204000,11561000,46283000,41069000,70728000,116207000,120636000,116452000,128180000,124688000,137100000,138567000,117943000,218902000,202194000,228494000,229765000,255536000,289425000,435649000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,2200000,3800000,4200000,6700000,19700000,31800000,49900000,69500000,84000000,85600000,80300000,87700000,87200000,94571000,102539000,129370000,194001000,230485000,240910000,333045000,446052000,425137000,419088000,438105000,516034000,759920000,664058000,604506000,687659000,682409000,777772000,799167000,828832000,890145000,1145364000
48,Accounts Payable,- -,- -,- -,- -,8200000,8800000,9000000,14600000,15000000,14700000,17600000,14300000,18400000,18224000,15510000,20007000,45152000,30730000,40359000,58748000,88297000,66236000,48138000,52694000,112726000,73113000,56736000,46646000,50636000,49507000,52609000,58328000,54098000,35576000,81980000
49,Short-Term Debt,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4400000,- -,- -,1794000,121000,5107000,4764000,10247000,23432000,27333000,16753000,16340000,16306000,27776000,6104000,298000,22163000,21498000,24372000,23155000,17682000,19703000,12028000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1646000,7905000,2099000,84030000,1270000,3773000,7359000,3331000,1722000,4396000,5865000,5297000,210000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,1400000,700000,700000,1900000,3000000,4500000,6200000,8700000,11200000,11500000,6400000,12200000,2500000,10611000,10015000,12537000,21197000,18499000,23634000,54775000,39556000,36806000,40082000,57297000,56584000,155251000,63307000,56684000,58284000,71233000,90126000,105494000,112685000,100926000,150902000
53,Total Current Liabilities,1400000,700000,700000,1900000,11200000,13300000,15200000,23300000,26200000,26200000,24000000,26500000,25300000,28835000,25525000,34338000,66470000,54336000,68757000,123770000,151285000,130375000,104973000,126331000,185616000,256140000,126147000,103628000,131083000,142238000,167107000,186977000,184465000,156205000,244910000
54,Long-Term Debt,200000,100000,- -,300000,300000,- -,400000,900000,600000,500000,400000,200000,1500000,1417000,1366000,- -,- -,15258000,9437000,6555000,43518000,27691000,17862000,5039000,- -,- -,- -,- -,76443000,53064000,36207000,22906000,10734000,10136000,132902000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,684000,739000,650000,1417000,2839000,1783000,2111000,4664000,11562000,8840000,6789000,6068000,3799000,2555000,2154000,3746000,3449000,3821000,3538000,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,-100000,- -,- -,- -,- -,-100000,-100000,100000,- -,- -,- -,- -,- -,- -,838000,743000,1262000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24635000,21354000,29220000
58,Total Non-Current Liabilities,200000,100000,- -,200000,300000,- -,400000,900000,500000,400000,500000,200000,1500000,2101000,2105000,650000,1417000,18935000,11963000,9928000,48182000,39253000,26702000,11828000,6068000,3799000,2555000,2154000,80189000,56513000,40028000,26444000,35369000,31490000,162122000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,29991000,26487000,- -
