,https://roic.ai/company/IPAR,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
81,Other Working Capital,- -,3000000,3300000,4500000,7300000,17300000,32000000,31200000,41300000,46500000,44900000,49600000,52400000,57688000,68204000,83828000,115970000,129866000,131084000,138547000,178560000,174126000,197663000,183594000,205730000,366680000,399344000,382935000,337674000,337977000,382171000,382425000,388831000,444515000,464805000
82,Other Non-Cash Items,- -,-500000,-400000,-3400000,-5300000,-17700000,-25300000,-5300000,-17600000,-4500000,7300000,-3500000,3000000,-14479000,-13815000,-15339000,-30346000,-38125000,10796000,-18028000,-32687000,-39802000,29905000,19796000,-91284000,-239928000,-39473000,13121000,54214000,5765000,-63313000,-4084000,4000,-41587000,-25817000
83,Cash Provided by Operating Activities,- -,- -,400000,-1200000,-300000,-3100000,-3100000,2100000,2800000,8000000,12100000,7400000,12600000,236000,6956000,12740000,19346000,-4383000,30380000,13367000,38517000,-6428000,84640000,37845000,-23721000,60641000,49194000,36613000,50084000,54564000,35891000,63041000,76452000,64993000,119586000
84,CAPEX,- -,- -,-100000,-200000,-300000,-400000,-500000,-700000,-1200000,-400000,-1100000,-1600000,-1400000,-1580000,-2453000,-1317000,-2545000,-3254000,-2429000,-8494000,-61103000,-4898000,-6301000,-28294000,-14551000,-29191000,-12784000,-4224000,-123946000,-5742000,-4069000,-12465000,-11494000,-12262000,-141274000
85,Acquisitions Net,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3225000,- -,-4481000,- -,- -,-10984000,-18493000,2658000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-13998000,- -
86,Purchases of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-3800000,-3671000,- -,- -,- -,- -,-2300000,-6700000,-300000,-5144000,- -,-112495000,-10823000,- -,-381843000,-245810000,-62415000,-57289000,-31874000,-10030000,-38958000,-7582000,-55691000
87,Sales/Maturities of Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8325000,- -,- -,- -,- -,2500000,11300000,13100000,5144000,- -,63510000,62111000,- -,207082000,212762000,151771000,42604000,66981000,8859000,44814000,11513000,10644000
88,Other Investing Activites,- -,- -,-100000,- -,- -,-200000,-1500000,-9200000,-200000,1900000,-1000000,- -,-300000,- -,- -,158000,- -,-24465000,-280000,1131000,2879000,2695000,-775000,-22209000,-4605000,215933000,-1487000,-922000,-119788000,-965000,4840000,-8509000,-6067000,-1251000,-1545000
89,Cash Used for Investing Activites,- -,- -,-200000,-200000,-300000,-600000,-2000000,-9900000,-1400000,1500000,-2100000,-1600000,-5500000,3074000,-2453000,-4384000,-2545000,-32200000,-2509000,-2763000,-56408000,-20696000,-3643000,-77279000,36737000,206459000,-181263000,-37272000,-34590000,-20427000,36924000,-13636000,-5638000,-22329000,-187866000
90,Debt Repayment,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-21413000,-10865000,-4443000,-4379000,-21835000,- -,-11761000,-21884000,-22362000,-23487000,-22321000,-13725000,-43056000
91,Common Stock Issued,- -,- -,- -,- -,700000,- -,9400000,500000,7800000,100000,- -,- -,6000000,1277000,336000,310000,1379000,2077000,2931000,3834000,1331000,1260000,- -,- -,2756000,3396000,657000,1030000,1327000,1565000,- -,- -,- -,- -,- -
92,Common Stock Repurchased,- -,- -,- -,- -,- -,- -,- -,- -,-2900000,-3100000,-4900000,-2700000,-8400000,-2815000,-1925000,-193000,-184000,-184000,-150000,-164000,-107000,-4975000,-660000,-106000,- -,-90000,-98000,-90000,-32000,-77000,- -,- -,- -,- -,- -
93,Dividends Paid,- -,- -,- -,- -,-200000,- -,- -,- -,- -,- -,- -,- -,-100000,-135000,-197000,-1117000,-1837000,-2885000,-4111000,-3251000,-3879000,-4069000,-5690000,-8966000,-12453000,-9780000,-28331000,-14841000,-15806000,-18015000,-21192000,-26287000,-34579000,-20805000,-31690000
94,Other Financing Activites,- -,- -,-200000,900000,900000,6900000,800000,2700000,2600000,100000,-5600000,1000000,-1300000,1788000,-1130000,-1092000,-1752000,18115000,-3620000,-263000,43676000,-10938000,1648000,3994000,343000,13372000,-5973000,-8809000,108047000,-6225000,-4076000,-6108000,-11283000,15885000,152939000
95,Cash Used/Provided by Financing Activities,- -,- -,-200000,900000,1400000,6900000,10200000,3200000,7500000,-2900000,-10500000,-1700000,-3800000,115000,-2916000,-2092000,-2394000,17123000,-4950000,156000,41021000,-18722000,-26115000,-15943000,-13797000,2519000,-55580000,-22710000,81775000,-44636000,-47630000,-55882000,-68183000,-18645000,78193000
96,Effect of Forex Changes on Cash,- -,- -,- -,- -,- -,-200000,- -,- -,- -,-600000,-1000000,600000,-1600000,-762000,-624000,3464000,6261000,1474000,-4161000,5355000,8657000,-1784000,3181000,-7542000,-911000,1860000,5964000,-12143000,-10440000,-4640000,21330000,-8730000,-3350000,12245000,-11207000
97,Net Change In Cash,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1500000,2663000,963000,9728000,20668000,-17986000,18760000,16115000,31787000,-47630000,58063000,-62919000,-1692000,271479000,-181685000,-35512000,86829000,-15139000,46515000,-15207000,-719000,36264000,-1294000
98,Cash at the End of Period,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24900000,27599000,28562000,38290000,58958000,40972000,42132000,58247000,90034000,42404000,100467000,37548000,35856000,307335000,125650000,90138000,176967000,161828000,208343000,193136000,192417000,169681000,168387000
99,Cash at the Beginning of Period,- -,- -,1500000,1500000,1100000,1800000,4800000,9900000,5300000,14200000,20200000,18700000,23400000,24936000,27599000,28562000,38290000,58958000,23372000,42132000,58247000,90034000,42404000,100467000,37548000,35856000,307335000,125650000,90138000,176967000,161828000,208343000,193136000,133417000,169681000
100,Free Cash Flow,- -,- -,300000,-1400000,-600000,-3500000,-3600000,1400000,1600000,7600000,11000000,5800000,11200000,-1344000,4503000,11423000,16801000,-7637000,27951000,4873000,-22586000,-11326000,78339000,9551000,-38272000,31450000,36410000,32389000,-73862000,48822000,31822000,50576000,64958000,52731000,-21688000
101,SEC Link,undefined,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822663/000088981296000303/0000889812-96-000303-index.html,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/822663/000114420407013234/0001144204-07-013234-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420408014388/0001144204-08-014388-index.htm,- -,https://www.sec.gov/Archives/edgar/data/822663/000114420410012581/0001144204-10-012581-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420411013508/0001144204-11-013508-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420412014284/0001144204-12-014284-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420413014616/0001144204-13-014616-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420414014887/0001144204-14-014887-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420415015369/0001144204-15-015369-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420416087700/0001144204-16-087700-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000114420417014248/0001144204-17-014248-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000161577418001852/0001615774-18-001852-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000161577419003459/0001615774-19-003459-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000121390020005153/0001213900-20-005153-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000121390021012513/0001213900-21-012513-index.htm,https://www.sec.gov/Archives/edgar/data/822663/000175392622000273/0001753926-22-000273-index.htm
102,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
