,https://roic.ai/company/BIO,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,8000000,12800000,17800000,21600000,23700000,27500000,25700000,41500000,21300000,40800000,50300000,53200000,42300000,55200000,43900000,88042000,106269000,142405000,155688000,155477000,158345000,197427000,186842000,263302000,329993000,391455000,410097000,404374000,320835000,303588000,299339000,206402000,268419000,674721000,2418697000,5067599000,5573500000
16,EBITDA ratio,0.0782,0.1011,0.1116,0.1086,0.1003,0.0959,0.0827,0.1256,0.0648,0.1148,0.1268,0.1270,0.0991,0.1249,0.0799,0.1213,0.1300,0.1595,0.1552,0.1426,0.1341,0.1550,0.1279,0.1492,0.1849,0.2031,0.1978,0.1954,0.1504,0.1396,0.1482,0.0998,0.1243,0.2947,1.0463,1.9907,1.9071
17,Operating Income,8700000,11900000,16400000,19800000,21100000,24400000,22100000,14500000,10400000,36700000,39700000,41700000,26600000,31000000,48600000,66767000,112026000,137375000,145762000,108845000,115298000,146111000,135193000,182943000,230988000,284009000,295156000,257200000,169456000,149984000,166708000,53194000,116650000,-103341000,229661000,410957000,489430000
18,Operating Income ratio,0.0850,0.0940,0.1028,0.0995,0.0893,0.0851,0.0711,0.0439,0.0316,0.1033,0.1001,0.0996,0.0623,0.0702,0.0884,0.0920,0.1370,0.1539,0.1453,0.0999,0.0976,0.1147,0.0925,0.1037,0.1295,0.1474,0.1423,0.1243,0.0795,0.0690,0.0826,0.0257,0.0540,-0.0451,0.0993,0.1614,0.1675
19,Total Other Income Expenses (Gains),-2700000,-2400000,-3700000,-4600000,-5300000,-7200000,-8500000,13100000,-5700000,-12700000,-6100000,-5200000,-3800000,3200000,-32200000,-21324000,-47057000,-32970000,-32074000,-11518000,-21927000,-4084000,-14350000,-40100000,-45156000,-63726000,-59394000,-34269000,-57071000,-18427000,-20861000,-11634000,-18845000,616000000,2031420000,4496681000,4948719000
20,Income Before Tax,6000000,9500000,12700000,15200000,15800000,17200000,13600000,27600000,4700000,24000000,33600000,36500000,22800000,34200000,16400000,45443000,64969000,104405000,113688000,97327000,93371000,142027000,120843000,142843000,185832000,220283000,235762000,222931000,112385000,131557000,145847000,41560000,97805000,512659000,2261081000,4907638000,5438149000
21,Income Before Tax Ratio,0.0587,0.0750,0.0796,0.0764,0.0669,0.0600,0.0438,0.0836,0.0143,0.0675,0.0847,0.0872,0.0534,0.0774,0.0298,0.0626,0.0795,0.1170,0.1133,0.0893,0.0791,0.1115,0.0827,0.0810,0.1042,0.1143,0.1137,0.1077,0.0527,0.0605,0.0722,0.0201,0.0453,0.2239,0.9781,1.9279,1.8608
22,Income Tax expense (Gain),1700000,3400000,5000000,5700000,5700000,6500000,5400000,12000000,1900000,8400000,8400000,9100000,6400000,9900000,4700000,13633000,20790000,36542000,37517000,31035000,15792000,38764000,26548000,44579000,36667000,33348000,57739000,59084000,34574000,42712000,32754000,13435000,-24444000,147045000,502406000,1101371000,1192247000
23,Net Income,4300000,6100000,7700000,9500000,10100000,10700000,8200000,15600000,2800000,15600000,25200000,26200000,16400000,24300000,11700000,31100000,44179000,67863000,76171000,68242000,81553000,103263000,92994000,89510000,144620000,185490000,178223000,163778000,77790000,88845000,113093000,28125000,122249000,365614000,1758675000,3806267000,4245902000
24,Net Income ratio,0.0420,0.0482,0.0483,0.0478,0.0427,0.0373,0.0264,0.0472,0.0085,0.0439,0.0635,0.0626,0.0384,0.0550,0.0213,0.0428,0.0540,0.0760,0.0759,0.0626,0.0691,0.0811,0.0636,0.0507,0.0811,0.0963,0.0860,0.0791,0.0365,0.0408,0.0560,0.0136,0.0566,0.1597,0.7608,1.4952,1.4528
25,EPS,0.21,0.28,0.34,0.41,0.45,0.46,0.34,0.66,0.12,0.64,1.03,1.06,0.67,0.99,0.48,1.27,1.79,2.70,3.00,2.65,3.13,3.92,3.49,3.32,5.28,6.70,6.36,5.98,2.72,3.08,3.87,0.96,3.87,12.10,58.93,127.86,142.63
26,EPS Diluted,0.21,0.28,0.34,0.41,0.45,0.46,0.34,0.66,0.12,0.64,1.03,1.06,0.66,0.98,0.48,1.26,1.74,2.61,2.90,2.58,3.06,3.83,3.41,3.25,5.20,6.59,6.26,5.91,2.69,3.05,3.85,0.95,3.82,11.94,58.27,126.20,140.78
27,Weighted Average Shares Outstanding,20000000,21785714,22647059,22891566,22696629,23516484,23768116,23816794,24347826,24225000,24411000,24546000,24520000,24528000,24220000,24422000,24648000,25104000,25416000,25724000,26063000,26376000,26684000,27001000,27404000,27665000,28031000,28290000,28586000,28876000,29186000,29440000,29655000,29836000,29843000,29768000,29768000
28,Weighted Average Shares Outstanding Diluted,20000000,21785714,22647059,22891566,22696629,23516484,23768116,23816794,24347826,24255319,24411000,24947368,24788000,24716000,24330000,24568000,25442000,26021000,26310000,26489000,26662000,26949000,27260000,27527000,27828000,28151000,28468000,28642000,28906000,29133000,29409000,29646000,30034000,30228000,30184000,30160000,30160000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12208/0000012208-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220897000003/0000012208-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220898000001/0000012208-98-000001-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220899000001/0000012208-99-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/12208/000001220801500015/0000012208-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220802000003/0000012208-02-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/12208/000001220805000010/f10k123104.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220806000009/f10k123105.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220807000011/f10k123106.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220808000008/f10k12312007.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220809000011/0000012208-09-000011-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220810000013/0000012208-10-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/12208/000001220812000008/0000012208-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220813000007/0000012208-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220814000020/a10k123113.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220815000012/a10k123114.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220816000053/0000012208-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220817000012/0000012208-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220818000014/a10k123117.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220819000014/0000012208-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220820000012/0000012208-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220821000012/0000012208-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220822000011/0000012208-22-000011-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,6000000,2100000,1900000,4000000,2900000,2000000,4800000,2700000,3100000,3800000,14800000,9400000,10800000,10100000,17100000,13954000,47129000,27733000,148642000,195734000,296716000,223607000,161764000,204524000,649938000,906551000,574231000,463388000,331551000,413251000,457549000,456264000,383824000,431526000,660672000,662205000,470783000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,165899000,116343000,264473000,61977000,38950000,94876000,118636000,238884000,457685000,277369000,284384000,328718000,383176000,371154000,413270000,453973000,328913000,399135000
33,Cash and Short-Term Investments,6000000,2100000,1900000,4000000,2900000,2000000,4800000,2700000,3100000,3800000,14800000,9400000,10800000,10100000,17100000,13954000,47129000,27733000,148642000,361633000,413059000,488080000,223741000,243474000,744814000,1025187000,813115000,921073000,608920000,697635000,786267000,839440000,754978000,844796000,1114645000,991118000,869918000
34,Net Receivables,23100000,28600000,39400000,46700000,59200000,70500000,76200000,76200000,75800000,81700000,92100000,97800000,97000000,106000000,193900000,182242000,194400000,212282000,234085000,261243000,247192000,292970000,358076000,339653000,345734000,387996000,398674000,398739000,422660000,377640000,391485000,372348000,464847000,392443000,392672000,419424000,423537000
35,Inventory,21300000,26000000,37400000,44200000,53200000,63200000,72100000,82400000,72100000,73300000,75400000,69700000,91400000,92400000,126300000,132519000,139179000,166372000,190258000,205512000,212342000,253045000,321015000,375616000,351206000,398100000,433510000,448370000,501291000,470997000,490224000,524961000,594804000,583815000,554007000,622253000,572239000
36,Other Current Assets,3500000,6400000,6700000,6800000,8700000,11500000,13700000,20000000,18600000,19500000,19300000,21600000,28200000,26900000,41400000,40953000,50120000,59409000,97893000,82836000,135618000,95682000,126142000,135198000,120920000,164063000,152856000,161750000,214985000,170095000,109620000,107775000,162020000,202424000,118831000,107040000,123394000
37,Total Current Assets,53900000,63100000,85400000,101700000,124000000,147200000,166800000,181300000,169600000,178300000,201600000,198500000,227400000,235400000,378700000,369668000,430828000,465796000,670878000,911224000,1008211000,1129777000,1028974000,1093941000,1562674000,1975346000,1798155000,1929932000,1747856000,1716367000,1777596000,1844524000,1976649000,2023478000,2180155000,2139835000,1989088000
38,PP&E,13800000,33900000,40400000,44000000,50100000,56400000,76500000,82500000,80900000,75600000,73000000,71900000,78700000,82100000,125900000,119032000,132974000,142235000,179123000,202324000,180258000,189627000,271561000,300732000,302417000,333617000,349501000,416938000,429355000,428836000,437690000,488614000,493496000,508690000,701207000,693507000,695750000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,119492000,328439000,321820000,327626000,363981000,468933000,495400000,517800000,500400000,495900000,477100000,506100000,219800000,224100000,291900000,347300000
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27700000,18600000,105400000,90970000,75873000,69519000,69503000,171914000,141725000,44605000,210304000,228590000,204779000,203881000,259497000,260900000,266200000,254200000,214000000,161600000,174100000,133100000,145300000,199500000,253900000
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,27700000,18600000,105400000,90970000,75873000,69519000,69503000,171914000,141725000,164097000,538743000,550410000,532405000,567862000,728430000,756300000,784000000,754600000,709900000,638700000,680200000,352900000,369400000,491400000,601200000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,294000000,377870000,389309000,719840000,830790000,1027736000,2655709000,4638205000,9561140000,14387006000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,26544000,14003000,9100000,20429000,12361000,13272000,12976000,11189000,15477000,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,3800000,4600000,6200000,9600000,10300000,9600000,9800000,8900000,9400000,9800000,10500000,14500000,18100000,31200000,58900000,66608000,44353000,43153000,67354000,79996000,82385000,103567000,111887000,79820000,125085000,172963000,209528000,24049000,49709000,52097000,66442000,47852000,94931000,70291000,79636000,86723000,102669000
45,Total Non-Current Assets,17600000,38500000,46600000,53600000,60400000,66000000,86300000,91400000,90300000,85400000,83500000,86400000,124500000,131900000,290200000,276610000,253200000,254907000,315980000,480778000,418371000,466391000,942620000,943323000,973179000,1087418000,1298648000,1506764000,1640934000,1624842000,1933872000,2005956000,2296363000,3587590000,5788448000,10832770000,15786625000
46,Other Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,31573332000
47,Total Assets,71500000,101600000,132000000,155300000,184400000,213200000,253100000,272700000,259900000,263700000,285100000,284900000,351900000,367300000,668900000,646278000,684028000,720703000,986858000,1392002000,1426582000,1596168000,1971594000,2037264000,2535853000,3062764000,3096803000,3436696000,3388790000,3341209000,3711468000,3850480000,4273012000,5611068000,7968603000,12972605000,17775795000
48,Accounts Payable,- -,- -,- -,- -,16600000,18600000,17500000,18900000,14700000,21100000,19900000,21300000,32400000,26700000,64700000,62965000,64903000,75233000,53995000,71194000,72950000,83411000,96470000,117982000,92988000,113440000,129124000,130867000,148510000,128608000,122391000,296473000,135182000,122450000,107014000,139451000,141941000
49,Short-Term Debt,8600000,10600000,18700000,16400000,25500000,28200000,31700000,36400000,30800000,21600000,14300000,5600000,10800000,9400000,22000000,18146000,9931000,7486000,10423000,9457000,3341000,3042000,15627000,9578000,5132000,233181000,814000,1750000,1786000,265000,298000,334000,420000,493000,461537000,38305000,36924000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,33731000,42322000,50935000,52285000,32299000,33555000,35165000,29339000,28124000,39941000,56188000,36285000,57335000,46299000
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,24322000,26288000,26390000,26716000,29683000,31003000,28233000,26936000,33735000,42468000,50852000
52,Other Current Liabilities,15300000,22100000,26700000,37000000,32200000,37800000,42900000,43100000,41900000,47200000,55600000,52200000,57600000,61100000,115800000,108197000,124272000,139290000,169908000,234724000,242952000,233080000,302071000,290474000,321852000,320006000,304855000,311015000,310786000,291172000,288979000,143512000,338861000,300916000,303209000,411312000,451221000
53,Total Current Liabilities,23900000,32700000,45400000,53400000,74300000,84600000,92100000,98400000,87400000,89900000,89800000,79100000,100800000,97200000,202500000,189308000,199106000,222009000,234326000,315375000,319243000,319533000,414168000,418034000,419972000,666627000,459115000,469920000,487472000,446761000,441351000,471322000,502696000,450795000,905495000,631536000,680938000
54,Long-Term Debt,16300000,21100000,32100000,36700000,35000000,42700000,64900000,57900000,47800000,26300000,20900000,6700000,39000000,42300000,239200000,203360000,188423000,105768000,225835000,425979000,425687000,425625000,441805000,445979000,737919000,731100000,731698000,732414000,435615000,435710000,435707000,434186000,434581000,438937000,13579000,187386000,186452000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
56,Deferred Tax Liabilities,1500000,4500000,4300000,5700000,6200000,4700000,5300000,9400000,14400000,17700000,17300000,15600000,15500000,13400000,7000000,8992000,12622000,9839000,13991000,24772000,- -,7512000,51215000,42570000,42894000,59738000,85522000,115054000,162110000,154917000,233475000,222919000,222209000,553239000,997787000,2076785000,3059080000
57,Other Non-Current Liabilities,-100000,- -,100000,- -,- -,100000,- -,-100000,- -,- -,- -,- -,-100000,100000,100000,- -,- -,- -,16899000,28988000,23678000,23960000,58282000,89950000,55855000,64780000,76086000,108095000,116871000,118735000,110506000,135318000,183276000,147766000,336941000,196971000,182191000
58,Total Non-Current Liabilities,17700000,25600000,36500000,42400000,41200000,47500000,70200000,67200000,62200000,44000000,38200000,22300000,54400000,55800000,246300000,212352000,201045000,115607000,256725000,479739000,449365000,457097000,551302000,578499000,836668000,855618000,893306000,955563000,714596000,709362000,779688000,792423000,840066000,1139942000,1348307000,2461142000,3427723000
59,Other Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,211383000,211635000,212373000
61,Total Liabilities,41600000,58300000,81900000,95800000,115500000,132100000,162300000,165600000,149600000,133900000,128000000,101400000,155200000,153000000,448800000,401660000,400151000,337616000,491051000,795114000,768608000,776630000,965470000,996533000,1256640000,1522245000,1352421000,1425483000,1202068000,1156123000,1221039000,1263745000,1342762000,1590737000,2253802000,3092678000,4108661000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12500000,12478000,2000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000
64,Retained Earnings,16000000,21800000,28500000,37700000,46700000,57300000,64200000,81300000,84100000,99700000,124900000,151000000,167200000,189800000,201000000,231821000,276554000,344841000,421012000,489254000,570807000,674070000,762067000,851577000,996197000,1181687000,1359910000,1523688000,1606117000,1694962000,1808055000,1836180000,1830439000,3722073000,5470779000,9268012000,13507241000
65,Other Comprehensive Income/Loss,-5200000,-9200000,-13700000,-19600000,-24900000,-35200000,-44300000,-52400000,-62200000,-74800000,-86400000,-96100000,-100000000,-116000000,-124600000,-136171000,-143199000,2102000,32628000,58003000,27052000,67235000,110991000,64750000,133082000,198020000,198690000,274901000,340717000,218945000,382138000,417766000,738794000,-46958000,-87348000,282456000,-175553000
66,Other Total Stockholders Equity,19100000,30700000,35300000,41400000,47100000,59000000,70900000,78200000,88400000,104900000,118600000,128600000,129500000,140500000,131200000,136490000,150520000,36141000,42164000,49628000,60112000,78230000,98629000,124401000,130444000,156986000,185334000,212143000,239885000,271245000,300307000,332810000,361014000,345213000,371623000,329469000,335443000
67,Total Stockholders Equity,29900000,43300000,50100000,59500000,68900000,81100000,90800000,107100000,110300000,129800000,157100000,183500000,196700000,214300000,220100000,244618000,283877000,383087000,495807000,596888000,657974000,819538000,971690000,1040731000,1259726000,1536696000,1743937000,2010735000,2186722000,2185155000,2490503000,2586759000,2930250000,4020331000,5755057000,9879940000,13667134000
68,Total Liabilities And Stockholders Equity,71500000,101600000,132000000,155300000,184400000,213200000,253100000,272700000,259900000,263700000,285100000,284900000,351900000,367300000,668900000,646278000,684028000,720703000,986858000,1392002000,1426582000,1596168000,1937160000,2037264000,2516366000,3058941000,3096358000,3436218000,3388790000,3341278000,3711542000,3850504000,4273012000,5611068000,8008859000,12972618000,17775795000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,34434000,- -,19487000,3823000,445000,478000,- -,-69000,-74000,-24000,- -,- -,-40256000,-13000,- -
70,Total Liabilities & Equity,71500000,101600000,132000000,155300000,184400000,213200000,253100000,272700000,259900000,263700000,285100000,284900000,351900000,367300000,668900000,646278000,684028000,720703000,986858000,1392002000,1426582000,1596168000,1971594000,2037264000,2535853000,3062764000,3096803000,3436696000,3388790000,3341209000,3711468000,3850480000,4273012000,5611068000,7968603000,12972605000,17775795000
71,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/12208/0000012208-96-000001-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220897000003/0000012208-97-000003-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220898000001/0000012208-98-000001-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220899000001/0000012208-99-000001-index.html,- -,https://www.sec.gov/Archives/edgar/data/12208/000001220801500015/0000012208-01-500015-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220802000003/0000012208-02-000003-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/12208/000001220805000010/f10k123104.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220806000009/f10k123105.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220807000011/f10k123106.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220808000008/f10k12312007.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220809000011/0000012208-09-000011-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220810000013/0000012208-10-000013-index.html,- -,https://www.sec.gov/Archives/edgar/data/12208/000001220812000008/0000012208-12-000008-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220813000007/0000012208-13-000007-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220814000020/a10k123113.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220815000012/a10k123114.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220816000053/0000012208-16-000053-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220817000012/0000012208-17-000012-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220818000014/a10k123117.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220819000014/0000012208-19-000014-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220820000012/0000012208-20-000012-index.html,https://www.sec.gov/Archives/edgar/data/12208/000001220821000012/0000012208-21-000012-index.htm,https://www.sec.gov/Archives/edgar/data/12208/000001220822000011/0000012208-22-000011-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,10100000,10700000,8200000,15600000,2800000,15600000,25200000,26200000,16400000,24300000,11700000,31100000,44179000,67863000,76171000,68242000,81553000,103263000,92994000,89510000,144620000,185490000,178223000,163778000,77790000,88845000,113093000,28125000,122249000,365614000,1758675000,3806267000,4245902000
74,Depreciation and Amortization,- -,- -,- -,- -,7900000,10300000,12100000,13900000,16600000,16800000,16700000,17900000,19500000,21000000,27500000,43309000,41300000,38000000,42000000,56200000,61000000,55400000,67300000,97100000,101682000,108900000,121000000,130400000,147200000,149900000,131800000,142900000,148700000,138100000,134200000,138100000,133800000
75,Deferred Income Tax,- -,- -,- -,- -,-300000,-1700000,600000,-2800000,3400000,3900000,-1300000,-4900000,-1300000,-5300000,-16900000,3383000,-1700000,12700000,-8000000,2500000,-15000000,1200000,-5900000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,7300000,- -,10200000,10700000,13200000,13700000,14900000,17000000,19700000,23400000,27800000,35600000,41600000,51200000
77,Change in Working Capital,- -,- -,- -,- -,-6400000,12100000,8200000,-700000,6200000,23400000,7600000,7200000,11600000,38000000,4160000,51362000,12065000,192765000,159297000,93119000,121276000,-195438000,61101000,466795000,166017000,30321000,120972000,-199628000,9222000,66639000,36957000,100751000,98730000,-298023000,233639000,308071000,1142200000
