,https://roic.ai/company/WWE,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
16,EBITDA ratio,- -,0.0840,0.2278,0.2010,0.1314,0.1789,0.0029,0.2399,0.1888,0.2167,0.2355,0.1574,0.1982,0.1966,0.1085,0.1513,0.1120,0.0278,0.1546,0.1668,0.1949,0.2126,0.2186,0.3075,0.3231
17,Operating Income,- -,10469000,57400000,84691000,85741000,42124000,27027000,73580000,50293000,70540000,68433000,70287000,77133000,82258000,37019000,43195000,5891000,-42157000,38794000,55641000,75578000,114478000,116510000,208544000,259017000
18,Operating Income ratio,- -,0.0829,0.2282,0.2233,0.1880,0.0991,0.0722,0.1963,0.1373,0.1763,0.1409,0.1335,0.1623,0.1722,0.0765,0.0892,0.0116,-0.0777,0.0589,0.0763,0.0944,0.1231,0.1213,0.2141,0.2365
19,Total Other Income Expenses (Gains),- -,-1540000,-2000000,-10993000,14300000,17418000,331000,6414000,6066000,7356000,8041000,-931000,2297000,-318000,-138000,-511000,-1288000,-7147000,-2568000,-2428000,-11518000,-8441000,-21832000,-37435000,-26155000
20,Income Before Tax,- -,8929000,55400000,73698000,100041000,59542000,27358000,79994000,56359000,77896000,76474000,69356000,79430000,81940000,36881000,42684000,4603000,-49304000,36226000,53213000,64060000,106037000,94678000,171109000,232862000
21,Income Before Tax Ratio,- -,0.0707,0.2203,0.1943,0.2194,0.1401,0.0731,0.2134,0.1538,0.1947,0.1575,0.1317,0.1672,0.1715,0.0762,0.0882,0.0091,-0.0909,0.0550,0.0730,0.0800,0.1140,0.0986,0.1756,0.2126
22,Income Tax expense (Gain),- -,463000,22200000,14790000,37144000,21947000,10996000,30421000,18581000,30884000,24337000,23940000,29127000,28488000,12049000,11252000,1839000,-19232000,12082000,19372000,31420000,6449000,17617000,39338000,52454000
23,Net Income,- -,8466000,33200000,58908000,15987000,42233000,-19195000,48192000,39147000,47047000,52137000,45416000,50303000,53452000,24832000,31432000,2764000,-30072000,24144000,33841000,32640000,99588000,77061000,131771000,180408000
24,Net Income ratio,- -,0.0671,0.1320,0.1553,0.0351,0.0994,-0.0513,0.1285,0.1068,0.1176,0.1074,0.0863,0.1059,0.1119,0.0513,0.0649,0.0054,-0.0554,0.0367,0.0464,0.0408,0.1071,0.0802,0.1353,0.1647
25,EPS,- -,0.15,0.59,0.94,0.22,0.58,-0.27,0.70,0.57,0.68,0.73,0.62,0.68,0.72,0.33,0.42,0.04,-0.40,0.32,0.44,0.43,1.28,0.99,1.70,2.32
26,EPS Diluted,- -,0.15,0.59,0.94,0.22,0.58,-0.27,0.70,0.56,0.67,0.72,0.62,0.68,0.71,0.33,0.42,0.04,-0.40,0.32,0.44,0.42,1.12,0.85,1.56,2.14
27,Weighted Average Shares Outstanding,- -,56440000,56271186,62668085,72668182,72815517,71092593,68621000,68617000,69361000,71616000,72889000,73765000,74570000,74212000,74600000,74900000,75477936,75700000,76100000,76700000,77500000,78200000,77600000,77600000
28,Weighted Average Shares Outstanding Diluted,- -,56440000,56271186,62668085,72668182,72832384,71092593,69036000,69376000,70176000,72301000,73523000,74286000,75306000,74858000,75000000,75400000,75477936,76300000,77500000,78500000,88600000,90200000,84200000,84200000
29,SEC Link,undefined,- -,- -,https://www.sec.gov/Archives/edgar/data/1091907/000095013000004115/0000950130-00-004115-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000095012301504803/0000950123-01-504803-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000091205702028674/0000912057-02-028674-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677403000546/0001206774-03-000546-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677404000684/0001206774-04-000684-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677405001228/0001206774-05-001228-index.html,- -,- -,https://www.sec.gov/Archives/edgar/data/1091907/000120677409000374/0001206774-09-000374-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677410000348/0001206774-10-000348-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000120677411000440/wwe_10k.htm,https://www.sec.gov/Archives/edgar/data/1091907/000120677412000891/0001206774-12-000891-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000144530513000441/0001445305-13-000441-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190714000008/wwe12311310kdoc.htm,https://www.sec.gov/Archives/edgar/data/1091907/000109190715000012/wwe12311410k.htm,https://www.sec.gov/Archives/edgar/data/1091907/000109190716000046/0001091907-16-000046-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190717000008/0001091907-17-000008-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190718000008/0001091907-18-000008-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190719000016/0001091907-19-000016-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190720000011/0001091907-20-000011-index.html,https://www.sec.gov/Archives/edgar/data/1091907/000109190721000009/0001091907-21-000009-index.htm,https://www.sec.gov/Archives/edgar/data/1091907/000109190722000018/0001091907-22-000018-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,8797000,45700000,101779000,45040000,86659000,128473000,48467000,56568000,86267000,135805000,119655000,149784000,69823000,52491000,66048000,32911000,47227000,38019000,211976000,137700000,167457000,90447000,462102000,134828000
32,Short-Term Investments,- -,- -,- -,107213000,194631000,207407000,142641000,224824000,201487000,161889000,130548000,57686000,58440000,97124000,103270000,86326000,76476000,68186000,64357000,55164000,159744000,191686000,160034000,131295000,280957000
33,Cash and Short-Term Investments,- -,8797000,45700000,208992000,239671000,294066000,271114000,273291000,258055000,248156000,266353000,177341000,208224000,166947000,155761000,152374000,109387000,115413000,102376000,267140000,297444000,359143000,250481000,593397000,415785000
34,Net Receivables,- -,- -,37500000,60424000,72337000,63835000,49730000,62703000,61901000,52113000,56597000,60133000,62732000,52051000,56741000,50716000,59552000,40088000,58437000,53155000,65245000,78925000,124771000,52007000,171196000
35,Inventory,- -,- -,2900000,2752000,4918000,1851000,839000,856000,1057000,3049000,4717000,4958000,2182000,2087000,1658000,1770000,2874000,4735000,6167000,6531000,8332000,7753000,8252000,8386000,8033000
36,Other Current Assets,- -,- -,13100000,15684000,23581000,15935000,39571000,14718000,15735000,13803000,20053000,37596000,21721000,37984000,25583000,29672000,28384000,36985000,12778000,22480000,19961000,28187000,20806000,73062000,32242000
37,Total Current Assets,- -,- -,99200000,287852000,340507000,375687000,361254000,351568000,336748000,317121000,347720000,280028000,294859000,259069000,239743000,234532000,200197000,197221000,179758000,349306000,390982000,474008000,404310000,726852000,627256000
38,PP&E,- -,26177000,28400000,41484000,83521000,91759000,59325000,71369000,66638000,67972000,77771000,92367000,84376000,80995000,96562000,102162000,133480000,114048000,105217000,132631000,131325000,148089000,485495000,485865000,495010000
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
40,Intangible Assets,- -,- -,- -,- -,- -,11588000,12055000,4492000,2608000,3328000,2302000,1184000,276000,133000,23591000,30022000,26790000,32303000,37769000,39645000,29592000,21031000,20045000,15425000,13781000
41,Intangible Assets,- -,- -,- -,- -,- -,11588000,12055000,4492000,2608000,3328000,2302000,1184000,276000,133000,23591000,30022000,26790000,32303000,37769000,39645000,29592000,21031000,20045000,15425000,13781000
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,22299000,22370000,15037000,10156000,5220000,8299000,7200000,22278000,24957000,27367000,30196000,28106000,11148000,11618000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,10915000,44709000,32556000,18984000,17138000,7217000,10052000,13100000
44,Other Non-Current Assets,- -,- -,2600000,7696000,19064000,8407000,4623000,26915000,35411000,64864000,42263000,33532000,38740000,60495000,8572000,9447000,9696000,20867000,19414000,21808000,16257000,9837000,47060000,47980000,43302000
45,Total Non-Current Assets,- -,- -,31000000,49180000,102585000,111754000,76003000,102776000,104657000,136164000,122336000,149382000,145762000,156660000,138881000,146851000,178265000,185333000,229387000,251597000,223525000,226291000,587923000,570470000,576811000
46,Other Assets,- -,59594000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
47,Total Assets,- -,59594000,130200000,337032000,443092000,487441000,437257000,454344000,441405000,453285000,470056000,429410000,440621000,415729000,378624000,381383000,378462000,382554000,409145000,600903000,614507000,700299000,992233000,1297322000,1204067000
48,Accounts Payable,- -,- -,5900000,17690000,19490000,21565000,14188000,13118000,15669000,14909000,21951000,18334000,21281000,18441000,15897000,7364000,8565000,6721000,8583000,10118000,12727000,12198000,9282000,7274000,11150000
49,Short-Term Debt,- -,- -,- -,1017000,556000,601000,777000,700000,756000,862000,927000,1002000,1082000,1169000,1262000,- -,4251000,4345000,4440000,6121000,4638000,188208000,206811000,308645000,218468000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,23414000,24662000,23512000,20843000,20166000,18012000,11875000,14603000,28323000,21709000,28611000,30112000,38652000,57152000,56653000,55818000,49173000,56941000,62887000,74633000
52,Other Current Liabilities,- -,- -,40600000,49388000,65284000,43121000,46545000,48638000,21405000,25837000,30684000,27121000,35164000,24478000,30386000,41590000,39317000,50857000,61418000,60242000,65011000,107960000,71310000,117468000,109366000
53,Total Current Liabilities,- -,- -,46500000,68095000,85330000,88701000,86172000,85968000,58673000,61774000,71574000,58332000,72130000,72411000,69254000,77565000,82245000,100575000,131593000,133134000,138194000,357539000,344344000,496274000,413617000
54,Long-Term Debt,- -,- -,11400000,10400000,9903000,9302000,9126000,7955000,7198000,5800000,4875000,3872000,2790000,1621000,359000,- -,25385000,21575000,17135000,196604000,208858000,25696000,22098000,21700000,401028000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,11528000,9881000,8234000,- -,- -,52875000,49983000,30697000,13977000,- -,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,14760000,15068000,5634000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,7316000,- -,- -,10227000,7232000,2392000,- -,- -,9092000,4884000,1668000,1117000,725000,519000,827000,350465000,390554000,8162000
58,Total Non-Current Liabilities,- -,- -,11400000,10400000,9903000,9302000,9126000,15271000,7198000,5800000,15102000,11104000,31470000,26570000,14227000,9092000,30269000,76118000,68235000,228026000,223354000,26523000,372563000,412254000,409190000
59,Other Liabilities,- -,36897000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,364567000,403167000,396689000
61,Total Liabilities,- -,36897000,57900000,78495000,95233000,98003000,95298000,101239000,65871000,67574000,86676000,69436000,103600000,98981000,83481000,86657000,112514000,176693000,199828000,361160000,361548000,384062000,716907000,908528000,822807000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,600000,682000,729000,729000,730000,684000,689000,710000,718000,729000,734000,740000,745000,748000,751000,755000,759000,764000,771000,780000,773000,778000,749000
64,Retained Earnings,- -,- -,71800000,35215000,51202000,93435000,74240000,102766000,121037000,97350000,78439000,40969000,7902000,-23728000,-47278000,-51815000,-85289000,-151828000,-164096000,-167303000,-172391000,-101326000,-133664000,-39727000,-31793000
65,Other Comprehensive Income/Loss,- -,- -,-23300000,-25890000,-31780000,-35804000,243000,-1120000,-908000,666000,2894000,1171000,2377000,3144000,3262000,4031000,3512000,3228000,3011000,2895000,2371000,1502000,2864000,2985000,2420000
66,Other Total Stockholders Equity,- -,22697000,23200000,248530000,327708000,331078000,266746000,250775000,254716000,- -,- -,317105000,326008000,336592000,338414000,341762000,346974000,353706000,369643000,403387000,422208000,415281000,405353000,424758000,- -
67,Total Stockholders Equity,- -,22697000,72300000,258537000,347859000,389438000,341959000,353105000,375534000,385711000,383380000,359974000,337021000,316748000,295143000,294726000,265948000,205861000,209317000,239743000,252959000,316237000,275326000,388794000,381260000
68,Total Liabilities And Stockholders Equity,- -,59594000,130200000,337032000,443092000,487441000,437257000,454344000,441405000,453285000,470056000,429410000,440621000,415729000,378624000,381383000,378462000,382554000,409145000,600903000,614507000,700299000,992233000,1297322000,1204067000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
70,Total Liabilities & Equity,- -,59594000,130200000,337032000,443092000,487441000,437257000,454344000,441405000,453285000,470056000,429410000,440621000,415729000,378624000,381383000,378462000,382554000,409145000,600903000,614507000,700299000,992233000,1297322000,1204067000
