,https://roic.ai/company/BX,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , 
1,Revenue,- -,318123000,1094423000,503463000,5639278000,1120279000,8441200000,-1244705000,1937009000,3580107000,3209687000,3784684000,5662941000,6526378000,4197289000,4389138000,5911231000,6860991000,7421451000,5966307000,16652351000
2,COGS,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
3,Gross Profit,- -,- -,- -,- -,- -,- -,- -,229037000,1773699000,3119342000,3252576000,- -,- -,- -,- -,- -,- -,- -,- -,6101927000,- -
4,Gross Profit Ratio,- -,- -,- -,- -,- -,- -,- -,-0.1840,0.9157,0.8713,1.0134,- -,- -,- -,- -,- -,- -,- -,- -,1.0227,- -
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,37614000,67796000,- -,182605000,86534000,476117000,503807000,450869000,492572000,591820000,582567000,501100000,579961000,655602000,572490000,599103000,673359000,697146000,724646000,928223000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",- -,37614000,67796000,- -,182605000,86534000,476117000,503807000,450869000,492572000,591820000,582567000,501100000,579961000,655602000,572490000,599103000,673359000,697146000,724646000,928223000
9,Other Expenses,- -,138570000,156294000,- -,179395000,429624000,2256647000,3859787000,3777606000,3610189000,2540609000,2187212000,2013280000,1959691000,1726939000,1434638000,1195027000,2674691000,2906290000,2624141000,2164732000
10,Operating Expenses,- -,176184000,224090000,- -,362000000,516158000,2732764000,4363594000,4228475000,4102761000,3132429000,2769779000,2514380000,2539652000,2382541000,2007128000,1794130000,3348050000,3603436000,3348787000,3092955000
11,COGS and Expenses,- -,176184000,224090000,- -,-155385000,516158000,2732764000,4363594000,4228475000,4102761000,3330245000,- -,- -,- -,- -,- -,- -,- -,- -,711782000,- -
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,22680000,36218000,37427000,1361966000,3166479000,4224815000,1705073000,2051858000,3478973000,171947000,182398000,125231000,160643000
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,32080000,23008000,13384000,41229000,57824000,490902000,1331891000,1316204000,625627000,921446000,1529419000,163990000,199648000,166162000,198268000
14,Depreciation and Amortization,- -,- -,- -,- -,- -,- -,117607000,153237000,158048000,162051000,207591000,139174000,95671000,101915000,101437000,82943000,46776000,59021000,70999000,71053000,74871000
15,EBITDA,- -,48565000,953026000,1523314000,1342923000,2298140000,1798902000,-1027776000,-444629000,-82079000,442823000,1033697000,2854406000,3293881000,1627251000,2175986000,3790172000,2014189000,2272377000,1638592000,7314937000
16,EBITDA ratio,- -,0.1527,0.8708,3.0257,0.2381,2.0514,0.2131,0.8257,-0.2295,-0.0229,0.1380,0.2731,0.5041,0.5047,0.3877,0.4958,0.6412,0.2936,0.3062,0.2746,0.4393
17,Operating Income,- -,141939000,870333000,- -,- -,604121000,317384000,- -,- -,-1024648000,-135493000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,0.4462,0.7952,- -,- -,0.5393,0.0376,- -,- -,-0.2862,-0.0422,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,-93374000,82693000,- -,-4451740000,1694019000,5391052000,-1473742000,163310000,501994000,212751000,- -,- -,- -,- -,- -,- -,- -,- -,-2772625000,- -
20,Income Before Tax,- -,48565000,953026000,- -,1342923000,2298140000,5708436000,-5608299000,-2291466000,-522654000,77258000,1014905000,3148561000,3986726000,1814748000,2382010000,4117101000,3512941000,3818015000,2617520000,13559396000
21,Income Before Tax Ratio,- -,0.1527,0.8708,- -,0.2381,2.0514,0.6763,4.5057,-1.1830,-0.1460,0.0241,0.2682,0.5560,0.6109,0.4324,0.5427,0.6965,0.5120,0.5145,0.4387,0.8143
22,Income Tax expense (Gain),- -,9119000,11949000,- -,12260000,31934000,25978000,-40989000,99230000,84669000,345711000,185023000,255642000,291173000,190398000,132362000,743147000,249390000,-47952000,356014000,1184401000
23,Net Income,- -,39446000,941077000,1523314000,1330663000,2266206000,1623237000,-1163032000,-715291000,-370028000,-168303000,218598000,1171202000,1584589000,709789000,1039235000,1470830000,1541788000,2049682000,1045363000,5857397000
24,Net Income ratio,- -,0.1240,0.8599,3.0257,0.2360,2.0229,0.1923,0.9344,-0.3693,-0.1034,-0.0524,0.0578,0.2068,0.2428,0.1691,0.2368,0.2488,0.2247,0.2762,0.1752,0.3517
25,EPS,- -,0.21,4.97,8.28,7.24,12.33,6.25,-4.38,-2.46,-1.02,-0.35,0.41,2.00,2.60,1.12,1.60,2.21,2.27,3.03,1.50,8.37
26,EPS Diluted,- -,0.21,4.97,8.28,7.24,12.33,6.25,-4.38,-2.46,-1.02,-0.35,0.41,1.98,2.58,1.04,1.56,2.21,2.26,3.03,1.50,8.37
27,Weighted Average Shares Outstanding,- -,189208003,189208003,183868331,183868331,183868331,189208003,265547930,290768699,364021369,475582718,533703606,587018828,608803111,634337179,649475264,665453198,678850245,675900466,696933548,726445206
28,Weighted Average Shares Outstanding Diluted,- -,189208003,189208003,183868331,183868331,183868331,189208003,265547930,290768699,364021369,475582718,538669070,590546640,613176405,1188085411,1195114590,666246846,1206962846,676167851,697258296,726445206
