,https://roic.ai/company/MGM,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,INCOME STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1,Revenue,207900000,213000000,176500000,146900000,50000000,57800000,742200000,721800000,804800000,827600000,773900000,1391700000,3518933000,4009618000,4031295000,3908816000,4238104000,6481967000,7175956000,7691637000,7208767000,5978589000,6019233000,7849312000,9160844000,9809663000,10081984000,9190068000,9455123000,10773904000,11763096000,12899672000,5162082000,9680140000
2,COGS,136300000,154400000,139200000,100700000,34700000,104900000,405300000,386100000,403600000,405200000,409300000,590700000,1675535000,2207341000,2195040000,2161969000,2292895000,3547059000,3813386000,4139147000,4143653000,3539306000,3757542000,5026361000,5921282000,6258716000,6368698000,5625376000,5495664000,6166006000,6918875000,7603489000,3452711000,5030609000
3,Gross Profit,71600000,58600000,37300000,46200000,15300000,-47100000,336900000,335700000,401200000,422400000,364600000,801000000,1843398000,1802277000,1836255000,1746847000,1945209000,2934908000,3362570000,3552490000,3065114000,2439283000,2261691000,2822951000,3239562000,3550947000,3713286000,3564692000,3959459000,4607898000,4844221000,5296183000,1709371000,4649531000
4,Gross Profit Ratio,0.3444,0.2751,0.2113,0.3145,0.3060,-0.8149,0.4539,0.4651,0.4985,0.5104,0.4711,0.5756,0.5239,0.4495,0.4555,0.4469,0.4590,0.4528,0.4686,0.4619,0.4252,0.4080,0.3757,0.3596,0.3536,0.3620,0.3683,0.3879,0.4188,0.4277,0.4118,0.4106,0.3311,0.4803
5,Research and Development Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
6,General and Administrative Exp.,- -,- -,- -,- -,- -,- -,158800000,167400000,150100000,137400000,154600000,462400000,981244000,711973000,705541000,694532000,697172000,1104648000,1227831000,1426361000,1278501000,2625659000,2708765000,1535758000,1474781000,1495195000,1557560000,1583655000,1691391000,1916790000,2183842000,2565859000,2582481000,2930016000
7,Selling and Marketing Exp.,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
8,"Selling, General and Administrative Exp.",53300000,37700000,55700000,45500000,22300000,64800000,158800000,167400000,150100000,137400000,154600000,462400000,981244000,711973000,705541000,694532000,697172000,1104648000,1227831000,1426361000,1278501000,2625659000,2708765000,1535758000,1474781000,1495195000,1557560000,1583655000,1691391000,1916790000,2183842000,2565859000,2582481000,2930016000
9,Other Expenses,9800000,11700000,15800000,15600000,11600000,11300000,48300000,58700000,64500000,65400000,78500000,128800000,324438000,438681000,380974000,332649000,291552000,473111000,375456000,-737801000,1915773000,689273000,633423000,817146000,929824000,862539000,855022000,891210000,989602000,1111955000,1329436000,-1366172000,1210640000,1155704000
10,Operating Expenses,63100000,49400000,71500000,61100000,33900000,76100000,207100000,226100000,214600000,202800000,233100000,591200000,1305682000,1150654000,1086515000,1027181000,988724000,1577759000,1603287000,688560000,3194274000,3314932000,3342188000,2352904000,2404605000,2357734000,2412582000,2474865000,2680993000,3028745000,3513278000,1199687000,3793121000,4085720000
11,COGS and Expenses,199400000,203800000,210700000,161800000,68600000,181000000,612400000,612200000,618200000,608000000,642400000,1181900000,2981217000,3357995000,3281555000,3189150000,3281619000,5124818000,5416673000,4827707000,7337927000,6854238000,7099730000,7379265000,8325887000,8616450000,8781280000,8100241000,8176657000,9194751000,10432153000,8803176000,7245832000,9116329000
12,Interest Income ,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,12304000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
13,Interest Expense (Gain),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,775431000,1113580000,1086832000,1116358000,857347000,817061000,797579000,694773000,668745000,769513000,847932000,676380000,799593000
14,Depreciation and Amortization,9800000,11700000,15800000,15600000,11600000,11300000,48300000,58700000,64500000,65400000,78500000,128800000,324438000,421231000,427150000,448763000,434256000,593893000,650823000,704632000,788856000,689273000,633423000,817146000,927697000,849225000,815765000,819883000,849527000,993480000,1178044000,1304649000,1210556000,1150610000
15,EBITDA,16400000,51400000,-18900000,3400000,-8500000,-106300000,122800000,105300000,132800000,241500000,188000000,269800000,594062000,698042000,893136000,809052000,1052547000,1272793000,1641017000,3046934000,119868000,-547889000,-469022000,4615302000,159063000,1581229000,1766661000,1163148000,2668039000,2489848000,2464441000,4834072000,662640000,3457988000
16,EBITDA ratio,0.0789,0.2413,-0.1071,0.0231,-0.1700,-1.8391,0.1655,0.1459,0.1650,0.2918,0.2429,0.1939,0.1688,0.1741,0.2216,0.2070,0.2484,0.1964,0.2287,0.3961,0.0166,-0.0916,-0.0779,0.5880,0.0174,0.1612,0.1752,0.1266,0.2822,0.2311,0.2095,0.3747,0.1284,0.3572
17,Operating Income,8500000,9200000,-34200000,-14900000,-18600000,-123200000,129800000,109600000,186600000,219600000,131500000,209800000,537716000,627902000,766761000,713069000,950860000,1357208000,1758248000,2863930000,-129603000,-963876000,-1080497000,-3025958000,80526000,1111512000,1323538000,-156232000,2079787000,1715492000,1469486000,3940215000,-642434000,2278699000
18,Operating Income ratio,0.0409,0.0432,-0.1938,-0.1014,-0.3720,-2.1315,0.1749,0.1518,0.2319,0.2653,0.1699,0.1508,0.1528,0.1566,0.1902,0.1824,0.2244,0.2094,0.2450,0.3723,-0.0180,-0.1612,-0.1795,-0.3855,0.0088,0.1133,0.1313,-0.0170,0.2200,0.1592,0.1249,0.3055,-0.1245,0.2354
19,Total Other Income Expenses (Gains),-1900000,30500000,-500000,2700000,16500000,12200000,5800000,-3800000,-87500000,-39300000,-22000000,-59700000,-262676000,-350313000,-300447000,-359365000,-395045000,-678308000,-780322000,-705502000,-539385000,-1048717000,-1135528000,5857589000,-1814739000,-1023747000,-912652000,-890011000,-820610000,-751737000,-835480000,-1093490000,-869045000,-816895000
20,Income Before Tax,6600000,39700000,-34700000,- -,- -,- -,- -,- -,99100000,180300000,109500000,150100000,275040000,277589000,466314000,353704000,555815000,678900000,977926000,2158428000,-668988000,-2012593000,-2216025000,2831631000,-1734213000,87765000,410886000,-1046243000,1259177000,963755000,634006000,2846725000,-1511479000,1461804000
21,Income Before Tax Ratio,0.0317,0.1864,-0.1966,- -,- -,- -,- -,- -,0.1231,0.2179,0.1415,0.1079,0.0782,0.0692,0.1157,0.0905,0.1311,0.1047,0.1363,0.2806,-0.0928,-0.3366,-0.3682,0.3607,-0.1893,0.0089,0.0408,-0.1138,0.1332,0.0895,0.0539,0.2207,-0.2928,0.1510
22,Income Tax expense (Gain),2300000,14100000,-11100000,- -,- -,- -,- -,- -,24600000,65000000,40600000,55000000,108880000,106996000,173551000,116592000,205959000,235644000,341930000,757883000,186298000,-720911000,-778628000,-403313000,-117301000,31263000,283708000,-6594000,22299000,-1132663000,50112000,632345000,-191572000,253415000
23,Net Income,4300000,25600000,-23600000,-12200000,-20100000,-117600000,74500000,46600000,43700000,111100000,68900000,86000000,160744000,169815000,292435000,243697000,412332000,443256000,648264000,1584419000,-855286000,-1291682000,-1437397000,3114637000,-1767691000,-156606000,-149873000,-447720000,1101440000,1960286000,466772000,2049146000,-1032724000,1254370000
24,Net Income ratio,0.0207,0.1202,-0.1337,-0.0830,-0.4020,-2.0346,0.1004,0.0646,0.0543,0.1342,0.0890,0.0618,0.0457,0.0424,0.0725,0.0623,0.0973,0.0684,0.0903,0.2060,-0.1186,-0.2161,-0.2388,0.3968,-0.1930,-0.0160,-0.0149,-0.0487,0.1165,0.1819,0.0397,0.1589,-0.2001,0.1296
25,EPS,0.06,0.30,-0.23,-0.10,-0.12,-0.62,0.38,0.24,0.20,0.48,0.31,0.37,0.56,0.54,0.93,0.82,1.48,1.56,2.29,5.52,-3.06,-3.41,-3.19,6.37,-3.62,-0.32,-0.31,-0.82,1.94,3.38,0.82,3.90,-2.02,2.53
26,EPS Diluted,0.06,0.30,-0.23,-0.10,-0.12,-0.62,0.38,0.24,0.20,0.47,0.30,0.36,0.55,0.53,0.92,0.81,1.43,1.50,2.22,5.31,-3.06,-3.41,-3.19,5.62,-3.62,-0.32,-0.31,-0.82,1.92,3.34,0.81,3.88,-2.02,2.50
27,Weighted Average Shares Outstanding,71666667,83934426,100425532,122000000,167500000,189677419,195952000,194176000,216940000,229900000,222712000,233160000,289628829,317411215,316145946,297191463,279547119,284138462,283084716,287032428,279815000,378513000,450449000,488652000,488988000,489661000,490875000,542873000,568134000,572253000,544253000,524173000,494152000,478405000
28,Weighted Average Shares Outstanding Diluted,71666667,83934426,100425532,122000000,167500000,189677419,195952000,197333333,216940000,235340000,225368000,240172000,294943119,320405660,319601093,302729193,289355789,295504000,292010811,298383992,279815000,378513000,450449000,560895000,488988000,489661000,490875000,542873000,573317000,578795000,549536000,527645000,494152000,484215000
29,SEC Link,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789570/000089843095000343/0000898430-95-000343-index.html,https://www.sec.gov/Archives/edgar/data/789570/000089843096001054/0000898430-96-001054-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/789570/000091205702011658/a2073904z10-k405.htm,https://www.sec.gov/Archives/edgar/data/789570/000104746903010320/a2106169z10-k.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015304000362/p68776e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015305000488/p70273e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015306000642/p71958e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015307000441/p73509e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015308000421/p75046e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000095015309000211/0000950153-09-000211-index.html,https://www.sec.gov/Archives/edgar/data/789570/000095012310018374/0000950123-10-018374-index.html,https://www.sec.gov/Archives/edgar/data/789570/000095012311019786/p18354e10vk.htm,https://www.sec.gov/Archives/edgar/data/789570/000104746912001824/0001047469-12-001824-index.html,https://www.sec.gov/Archives/edgar/data/789570/000104746913001980/0001047469-13-001980-index.html,https://www.sec.gov/Archives/edgar/data/789570/000119312514078072/d656757d10k.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459015001180/mgm-10k_20141231.htm,https://www.sec.gov/Archives/edgar/data/789570/000156459016013639/0001564590-16-013639-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459017003007/0001564590-17-003007-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459018003942/0001564590-18-003942-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459019004807/0001564590-19-004807-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459020007393/0001564590-20-007393-index.html,https://www.sec.gov/Archives/edgar/data/789570/000156459021009205/0001564590-21-009205-index.htm,https://www.sec.gov/Archives/edgar/data/789570/000078957022000005/0000789570-22-000005-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
