,https://roic.ai/company/AXP,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
15,EBITDA,- -,- -,- -,- -,11739000000,9663000000,9764000000,9109500000,4393000000,3313000000,3792000000,4046000000,3861000000,3712000000,4502000000,5655000000,4293000000,5760000000,5815000000,6505000000,6283000000,7187000000,10004000000,7676000000,6111000000,9304000000,10230000000,9668000000,10866000000,11710000000,10604000000,10895000000,10847000000,12358000000,13081000000,7937000000,13667000000
16,EBITDA ratio,- -,- -,- -,- -,0.7739,0.6100,0.5576,0.4717,0.3546,0.2496,0.2597,0.2676,0.2293,0.2047,0.2226,0.2533,0.2036,0.2535,0.2330,0.2303,0.2691,0.2775,0.3608,0.2706,0.2492,0.3344,0.3414,0.3061,0.3295,0.3415,0.4275,0.4288,0.4441,0.4281,0.4234,0.2199,0.3225
17,Operating Income,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
18,Operating Income ratio,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
19,Total Other Income Expenses (Gains),- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-8060000000
20,Income Before Tax,- -,- -,- -,- -,1527000000,725000000,759000000,775000000,2326000000,1891000000,2183000000,2664000000,2750000000,2925000000,3438000000,3908000000,1596000000,3727000000,4247000000,4951000000,4248000000,5328000000,5566000000,3581000000,2841000000,5964000000,6956000000,6451000000,7888000000,8991000000,7938000000,8096000000,7414000000,8122000000,8429000000,4296000000,10689000000
21,Income Before Tax Ratio,- -,- -,- -,- -,0.1007,0.0458,0.0433,0.0401,0.1877,0.1425,0.1495,0.1762,0.1633,0.1613,0.1700,0.1751,0.0757,0.1640,0.1701,0.1753,0.1820,0.2057,0.2007,0.1262,0.1159,0.2144,0.2322,0.2043,0.2392,0.2622,0.3200,0.3186,0.3036,0.2814,0.2728,0.1190,0.2522
22,Income Tax expense (Gain),- -,- -,- -,- -,370000000,387000000,-30000000,339000000,721000000,511000000,619000000,763000000,759000000,784000000,963000000,1098000000,285000000,1056000000,1247000000,1435000000,1027000000,1599000000,1518000000,710000000,704000000,1907000000,2057000000,1969000000,2529000000,3106000000,2775000000,2688000000,4678000000,1201000000,1670000000,1161000000,2629000000
23,Net Income,810000000,1110000000,533000000,1038000000,1157000000,181000000,789000000,461500000,1478000000,1413000000,1564000000,1901000000,1991000000,2141000000,2475000000,2810000000,1311000000,2671000000,2987000000,3445000000,3734000000,3707000000,4012000000,2699000000,2130000000,4057000000,4935000000,4482000000,5359000000,5885000000,5163000000,5408000000,2736000000,6921000000,6759000000,3135000000,8060000000
24,Net Income ratio,Infinity,Infinity,Infinity,Infinity,0.0763,0.0114,0.0451,0.0239,0.1193,0.1065,0.1071,0.1257,0.1183,0.1181,0.1224,0.1259,0.0622,0.1175,0.1197,0.1220,0.1599,0.1431,0.1447,0.0952,0.0869,0.1458,0.1647,0.1419,0.1625,0.1716,0.2082,0.2128,0.1120,0.2398,0.2188,0.0869,0.1902
25,EPS,0.59,0.82,0.40,0.81,0.90,0.11,0.53,0.30,0.78,0.92,1.04,1.30,1.43,1.57,1.85,2.12,0.99,2.02,2.33,2.74,3.03,3.06,3.42,2.34,1.54,3.37,4.14,3.91,4.91,5.58,5.07,5.67,2.98,7.93,8.00,3.77,10.01
26,EPS Diluted,0.59,0.82,0.40,0.81,0.90,0.11,0.53,0.30,0.77,0.92,1.04,1.30,1.38,1.54,1.81,2.07,0.98,2.01,2.30,2.68,2.97,2.99,3.36,2.33,1.54,3.35,4.12,3.89,4.88,5.56,5.05,5.65,2.97,7.91,7.99,3.77,10.00
27,Weighted Average Shares Outstanding,1372881356,1353658537,1297500000,1259259259,1262222222,1327272727,1413207547,1395000000,1841025641,1506545455,1494000000,1456800000,1392000000,1362000000,1341000000,1327000000,1324000000,1320000000,1284000000,1259000000,1233000000,1212000000,1173000000,1154000000,1168000000,1188000000,1178000000,1135000000,1082000000,1045000000,999000000,933000000,883000000,856000000,828000000,805000000,805000000
28,Weighted Average Shares Outstanding Diluted,1372881356,1353658537,1297500000,1259259259,1262222222,1327272727,1413207547,1395000000,1864935065,1533550000,1499790000,1461261000,1437000000,1389000000,1368000000,1360000000,1336000000,1330000000,1298000000,1285000000,1258000000,1238000000,1196000000,1157000000,1171000000,1195000000,1184000000,1141000000,1089000000,1051000000,1003000000,935000000,886000000,859000000,830000000,806000000,806000000
29,SEC Link,- -,- -,- -,- -,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4962/000000496295000005/0000004962-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/4962/000000496296000013/0000004962-96-000013-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4962/000000496201500025/0000004962-01-500025-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4962/000095012307003020/0000950123-07-003020-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312508042043/0001193125-08-042043-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312509041008/0001193125-09-041008-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312510041232/0001193125-10-041232-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000095012311019072/0000950123-11-019072-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312512077400/0001193125-12-077400-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312513070554/0001193125-13-070554-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312514066777/0001193125-14-066777-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312515059931/0001193125-15-059931-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312516469798/0001193125-16-469798-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312517047588/0001193125-17-047588-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496218000032/0000004962-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496219000018/0000004962-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/0000004962-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496221000013/0000004962-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496222000008/0000004962-22-000008-index.htm
30,BALANCE SHEET, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
31,Cash and Cash Equivalents,- -,- -,- -,- -,7452000000,6400000000,4876000000,5395000000,3312000000,3433000000,3200000000,2677000000,4179000000,4092000000,7471000000,8487000000,7222000000,10288000000,5726000000,9907000000,7126000000,7956000000,11737000000,8128000000,11478000000,16709000000,24893000000,22250000000,19486000000,22288000000,22762000000,25208000000,32927000000,27445000000,23932000000,32826000000,22000000000
32,Short-Term Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,19703000000,188000000
33,Cash and Short-Term Investments,- -,- -,- -,- -,7452000000,6400000000,4876000000,5395000000,3312000000,3433000000,3200000000,2677000000,4179000000,4092000000,7471000000,8487000000,7222000000,10288000000,5726000000,9907000000,7126000000,7956000000,11737000000,8128000000,11478000000,16709000000,24893000000,22250000000,19486000000,22288000000,22762000000,25208000000,32927000000,27445000000,23932000000,52529000000,22188000000
34,Net Receivables,- -,- -,- -,- -,- -,- -,- -,- -,- -,17147000000,19914000000,20491000000,21774000000,22224000000,26467000000,30543000000,29498000000,29087000000,31269000000,34650000000,35497000000,38851000000,42005000000,37378000000,38204000000,40434000000,44109000000,45914000000,47185000000,47000000000,46695000000,50073000000,56689000000,58227000000,56794000000,43434000000,107162000000
35,Inventory,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
36,Other Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-42575000000,-46784000000,-53737000000,74602000000,- -,-26424000000,3490000000,2038000000,1608000000,1817000000,- -,- -,- -,- -,-56794000000,64641000000,-20708000000
37,Total Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,48000000,23000000,5000000,120108000000,- -,30719000000,72492000000,70202000000,68279000000,71105000000,69457000000,75281000000,89616000000,85672000000,23932000000,160604000000,108642000000
38,PP&E,- -,- -,- -,- -,3357000000,3466000000,3688000000,3497000000,1976000000,1840000000,1783000000,1675000000,1533000000,1637000000,1996000000,2506000000,2811000000,2979000000,3184000000,3083000000,2230000000,2448000000,2692000000,2948000000,2782000000,2905000000,3367000000,3635000000,3875000000,3938000000,4108000000,4433000000,4329000000,4416000000,4834000000,5015000000,- -
39,Goodwill,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,3181000000,3198000000,3024000000,2749000000,2927000000,3009000000,3072000000,3315000000,3852000000,- -
40,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,993000000,817000000,854000000,796000000,868000000,899000000,275000000,267000000,265000000,- -
41,Intangible Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1712000000,3018000000,- -,- -,- -,4174000000,4015000000,3878000000,3545000000,3795000000,3908000000,3347000000,3582000000,4117000000,- -
42,Investments,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,53638000000,57067000000,57286000000,21334000000,20990000000,16178000000,12526000000,24337000000,14010000000,7147000000,5614000000,5016000000,4431000000,4397000000,3981000000,4182000000,5690000000,8406000000,21631000000,3000000000
43,Tax Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
44,Other Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-16178000000,-12526000000,- -,99408000000,70331000000,69515000000,72190000000,75751000000,78942000000,71403000000,79124000000,89477000000,100635000000,- -,- -
45,Total Non-Current Assets,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,4404000000,5966000000,- -,116323000000,80845000000,82938000000,85096000000,87998000000,90992000000,83612000000,91543000000,102930000000,117457000000,30763000000,- -
46,Other Assets,- -,- -,- -,- -,130855000000,137682000000,146441000000,175752000000,94132000000,97006000000,107405000000,108512000000,120003000000,126933000000,148517000000,154423000000,151100000000,157253000000,175001000000,192638000000,113912000000,127830000000,- -,- -,124088000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,222130000000,80358000000
47,Total Assets,- -,- -,- -,- -,130855000000,137682000000,146441000000,175752000000,94132000000,97006000000,107405000000,108512000000,120003000000,126933000000,148517000000,154423000000,151100000000,157253000000,175001000000,192638000000,113960000000,127853000000,4409000000,126074000000,124088000000,147042000000,153337000000,153140000000,153375000000,159103000000,160449000000,158893000000,181159000000,188602000000,141389000000,191367000000,189000000000
48,Accounts Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,8926000000,9691000000,10458000000,10006000000,10615000000,11300000000,11822000000,11190000000,14657000000,12255000000,12738000000,9444000000,10574000000
49,Short-Term Debt,- -,- -,- -,- -,16604000000,19609000000,22398000000,26016000000,12489000000,14810000000,17654000000,18402000000,20570000000,22605000000,30627000000,36030000000,31569000000,21103000000,19046000000,14182000000,15633000000,15162000000,17762000000,8523000000,2344000000,3414000000,3424000000,3314000000,5021000000,3480000000,4812000000,5581000000,3278000000,3100000000,6442000000,1878000000,2000000000
50,Tax Payable,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1122000000,943000000,- -
51,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
52,Other Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,68601000000,73961000000,75030000000,81986000000,87111000000,101300000000,101498000000,99206000000,105470000000,119978000000,129375000000,56997000000,59433000000,65754000000,45669000000,46074000000,51291000000,61091000000,61961000000,62913000000,65695000000,75816000000,74631000000,89219000000,92553000000,98260000000,- -,243000000
53,Total Current Liabilities,- -,- -,- -,- -,16604000000,19609000000,22398000000,26016000000,12489000000,83411000000,91615000000,93432000000,102556000000,109716000000,131927000000,137528000000,130775000000,126573000000,139024000000,143557000000,72630000000,74595000000,83516000000,54192000000,57344000000,64396000000,74973000000,75281000000,78549000000,80475000000,92450000000,91402000000,107154000000,107908000000,117440000000,11322000000,12817000000
54,Long-Term Debt,- -,- -,- -,- -,14348000000,12521000000,13292000000,15122000000,8561000000,7162000000,7570000000,6552000000,7873000000,7019000000,6495000000,5211000000,8288000000,16819000000,20654000000,33061000000,30781000000,42747000000,55285000000,60041000000,52338000000,66416000000,59570000000,58850000000,55091000000,57812000000,48032000000,46966000000,55781000000,58404000000,57810000000,42952000000,39000000000
55,Deferred Revenue,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,1286000000,1314000000,1308000000,1343000000,1411000000,1554000000,1759000000,- -,- -,- -
56,Deferred Tax Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
57,Other Non-Current Liabilities,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,500000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-1163000000,-1075000000,-1165000000,-1314000000,-1387000000,-1554000000,-1759000000,- -,- -,114554000000
58,Total Non-Current Liabilities,- -,- -,- -,- -,14348000000,12521000000,13292000000,15122000000,8561000000,7162000000,7570000000,6552000000,7873000000,7519000000,6495000000,5211000000,8288000000,16819000000,20654000000,33061000000,30781000000,42747000000,55285000000,60041000000,52338000000,66416000000,59570000000,58973000000,55330000000,57955000000,48061000000,46990000000,55781000000,58404000000,57810000000,42952000000,153554000000
59,Other Liabilities,- -,- -,- -,- -,122908000000,123959000000,129870000000,157359000000,81470000000,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,200013000000,307737000000
60,Capital Lease Obligations,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,92000000,90000000,89000000,87000000,132000000,123000000,118000000,109000000,31000000,29000000,24000000,23000000,19000000,25000000,17000000,- -
61,Total Liabilities,- -,- -,- -,- -,125164000000,131047000000,138976000000,168253000000,85398000000,90573000000,99185000000,99984000000,110429000000,116735000000,138422000000,142739000000,139063000000,143392000000,159678000000,176618000000,103411000000,117342000000,138801000000,114233000000,109682000000,130812000000,134543000000,134254000000,133879000000,138430000000,140511000000,138392000000,162932000000,166312000000,175250000000,168383000000,167000000000
62,Preferred Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -
63,Common Stock,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,268000000,265000000,266000000,261000000,257000000,250000000,248000000,240000000,232000000,232000000,237000000,238000000,232000000,221000000,213000000,205000000,194000000,181000000,172000000,170000000,163000000,161000000,- -
64,Retained Earnings,- -,- -,- -,- -,3804000000,3474000000,3757000000,3697000000,4649000000,2750000000,3159000000,3756000000,4188000000,4148000000,5033000000,6198000000,6421000000,7606000000,8793000000,8196000000,1788000000,1153000000,1075000000,2719000000,3737000000,4972000000,7221000000,7525000000,8507000000,9513000000,9665000000,10371000000,8273000000,12499000000,13871000000,13837000000,13474000000
65,Other Comprehensive Income/Loss,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,319000000,192000000,258000000,-139000000,-520000000,-442000000,-1606000000,-712000000,-917000000,-876000000,-927000000,-1426000000,-1919000000,-2534000000,-2784000000,-2428000000,-2597000000,-2737000000,-2895000000,-2945000000
66,Other Total Stockholders Equity,- -,- -,- -,- -,1887000000,3161000000,3708000000,3802000000,4085000000,3683000000,5061000000,4772000000,5386000000,6050000000,4794000000,5221000000,5350000000,5675000000,6081000000,7316000000,8652000000,9638000000,10164000000,10496000000,11144000000,11937000000,12217000000,12067000000,12202000000,12874000000,13348000000,12733000000,12210000000,12218000000,11774000000,11881000000,11648000000
67,Total Stockholders Equity,- -,- -,- -,- -,5691000000,6635000000,7465000000,7499000000,8734000000,6433000000,8220000000,8528000000,9574000000,10198000000,10095000000,11684000000,12037000000,13861000000,15323000000,16020000000,10549000000,10511000000,11029000000,11841000000,14406000000,16230000000,18794000000,18886000000,19496000000,20673000000,20673000000,20501000000,18227000000,22290000000,23071000000,22984000000,22000000000
68,Total Liabilities And Stockholders Equity,- -,- -,- -,- -,130855000000,137682000000,146441000000,175752000000,94132000000,97006000000,107405000000,108512000000,120003000000,126933000000,148517000000,154423000000,151100000000,157253000000,175001000000,192638000000,113960000000,127853000000,149830000000,126074000000,124088000000,147042000000,153337000000,153140000000,153375000000,159103000000,161184000000,158893000000,181159000000,188602000000,198321000000,191367000000,189000000000
69,Minority Interest,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,-145421000000,- -,- -,- -,- -,- -,- -,- -,-735000000,- -,- -,- -,-56932000000,- -,- -
70,Total Liabilities & Equity,- -,- -,- -,- -,130855000000,137682000000,146441000000,175752000000,94132000000,97006000000,107405000000,108512000000,120003000000,126933000000,148517000000,154423000000,151100000000,157253000000,175001000000,192638000000,113960000000,127853000000,4409000000,126074000000,124088000000,147042000000,153337000000,153140000000,153375000000,159103000000,160449000000,158893000000,181159000000,188602000000,141389000000,191367000000,189000000000
71,SEC Link,undefined,undefined,undefined,undefined,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4962/000000496295000005/0000004962-95-000005-index.html,https://www.sec.gov/Archives/edgar/data/4962/000000496296000013/0000004962-96-000013-index.html,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4962/000000496201500025/0000004962-01-500025-index.html,- -,- -,- -,- -,- -,https://www.sec.gov/Archives/edgar/data/4962/000095012307003020/0000950123-07-003020-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312508042043/0001193125-08-042043-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312509041008/0001193125-09-041008-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312510041232/0001193125-10-041232-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000095012311019072/0000950123-11-019072-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312512077400/0001193125-12-077400-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312513070554/0001193125-13-070554-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312514066777/0001193125-14-066777-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312515059931/0001193125-15-059931-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312516469798/0001193125-16-469798-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000119312517047588/0001193125-17-047588-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496218000032/0000004962-18-000032-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496219000018/0000004962-19-000018-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496220000030/0000004962-20-000030-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496221000013/0000004962-21-000013-index.htm,https://www.sec.gov/Archives/edgar/data/4962/000000496222000008/0000004962-22-000008-index.htm
72,CASH FLOW STATEMENT, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
73,Net Income,- -,- -,- -,- -,1157000000,181000000,789000000,461500000,1478000000,1413000000,1564000000,1901000000,1991000000,2141000000,2475000000,2810000000,1311000000,2671000000,2987000000,3445000000,3734000000,3707000000,4012000000,2699000000,2130000000,4057000000,4935000000,4482000000,5359000000,5885000000,5163000000,5408000000,2736000000,6921000000,6759000000,3135000000,8060000000
74,Depreciation and Amortization,- -,- -,- -,- -,333000000,603000000,753000000,660000000,411000000,378000000,367000000,266000000,187000000,-212000000,13000000,393000000,1196000000,951000000,676000000,758000000,602000000,645000000,648000000,712000000,1070000000,917000000,918000000,991000000,1020000000,1012000000,1043000000,1095000000,1321000000,1293000000,1188000000,1543000000,1695000000
75,Deferred Income Tax,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,120000000,574000000,-226000000,-524000000,-738000000,442000000,-1429000000,1135000000,818000000,218000000,-283000000,-941000000,506000000,-1132000000,783000000,455000000,426000000,-256000000,294000000
76,Stock Based Compensation,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,- -,202000000,287000000,301000000,297000000,350000000,290000000,234000000,254000000,282000000,283000000,283000000,249000000,330000000
